id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_Involved;value_JerseyNumber;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_Zone;value_Length;value_Launch;value_LongBall;value_HeadPass;value_DeletedEventType;value_Offensive;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Defensive;value_TouchTypeControl;value_TouchTypePass;value_Chipped;value_SwitchOfPlay;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TouchTypeClearance;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LayOff;value_LowGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_LeftFooted;value_Cross;value_OutSwinger;value_Defensive1V1;value_Foul;value_Direct;value_ShirtPull/Holding;value_MediumGkIntervention;value_OutOfPlay;value_Assist;value_IntentionalAssist;value_GoalmouthY;value_GoalmouthZ;value_OutOfBoxCentre;value_GkY;value_RegularPlay;value_RelatedEventId;value_GkX;value_Assisted;value_HighLeft;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_TacticalFoul;value_YellowCard;value_RightFooted;value_InSwinger;value_BlockedX;value_Head;value_BoxCentre;value_LowLeft;value_SetPiece;value_BlockedY;value_ParriedDanger;value_Diving;value_Hands;value_Volley;value_IndividualPlay;value_SmallBoxCentre;value_LowCentre;value_NotAssisted;value_Blocked;value_SixYardBlocked;value_DefBlock;value_High;value_NotVisible;value_Overrun;value_BoxRight;value_GoalShotGameClock;value_SwerveLeft;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Right;value_Left;value_CornerTaken;value_FromCorner;value_CloseLeft;value_BlockedPass;value_HighCentre;value_Caught;value_HighGkIntervention;value_Standing;value_GoalDisallowed;value_AttemptedTackle;value_FreeKick;value_HighRight;value_OtherObstacle;value_BallHitsReferee;value_InjuredPlayerId;value_Injury;value_DrivenCross;value_Straight;value_OverArm;value_BigChance;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_BoxDeepRight;value_CloseRight;value_Collected;value_FlickOn;value_PullBack;value_BoxLeft;value_1On1;value_FastBreak;value_OverhitCross;value_NotPastGoalLine;value_OtherBodyPart;value_HighClaim;value_TempShotOn;value_Minutes;value_Handball;value_EndType;value_Tactical;value_RecklessOffence;value_MisHit;value_Argument;value_Stooping;value_ParriedSafe;value_TempMissed;value_BlockedCross;value_NotRetreating;value_Reaching;value_GkKickFromHands;value_FollowsADribble;value_Shove/Push;value_SmallBoxRight;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698762635;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-30T22:12:24.491Z;2024-07-04T06:53:45Z;[{'id': 5092260807, 'qualifierId': 130, 'value': '4'}, {'id': 5092329819, 'qualifierId': 194, 'value': '8hftsf1ff8839jdbe3e6lmm1g'}, {'id': 5092260793, 'qualifierId': 30, 'value': '5y8og21f6hneu6r6fpt7aw7x0, 1795jw1oc3pkthyq0kqexh65m, a1rc6kukly42y5j5smz3w72tw, 8hftsf1ff8839jdbe3e6lmm1g, 2pka62t1zg04jwkcx6zbc4wlw, aqqjtiyr2nayy6rjq6wxk6ec4, 1gmj4ge2sog221wqkmap8kidw, 69h930ebovyl7rut5dz4r2iok, tc5nl1hz1w06jobp5ckktr3e, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w, 45b72f8szmqnv8tz06j7mj1wq, a4staqjshva5lhcr0dw744nze, 6e688gqc8qzt0h9cutptkcd90, 1unlspl01ht69hrm9apxt4oic, dbc343lsh3l20pi4a4gmd94wk, f4gpras1h3k8qfz71u84iyyok, cz98wcy8nq9hqncb2z33p4hec, 98tyw392rp4ow3apn0ygrbtp0'}, {'id': 5092260801, 'qualifierId': 59, 'value': '62, 35, 48, 38, 39, 23, 50, 36, 99, 57, 90, 29, 34, 42, 43, 45, 49, 51, 59'}, {'id': 5092260815, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092260811, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092329821, 'qualifierId': 197, 'value': '23805'}, {'id': 5092260797, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;dqs7tmlozg5uboejmde2oa7tg;Team set up;4,0;;;;;;23805,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2698763853;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-30T22:16:05.292Z;2024-07-04T06:47:18Z;[{'id': 5092267105, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092267101, 'qualifierId': 130, 'value': '2'}, {'id': 5092267099, 'qualifierId': 59, 'value': '1, 23, 3, 19, 6, 30, 43, 13, 9, 18, 21, 14, 4, 5, 11, 12, 35, 36, 45, 48'}, {'id': 5092431327, 'qualifierId': 197, 'value': '15044'}, {'id': 5092267095, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1p5u02noafhj6r31hj50stn2s, 2wj1w4opn7f0jyz1ps6ebvc6i, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, 7yt2ddw0yntv9xq1hrv1jx05w, bfsjxpmiflhdz2162ulqlo0lw, 9ph8wasuz3ndre586gople49g, 4uuq2zuhmlbg7kh85v5l8723u, 7qt4r82kyz05r8kd8cmdh1xqs, 48p3wcjai97tpt50ia7bi7ok4, e4vvdd1cn5ezrocpequewmwic, 1d43ue54zl1o9rvnwz5zfotm, azzpjrq2pndxuz0waw25p7r6y, 3my8ymhvy1bysbllwpoj3qctm, n5otejqjssvxk3bzx06642z8, 70lmb5krx6h8iidmbs6t015hw, eirbk0b1nni4vfpeqgxvdrmz8, 1es4nynrpc8sz3enj46i9zeok'}, {'id': 5092267103, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092267097, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092329773, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}];;;;;dqs7tmlozg5uboejmde2oa7tg;Team set up;2,0;;;;;;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2698776139;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-30T23:04:40.701Z;2024-06-30T23:04:40Z;[{'id': 5092332767, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dqs7tmlozg5uboejmde2oa7tg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2698776145;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-30T23:04:40.701Z;2024-07-04T11:57:57Z;[{'id': 5092332777, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dqs7tmlozg5uboejmde2oa7tg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2698776165;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,0;50,0;2024-06-30T23:04:40.702Z;2024-06-30T23:04:44Z;[{'id': 5092332887, 'qualifierId': 141, 'value': '57.2'}, {'id': 5092332893, 'qualifierId': 279, 'value': 'S'}, {'id': 5092332885, 'qualifierId': 140, 'value': '36.2'}, {'id': 5092332891, 'qualifierId': 213, 'value': '2.82'}, {'id': 5092332883, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092332889, 'qualifierId': 212, 'value': '15.3'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;57,2;;36,2;2,82;;15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;36,2;57,2;;;;;;;0;0;0;0;Minnesota United II;0;ML;1,0
2698776185;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;0;37,0;57,2;2024-06-30T23:04:44.251Z;2024-06-30T23:08:42Z;[{'id': 5092342783, 'qualifierId': 157}, {'id': 5092332991, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092332995, 'qualifierId': 141, 'value': '92.3'}, {'id': 5092333001, 'qualifierId': 1}, {'id': 5092332999, 'qualifierId': 213, 'value': '0.60'}, {'id': 5092332997, 'qualifierId': 212, 'value': '42.1'}, {'id': 5092332993, 'qualifierId': 140, 'value': '70.0'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;92,3;;70,0;0,6;;42,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,0;92,3;;;;;;;0;0;0;3;Minnesota United II;3;FW;1,0
2698776245;3;1;1;0;5;1pc6sx2h4rp113ldkbp5d2xas;0;22,9;9,0;2024-06-30T23:04:46.679Z;2024-07-01T00:01:07Z;[{'id': 5092333275, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092333283, 'qualifierId': 213, 'value': '6.15'}, {'id': 5092333279, 'qualifierId': 141, 'value': '5.2'}, {'id': 5092333277, 'qualifierId': 140, 'value': '40.6'}, {'id': 5092333281, 'qualifierId': 212, 'value': '18.8'}, {'id': 5092333273, 'qualifierId': 3}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;5,2;;40,6;6,15;;18,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;40,6;5,2;;;;;;;0;0;0;5;Houston Dynamo II;5;DR;1,0
2698793889;430;61;1;0;7;7pmw399vh2v44cjle4fkklp1w;1;53,5;96,5;2024-06-30T23:04:47.701Z;2024-07-01T00:01:11Z;[{'id': 5092431183, 'qualifierId': 56, 'value': 'Left'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;7;Minnesota United II;7;ML;1,0
2698776223;5;43;1;0;10;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-30T23:04:51.272Z;2024-06-30T23:09:15Z;[{'id': 5092344455, 'qualifierId': 144, 'value': '61'}, {'id': 5092333183, 'qualifierId': 56, 'value': 'Left'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Deleted event;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;10;Minnesota United II;10;ML;1,0
2698776249;4;3;1;0;10;1pc6sx2h4rp113ldkbp5d2xas;0;42,1;11,2;2024-06-30T23:04:51.461Z;2024-07-04T06:55:09Z;[{'id': 5092375733, 'qualifierId': 286}, {'id': 5092431185, 'qualifierId': 233, 'value': '6'}, {'id': 5092333305, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094444409, 'qualifierId': 465}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;dqs7tmlozg5uboejmde2oa7tg;Take On;;;;;;;;;;;;;;;;;;;;1,0;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;10;Houston Dynamo II;10;FWR;1,0
2698776241;6;7;1;0;10;7pmw399vh2v44cjle4fkklp1w;1;57,9;88,8;2024-06-30T23:04:51.462Z;2024-07-04T06:55:11Z;[{'id': 5092431059, 'qualifierId': 285}, {'id': 5092333245, 'qualifierId': 56, 'value': 'Left'}, {'id': 5094444411, 'qualifierId': 383}, {'id': 5092431189, 'qualifierId': 233, 'value': '4'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Tackle;;;;;;;;;;;;;;;;;;;;;4,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;10;Minnesota United II;10;ML;1,0
2699165875;883;1;1;0;11;7pmw399vh2v44cjle4fkklp1w;1;54,6;93,4;2024-06-30T23:04:52.199Z;2024-07-04T06:55:48Z;[{'id': 5094444501, 'qualifierId': 140, 'value': '58.4'}, {'id': 5094444505, 'qualifierId': 212, 'value': '4.0'}, {'id': 5094444507, 'qualifierId': 213, 'value': '0.00'}, {'id': 5094444499, 'qualifierId': 56, 'value': 'Left'}, {'id': 5094444503, 'qualifierId': 141, 'value': '93.4'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;93,4;;58,4;0,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;58,4;93,4;;;;;;;0;0;0;11;Minnesota United II;11;ML;1,0
2698776243;7;43;1;0;12;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-30T23:04:53.130Z;2024-07-04T06:55:54Z;[{'id': 5094444519, 'qualifierId': 144, 'value': '49'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;dqs7tmlozg5uboejmde2oa7tg;Deleted event;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;12;Minnesota United II;12;DC;1,0
2698776251;8;1;1;0;12;7pmw399vh2v44cjle4fkklp1w;1;61,6;85,1;2024-06-30T23:04:53.307Z;2024-06-30T23:04:54Z;[{'id': 5092333311, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092333315, 'qualifierId': 141, 'value': '88.7'}, {'id': 5092333317, 'qualifierId': 212, 'value': '2.6'}, {'id': 5092333319, 'qualifierId': 213, 'value': '1.24'}, {'id': 5092333313, 'qualifierId': 140, 'value': '62.4'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;88,7;;62,4;1,24;;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;62,4;88,7;;;;;;;0;0;0;12;Minnesota United II;12;DC;1,0
2698776261;9;1;1;0;13;7pmw399vh2v44cjle4fkklp1w;1;62,4;88,7;2024-06-30T23:04:54.219Z;2024-06-30T23:04:55Z;[{'id': 5092333373, 'qualifierId': 212, 'value': '8.7'}, {'id': 5092333369, 'qualifierId': 140, 'value': '54.1'}, {'id': 5092333367, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092333375, 'qualifierId': 213, 'value': '3.09'}, {'id': 5092333371, 'qualifierId': 141, 'value': '89.3'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;89,3;;54,1;3,09;;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;54,1;89,3;;;;;;;0;0;0;13;Minnesota United II;13;ML;1,0
2698776263;10;1;1;0;15;7pmw399vh2v44cjle4fkklp1w;0;54,3;90,9;2024-06-30T23:04:55.771Z;2024-06-30T23:04:56Z;[{'id': 5092333379, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092333385, 'qualifierId': 212, 'value': '7.3'}, {'id': 5092333381, 'qualifierId': 140, 'value': '60.7'}, {'id': 5092333383, 'qualifierId': 141, 'value': '86.6'}, {'id': 5092333387, 'qualifierId': 213, 'value': '5.87'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;86,6;;60,7;5,87;;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;60,7;86,6;;;;;;;0;0;0;15;Minnesota United II;15;DC;1,0
2698776267;5;50;1;0;15;1pc6sx2h4rp113ldkbp5d2xas;1;40,7;8,4;2024-06-30T23:04:56.461Z;2024-07-01T00:01:43Z;[{'id': 5092333589, 'qualifierId': 233, 'value': '11'}, {'id': 5092333417, 'qualifierId': 286}, {'id': 5092333413, 'qualifierId': 56, 'value': 'Back'}];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;;dqs7tmlozg5uboejmde2oa7tg;Dispossessed;;;;;;;;;;;;;;;;;;;;1,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;15;Houston Dynamo II;15;MC;1,0
2698776289;11;7;1;0;15;7pmw399vh2v44cjle4fkklp1w;1;59,3;91,6;2024-06-30T23:04:56.462Z;2024-07-04T06:56:06Z;[{'id': 5092333535, 'qualifierId': 285}, {'id': 5092333581, 'qualifierId': 233, 'value': '5'}, {'id': 5092333533, 'qualifierId': 56, 'value': 'Left'}, {'id': 5094444559, 'qualifierId': 384}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dqs7tmlozg5uboejmde2oa7tg;Tackle;;;;;;;;;;;;;;;;;;;;;5,0;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;15;Minnesota United II;15;ML;1,0
2698776295;12;43;1;0;19;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-30T23:05:00.650Z;2024-07-04T06:56:09Z;[{'id': 5094444561, 'qualifierId': 144, 'value': '49'}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;dqs7tmlozg5uboejmde2oa7tg;Deleted event;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;19;Minnesota United II;19;MC;1,0
2698776301;13;1;1;0;20;7pmw399vh2v44cjle4fkklp1w;1;57,4;83,0;2024-06-30T23:05:00.811Z;2024-07-04T06:56:13Z;[{'id': 5092333607, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092333615, 'qualifierId': 213, 'value': '3.83'}, {'id': 5092333611, 'qualifierId': 141, 'value': '73.6'}, {'id': 5092333609, 'qualifierId': 140, 'value': '50.0'}, {'id': 5092333613, 'qualifierId': 212, 'value': '10.1'}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;73,6;;50,0;3,83;;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;50,0;73,6;;;;;;;0;0;0;20;Minnesota United II;20;MC;1,0
2698776309;14;1;1;0;21;7pmw399vh2v44cjle4fkklp1w;1;53,6;72,0;2024-06-30T23:05:01.723Z;2024-07-04T06:56:17Z;[{'id': 5092333697, 'qualifierId': 212, 'value': '20.2'}, {'id': 5092333695, 'qualifierId': 141, 'value': '91.2'}, {'id': 5092333691, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092333699, 'qualifierId': 213, 'value': '2.44'}, {'id': 5092333693, 'qualifierId': 140, 'value': '38.9'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;91,2;;38,9;2,44;;20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;38,9;91,2;;;;;;;0;0;0;21;Minnesota United II;21;MC;1,0
2698776333;15;1;1;0;23;7pmw399vh2v44cjle4fkklp1w;1;32,3;79,8;2024-06-30T23:05:04.218Z;2024-06-30T23:05:06Z;[{'id': 5092333821, 'qualifierId': 213, 'value': '4.55'}, {'id': 5092333817, 'qualifierId': 141, 'value': '48.7'}, {'id': 5092333815, 'qualifierId': 140, 'value': '29.0'}, {'id': 5092333813, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092333819, 'qualifierId': 212, 'value': '21.4'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;dqs7tmlozg5uboejmde2oa7tg;Pass;;;;;;;;;;48,7;;29,0;4,55;;21,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;29,0;48,7;;;;;;;0;0;0;23;Minnesota United II;23;DC;1,0
