id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_TeamFormation;value_Involved;value_Resume;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Length;value_Angle;value_Zone;value_PassEndY;value_LongBall;value_Launch;value_DeletedEventType;value_OutOfPlay;value_OppositeRelatedEventId;value_Left;value_DrivenCross;value_Assist;value_CornerTaken;value_IntentionalAssist;value_Cross;value_Straight;value_Chipped;value_RightFooted;value_Offensive;value_Defensive;value_GkX;value_GoalmouthY;value_FromCorner;value_High;value_GoalmouthZ;value_FirstTouch;value_Head;value_RelatedEventId;value_Assisted;value_BoxRight;value_GkY;value_NextEventGoalKick;value_GoalKick;value_Low;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_IntendedTackleTarget;value_LayOff;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_TakeOnSpace;value_TouchTypeClearance;value_InSwinger;value_BoxCentre;value_AttemptedTackle;value_PenaltyTakerId;value_Penalty;value_Injury;value_InjuredPlayerId;value_RecklessOffence;value_NotVisible;value_YellowCard;value_NotAssisted;value_GkYTimeOfGoal;value_FantasyAssistedBy;value_CausingPlayer;value_GkXTimeOfGoal;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_HighRight;value_GoalShotTimestamp;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_GoalShotGameClock;value_Right;value_Scored;value_Diving;value_HeadPass;value_ShirtPull/Holding;value_TakeOnOvertake;value_NextEventThrowIn;value_ThrowIn;value_Defensive1V1;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_MediumGkIntervention;value_TouchTypeControl;value_PullBack;value_Overrun;value_2NdAssist;value_RegularPlay;value_SmallBoxRight;value_2NdRelatedEventId;value_LowCentre;value_2NdAssisted;value_LeftFooted;value_OutSwinger;value_TempBlocked;value_TacticalFoul;value_HighLeft;value_IndividualPlay;value_OutOfBoxCentre;value_DrinksBreak;value_RefereeDelay;value_LowLeft;value_SwerveLeft;value_OutOfBoxLeft;value_BlockedX;value_BlockedY;value_Stooping;value_Collected;value_Hands;value_GkKickFromHands;value_SetPiece;value_TouchTypePass;value_PlayersCaughtOffside;value_Indirect;value_Minutes;value_NotPastGoalLine;value_BoxLeft;value_MisHit;value_SmallBoxCentre;value_EndType;value_AerialFoul;value_BlockedPass;value_BlockedCross;value_FreeKick;value_SwerveRight;value_FlickOn;value_Blocked;value_DefBlock;value_GkHoof;value_HighCentre;value_Reaching;value_Caught;value_CloseHigh;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_FromShotOffTarget;value_OwnPlayer;value_BlockByHand;value_Handball;value_Fumble;value_Standing;value_ParriedDanger;value_ParriedSafe;value_CloseRight;value_CloseLeft;value_LeadingToGoal;value_RelatedError1Id;value_PersistentInfringement;value_OwnGoal;value_LowRight;value_GoesToPenalties;value_Saved;value_Missed;value_HitWoodwork;value_Strong;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695032065;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-07T22:08:01.659Z;2024-06-07T23:03:55Z;[{'id': 5071707071, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5071698013, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071698019, 'qualifierId': 130, 'value': '8'}, {'id': 5071698011, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, p99ze5cksh5tv01knf5oj33e, 9bv0zjyrsopyv3hw8m47sgr9w, c2b6h5zwjvzdvdcybyuqd6exg, 7tpb4dk9meee0utyu4cosnxn8, brzi1qy5hkx7zhxhjykg8ox78, abemsr9zh7bklu5jboks5ivpw, bebv65gzex5nuihc5mutjrwus, 595bi39ikp8s9sfw6q5981mvo, bvb7i5n0j5ltqkv991p40r8yc, 7duzjflajla2xqvesalgjoy6s, 37uh4n2zngcixlzo8vnk50vtg, 9g0pycttkbuyuetispcb2hij8'}, {'id': 5071698025, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071698021, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071698015, 'qualifierId': 59, 'value': '50, 30, 64, 53, 54, 68, 49, 56, 59, 23, 66, 34, 60, 62, 61, 88, 96, 97'}, {'id': 5071707993, 'qualifierId': 197, 'value': '3378'}];;;;;c6b4ivjalobve7kfbbii7gt1w;Team set up;;;8,0;;;;;3378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2695032093;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-07T22:08:36.976Z;2024-06-08T00:01:25Z;[{'id': 5071698125, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071760733, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5071698133, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071698123, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 1j1ybmazykfh5nqs7egkcdxck, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 7s32iecltoopsjddclg0ixzx0, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 1nbbgew67td8zayaffvr1zcb8, eehmjxbl4xwc3mz1geibnszkk, clvcgt5ofonse0q96sppu7hg4, f3uzkdl46t1mujsddhr5tg07o, 8p0k65b4c26ssfk0zh43lme7e, 4t078b0rnzmi8u83wzmdwze38, 1x89wne2srx1dupb7vt5gf3ai, 6le9ztbx7n6ogg6fdxmnrk9w4, 9isbk9daqxgtj196349irnkk, 6qu8uu28fk2dbbeymuu6yii38'}, {'id': 5071698129, 'qualifierId': 130, 'value': '12'}, {'id': 5071698131, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071698127, 'qualifierId': 59, 'value': '98, 14, 21, 4, 20, 44, 24, 10, 13, 9, 29, 12, 15, 17, 23, 31, 77, 99'}, {'id': 5071708017, 'qualifierId': 197, 'value': '23612'}];;;;;c6b4ivjalobve7kfbbii7gt1w;Team set up;;;12,0;;;;;23612,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2695033789;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-07T23:04:29.639Z;2024-06-07T23:04:32Z;[{'id': 5071708461, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c6b4ivjalobve7kfbbii7gt1w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2695033783;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-07T23:04:29.639Z;2024-06-12T06:31:21Z;[{'id': 5071708449, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c6b4ivjalobve7kfbbii7gt1w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2695033799;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-06-07T23:04:29.640Z;2024-06-07T23:04:33Z;[{'id': 5071708507, 'qualifierId': 140, 'value': '25.7'}, {'id': 5071708517, 'qualifierId': 279, 'value': 'S'}, {'id': 5071708511, 'qualifierId': 212, 'value': '25.5'}, {'id': 5071708513, 'qualifierId': 213, 'value': '3.16'}, {'id': 5071708505, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708509, 'qualifierId': 141, 'value': '49.4'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;25,7;;25,5;3,16;;49,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;25,7;49,4;;;;;;;;0;0;0;Orlando City B;0;MC;1,0
2695033807;4;1;1;0;2;2nnef9tr9g7m2s6n873qif95g;1;25,7;49,4;2024-06-07T23:04:32.516Z;2024-06-07T23:05:12Z;[{'id': 5071708567, 'qualifierId': 213, 'value': '1.68'}, {'id': 5071708557, 'qualifierId': 140, 'value': '23.8'}, {'id': 5071708563, 'qualifierId': 212, 'value': '18.9'}, {'id': 5071708559, 'qualifierId': 141, 'value': '77.1'}, {'id': 5071708553, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;23,8;;18,9;1,68;;77,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;23,8;77,1;;;;;;;;0;0;2;Orlando City B;2;DC;1,0
2695033827;5;1;1;0;4;2nnef9tr9g7m2s6n873qif95g;1;23,8;77,1;2024-06-07T23:04:34.091Z;2024-06-07T23:04:36Z;[{'id': 5071708609, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708615, 'qualifierId': 212, 'value': '11.6'}, {'id': 5071708611, 'qualifierId': 140, 'value': '34.7'}, {'id': 5071708613, 'qualifierId': 141, 'value': '80.0'}, {'id': 5071708617, 'qualifierId': 213, 'value': '0.17'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;34,7;;11,6;0,17;;80,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;34,7;80,0;;;;;;;;0;0;4;Orlando City B;4;DC;1,0
2695033831;6;1;1;0;7;2nnef9tr9g7m2s6n873qif95g;1;35,1;84,4;2024-06-07T23:04:36.652Z;2024-06-07T23:04:38Z;[{'id': 5071708633, 'qualifierId': 212, 'value': '7.7'}, {'id': 5071708627, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708631, 'qualifierId': 141, 'value': '95.6'}, {'id': 5071708635, 'qualifierId': 213, 'value': '1.42'}, {'id': 5071708629, 'qualifierId': 140, 'value': '36.2'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;36,2;;7,7;1,42;;95,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;36,2;95,6;;;;;;;;0;0;7;Orlando City B;7;AMC;1,0
2695033837;7;1;1;0;8;2nnef9tr9g7m2s6n873qif95g;1;36,2;95,6;2024-06-07T23:04:38.011Z;2024-06-07T23:04:39Z;[{'id': 5071708661, 'qualifierId': 212, 'value': '9.3'}, {'id': 5071708659, 'qualifierId': 141, 'value': '85.7'}, {'id': 5071708663, 'qualifierId': 213, 'value': '3.95'}, {'id': 5071708655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708657, 'qualifierId': 140, 'value': '30.1'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;30,1;;9,3;3,95;;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;30,1;85,7;;;;;;;;0;0;8;Orlando City B;8;DML;1,0
2695033841;8;1;1;0;9;2nnef9tr9g7m2s6n873qif95g;1;30,1;85,7;2024-06-07T23:04:39.323Z;2024-06-07T23:04:41Z;[{'id': 5071708691, 'qualifierId': 141, 'value': '83.9'}, {'id': 5071708689, 'qualifierId': 140, 'value': '19.9'}, {'id': 5071708693, 'qualifierId': 212, 'value': '10.8'}, {'id': 5071708695, 'qualifierId': 213, 'value': '3.26'}, {'id': 5071708687, 'qualifierId': 56, 'value': 'Back'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;19,9;;10,8;3,26;;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;19,9;83,9;;;;;;;;0;0;9;Orlando City B;9;AMC;1,0
2695033865;9;1;1;0;11;2nnef9tr9g7m2s6n873qif95g;1;19,9;83,9;2024-06-07T23:04:41.116Z;2024-06-07T23:04:46Z;[{'id': 5071708817, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708823, 'qualifierId': 212, 'value': '22.8'}, {'id': 5071708821, 'qualifierId': 141, 'value': '51.1'}, {'id': 5071708819, 'qualifierId': 140, 'value': '15.5'}, {'id': 5071708825, 'qualifierId': 213, 'value': '4.51'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;15,5;;22,8;4,51;;51,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;15,5;51,1;;;;;;;;0;0;11;Orlando City B;11;DC;1,0
2695033885;10;1;1;0;16;2nnef9tr9g7m2s6n873qif95g;1;18,3;47,6;2024-06-07T23:04:46.499Z;2024-06-07T23:04:51Z;[{'id': 5071708957, 'qualifierId': 140, 'value': '22.4'}, {'id': 5071708955, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071708963, 'qualifierId': 213, 'value': '1.36'}, {'id': 5071708961, 'qualifierId': 212, 'value': '20.8'}, {'id': 5071708959, 'qualifierId': 141, 'value': '77.6'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;22,4;;20,8;1,36;;77,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;22,4;77,6;;;;;;;;0;0;16;Orlando City B;16;DC;1,0
2695033897;11;1;1;0;23;2nnef9tr9g7m2s6n873qif95g;1;22,4;77,6;2024-06-07T23:04:53.372Z;2024-06-07T23:04:54Z;[{'id': 5071709035, 'qualifierId': 213, 'value': '0.81'}, {'id': 5071709033, 'qualifierId': 212, 'value': '9.2'}, {'id': 5071709027, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071709031, 'qualifierId': 141, 'value': '87.4'}, {'id': 5071709029, 'qualifierId': 140, 'value': '28.4'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;28,4;;9,2;0,81;;87,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;28,4;87,4;;;;;;;;0;0;23;Orlando City B;23;DC;1,0
2695033919;12;1;1;0;24;2nnef9tr9g7m2s6n873qif95g;1;28,7;87,6;2024-06-07T23:04:54.243Z;2024-06-07T23:04:56Z;[{'id': 5071709107, 'qualifierId': 140, 'value': '18.3'}, {'id': 5071709111, 'qualifierId': 212, 'value': '22.9'}, {'id': 5071709109, 'qualifierId': 141, 'value': '58.0'}, {'id': 5071709113, 'qualifierId': 213, 'value': '4.22'}, {'id': 5071709105, 'qualifierId': 56, 'value': 'Back'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;18,3;;22,9;4,22;;58,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;18,3;58,0;;;;;;;;0;0;24;Orlando City B;24;AMC;1,0
2695033927;13;1;1;0;26;2nnef9tr9g7m2s6n873qif95g;1;18,3;58,0;2024-06-07T23:04:56.419Z;2024-06-07T23:04:59Z;[{'id': 5071709153, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071709159, 'qualifierId': 212, 'value': '51.2'}, {'id': 5071709163, 'qualifierId': 1}, {'id': 5071709157, 'qualifierId': 141, 'value': '88.9'}, {'id': 5071709155, 'qualifierId': 140, 'value': '62.8'}, {'id': 5071709161, 'qualifierId': 213, 'value': '0.42'}, {'id': 5071709151, 'qualifierId': 157}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;62,8;;51,2;0,42;;88,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;62,8;88,9;;;;;;;;0;0;26;Orlando City B;26;GK;1,0
2695033929;14;61;1;0;27;2nnef9tr9g7m2s6n873qif95g;0;64,4;89,7;2024-06-07T23:04:56.963Z;2024-06-12T07:00:11Z;[{'id': 5071709171, 'qualifierId': 56, 'value': 'Left'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;c6b4ivjalobve7kfbbii7gt1w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;27;Orlando City B;27;DML;1,0
2695033939;3;61;1;0;28;479lsfr4cwlzewpbuda3y2xv4;1;42,2;26,5;2024-06-07T23:04:58.229Z;2024-06-12T07:00:14Z;[{'id': 5071709193, 'qualifierId': 56, 'value': 'Back'}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;c6b4ivjalobve7kfbbii7gt1w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;28;Carolina Core;28;MC;1,0
2695033941;4;43;1;0;29;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-07T23:04:59.428Z;2024-06-12T07:00:44Z;[{'id': 5075745177, 'qualifierId': 144, 'value': '49'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;c6b4ivjalobve7kfbbii7gt1w;Deleted event;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;29;Carolina Core;29;DR;1,0
2695033945;5;61;1;0;30;479lsfr4cwlzewpbuda3y2xv4;0;32,4;14,1;2024-06-07T23:04:59.809Z;2024-06-07T23:05:00Z;[{'id': 5071709229, 'qualifierId': 56, 'value': 'Back'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;c6b4ivjalobve7kfbbii7gt1w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;30;Carolina Core;30;DR;1,0
2695033951;15;43;1;0;31;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-07T23:05:01.604Z;2024-06-12T07:02:25Z;[{'id': 5075745767, 'qualifierId': 144, 'value': '49'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;c6b4ivjalobve7kfbbii7gt1w;Deleted event;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;31;Orlando City B;31;MC;1,0
2695033959;16;1;1;0;33;2nnef9tr9g7m2s6n873qif95g;1;76,1;75,5;2024-06-07T23:05:03.003Z;2024-06-07T23:05:05Z;[{'id': 5071709307, 'qualifierId': 212, 'value': '20.0'}, {'id': 5071709303, 'qualifierId': 140, 'value': '95.1'}, {'id': 5071709309, 'qualifierId': 213, 'value': '6.28'}, {'id': 5071709301, 'qualifierId': 56, 'value': 'Center'}, {'id': 5071709305, 'qualifierId': 141, 'value': '75.3'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;c6b4ivjalobve7kfbbii7gt1w;Pass;;;;;;;;;;95,1;;20,0;6,28;;75,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;95,1;75,3;;;;;;;;0;0;33;Orlando City B;33;MC;1,0
