id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_Resume;value_Involved;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_Length;value_TouchTypeControl;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_DeletedEventType;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Head;value_HeadPass;value_TakeOnOvertake;value_IntendedTackleTarget;value_Overrun;value_LongBall;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_Launch;value_FlickOn;value_LayOff;value_SwitchOfPlay;value_ShirtPull/Holding;value_OutOfPlay;value_TouchTypePass;value_OutSwinger;value_RightFooted;value_Cross;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_AttemptedTackle;value_RecklessOffence;value_GkY;value_FantasyAssistedBy;value_NotAssisted;value_FreeKick;value_GoalmouthY;value_GkXTimeOfGoal;value_FantasyAssistType;value_GoalShotTimestamp;value_GkX;value_GoalShotGameClock;value_FantasyAssistTeam;value_GoalmouthZ;value_FantasyAssistId;value_OutOfBoxCentre;value_GkYTimeOfGoal;value_LowRight;value_LeftFooted;value_TakeOnSpace;value_InSwinger;value_MediumGkIntervention;value_KeeperThrow;value_IntentionalAssist;value_Assist;value_FirstTouch;value_Blocked;value_BlockedY;value_Assisted;value_BlockedX;value_BoxCentre;value_RegularPlay;value_DefBlock;value_LowCentre;value_ByWall;value_Left;value_Right;value_CornerTaken;value_High;value_FromCorner;value_NextEventGoalKick;value_GoalKick;value_Injury;value_InjuredPlayerId;value_HighClaim;value_HighGkIntervention;value_GkHoof;value_LowGkIntervention;value_OverArm;value_ThrowInSetPiece;value_Reaching;value_Hands;value_Collected;value_GkKickFromHands;value_OverhitCross;value_Low;value_BigChance;value_KeeperTouched;value_HighCentre;value_Simulation;value_Indirect;value_Minutes;value_SmallBoxRight;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_FastBreak;value_CloseLeft;value_IndividualPlay;value_Volley;value_BoxRight;value_Weak;value_Standing;value_OtherObstacle;value_BlockedCross;value_PullBack;value_PlayersCaughtOffside;value_NotVisible;value_BoxLeft;value_Stooping;value_LowLeft;value_Diving;value_Handball;value_CaptainChange;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695038455;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-06-07T23:28:44.314Z;2024-06-08T02:46:54Z;[{'id': 5071734575, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071797463, 'qualifierId': 197, 'value': '23611'}, {'id': 5071734577, 'qualifierId': 59, 'value': '75, 38, 68, 42, 31, 63, 29, 20, 99, 74, 77, 37, 47, 50, 61, 64, 67, 70, 83'}, {'id': 5071734583, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071734573, 'qualifierId': 30, 'value': '3o4uxnvpnf3cwjs3srwegxp90, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, duj699i9620tuf3ii9z06bqsq, eiyzqnfh8r8aduel0seou7nu2, 1ni0mewxcbo26d1xxetkdy3ca, cwyml9l4tfvb4ceh8tv3au0wk, 1kuo66geyyz9gu2n39w0bvr4k, 1d20nyyvmp0doobj6heejkowk, 1p4rbf4wumfagv2ntlewdxey, 3ei1s8oyub83owfxxbsygmsmi, 4k6c9nnzytq9qhc9uol64wg7o, eq98gflais2v26wgbkw9wrxg4, 3mq1g1pyo3flkaorg9wqmfhuc, 9ijxde56q9ayy0v9kgt2osx04, 4h2k5kwclhlgjk2koqin5r2fo, 8qkw6bkxcucb5jnsfotm816ac, 2676930j149yvanqev61emh62, a0do5kh5akr89kst2p1hohixg'}, {'id': 5071734579, 'qualifierId': 130, 'value': '4'}, {'id': 5071905145, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5071734581, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Team set up;;23611,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2695038805;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-07T23:30:22.043Z;2024-06-08T00:45:58Z;[{'id': 5071736439, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071797765, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5071736433, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071736431, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 40za2m92ngp5og8pxyrkxl3is, 4kng7wg83mastngy9hw7j6v6y, cngjy2fgv7bd3262mp7onczkk, 3x8f4j8q49d8hft60a6k8l5as, c1fvknrf94i05q738d5r7vmdw, 7uj52qs9yf21gxixhrowyvswk, 7ve3vmg19c3g91j7zs32oecd0, cjjvy22j5q0piz5omn2tf18us, 1874nj27f507jqja4e8zla1as, cliiemf1ih37qhh1wi1olk9ka, 9hxomhr5g6zy05ei4z4lhrklw, 9z7fz0c95ib7oniguzwbihs0k, aymd7oegdw0wsqbvfl7xrl0r8, 9owtf360wi6ky1cr4qwnnfk0k, 4vloworaa03y2m2cnzbsifk7o, 8l4bqb8gtyzqpx3pti200phqs, 8qdq9aaienjzfbfn61f77ov10'}, {'id': 5071736437, 'qualifierId': 130, 'value': '18'}, {'id': 5071736441, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071797767, 'qualifierId': 197, 'value': '15001'}, {'id': 5071736435, 'qualifierId': 59, 'value': '1, 62, 2, 14, 12, 4, 21, 23, 8, 70, 9, 13, 22, 66, 85, 87, 90, 93'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Team set up;;15001,0;;;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2695050535;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-06-08T00:36:57.775Z;2024-06-14T07:05:52Z;[{'id': 5071802187, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2695050521;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-08T00:36:57.775Z;2024-06-08T00:36:57Z;[{'id': 5071802143, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;db7l4ga6bx62m6cuxj4i31wk4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;New York City II;0;;
2695050549;3;1;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;50,0;50,1;2024-06-08T00:36:57.776Z;2024-06-08T00:37:01Z;[{'id': 5071802291, 'qualifierId': 213, 'value': '3.04'}, {'id': 5071802285, 'qualifierId': 140, 'value': '36.0'}, {'id': 5071802287, 'qualifierId': 141, 'value': '52.4'}, {'id': 5071802293, 'qualifierId': 279, 'value': 'S'}, {'id': 5071802283, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071802289, 'qualifierId': 212, 'value': '14.8'}];1874nj27f507jqja4e8zla1as;B. Destin;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;3,04;36,0;52,4;;;14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;36,0;52,4;;;;;;;0;0;0;0;New York City II;0;FW;1,0
2695050557;4;1;1;0;3;c7c4wwva2u1vb3rr7rwava044;1;35,8;52,0;2024-06-08T00:37:00.805Z;2024-06-08T01:34:48Z;[{'id': 5071802321, 'qualifierId': 141, 'value': '66.6'}, {'id': 5071802319, 'qualifierId': 140, 'value': '24.1'}, {'id': 5071802323, 'qualifierId': 212, 'value': '15.8'}, {'id': 5071802317, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071802325, 'qualifierId': 213, 'value': '2.46'}];7ve3vmg19c3g91j7zs32oecd0;R. Montenegro;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;2,46;24,1;66,6;;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;24,1;66,6;;;;;;;0;0;0;3;New York City II;3;DMC;1,0
2695050569;5;1;1;0;4;c7c4wwva2u1vb3rr7rwava044;1;24,7;66,2;2024-06-08T00:37:02.773Z;2024-06-08T00:37:07Z;[{'id': 5071802383, 'qualifierId': 141, 'value': '21.7'}, {'id': 5071802379, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071802391, 'qualifierId': 213, 'value': '4.63'}, {'id': 5071802387, 'qualifierId': 212, 'value': '30.4'}, {'id': 5071802381, 'qualifierId': 140, 'value': '22.2'}];cngjy2fgv7bd3262mp7onczkk;S. Garcia;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;4,63;22,2;21,7;;;30,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;22,2;21,7;;;;;;;0;0;0;4;New York City II;4;DC;1,0
2695050573;6;1;1;0;9;c7c4wwva2u1vb3rr7rwava044;0;21,5;21,5;2024-06-08T00:37:06.949Z;2024-06-08T01:35:03Z;[{'id': 5071802403, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071802411, 'qualifierId': 213, 'value': '0.20'}, {'id': 5071802409, 'qualifierId': 212, 'value': '7.1'}, {'id': 5071802405, 'qualifierId': 140, 'value': '28.1'}, {'id': 5071802407, 'qualifierId': 141, 'value': '23.6'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;0,2;28,1;23,6;;;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;28,1;23,6;;;;;;;0;0;0;9;New York City II;9;DC;1,0
2695975755;895;8;1;0;9;6ddsx316t3j0z6nolrky9k4r8;1;66,1;76,4;2024-06-08T00:37:07.026Z;2024-06-14T07:40:49Z;[{'id': 5076881927, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076881943, 'qualifierId': 383}];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;;db7l4ga6bx62m6cuxj4i31wk4;Interception;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;9;Inter Miami II;9;MC;1,0
2695050577;3;49;1;0;10;6ddsx316t3j0z6nolrky9k4r8;1;70,9;83,2;2024-06-08T00:37:08.535Z;2024-06-08T00:37:08Z;[];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;;db7l4ga6bx62m6cuxj4i31wk4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;10;Inter Miami II;10;MC;1,0
2695050593;4;1;1;0;13;6ddsx316t3j0z6nolrky9k4r8;1;75,6;91,4;2024-06-08T00:37:11.031Z;2024-06-08T00:37:14Z;[{'id': 5071802507, 'qualifierId': 140, 'value': '81.8'}, {'id': 5071802513, 'qualifierId': 213, 'value': '0.54'}, {'id': 5071802505, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802509, 'qualifierId': 141, 'value': '97.1'}, {'id': 5071802511, 'qualifierId': 212, 'value': '7.6'}];1kuo66geyyz9gu2n39w0bvr4k;J. Arroyave;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;0,54;81,8;97,1;;;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;81,8;97,1;;;;;;;0;0;0;13;Inter Miami II;13;MC;1,0
2695050599;5;1;1;0;16;6ddsx316t3j0z6nolrky9k4r8;1;81,6;97,1;2024-06-08T00:37:14.054Z;2024-06-08T00:37:16Z;[{'id': 5071802547, 'qualifierId': 212, 'value': '12.2'}, {'id': 5071802541, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802545, 'qualifierId': 141, 'value': '98.0'}, {'id': 5071802549, 'qualifierId': 213, 'value': '3.09'}, {'id': 5071802543, 'qualifierId': 140, 'value': '70.0'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;3,09;70,0;98,0;;;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;70,0;98,0;;;;;;;0;0;0;16;Inter Miami II;16;FWL;1,0
2695050611;6;1;1;0;19;6ddsx316t3j0z6nolrky9k4r8;1;69,7;98,0;2024-06-08T00:37:16.790Z;2024-06-08T00:37:21Z;[{'id': 5071802667, 'qualifierId': 212, 'value': '21.1'}, {'id': 5071802661, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802665, 'qualifierId': 141, 'value': '89.4'}, {'id': 5071802669, 'qualifierId': 213, 'value': '3.42'}, {'id': 5071802663, 'qualifierId': 140, 'value': '50.4'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;3,42;50,4;89,4;;;21,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;50,4;89,4;;;;;;;0;0;0;19;Inter Miami II;19;DC;1,0
2695050617;7;1;1;0;23;6ddsx316t3j0z6nolrky9k4r8;1;50,4;89,4;2024-06-08T00:37:21.134Z;2024-06-08T00:37:23Z;[{'id': 5071802707, 'qualifierId': 141, 'value': '95.0'}, {'id': 5071802703, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802709, 'qualifierId': 212, 'value': '12.8'}, {'id': 5071802705, 'qualifierId': 140, 'value': '62.0'}, {'id': 5071802711, 'qualifierId': 213, 'value': '0.30'}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;0,3;62,0;95,0;;;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;62,0;95,0;;;;;;;0;0;0;23;Inter Miami II;23;DC;1,0
2695050625;8;1;1;0;25;6ddsx316t3j0z6nolrky9k4r8;1;62,0;95,0;2024-06-08T00:37:23.086Z;2024-06-08T00:37:25Z;[{'id': 5071802785, 'qualifierId': 140, 'value': '70.1'}, {'id': 5071802787, 'qualifierId': 141, 'value': '91.7'}, {'id': 5071802791, 'qualifierId': 213, 'value': '6.03'}, {'id': 5071802783, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802789, 'qualifierId': 212, 'value': '8.8'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;6,03;70,1;91,7;;;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;70,1;91,7;;;;;;;0;0;0;25;Inter Miami II;25;DC;1,0
2695050631;9;1;1;0;27;6ddsx316t3j0z6nolrky9k4r8;0;70,1;91,7;2024-06-08T00:37:24.974Z;2024-06-08T00:37:26Z;[{'id': 5071802813, 'qualifierId': 141, 'value': '89.0'}, {'id': 5071802817, 'qualifierId': 213, 'value': '5.42'}, {'id': 5071802811, 'qualifierId': 140, 'value': '71.6'}, {'id': 5071802875, 'qualifierId': 286}, {'id': 5071802809, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071802871, 'qualifierId': 233, 'value': '7'}, {'id': 5071802815, 'qualifierId': 212, 'value': '2.4'}, {'id': 5071802869, 'qualifierId': 236}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;5,42;71,6;89,0;;;2,4;;1,0;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;71,6;89,0;;;;;;;0;0;0;27;Inter Miami II;27;FWL;1,0
2695050637;7;74;1;0;27;c7c4wwva2u1vb3rr7rwava044;1;24,9;9,4;2024-06-08T00:37:24.975Z;2024-06-08T01:39:21Z;[{'id': 5071802863, 'qualifierId': 285}, {'id': 5071802889, 'qualifierId': 233, 'value': '9'}, {'id': 5071802861, 'qualifierId': 56, 'value': 'Back'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;db7l4ga6bx62m6cuxj4i31wk4;Blocked Pass;;;;;;;;;;;;;;;;;;9,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;27;New York City II;27;DC;1,0
2695975763;838;49;1;0;27;c7c4wwva2u1vb3rr7rwava044;1;30,7;11,0;2024-06-08T00:37:25.026Z;2024-06-14T07:43:33Z;[];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;db7l4ga6bx62m6cuxj4i31wk4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;27;New York City II;27;DC;1,0
2695061101;361;1;1;0;28;c7c4wwva2u1vb3rr7rwava044;1;34,4;11,1;2024-06-08T00:37:25.775Z;2024-06-08T01:36:07Z;[{'id': 5071862785, 'qualifierId': 213, 'value': '1.31'}, {'id': 5071862777, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071862783, 'qualifierId': 212, 'value': '7.0'}, {'id': 5071862779, 'qualifierId': 140, 'value': '36.1'}, {'id': 5071862781, 'qualifierId': 141, 'value': '21.0'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;1,31;36,1;21,0;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;36,1;21,0;;;;;;;0;0;0;28;New York City II;28;DC;1,0
2695050673;9;43;1;0;29;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-08T00:37:27.149Z;2024-06-14T07:43:17Z;[{'id': 5076882059, 'qualifierId': 144, 'value': '49'}];cjjvy22j5q0piz5omn2tf18us;Pep Casas;;;db7l4ga6bx62m6cuxj4i31wk4;Deleted event;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;29;New York City II;29;AMC;1,0
2695050669;8;1;1;0;30;c7c4wwva2u1vb3rr7rwava044;1;32,5;16,1;2024-06-08T00:37:28.029Z;2024-06-08T01:35:57Z;[{'id': 5071803055, 'qualifierId': 140, 'value': '38.3'}, {'id': 5071803059, 'qualifierId': 212, 'value': '9.6'}, {'id': 5071803061, 'qualifierId': 213, 'value': '5.40'}, {'id': 5071803053, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071803057, 'qualifierId': 141, 'value': '5.1'}];cjjvy22j5q0piz5omn2tf18us;Pep Casas;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;5,4;38,3;5,1;;;9,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;38,3;5,1;;;;;;;0;0;0;30;New York City II;30;AMC;1,0
2695050693;10;1;1;0;32;c7c4wwva2u1vb3rr7rwava044;0;36,3;6,0;2024-06-08T00:37:30.421Z;2024-06-08T01:36:30Z;[{'id': 5071803185, 'qualifierId': 56, 'value': 'Right'}, {'id': 5071803187, 'qualifierId': 140, 'value': '62.5'}, {'id': 5071803191, 'qualifierId': 212, 'value': '27.9'}, {'id': 5071803183, 'qualifierId': 155}, {'id': 5071803189, 'qualifierId': 141, 'value': '0.0'}, {'id': 5071803193, 'qualifierId': 213, 'value': '6.11'}];40za2m92ngp5og8pxyrkxl3is;I. Boatwright;;;db7l4ga6bx62m6cuxj4i31wk4;Pass;;;;;;;;;;6,11;62,5;0,0;;;27,9;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;62,5;0,0;;;;;;;0;0;0;32;New York City II;32;DMR;1,0
2695050713;10;5;1;0;33;6ddsx316t3j0z6nolrky9k4r8;1;43,9;101,3;2024-06-08T00:37:31.043Z;2024-06-08T01:31:57Z;[{'id': 5071803283, 'qualifierId': 347}, {'id': 5071803295, 'qualifierId': 233, 'value': '11'}, {'id': 5071803281, 'qualifierId': 56, 'value': 'Back'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;db7l4ga6bx62m6cuxj4i31wk4;Out;;;;;;;;;;;;;;;;;;11,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;33;Inter Miami II;33;FWL;1,0
2695050707;11;5;1;0;33;c7c4wwva2u1vb3rr7rwava044;0;56,1;-1,3;2024-06-08T00:37:31.043Z;2024-06-08T00:46:34Z;[{'id': 5071803301, 'qualifierId': 233, 'value': '10'}, {'id': 5071803239, 'qualifierId': 56, 'value': 'Right'}, {'id': 5071803241, 'qualifierId': 347}];40za2m92ngp5og8pxyrkxl3is;I. Boatwright;;;db7l4ga6bx62m6cuxj4i31wk4;Out;;;;;;;;;;;;;;;;;;10,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;33;New York City II;33;DMR;1,0
