id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_JerseyNumber;value_TeamKit;value_Captain;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_Chipped;value_HeadPass;value_TakeOnSpace;value_Offensive;value_OppositeRelatedEventId;value_TouchTypeControl;value_Defensive;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_OtherObstacle;value_DeletedEventType;value_RefereeDelay;value_OtherReason;value_RelatedEventId;value_BallHitsReferee;value_Head;value_Shove/Push;value_Foul;value_Direct;value_BlockedPass;value_ShirtPull/Holding;value_OutOfPlay;value_TouchTypePass;value_LayOff;value_Assist;value_RegularPlay;value_Assisted;value_GkY;value_IndividualPlay;value_RightFooted;value_BoxLeft;value_GoalmouthZ;value_CloseRight;value_GoalmouthY;value_GkX;value_NextEventGoalKick;value_GoalKick;value_NotVisible;value_Low;value_Left;value_Right;value_LeftFooted;value_CornerTaken;value_Cross;value_InSwinger;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_AttemptedTackle;value_BlockedX;value_LowCentre;value_OutOfBoxDeepRight;value_BlockedY;value_SetPiece;value_Stooping;value_LowGkIntervention;value_Collected;value_Hands;value_FlickOn;value_IntentionalAssist;value_Blocked;value_FirstTouch;value_BoxCentre;value_DefBlock;value_ThroughBall;value_PullBack;value_BlockedClearance;value_NotAssisted;value_High;value_RecklessOffence;value_YellowCard;value_LowRight;value_Volley;value_OutOfBoxCentre;value_SwitchOfPlay;value_Defensive1V1;value_OutSwinger;value_Unchallenged;value_ParriedSafe;value_Diving;value_BoxRight;value_BlockedCross;value_NotPastGoalLine;value_Minutes;value_MediumGkIntervention;value_OverArm;value_EndType;value_HighRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_CloseHigh;value_OverhitCross;value_LowLeft;value_FreeKick;value_ByWall;value_Overrun;value_HighCentre;value_BoxDeepLeft;value_Reaching;value_LeadingToAttempt;value_RelatedError1Id;value_BigChance;value_Sliding;value_Feet;value_FromCorner;value_Injury;value_InjuredPlayerId;value_TempMissNotPassedGoalLine;value_Standing;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Tactical;value_BoxDeepRight;value_HighLeft;value_FastBreak;value_SmallBoxLeft;value_MisHit;value_Handball;value_GkKickFromHands;value_SixYardBlocked;value_ParriedDanger;value_SmallBoxCentre;value_AerialFoul;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Saved;value_HitRightPost;value_HitWoodwork;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713714715;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-25T22:00:07.235Z;2024-08-26T01:22:30Z;[{'id': 5174777211, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174777209, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5174777207, 'qualifierId': 130, 'value': '17'}, {'id': 5174777205, 'qualifierId': 59, 'value': '90, 46, 54, 51, 95, 83, 59, 48, 92, 52, 49, 43, 44, 80, 97, 55, 56'}, {'id': 5174914649, 'qualifierId': 197, 'value': '3365'}, {'id': 5175256337, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 5174777203, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5174777201, 'qualifierId': 30, 'value': '5f17sgbv50uijg07qvpnejk0k, 3jw4ui4rr60p2jb2rt9hhoetw, 249t35evpr3aasx0uczjs2j9w, bsufynk2wfvpz40nrndah1kb8, 4y4mypo5jyzbp0dtvm6y7ajxm, 3yk1gwm7jptmbal0vcwr24is4, bhzjqo4qidpkmh7lqqir9h4ic, 8hf35b309tq3wuc59xgshmbro, dvk85r457e15hg0pw5rig0222, 84wint64ygxx3pi5fz3mr12j8, 4lyhopb6ddaz08hd5tu2pos9g, bh7fb8v7o5wynmapdhlth594a, 5n7a8mn92t3qajms7udeolmok, 4bae1ou2jd8xlsj7vmf9hb2fo, 9b02cix263jvavj538nkj3m6s, 1ksu0c3adavx1gqbrhalfpatw, 57yplpr6jgwlqoon231ydqp04'}];;;;;ewkvsw8xdmg2zi5guzi002o0k;Team set up;;;17,0;;3365,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2713718781;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-25T22:09:12.046Z;2024-08-26T00:57:26Z;[{'id': 5174802015, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174802017, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174802011, 'qualifierId': 59, 'value': '51, 65, 42, 66, 43, 44, 40, 46, 39, 77, 91, 70, 49, 81, 56, 60, 73, 41'}, {'id': 5174802013, 'qualifierId': 130, 'value': '4'}, {'id': 5174802009, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5175205587, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5174802007, 'qualifierId': 30, 'value': '7ruu7rxicp3r2ftyg50cf3dhw, e2912gyiutvn3aky0z9ijz384, m8clu51iu7443ig9q6vn6fbo, a55do2tx3wz5tsboyf355aiok, do2o6ka25talswmmillufejqi, 7s32iecltoopsjddclg0ixzx0, ajxa2yfzwct5nd0ded1sa9vmy, d1w4zs63sx3cc7wnc8wshbfv8, 3v3b0z3d5czty8zcxrhy5uyac, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, 6mm2h3x9hmyea3bu2wt80uo7o, cuxpxs76g96vwhrnhw9rw2ihg, 3fbekr02uy605ppv5pzw9321g, m4w1lmkfi8siwrxs9ny5ihhw, eu6pktmlz3r7qlbwoodmlgdn8, 4x8eu2y112ini9hx6b72bh46i, eafz4beyrnzjgzc46bgfxnehg'}, {'id': 5174913937, 'qualifierId': 197, 'value': '23554'}];;;;;ewkvsw8xdmg2zi5guzi002o0k;Team set up;;;4,0;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2713738879;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-25T23:04:55.809Z;2024-08-30T08:24:47Z;[{'id': 5174915801, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ewkvsw8xdmg2zi5guzi002o0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2713738873;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-25T23:04:55.809Z;2024-08-25T23:04:55Z;[{'id': 5174915781, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ewkvsw8xdmg2zi5guzi002o0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2713738921;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;49,8;50,1;2024-08-25T23:04:55.810Z;2024-08-25T23:05:01Z;[{'id': 5174916019, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174916027, 'qualifierId': 213, 'value': '3.13'}, {'id': 5174916029, 'qualifierId': 279, 'value': 'S'}, {'id': 5174916025, 'qualifierId': 212, 'value': '15.1'}, {'id': 5174916023, 'qualifierId': 141, 'value': '50.3'}, {'id': 5174916021, 'qualifierId': 140, 'value': '35.4'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;3,13;;15,1;50,3;35,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;35,4;50,3;;;;;;;;0;0;0;Vancouver Whitecaps II;0;FW;1,0
2713738949;4;1;1;0;5;6gaq85erpkvbyxvivd96wuw44;0;25,4;39,7;2024-08-25T23:05:01.258Z;2024-08-30T08:38:57Z;[{'id': 5181377615, 'qualifierId': 157}, {'id': 5174916159, 'qualifierId': 212, 'value': '51.6'}, {'id': 5174916161, 'qualifierId': 213, 'value': '6.07'}, {'id': 5174916157, 'qualifierId': 141, 'value': '23.4'}, {'id': 5174916155, 'qualifierId': 140, 'value': '73.4'}, {'id': 5174916163, 'qualifierId': 1}, {'id': 5174916153, 'qualifierId': 56, 'value': 'Center'}];a55do2tx3wz5tsboyf355aiok;B. Moyado;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;6,07;;51,6;23,4;73,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;73,4;23,4;;;;;;;;0;0;5;Vancouver Whitecaps II;5;MC;1,0
2713738955;3;49;1;0;8;eo64tqkioegeb09iice2hf8bt;1;25,0;81,8;2024-08-25T23:05:04.463Z;2024-08-25T23:05:04Z;[];bsufynk2wfvpz40nrndah1kb8;D. Saidykhan;;;ewkvsw8xdmg2zi5guzi002o0k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;8;Los Angeles II;8;DC;1,0
2713739029;4;1;1;0;9;eo64tqkioegeb09iice2hf8bt;1;23,5;82,3;2024-08-25T23:05:05.168Z;2024-08-25T23:05:11Z;[{'id': 5174916663, 'qualifierId': 212, 'value': '20.8'}, {'id': 5174916665, 'qualifierId': 213, 'value': '3.87'}, {'id': 5174916661, 'qualifierId': 141, 'value': '61.9'}, {'id': 5174916659, 'qualifierId': 140, 'value': '8.8'}, {'id': 5174916657, 'qualifierId': 56, 'value': 'Back'}];bsufynk2wfvpz40nrndah1kb8;D. Saidykhan;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;3,87;;20,8;61,9;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;8,8;61,9;;;;;;;;0;0;9;Los Angeles II;9;DC;1,0
2713739065;5;1;1;0;15;eo64tqkioegeb09iice2hf8bt;1;8,1;54,8;2024-08-25T23:05:11.623Z;2024-08-25T23:05:15Z;[{'id': 5174916899, 'qualifierId': 140, 'value': '9.1'}, {'id': 5174916897, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174916903, 'qualifierId': 212, 'value': '11.0'}, {'id': 5174916905, 'qualifierId': 213, 'value': '4.81'}, {'id': 5174916901, 'qualifierId': 141, 'value': '38.7'}];5f17sgbv50uijg07qvpnejk0k;A. Milosevic;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;4,81;;11,0;38,7;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;9,1;38,7;;;;;;;;0;0;15;Los Angeles II;15;GK;1,0
2713739089;6;1;1;0;19;eo64tqkioegeb09iice2hf8bt;1;11,1;35,8;2024-08-25T23:05:15.246Z;2024-08-25T23:05:17Z;[{'id': 5174916981, 'qualifierId': 141, 'value': '12.4'}, {'id': 5174916977, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174916979, 'qualifierId': 140, 'value': '26.8'}, {'id': 5174916985, 'qualifierId': 213, 'value': '5.52'}, {'id': 5174916983, 'qualifierId': 212, 'value': '22.9'}];3yk1gwm7jptmbal0vcwr24is4;F. Linder;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;5,52;;22,9;12,4;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;26,8;12,4;;;;;;;;0;0;19;Los Angeles II;19;DC;1,0
2713739101;7;1;1;0;21;eo64tqkioegeb09iice2hf8bt;0;26,8;12,4;2024-08-25T23:05:17.262Z;2024-08-25T23:05:18Z;[{'id': 5174917061, 'qualifierId': 213, 'value': '0.66'}, {'id': 5174917057, 'qualifierId': 141, 'value': '23.7'}, {'id': 5174917059, 'qualifierId': 212, 'value': '12.5'}, {'id': 5174917055, 'qualifierId': 140, 'value': '36.2'}, {'id': 5174917063, 'qualifierId': 1}, {'id': 5174917051, 'qualifierId': 157}, {'id': 5174917053, 'qualifierId': 56, 'value': 'Back'}];3jw4ui4rr60p2jb2rt9hhoetw;D. Ilić;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;0,66;;12,5;23,7;36,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;36,2;23,7;;;;;;;;0;0;21;Los Angeles II;21;DMR;1,0
2713739119;5;49;1;0;23;6gaq85erpkvbyxvivd96wuw44;1;61,3;79,9;2024-08-25T23:05:19.788Z;2024-08-25T23:05:19Z;[];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;ewkvsw8xdmg2zi5guzi002o0k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;23;Vancouver Whitecaps II;23;MC;1,0
2713739137;6;1;1;0;24;6gaq85erpkvbyxvivd96wuw44;1;61,0;79,7;2024-08-25T23:05:20.484Z;2024-08-25T23:05:23Z;[{'id': 5174917281, 'qualifierId': 140, 'value': '57.0'}, {'id': 5174917283, 'qualifierId': 141, 'value': '63.0'}, {'id': 5174917279, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174917285, 'qualifierId': 212, 'value': '12.1'}, {'id': 5174917287, 'qualifierId': 213, 'value': '4.36'}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;4,36;;12,1;63,0;57,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;57,0;63,0;;;;;;;;0;0;24;Vancouver Whitecaps II;24;MC;1,0
2713739159;7;1;1;0;27;6gaq85erpkvbyxvivd96wuw44;1;57,0;69,7;2024-08-25T23:05:23.580Z;2024-08-25T23:05:26Z;[{'id': 5174917413, 'qualifierId': 213, 'value': '1.05'}, {'id': 5174917409, 'qualifierId': 141, 'value': '95.6'}, {'id': 5174917407, 'qualifierId': 140, 'value': '66.6'}, {'id': 5174917405, 'qualifierId': 56, 'value': 'Left'}, {'id': 5174917411, 'qualifierId': 212, 'value': '20.3'}];a55do2tx3wz5tsboyf355aiok;B. Moyado;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;1,05;;20,3;95,6;66,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;66,6;95,6;;;;;;;;0;0;27;Vancouver Whitecaps II;27;MC;1,0
2713739189;8;1;1;0;30;6gaq85erpkvbyxvivd96wuw44;1;66,2;94,2;2024-08-25T23:05:25.972Z;2024-08-25T23:05:29Z;[{'id': 5174917571, 'qualifierId': 212, 'value': '14.6'}, {'id': 5174917565, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174917573, 'qualifierId': 213, 'value': '4.09'}, {'id': 5174917567, 'qualifierId': 140, 'value': '58.1'}, {'id': 5174917569, 'qualifierId': 141, 'value': '76.7'}];17ni4ntnt7b6b0bwst3e4djze;L. Müller;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;4,09;;14,6;76,7;58,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;58,1;76,7;;;;;;;;0;0;30;Vancouver Whitecaps II;30;FWL;1,0
2713739201;9;1;1;0;33;6gaq85erpkvbyxvivd96wuw44;0;57,1;72,6;2024-08-25T23:05:29.044Z;2024-08-25T23:05:31Z;[{'id': 5174917675, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174917685, 'qualifierId': 1}, {'id': 5174917681, 'qualifierId': 212, 'value': '40.6'}, {'id': 5174917677, 'qualifierId': 140, 'value': '85.3'}, {'id': 5174917679, 'qualifierId': 141, 'value': '31.8'}, {'id': 5174917673, 'qualifierId': 155}, {'id': 5174917683, 'qualifierId': 213, 'value': '5.53'}];a55do2tx3wz5tsboyf355aiok;B. Moyado;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;5,53;;40,6;31,8;85,3;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;85,3;31,8;;;;;;;;0;0;33;Vancouver Whitecaps II;33;MC;1,0
2713739233;8;1;1;0;36;eo64tqkioegeb09iice2hf8bt;1;12,7;74,4;2024-08-25T23:05:31.950Z;2024-08-25T23:05:35Z;[{'id': 5174917857, 'qualifierId': 213, 'value': '0.30'}, {'id': 5174917855, 'qualifierId': 212, 'value': '17.9'}, {'id': 5174917847, 'qualifierId': 3}, {'id': 5174917849, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174917853, 'qualifierId': 141, 'value': '82.3'}, {'id': 5174917851, 'qualifierId': 140, 'value': '29.0'}];249t35evpr3aasx0uczjs2j9w;M. Gherasimencov;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;0,3;;17,9;82,3;29,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;29,0;82,3;;;;;;;;0;0;36;Los Angeles II;36;DML;1,0
2713739237;9;49;1;0;39;eo64tqkioegeb09iice2hf8bt;1;29,4;83,5;2024-08-25T23:05:34.982Z;2024-08-30T08:40:50Z;[];4lyhopb6ddaz08hd5tu2pos9g;M. Mehri;;;ewkvsw8xdmg2zi5guzi002o0k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;39;Los Angeles II;39;FW;1,0
2713739247;10;1;1;0;39;eo64tqkioegeb09iice2hf8bt;1;29,5;83,6;2024-08-25T23:05:35.471Z;2024-08-30T08:40:53Z;[{'id': 5174917931, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174917933, 'qualifierId': 140, 'value': '36.9'}, {'id': 5174917935, 'qualifierId': 141, 'value': '93.5'}, {'id': 5174917939, 'qualifierId': 213, 'value': '0.71'}, {'id': 5174917937, 'qualifierId': 212, 'value': '10.3'}];4lyhopb6ddaz08hd5tu2pos9g;M. Mehri;;;ewkvsw8xdmg2zi5guzi002o0k;Pass;;;;;;;;;;;0,71;;10,3;93,5;36,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;36,9;93,5;;;;;;;;0;0;39;Los Angeles II;39;FW;1,0
2713739253;11;3;1;0;40;eo64tqkioegeb09iice2hf8bt;0;39,8;93,1;2024-08-25T23:05:36.786Z;2024-08-30T08:40:00Z;[{'id': 5181377851, 'qualifierId': 464}, {'id': 5174917949, 'qualifierId': 286}, {'id': 5174917947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174917979, 'qualifierId': 233, 'value': '10'}];dvk85r457e15hg0pw5rig0222;J. Herdman;;;ewkvsw8xdmg2zi5guzi002o0k;Take On;;;;;;;;;;;;;;;;;;;;1,0;1,0;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;40;Los Angeles II;40;AMC;1,0
2713739249;10;7;1;0;40;6gaq85erpkvbyxvivd96wuw44;1;60,2;6,9;2024-08-25T23:05:36.787Z;2024-08-30T08:40:03Z;[{'id': 5174917969, 'qualifierId': 233, 'value': '11'}, {'id': 5174917943, 'qualifierId': 56, 'value': 'Right'}, {'id': 5181377853, 'qualifierId': 383}, {'id': 5174917945, 'qualifierId': 285}];e2912gyiutvn3aky0z9ijz384;A. Sanders;;;ewkvsw8xdmg2zi5guzi002o0k;Tackle;;;;;;;;;;;;;;;;;;;;;;11,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;40;Vancouver Whitecaps II;40;DR;1,0
2713739251;11;49;1;0;41;6gaq85erpkvbyxvivd96wuw44;1;59,3;8,2;2024-08-25T23:05:37.718Z;2024-08-25T23:05:38Z;[];e2912gyiutvn3aky0z9ijz384;A. Sanders;;;ewkvsw8xdmg2zi5guzi002o0k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;41;Vancouver Whitecaps II;41;DR;1,0
