id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_PlayerPosition;value_Involved;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_KickOff;value_Angle;value_Length;value_Zone;value_PassEndY;value_PassEndX;value_LongBall;value_Chipped;value_IntendedTackleTarget;value_OppositeRelatedEventId;value_TakeOnSpace;value_Defensive;value_Offensive;value_Head;value_TouchTypeControl;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_Assist;value_RegularPlay;value_IntentionalAssist;value_RightFooted;value_GoalShotGameClock;value_LowLeft;value_IndividualPlay;value_GkX;value_GoalmouthZ;value_GoalmouthY;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_Assisted;value_BoxRight;value_GkYTimeOfGoal;value_GkY;value_RelatedEventId;value_OutOfPlay;value_TouchTypeClearance;value_BlockedY;value_LeftFooted;value_BoxLeft;value_BlockedX;value_ParriedSafe;value_LowGkIntervention;value_Sliding;value_Feet;value_Left;value_InSwinger;value_CornerTaken;value_Cross;value_OutSwinger;value_HeadPass;value_BlockedPass;value_Launch;value_BlockedCross;value_Right;value_Overrun;value_TakeOnOvertake;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_LayOff;value_Blocked;value_DefBlock;value_LowCentre;value_NotAssisted;value_BoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_ThroughBall;value_FirstTouch;value_MisHit;value_KeeperThrow;value_Shove/Push;value_High;value_FromCorner;value_CloseRight;value_HighRight;value_FastBreak;value_PullBack;value_Volley;value_HighCentre;value_HitWoodwork;value_HitBar;value_HighGkIntervention;value_Hands;value_Diving;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_DrivenCross;value_Straight;value_YellowCard;value_RecklessOffence;value_LowRight;value_OutOfBoxCentre;value_SetPiece;value_CloseRightAndHigh;value_OutOfBoxLeft;value_FreeKick;value_BigChance;value_ShirtPull/Holding;value_ParriedDanger;value_Stooping;value_CloseHigh;value_Minutes;value_CloseLeft;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_SwitchOfPlay;value_OwnPlayer;value_OwnShotBlocked;value_HighLeft;value_OverhitCross;value_MediumGkIntervention;value_Deflection;value_Collected;value_Standing;value_Injury;value_InjuredPlayerId;value_ProfessionalFoulLastMan;value_RedCard;value_ByWall;value_CaptainChange;value_Argument;value_SecondYellow;value_HighClaim;value_GkKickFromHands;value_Weak;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Saved;value_Scored;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2715882113;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-31T21:26:36.517Z;2024-08-31T22:03:48Z;[{'id': 5186696653, 'qualifierId': 59, 'value': '70, 56, 54, 66, 43, 41, 37, 45, 48, 55, 35, 80, 67, 50, 52, 44, 53, 46, 61, 73'}, {'id': 5186805397, 'qualifierId': 197, 'value': '24041'}, {'id': 5186696657, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5186696659, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5186696651, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5186696649, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 710y645hepag4if4rm3gggjdg, 9vc2mynd9lg2oyt14n4e7a44q, 4ycsifqidpgttuanylwsyts7o, 5d341k1dxhlbetyh965z3q784, 84oe7sbhy91b5xvbo2w28i7f8, 38p90lsdc5iv1jvjbhiinv6ne, afdz1ibldn2vc8gtezyw8tqay, b1p6qcv8wjzoxoax3nt13n5gq, 79knhnp7bvpjomzz14k715wtm, 64wbk2nsrs0ru0hjcq0lenwgk, 4uybjezp5gdqpvkwp8qsdxrf8, 1x9uiwhoqu3qumt0urv5trlec, 2atsox1bassuexlgta8h3us4p, 6n55m4ykhmk5eqx0ymc2ufz84, 6n0x8t513vmsmgfasovvoj7u2, 4agnpztnedb7ql14bo477vspg, 2buy6q56o0ixo30fatz7ps9w4, eb1bh0esx3nfsaxq4xx9zj7ys, cmwt0ezk7xwvni92pnkhgi0b8'}, {'id': 5186696655, 'qualifierId': 130, 'value': '2'}, {'id': 5186805395, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}];;;;;ezmpkwr3ho4lf1c0zk3tezehg;Team set up;;24041,0;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New England II;0;;
2715884859;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-08-31T21:31:12.907Z;2024-08-31T22:03:52Z;[{'id': 5186805581, 'qualifierId': 197, 'value': '18745'}, {'id': 5186711397, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5186711387, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5186711393, 'qualifierId': 130, 'value': '4'}, {'id': 5186711395, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5186774351, 'qualifierId': 194, 'value': 'dc8u2bssrhxycx8vtn0kutp4a'}, {'id': 5186711385, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dc8u2bssrhxycx8vtn0kutp4a, bzv3yqbc7ttf7fftbm2nelxck, akwjik09wytzzr3yras0diqz8, 9a5pacvk3wisje1491zslwkr8, 357vd87hv0jvljqtt2qf4vmz8, 5adul4r3hifu5x4tv8efr05ey, et772m1f5cqceeffckpnty1p0, 69ypla76c710iv0yegix1maz8, anysxg2z6niqapc5m3f4tzims, 6han4f5xq1d0ii0ol2drgi4bu, 51y94mgf4wxkk5f4tysztc60a, 97kzr8rgekycws02q55a63z3e, 6j4ibkpbos6w5ikle58u2vo, c8wq3ofarkeeisqr49fhrvwno, dbyiafdyf93b8rtpceqitgopg, bnspew1iw2jxr1s3a5oubp4ic, c1z6mxuhvuegd4c5b3hau93ze, 2y1xy5yfy4ky4wpxplihk6xas'}, {'id': 5186711389, 'qualifierId': 59, 'value': '73, 41, 32, 23, 88, 43, 13, 31, 39, 16, 11, 29, 33, 27, 35, 30, 45, 42, 69'}];;;;;ezmpkwr3ho4lf1c0zk3tezehg;Team set up;;18745,0;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2715901993;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-31T22:04:10.795Z;2024-08-31T22:04:10Z;[{'id': 5186806295, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ezmpkwr3ho4lf1c0zk3tezehg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New England II;0;;
2715901997;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-08-31T22:04:10.795Z;2024-09-03T06:12:30Z;[{'id': 5186806307, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ezmpkwr3ho4lf1c0zk3tezehg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2715902013;3;1;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;49,9;50,2;2024-08-31T22:04:10.796Z;2024-08-31T22:04:15Z;[{'id': 5186806403, 'qualifierId': 279, 'value': 'S'}, {'id': 5186806401, 'qualifierId': 213, 'value': '2.97'}, {'id': 5186806399, 'qualifierId': 212, 'value': '21.1'}, {'id': 5186806393, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186806397, 'qualifierId': 141, 'value': '55.6'}, {'id': 5186806395, 'qualifierId': 140, 'value': '30.1'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;2,97;21,1;;55,6;30,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;30,1;55,6;;;;;;;;0;0;0;Chicago Fire II;0;FW;1,0
2715902031;4;1;1;0;3;csntc7hucmo21gknxc5y0kc4q;1;30,2;57,1;2024-08-31T22:04:14.307Z;2024-08-31T22:04:18Z;[{'id': 5186806529, 'qualifierId': 213, 'value': '1.11'}, {'id': 5186806521, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186806523, 'qualifierId': 140, 'value': '37.6'}, {'id': 5186806527, 'qualifierId': 212, 'value': '17.6'}, {'id': 5186806525, 'qualifierId': 141, 'value': '80.4'}];5adul4r3hifu5x4tv8efr05ey;Maciel;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;1,11;17,6;;80,4;37,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;37,6;80,4;;;;;;;;0;0;3;Chicago Fire II;3;MC;1,0
2715902047;5;1;1;0;7;csntc7hucmo21gknxc5y0kc4q;1;40,8;85,6;2024-08-31T22:04:18.466Z;2024-08-31T22:04:22Z;[{'id': 5186806611, 'qualifierId': 140, 'value': '51.9'}, {'id': 5186806609, 'qualifierId': 56, 'value': 'Left'}, {'id': 5186806615, 'qualifierId': 212, 'value': '12.4'}, {'id': 5186806613, 'qualifierId': 141, 'value': '92.0'}, {'id': 5186806617, 'qualifierId': 213, 'value': '0.36'}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;0,36;12,4;;92,0;51,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;51,9;92,0;;;;;;;;0;0;7;Chicago Fire II;7;DC;1,0
2715902073;6;1;1;0;11;csntc7hucmo21gknxc5y0kc4q;1;51,9;92,0;2024-08-31T22:04:21.938Z;2024-08-31T22:04:24Z;[{'id': 5186806755, 'qualifierId': 141, 'value': '95.6'}, {'id': 5186806757, 'qualifierId': 212, 'value': '16.8'}, {'id': 5186806753, 'qualifierId': 140, 'value': '36.1'}, {'id': 5186806751, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186806759, 'qualifierId': 213, 'value': '3.00'}];6han4f5xq1d0ii0ol2drgi4bu;G. Diarbian;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;3,0;16,8;;95,6;36,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;36,1;95,6;;;;;;;;0;0;11;Chicago Fire II;11;FWL;1,0
2715902097;7;1;1;0;13;csntc7hucmo21gknxc5y0kc4q;1;36,1;95,6;2024-08-31T22:04:24.787Z;2024-09-03T06:13:17Z;[{'id': 5186806929, 'qualifierId': 140, 'value': '73.6'}, {'id': 5186806937, 'qualifierId': 1}, {'id': 5186806933, 'qualifierId': 212, 'value': '39.6'}, {'id': 5194000983, 'qualifierId': 155}, {'id': 5186806935, 'qualifierId': 213, 'value': '6.18'}, {'id': 5186806931, 'qualifierId': 141, 'value': '89.8'}, {'id': 5186806927, 'qualifierId': 56, 'value': 'Left'}];357vd87hv0jvljqtt2qf4vmz8;S. Suárez;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;6,18;39,6;;89,8;73,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;73,6;89,8;;;;;;;;0;0;13;Chicago Fire II;13;DC;1,0
2715902099;8;61;1;0;18;csntc7hucmo21gknxc5y0kc4q;0;73,9;91,9;2024-08-31T22:04:29.379Z;2024-08-31T22:04:29Z;[{'id': 5186806941, 'qualifierId': 56, 'value': 'Left'}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;ezmpkwr3ho4lf1c0zk3tezehg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;18;Chicago Fire II;18;DC;1,0
2715902113;3;1;1;0;19;8o8m08he36u0j4w08aj2iodn8;1;26,5;4,7;2024-08-31T22:04:30.457Z;2024-08-31T22:57:49Z;[{'id': 5186806987, 'qualifierId': 140, 'value': '32.2'}, {'id': 5186806993, 'qualifierId': 213, 'value': '0.09'}, {'id': 5186806985, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186806991, 'qualifierId': 212, 'value': '6.0'}, {'id': 5186806989, 'qualifierId': 141, 'value': '5.5'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;0,09;6,0;;5,5;32,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;32,2;5,5;;;;;;;;0;0;19;New England II;19;DL;1,0
2715902115;4;49;1;0;21;8o8m08he36u0j4w08aj2iodn8;1;32,2;5,5;2024-08-31T22:04:32.341Z;2024-08-31T22:04:32Z;[];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;ezmpkwr3ho4lf1c0zk3tezehg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;21;New England II;21;MR;1,0
2715902127;5;1;1;0;22;8o8m08he36u0j4w08aj2iodn8;1;32,2;5,5;2024-08-31T22:04:33.654Z;2024-08-31T22:04:36Z;[{'id': 5186807067, 'qualifierId': 213, 'value': '1.69'}, {'id': 5186807063, 'qualifierId': 141, 'value': '16.8'}, {'id': 5186807059, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807065, 'qualifierId': 212, 'value': '7.7'}, {'id': 5186807061, 'qualifierId': 140, 'value': '31.3'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;1,69;7,7;;16,8;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;31,3;16,8;;;;;;;;0;0;22;New England II;22;MR;1,0
2717219717;875;83;1;0;24;csntc7hucmo21gknxc5y0kc4q;1;65,9;85,6;2024-08-31T22:04:35.487Z;2024-09-03T06:14:26Z;[{'id': 5194001333, 'qualifierId': 399, 'value': '4ycsifqidpgttuanylwsyts7o'}];akwjik09wytzzr3yras0diqz8;L. Borovic;;;ezmpkwr3ho4lf1c0zk3tezehg;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;24;Chicago Fire II;24;MC;1,0
2715902153;6;1;1;0;25;8o8m08he36u0j4w08aj2iodn8;1;28,7;6,5;2024-08-31T22:04:35.974Z;2024-08-31T22:04:39Z;[{'id': 5186807193, 'qualifierId': 140, 'value': '19.8'}, {'id': 5186807191, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807199, 'qualifierId': 213, 'value': '2.40'}, {'id': 5186807195, 'qualifierId': 141, 'value': '19.2'}, {'id': 5186807197, 'qualifierId': 212, 'value': '12.7'}];4ycsifqidpgttuanylwsyts7o;C. Nagle;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;2,4;12,7;;19,2;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;19,8;19,2;;;;;;;;0;0;25;New England II;25;MC;1,0
2715902165;7;1;1;0;28;8o8m08he36u0j4w08aj2iodn8;1;20,1;19,1;2024-08-31T22:04:39.269Z;2024-08-31T22:58:13Z;[{'id': 5186807245, 'qualifierId': 212, 'value': '9.7'}, {'id': 5186807241, 'qualifierId': 140, 'value': '29.3'}, {'id': 5186807239, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807247, 'qualifierId': 213, 'value': '0.11'}, {'id': 5186807243, 'qualifierId': 141, 'value': '20.7'}];710y645hepag4if4rm3gggjdg;B. Richards;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;0,11;9,7;;20,7;29,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;29,3;20,7;;;;;;;;0;0;28;New England II;28;DR;1,0
2715902169;8;3;1;0;29;8o8m08he36u0j4w08aj2iodn8;1;30,9;18,6;2024-08-31T22:04:40.659Z;2024-09-03T06:15:07Z;[{'id': 5186807261, 'qualifierId': 233, 'value': '9'}, {'id': 5186807253, 'qualifierId': 56, 'value': 'Back'}, {'id': 5194001649, 'qualifierId': 464}, {'id': 5186807255, 'qualifierId': 285}];4ycsifqidpgttuanylwsyts7o;C. Nagle;;;ezmpkwr3ho4lf1c0zk3tezehg;Take On;;;;;;;;;;;;;;;;;;;9,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;29;New England II;29;MC;1,0
2715902161;9;45;1;0;29;csntc7hucmo21gknxc5y0kc4q;0;69,1;81,4;2024-08-31T22:04:40.659Z;2024-09-01T00:05:53Z;[{'id': 5186807221, 'qualifierId': 56, 'value': 'Left'}, {'id': 5186807283, 'qualifierId': 233, 'value': '8'}, {'id': 5186807287, 'qualifierId': 286}];akwjik09wytzzr3yras0diqz8;L. Borovic;;;ezmpkwr3ho4lf1c0zk3tezehg;Challenge;;;;;;;;;;;;;;;;;;;8,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;29;Chicago Fire II;29;MC;1,0
2715902185;9;1;1;0;30;8o8m08he36u0j4w08aj2iodn8;0;29,4;22,7;2024-08-31T22:04:41.366Z;2024-08-31T22:04:42Z;[{'id': 5186807325, 'qualifierId': 212, 'value': '12.1'}, {'id': 5186807327, 'qualifierId': 213, 'value': '5.84'}, {'id': 5186807319, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807321, 'qualifierId': 140, 'value': '39.8'}, {'id': 5186807323, 'qualifierId': 141, 'value': '15.0'}];4ycsifqidpgttuanylwsyts7o;C. Nagle;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;5,84;12,1;;15,0;39,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;39,8;15,0;;;;;;;;0;0;30;New England II;30;MC;1,0
2715902201;10;1;1;0;32;csntc7hucmo21gknxc5y0kc4q;1;53,6;86,2;2024-08-31T22:04:43.474Z;2024-08-31T22:04:45Z;[{'id': 5186807419, 'qualifierId': 212, 'value': '5.6'}, {'id': 5186807415, 'qualifierId': 140, 'value': '54.3'}, {'id': 5186807421, 'qualifierId': 213, 'value': '4.84'}, {'id': 5186807413, 'qualifierId': 56, 'value': 'Center'}, {'id': 5186807417, 'qualifierId': 141, 'value': '78.0'}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;4,84;5,6;;78,0;54,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;54,3;78,0;;;;;;;;0;0;32;Chicago Fire II;32;DC;1,0
2715902203;11;49;1;0;34;csntc7hucmo21gknxc5y0kc4q;1;54,3;78,0;2024-08-31T22:04:45.138Z;2024-08-31T22:04:45Z;[];5adul4r3hifu5x4tv8efr05ey;Maciel;;;ezmpkwr3ho4lf1c0zk3tezehg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;34;Chicago Fire II;34;MC;1,0
2715902219;12;1;1;0;34;csntc7hucmo21gknxc5y0kc4q;1;54,3;78,0;2024-08-31T22:04:45.731Z;2024-08-31T22:04:47Z;[{'id': 5186807493, 'qualifierId': 141, 'value': '65.6'}, {'id': 5186807497, 'qualifierId': 213, 'value': '3.57'}, {'id': 5186807489, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807491, 'qualifierId': 140, 'value': '36.6'}, {'id': 5186807495, 'qualifierId': 212, 'value': '20.4'}];5adul4r3hifu5x4tv8efr05ey;Maciel;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;3,57;20,4;;65,6;36,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;36,6;65,6;;;;;;;;0;0;34;Chicago Fire II;34;MC;1,0
2715902233;13;1;1;0;36;csntc7hucmo21gknxc5y0kc4q;1;36,6;65,6;2024-08-31T22:04:47.618Z;2024-08-31T22:04:50Z;[{'id': 5186807545, 'qualifierId': 140, 'value': '39.2'}, {'id': 5186807547, 'qualifierId': 141, 'value': '93.5'}, {'id': 5186807543, 'qualifierId': 56, 'value': 'Back'}, {'id': 5186807549, 'qualifierId': 212, 'value': '19.2'}, {'id': 5186807551, 'qualifierId': 213, 'value': '1.43'}];9a5pacvk3wisje1491zslwkr8;S. Kinner;;;ezmpkwr3ho4lf1c0zk3tezehg;Pass;;;;;;;;;;;1,43;19,2;;93,5;39,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;39,2;93,5;;;;;;;;0;0;36;Chicago Fire II;36;DL;1,0
