id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_Captain;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Length;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_NotVisible;value_Launch;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Chipped;value_LayOff;value_Overrun;value_TakeOnOvertake;value_TouchTypeClearance;value_TouchTypePass;value_BlockedPass;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_IntendedTackleTarget;value_DeletedEventType;value_ShirtPull/Holding;value_OutOfPlay;value_Head;value_Cross;value_InSwinger;value_RightFooted;value_HighGkIntervention;value_KeeperThrow;value_TakeOnSpace;value_TouchTypeControl;value_Shove/Push;value_Defensive1V1;value_Assist;value_IntentionalAssist;value_Right;value_GoalmouthZ;value_BoxCentre;value_GkX;value_GkY;value_RegularPlay;value_RelatedEventId;value_FirstTouch;value_GoalmouthY;value_Assisted;value_NextEventGoalKick;value_High;value_GoalKick;value_LeftFooted;value_IndividualPlay;value_Left;value_35Centre;value_BlockedY;value_NotPastGoalLine;value_NotAssisted;value_BlockedX;value_OutSwinger;value_BlockedCross;value_CornerTaken;value_FromCorner;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BigChance;value_SmallBoxCentre;value_HighCentre;value_GoalShotTimestamp;value_YellowCard;value_TacticalFoul;value_SetPiece;value_LowLeft;value_Blocked;value_DefBlock;value_LowCentre;value_OutOfBoxCentre;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_LowRight;value_Review;value_ParriedSafe;value_Hands;value_Standing;value_SavedOffLine;value_1On1;value_Deflection;value_SixYardBlocked;value_LastLine;value_PlayersCaughtOffside;value_Indirect;value_BoxRight;value_Low;value_Diving;value_MediumGkIntervention;value_ParriedDanger;value_LowGkIntervention;value_OverArm;value_FreeKick;value_CloseHigh;value_FlickOn;value_ThroughBall;value_Minutes;value_EndType;value_Volley;value_Collected;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LeadingToAttempt;value_RelatedError1Id;value_Sliding;value_Feet;value_GkKickFromHands;value_GkHoof;value_Straight;value_DrivenCross;value_PullBack;value_CaptainChange;value_RecklessOffence;value_Handball;value_HighClaim;value_Stooping;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696254435;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-15T22:36:43.296Z;2024-06-16T00:38:00Z;[{'id': 5078406021, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5078444163, 'qualifierId': 197, 'value': '23613'}, {'id': 5078406027, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5078406019, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 1j1ybmazykfh5nqs7egkcdxck, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 7s32iecltoopsjddclg0ixzx0, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 1nbbgew67td8zayaffvr1zcb8, eehmjxbl4xwc3mz1geibnszkk, clvcgt5ofonse0q96sppu7hg4, w92nbx3n5ztvgmf89sdp95re, f3uzkdl46t1mujsddhr5tg07o, 4t078b0rnzmi8u83wzmdwze38, 11ppoeb5n4q657bwbg4cdxck, 1x89wne2srx1dupb7vt5gf3ai, 4n2c7qt6r6qqhzjs64nvytqs, 1irhjiafn9ushepjvevbkn6ui, 6le9ztbx7n6ogg6fdxmnrk9w4, 6qu8uu28fk2dbbeymuu6yii38'}, {'id': 5078406025, 'qualifierId': 130, 'value': '10'}, {'id': 5078607081, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5078406023, 'qualifierId': 59, 'value': '98, 14, 21, 4, 20, 44, 24, 10, 13, 9, 29, 5, 12, 17, 18, 23, 25, 28, 31, 99'}, {'id': 5078406029, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dgwk8czox7lnhew77jg6vt1xw;Team set up;;23613,0;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2696254859;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-15T22:39:54.502Z;2024-06-19T08:24:15Z;[{'id': 5081760695, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5078444379, 'qualifierId': 197, 'value': '23755'}, {'id': 5078408151, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5078408141, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, bpr7u1cp7bzt1w2t1tsmru73e, 39t59x9q2xumbn2hphk7urp7u, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, bfm4xr4ue74v0li53slarf9t6, 1ofx4ncf6w5twjbaam5w0mu7e, b94wogguhbhpo2mal3pfpo26s, 4uo9isxivewjrtdg9v7lku9zo, 5bgt61vb5lnzyoczqnr202lpm, b82dmhiv5rfrczfcx26cnvo16, 6hq9a0pz5ybc67wdttd54xvbp, 9asj8t10cvfumot9hr3dprsic, 8za8xvdiyduedk2i99bdqv4es, bu0qf3q6j69an4i0gz7xhqcd0, 6ihxsnp8rmyvu0xjm4oquxd04'}, {'id': 5078408147, 'qualifierId': 130, 'value': '10'}, {'id': 5078408143, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5078408145, 'qualifierId': 59, 'value': '25, 42, 43, 33, 38, 96, 41, 49, 46, 35, 37, 45, 30, 40, 44, 48, 52, 64'}, {'id': 5078408149, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;dgwk8czox7lnhew77jg6vt1xw;Team set up;;23755,0;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2696261361;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-15T23:35:19.856Z;2024-06-19T08:17:57Z;[{'id': 5078444811, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dgwk8czox7lnhew77jg6vt1xw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2696261357;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-15T23:35:19.856Z;2024-06-15T23:35:20Z;[{'id': 5078444805, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dgwk8czox7lnhew77jg6vt1xw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2696261373;3;1;1;0;1;bd0378yx50xpdcgwkt9p9bmz8;1;49,7;49,9;2024-06-15T23:35:20.857Z;2024-06-19T08:18:22Z;[{'id': 5078444893, 'qualifierId': 212, 'value': '23.3'}, {'id': 5078444887, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078444895, 'qualifierId': 213, 'value': '3.13'}, {'id': 5078444897, 'qualifierId': 279, 'value': 'S'}, {'id': 5078444889, 'qualifierId': 140, 'value': '27.5'}, {'id': 5078444891, 'qualifierId': 141, 'value': '50.4'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;23,3;;3,13;;27,5;50,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;27,5;50,4;;;;;;;0;0;0;1;Carolina Core;1;FW;1,0
2696261385;4;1;1;0;4;bd0378yx50xpdcgwkt9p9bmz8;1;27,0;49,1;2024-06-15T23:35:24.509Z;2024-06-15T23:35:38Z;[{'id': 5078445123, 'qualifierId': 189}, {'id': 5078444937, 'qualifierId': 157}, {'id': 5078444939, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078444949, 'qualifierId': 1}, {'id': 5078444945, 'qualifierId': 212, 'value': '51.7'}, {'id': 5078444943, 'qualifierId': 141, 'value': '6.5'}, {'id': 5078444947, 'qualifierId': 213, 'value': '5.69'}, {'id': 5078444941, 'qualifierId': 140, 'value': '67.8'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;51,7;;5,69;;67,8;6,5;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;67,8;6,5;;;;;;;0;0;0;4;Carolina Core;4;DC;1,0
2696261389;5;44;1;0;7;bd0378yx50xpdcgwkt9p9bmz8;1;64,0;6,6;2024-06-15T23:35:27.628Z;2024-06-15T23:55:58Z;[{'id': 5078444965, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078444967, 'qualifierId': 286}, {'id': 5078445001, 'qualifierId': 233, 'value': '3'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;dgwk8czox7lnhew77jg6vt1xw;Aerial;;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;7;Carolina Core;7;DR;1,0
2696261393;3;44;1;0;7;2nnef9tr9g7m2s6n873qif95g;0;36,0;93,4;2024-06-15T23:35:27.629Z;2024-06-16T00:24:10Z;[{'id': 5078444983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078444985, 'qualifierId': 285}, {'id': 5078445005, 'qualifierId': 233, 'value': '5'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;dgwk8czox7lnhew77jg6vt1xw;Aerial;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;7;Cincinnati II;7;DL;1,0
2696261391;6;1;1;0;8;bd0378yx50xpdcgwkt9p9bmz8;0;67,8;6,5;2024-06-15T23:35:28.444Z;2024-06-15T23:56:02Z;[{'id': 5078444981, 'qualifierId': 213, 'value': '2.08'}, {'id': 5078444977, 'qualifierId': 141, 'value': '13.4'}, {'id': 5078444971, 'qualifierId': 3}, {'id': 5078444979, 'qualifierId': 212, 'value': '5.4'}, {'id': 5078444973, 'qualifierId': 56, 'value': 'Right'}, {'id': 5078444975, 'qualifierId': 140, 'value': '65.3'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;5,4;;2,08;;65,3;13,4;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;65,3;13,4;;;;;;;0;0;0;8;Carolina Core;8;DR;1,0
2696284929;414;1;1;0;10;2nnef9tr9g7m2s6n873qif95g;0;36,4;87,1;2024-06-15T23:35:29.856Z;2024-06-16T00:24:18Z;[{'id': 5078581363, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078581365, 'qualifierId': 140, 'value': '36.1'}, {'id': 5078581371, 'qualifierId': 213, 'value': '1.82'}, {'id': 5078581369, 'qualifierId': 212, 'value': '1.3'}, {'id': 5078581367, 'qualifierId': 141, 'value': '88.9'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;1,3;;1,82;;36,1;88,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;36,1;88,9;;;;;;;0;0;0;10;Cincinnati II;10;MC;1,0
2696261403;7;61;1;0;11;bd0378yx50xpdcgwkt9p9bmz8;1;58,8;9,7;2024-06-15T23:35:30.957Z;2024-06-19T08:24:49Z;[{'id': 5078445031, 'qualifierId': 56, 'value': 'Right'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;dgwk8czox7lnhew77jg6vt1xw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;11;Carolina Core;11;DR;1,0
2696261407;4;5;1;0;12;2nnef9tr9g7m2s6n873qif95g;1;42,4;101,8;2024-06-15T23:35:31.982Z;2024-06-15T23:35:35Z;[{'id': 5078445065, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078445091, 'qualifierId': 233, 'value': '8'}, {'id': 5078445067, 'qualifierId': 347}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;dgwk8czox7lnhew77jg6vt1xw;Out;;;;;;;;;;;;;;;;;;;;8,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;12;Cincinnati II;12;DL;1,0
2696261411;8;5;1;0;12;bd0378yx50xpdcgwkt9p9bmz8;0;57,6;-1,8;2024-06-15T23:35:31.982Z;2024-06-16T00:30:47Z;[{'id': 5078445087, 'qualifierId': 347}, {'id': 5078445095, 'qualifierId': 233, 'value': '4'}, {'id': 5078445085, 'qualifierId': 56, 'value': 'Right'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dgwk8czox7lnhew77jg6vt1xw;Out;;;;;;;;;;;;;;;;;;;;4,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;12;Carolina Core;12;FW;1,0
2696261419;5;1;1;0;17;2nnef9tr9g7m2s6n873qif95g;1;42,4;100,0;2024-06-15T23:35:37.638Z;2024-06-15T23:35:41Z;[{'id': 5078445149, 'qualifierId': 1}, {'id': 5078445145, 'qualifierId': 212, 'value': '23.6'}, {'id': 5078445143, 'qualifierId': 141, 'value': '86.9'}, {'id': 5078445147, 'qualifierId': 213, 'value': '3.59'}, {'id': 5078445141, 'qualifierId': 140, 'value': '22.2'}, {'id': 5078445137, 'qualifierId': 107}, {'id': 5078445139, 'qualifierId': 56, 'value': 'Back'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;23,6;;3,59;;22,2;86,9;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;22,2;86,9;;;;;;;0;0;0;17;Cincinnati II;17;DL;1,0
2696261429;6;1;1;0;21;2nnef9tr9g7m2s6n873qif95g;1;22,1;86,9;2024-06-15T23:35:41.059Z;2024-06-15T23:35:43Z;[{'id': 5078445221, 'qualifierId': 141, 'value': '54.9'}, {'id': 5078445219, 'qualifierId': 140, 'value': '15.4'}, {'id': 5078445225, 'qualifierId': 213, 'value': '4.40'}, {'id': 5078445223, 'qualifierId': 212, 'value': '22.9'}, {'id': 5078445217, 'qualifierId': 56, 'value': 'Back'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;22,9;;4,4;;15,4;54,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;15,4;54,9;;;;;;;0;0;0;21;Cincinnati II;21;DC;1,0
2696261441;7;1;1;0;23;2nnef9tr9g7m2s6n873qif95g;1;15,4;54,9;2024-06-15T23:35:43.215Z;2024-06-15T23:35:46Z;[{'id': 5078445287, 'qualifierId': 212, 'value': '25.7'}, {'id': 5078445281, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078445289, 'qualifierId': 213, 'value': '5.02'}, {'id': 5078445285, 'qualifierId': 141, 'value': '18.9'}, {'id': 5078445283, 'qualifierId': 140, 'value': '22.7'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;25,7;;5,02;;22,7;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;22,7;18,9;;;;;;;0;0;0;23;Cincinnati II;23;DC;1,0
2696261461;8;1;1;0;26;2nnef9tr9g7m2s6n873qif95g;1;24,2;16,2;2024-06-15T23:35:46.558Z;2024-06-15T23:35:49Z;[{'id': 5078445391, 'qualifierId': 212, 'value': '11.9'}, {'id': 5078445389, 'qualifierId': 141, 'value': '31.3'}, {'id': 5078445385, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078445393, 'qualifierId': 213, 'value': '2.10'}, {'id': 5078445387, 'qualifierId': 140, 'value': '18.5'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;11,9;;2,1;;18,5;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;18,5;31,3;;;;;;;0;0;0;26;Cincinnati II;26;DC;1,0
2696261469;9;1;1;0;29;2nnef9tr9g7m2s6n873qif95g;1;23,1;36,0;2024-06-15T23:35:49.339Z;2024-06-15T23:35:53Z;[{'id': 5078445467, 'qualifierId': 212, 'value': '29.4'}, {'id': 5078445461, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078445469, 'qualifierId': 213, 'value': '1.50'}, {'id': 5078445465, 'qualifierId': 141, 'value': '79.1'}, {'id': 5078445463, 'qualifierId': 140, 'value': '25.0'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;29,4;;1,5;;25,0;79,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;25,0;79,1;;;;;;;0;0;0;29;Cincinnati II;29;DC;1,0
2696261485;10;1;1;0;33;2nnef9tr9g7m2s6n873qif95g;1;24,2;80,0;2024-06-15T23:35:53.712Z;2024-06-15T23:35:56Z;[{'id': 5078445509, 'qualifierId': 213, 'value': '0.30'}, {'id': 5078445505, 'qualifierId': 141, 'value': '85.0'}, {'id': 5078445503, 'qualifierId': 140, 'value': '34.5'}, {'id': 5078445507, 'qualifierId': 212, 'value': '11.3'}, {'id': 5078445501, 'qualifierId': 56, 'value': 'Back'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;11,3;;0,3;;34,5;85,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;34,5;85,0;;;;;;;0;0;0;33;Cincinnati II;33;DC;1,0
2696261489;11;1;1;0;34;2nnef9tr9g7m2s6n873qif95g;1;35,9;88,7;2024-06-15T23:35:54.118Z;2024-06-19T08:25:48Z;[{'id': 5078445529, 'qualifierId': 141, 'value': '80.8'}, {'id': 5078445525, 'qualifierId': 56, 'value': 'Back'}, {'id': 5078445531, 'qualifierId': 212, 'value': '15.4'}, {'id': 5078445527, 'qualifierId': 140, 'value': '22.2'}, {'id': 5078445533, 'qualifierId': 213, 'value': '3.50'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;15,4;;3,5;;22,2;80,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;22,2;80,8;;;;;;;0;0;0;34;Cincinnati II;34;MC;1,0
2696261505;12;1;1;0;37;2nnef9tr9g7m2s6n873qif95g;1;23,1;78,5;2024-06-15T23:35:57.509Z;2024-06-15T23:36:00Z;[{'id': 5078445599, 'qualifierId': 196}, {'id': 5078445611, 'qualifierId': 1}, {'id': 5078445597, 'qualifierId': 155}, {'id': 5078445609, 'qualifierId': 213, 'value': '4.87'}, {'id': 5078445603, 'qualifierId': 140, 'value': '30.4'}, {'id': 5078445605, 'qualifierId': 141, 'value': '8.9'}, {'id': 5078445607, 'qualifierId': 212, 'value': '47.9'}, {'id': 5078445601, 'qualifierId': 56, 'value': 'Back'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;47,9;;4,87;;30,4;8,9;;;1,0;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;30,4;8,9;;;;;;;0;0;0;37;Cincinnati II;37;DC;1,0
2696261537;13;1;1;0;42;2nnef9tr9g7m2s6n873qif95g;1;35,9;7,4;2024-06-15T23:36:01.912Z;2024-06-19T08:25:59Z;[{'id': 5078445793, 'qualifierId': 213, 'value': '0.40'}, {'id': 5078445787, 'qualifierId': 140, 'value': '56.3'}, {'id': 5078445791, 'qualifierId': 212, 'value': '23.3'}, {'id': 5078445789, 'qualifierId': 141, 'value': '20.9'}, {'id': 5078445785, 'qualifierId': 56, 'value': 'Right'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;dgwk8czox7lnhew77jg6vt1xw;Pass;;;;;;;;;;23,3;;0,4;;56,3;20,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;56,3;20,9;;;;;;;0;0;0;42;Cincinnati II;42;DC;1,0
