id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_JerseyNumber;value_Involved;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndX;value_Zone;value_PassEndY;value_Length;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Chipped;value_Head;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_Overrun;value_TakeOnOvertake;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_TouchTypeControl;value_DrivenCross;value_Straight;value_Cross;value_RightFooted;value_OutOfPlay;value_DeletedEventType;value_Assist;value_IntentionalAssist;value_FastBreak;value_Assisted;value_BlockedY;value_BlockedX;value_FirstTouch;value_BigChance;value_GoalmouthZ;value_GoalmouthY;value_LeftFooted;value_BoxLeft;value_RelatedEventId;value_LowLeft;value_ParriedSafe;value_Feet;value_Diving;value_LowGkIntervention;value_NotVisible;value_TouchTypePass;value_RegularPlay;value_Blocked;value_LowCentre;value_GkY;value_BoxCentre;value_GkX;value_DefBlock;value_OutOfBoxCentre;value_IndividualPlay;value_Collected;value_Stooping;value_Hands;value_KeeperThrow;value_OutSwinger;value_Volley;value_BoxRight;value_NotAssisted;value_PenaltyTakerId;value_Penalty;value_Direct;value_Handball;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Saved;value_Right;value_GkKickFromHands;value_FlickOn;value_OverArm;value_Foul;value_Shove/Push;value_FreeKickTaken;value_BlockedPass;value_Defensive1V1;value_TakeOnSpace;value_AttemptedTackle;value_SwitchOfPlay;value_HighLeft;value_Standing;value_MediumGkIntervention;value_Left;value_CornerTaken;value_FromCorner;value_InSwinger;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_SmallBoxCentre;value_GoalShotGameClock;value_GkYTimeOfGoal;value_RecklessOffence;value_YellowCard;value_PlayersCaughtOffside;value_Indirect;value_Dissent;value_High;value_HighClaim;value_HighRight;value_SwerveLeft;value_OffTheBallFoul;value_OverhitCross;value_BlockedCross;value_HighGkIntervention;value_TacticalFoul;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FairPlay;value_CloseRight;value_PullBack;value_LowRight;value_LeadingToGoal;value_RelatedError1Id;value_HighCentre;value_Deflection;value_FreeKick;value_SwerveRight;value_MisHit;value_KeeperTouched;value_ShirtPull/Holding;value_SetPiece;value_CloseHigh;value_SixYardBlocked;value_SmallBoxRight;value_Obstruction;value_InjuredPlayerId;value_Injury;value_TimeWasting;value_CloseRightAndHigh;value_CornerNotTaken;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680134667;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-28T17:58:51.670Z;2024-04-28T21:16:39Z;[{'id': 4990607803, 'qualifierId': 197, 'value': '23611'}, {'id': 4990378989, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990378983, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4991089661, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 4990378985, 'qualifierId': 59, 'value': '44, 38, 18, 70, 63, 61, 99, 32, 77, 29, 74, 20, 37, 42, 47, 67, 68, 75'}, {'id': 4990378981, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 1muuu6wgia9wxv6vmw8tln5sk, 2676930j149yvanqev61emh62, 1ni0mewxcbo26d1xxetkdy3ca, 9ijxde56q9ayy0v9kgt2osx04, 1d20nyyvmp0doobj6heejkowk, 1cfm4ne1po0mld4bl37deg36c, 3ei1s8oyub83owfxxbsygmsmi, cwyml9l4tfvb4ceh8tv3au0wk, 1p4rbf4wumfagv2ntlewdxey, 1kuo66geyyz9gu2n39w0bvr4k, 4k6c9nnzytq9qhc9uol64wg7o, duj699i9620tuf3ii9z06bqsq, eq98gflais2v26wgbkw9wrxg4, 8qkw6bkxcucb5jnsfotm816ac, 7uk47vm92xsvwdofmw1ppawyy, 3o4uxnvpnf3cwjs3srwegxp90'}, {'id': 4990378987, 'qualifierId': 130, 'value': '4'}, {'id': 4990378991, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cgj4sjhigbmnat9qyzt6rhedw;Team set up;23611,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2680136993;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-04-28T18:01:49.740Z;2024-04-28T19:05:55Z;[{'id': 4990607931, 'qualifierId': 197, 'value': '18742'}, {'id': 4990547929, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 4990391249, 'qualifierId': 130, 'value': '4'}, {'id': 4990391243, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, ds4avrkvrp4jxq9lp02ssci22, 6bg69aksa8wb6wmu7w81is8yy, dercetgxemr74f5yasq86s5t6, avxfzgoe2y0opif75qu3aeb6c, ezda0qbkzxiyuxmpc360mcdn8, 3ve0xap9f0gjsslhgjsmakx04, 9qhpi9y9iujvkbocafhgrj04q, f12wt1v2qf2siv8p6q6x2bxuc, 9ohy24mxhsqao5kymh0lbxxck, 4ywn289r9mrs444sgkgduyivo, exk9svcdgcbn05ms00fhorvv8, 7bxp7ho4cmsoviw19q4bxr02c, 3xd2kq7cxmvdbqsfzgi644c4q, 4npcsyrhri5kmeks8gfon146i, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, d47ks2lj1bgbm1x11qil2352i, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 4990391251, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990391247, 'qualifierId': 59, 'value': '26, 35, 40, 66, 43, 54, 48, 60, 68, 27, 25, 39, 41, 44, 51, 56, 71, 80, 86, 97'}, {'id': 4990391245, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4990391253, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cgj4sjhigbmnat9qyzt6rhedw;Team set up;18742,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;New York City II;0;;
2680176673;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-28T19:05:47.172Z;2024-05-03T12:42:34Z;[{'id': 4990611489, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cgj4sjhigbmnat9qyzt6rhedw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2680176643;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-04-28T19:05:47.172Z;2024-04-28T19:05:47Z;[{'id': 4990611325, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cgj4sjhigbmnat9qyzt6rhedw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;New York City II;0;;
2680176745;3;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;50,1;49,5;2024-04-28T19:05:47.173Z;2024-04-28T21:15:28Z;[{'id': 4990611901, 'qualifierId': 213, 'value': '3.09'}, {'id': 4990611903, 'qualifierId': 279, 'value': 'S'}, {'id': 4990611895, 'qualifierId': 140, 'value': '41.9'}, {'id': 4990611893, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990611897, 'qualifierId': 141, 'value': '50.1'}, {'id': 4990611899, 'qualifierId': 212, 'value': '8.6'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;3,09;;41,9;;50,1;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;41,9;50,1;;;;;;;;0;0;0;Crown Legacy;0;FW;1,0
2680216225;435;1;1;0;3;6ddsx316t3j0z6nolrky9k4r8;1;36,9;58,4;2024-04-28T19:05:50.172Z;2024-04-28T20:05:52Z;[{'id': 4990829993, 'qualifierId': 212, 'value': '7.8'}, {'id': 4990829989, 'qualifierId': 140, 'value': '31.5'}, {'id': 4990829991, 'qualifierId': 141, 'value': '66.3'}, {'id': 4990829987, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990829995, 'qualifierId': 213, 'value': '2.38'}];2676930j149yvanqev61emh62;J. Rozhansky;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;2,38;;31,5;;66,3;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;31,5;66,3;;;;;;;;0;0;3;Crown Legacy;3;MC;1,0
2680176775;4;1;1;0;7;6ddsx316t3j0z6nolrky9k4r8;1;26,9;65,2;2024-04-28T19:05:54.827Z;2024-04-28T19:05:57Z;[{'id': 4990612113, 'qualifierId': 140, 'value': '11.1'}, {'id': 4990612117, 'qualifierId': 212, 'value': '24.5'}, {'id': 4990612111, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990612119, 'qualifierId': 213, 'value': '3.97'}, {'id': 4990612115, 'qualifierId': 141, 'value': '38.6'}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;3,97;;11,1;;38,6;24,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;11,1;38,6;;;;;;;;0;0;7;Crown Legacy;7;DC;1,0
2680176815;5;1;1;0;10;6ddsx316t3j0z6nolrky9k4r8;1;10,9;32,7;2024-04-28T19:05:57.277Z;2024-04-28T19:06:00Z;[{'id': 4990612355, 'qualifierId': 212, 'value': '13.6'}, {'id': 4990612351, 'qualifierId': 140, 'value': '19.3'}, {'id': 4990612357, 'qualifierId': 213, 'value': '5.42'}, {'id': 4990612345, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990612353, 'qualifierId': 141, 'value': '17.4'}];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;5,42;;19,3;;17,4;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;19,3;17,4;;;;;;;;0;0;10;Crown Legacy;10;GK;1,0
2680176857;6;1;1;0;12;6ddsx316t3j0z6nolrky9k4r8;1;21,3;12,3;2024-04-28T19:05:59.957Z;2024-04-28T19:06:02Z;[{'id': 4990612531, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990612535, 'qualifierId': 141, 'value': '29.1'}, {'id': 4990612533, 'qualifierId': 140, 'value': '7.7'}, {'id': 4990612539, 'qualifierId': 212, 'value': '18.3'}, {'id': 4990612541, 'qualifierId': 213, 'value': '2.47'}];1ni0mewxcbo26d1xxetkdy3ca;M. Leong;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;2,47;;7,7;;29,1;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;7,7;29,1;;;;;;;;0;0;12;Crown Legacy;12;DL;1,0
2680176891;7;1;1;0;15;6ddsx316t3j0z6nolrky9k4r8;0;7,7;29,1;2024-04-28T19:06:02.457Z;2024-04-28T19:06:05Z;[{'id': 4990612719, 'qualifierId': 1}, {'id': 4990612709, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990612713, 'qualifierId': 141, 'value': '29.4'}, {'id': 4990612715, 'qualifierId': 212, 'value': '46.3'}, {'id': 4990612707, 'qualifierId': 157}, {'id': 4990612717, 'qualifierId': 213, 'value': '0.00'}, {'id': 4990612711, 'qualifierId': 140, 'value': '51.8'}];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;0,0;;51,8;;29,4;46,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;51,8;29,4;;;;;;;;0;0;15;Crown Legacy;15;GK;1,0
2680176913;3;44;1;0;17;6ubc4y1v6hr63mca7ica4hp90;1;46,3;76,0;2024-04-28T19:06:04.988Z;2024-04-28T19:53:36Z;[{'id': 4990612851, 'qualifierId': 285}, {'id': 4990612849, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990612925, 'qualifierId': 233, 'value': '8'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cgj4sjhigbmnat9qyzt6rhedw;Aerial;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;17;New York City II;17;DC;1,0
2680176901;8;44;1;0;17;6ddsx316t3j0z6nolrky9k4r8;0;53,7;24,0;2024-04-28T19:06:04.989Z;2024-04-28T19:06:06Z;[{'id': 4990612943, 'qualifierId': 233, 'value': '3'}, {'id': 4990612771, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990612773, 'qualifierId': 286}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;cgj4sjhigbmnat9qyzt6rhedw;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;17;Crown Legacy;17;FW;1,0
2680176923;4;1;1;0;18;6ubc4y1v6hr63mca7ica4hp90;0;44,4;81,4;2024-04-28T19:06:05.640Z;2024-04-28T19:53:38Z;[{'id': 4990612883, 'qualifierId': 140, 'value': '46.0'}, {'id': 4990612889, 'qualifierId': 213, 'value': '5.42'}, {'id': 4990612887, 'qualifierId': 212, 'value': '2.6'}, {'id': 4990612881, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990612879, 'qualifierId': 3}, {'id': 4990612885, 'qualifierId': 141, 'value': '78.5'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;5,42;;46,0;;78,5;2,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;46,0;78,5;;;;;;;;0;0;18;New York City II;18;DC;1,0
2680176955;5;49;1;0;21;6ubc4y1v6hr63mca7ica4hp90;1;44,8;65,2;2024-04-28T19:06:08.520Z;2024-04-28T19:06:08Z;[];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;cgj4sjhigbmnat9qyzt6rhedw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;21;New York City II;21;MC;1,0
2680177003;6;1;1;0;21;6ubc4y1v6hr63mca7ica4hp90;1;44,8;65,2;2024-04-28T19:06:08.816Z;2024-04-28T19:06:11Z;[{'id': 4990613307, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990613311, 'qualifierId': 141, 'value': '61.8'}, {'id': 4990613315, 'qualifierId': 213, 'value': '3.30'}, {'id': 4990613313, 'qualifierId': 212, 'value': '14.6'}, {'id': 4990613309, 'qualifierId': 140, 'value': '31.1'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;3,3;;31,1;;61,8;14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;31,1;61,8;;;;;;;;0;0;21;New York City II;21;MC;1,0
2680177015;7;1;1;0;24;6ubc4y1v6hr63mca7ica4hp90;1;31,4;64,2;2024-04-28T19:06:11.527Z;2024-04-28T19:06:12Z;[{'id': 4990613387, 'qualifierId': 212, 'value': '11.2'}, {'id': 4990613381, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990613389, 'qualifierId': 213, 'value': '1.68'}, {'id': 4990613383, 'qualifierId': 140, 'value': '30.2'}, {'id': 4990613385, 'qualifierId': 141, 'value': '80.5'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;1,68;;30,2;;80,5;11,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;30,2;80,5;;;;;;;;0;0;24;New York City II;24;DL;1,0
2680177027;8;1;1;0;25;6ubc4y1v6hr63mca7ica4hp90;1;30,3;80,5;2024-04-28T19:06:12.216Z;2024-04-28T19:06:13Z;[{'id': 4990613473, 'qualifierId': 212, 'value': '25.3'}, {'id': 4990613467, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990613475, 'qualifierId': 213, 'value': '4.12'}, {'id': 4990613471, 'qualifierId': 141, 'value': '49.7'}, {'id': 4990613469, 'qualifierId': 140, 'value': '16.8'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;4,12;;16,8;;49,7;25,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;16,8;49,7;;;;;;;;0;0;25;New York City II;25;DC;1,0
2680177057;9;1;1;0;26;6ubc4y1v6hr63mca7ica4hp90;1;16,6;48,5;2024-04-28T19:06:13.848Z;2024-04-28T19:06:16Z;[{'id': 4990613663, 'qualifierId': 213, 'value': '5.51'}, {'id': 4990613655, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990613661, 'qualifierId': 212, 'value': '11.6'}, {'id': 4990613657, 'qualifierId': 140, 'value': '24.5'}, {'id': 4990613659, 'qualifierId': 141, 'value': '36.6'}];2v9pdg70kewaarbz4jzsh00a2;C. Odunze;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;5,51;;24,5;;36,6;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;24,5;36,6;;;;;;;;0;0;26;New York City II;26;GK;1,0
2680177113;10;1;1;0;28;6ubc4y1v6hr63mca7ica4hp90;1;22,4;36,9;2024-04-28T19:06:16.024Z;2024-04-28T19:06:18Z;[{'id': 4990613949, 'qualifierId': 213, 'value': '1.42'}, {'id': 4990613941, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990613947, 'qualifierId': 212, 'value': '23.4'}, {'id': 4990613943, 'qualifierId': 140, 'value': '25.7'}, {'id': 4990613945, 'qualifierId': 141, 'value': '70.9'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;1,42;;25,7;;70,9;23,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;25,7;70,9;;;;;;;;0;0;28;New York City II;28;DL;1,0
2680177155;11;1;1;0;31;6ubc4y1v6hr63mca7ica4hp90;1;26,4;71,8;2024-04-28T19:06:18.544Z;2024-04-28T19:06:21Z;[{'id': 4990614175, 'qualifierId': 212, 'value': '18.0'}, {'id': 4990614165, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990614167, 'qualifierId': 140, 'value': '36.8'}, {'id': 4990614177, 'qualifierId': 213, 'value': '0.92'}, {'id': 4990614171, 'qualifierId': 141, 'value': '92.9'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;0,92;;36,8;;92,9;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;36,8;92,9;;;;;;;;0;0;31;New York City II;31;DC;1,0
2680177181;12;1;1;0;34;6ubc4y1v6hr63mca7ica4hp90;0;37,1;92,7;2024-04-28T19:06:21.312Z;2024-04-28T19:06:22Z;[{'id': 4990614283, 'qualifierId': 155}, {'id': 4990614293, 'qualifierId': 213, 'value': '6.21'}, {'id': 4990614289, 'qualifierId': 141, 'value': '89.6'}, {'id': 4990614285, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990614291, 'qualifierId': 212, 'value': '28.1'}, {'id': 4990614287, 'qualifierId': 140, 'value': '63.8'}];6bg69aksa8wb6wmu7w81is8yy;J. Forbes;;;cgj4sjhigbmnat9qyzt6rhedw;Pass;;;;;;;;;;6,21;;63,8;;89,6;28,1;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;63,8;89,6;;;;;;;;0;0;34;New York City II;34;DC;1,0
2680177219;9;8;1;0;35;6ddsx316t3j0z6nolrky9k4r8;1;31,9;7,7;2024-04-28T19:06:23.158Z;2024-05-03T12:55:03Z;[{'id': 4990614575, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990614619, 'qualifierId': 15}, {'id': 4998582449, 'qualifierId': 385}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;;cgj4sjhigbmnat9qyzt6rhedw;Interception;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;35;Crown Legacy;35;DR;1,0
