id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_Zone;value_Launch;value_LongBall;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Assist;value_GkY;value_BoxRight;value_Assisted;value_GoalmouthY;value_Right;value_RightFooted;value_RelatedEventId;value_GkX;value_RegularPlay;value_GoalmouthZ;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_Low;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Cross;value_Chipped;value_AerialFoul;value_IntendedTackleTarget;value_BlockedPass;value_Left;value_CornerTaken;value_InSwinger;value_Shove/Push;value_OutOfPlay;value_High;value_HighLeft;value_BlockedX;value_BoxLeft;value_BlockedY;value_IndividualPlay;value_Standing;value_Hands;value_ParriedDanger;value_KeeperThrow;value_DeletedEventType;value_IntentionalAssist;value_LeadingToGoal;value_BoxCentre;value_RelatedError1Id;value_BigChance;value_GoalShotTimestamp;value_GoalShotGameClock;value_KeeperTouched;value_SixYardBlocked;value_LowLeft;value_Blocked;value_NotAssisted;value_BoxDeepRight;value_DefBlock;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_LayOff;value_ShirtPull/Holding;value_GkHoof;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Head;value_SwitchOfPlay;value_Volley;value_HighRight;value_FirstTouch;value_BlockedCross;value_OutSwinger;value_NotRetreating;value_LeftFooted;value_OutOfBoxCentre;value_CloseLeft;value_SetPiece;value_TacticalFoul;value_TempMissNotPassedGoalLine;value_PlayersCaughtOffside;value_Indirect;value_Diving;value_ParriedSafe;value_HighCentre;value_Collected;value_LowCentre;value_Minutes;value_Overrun;value_CloseRight;value_SwerveLeft;value_PenaltyTakerId;value_Penalty;value_FantasyAssistType;value_CausingPlayer;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistTeam;value_EndType;value_Tactical;value_OverhitCross;value_HitWoodwork;value_HitRightPost;value_GkKickFromHands;value_PullBack;value_Handball;value_FromCorner;value_HighClaim;value_SmallBoxRight;value_35Right;value_FreeKick;value_TimeWasting;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2677117527;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-22T22:16:15.844Z;2024-04-22T23:23:19Z;[{'id': 4974085011, 'qualifierId': 197, 'value': '14913'}, {'id': 4974062425, 'qualifierId': 130, 'value': '3'}, {'id': 4974062427, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4974062423, 'qualifierId': 59, 'value': '70, 55, 54, 46, 43, 42, 37, 48, 50, 51, 45, 35, 44, 53, 59, 64, 67, 78'}, {'id': 4974100907, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 4974062429, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4974062419, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 79knhnp7bvpjomzz14k715wtm, 9vc2mynd9lg2oyt14n4e7a44q, 2buy6q56o0ixo30fatz7ps9w4, 5d341k1dxhlbetyh965z3q784, 72xktsosbsh2uwkwby59mr6z8, 38p90lsdc5iv1jvjbhiinv6ne, b1p6qcv8wjzoxoax3nt13n5gq, 2atsox1bassuexlgta8h3us4p, do6z0g81t9avcjuhjc1szukgk, afdz1ibldn2vc8gtezyw8tqay, 64wbk2nsrs0ru0hjcq0lenwgk, 6n0x8t513vmsmgfasovvoj7u2, 4agnpztnedb7ql14bo477vspg, a8t1jn05xxxccikegk8fdaiok, b3xoqrbmua9uzr0tw8kmnw9as, 1x9uiwhoqu3qumt0urv5trlec, 4r4a2d3piuh8wusw8ftrsh016'}, {'id': 4974062421, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}];;;;;c9px4ywqxj5qmstxcun9dkx78;Team set up;14913,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2677117577;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-22T22:17:23.329Z;2024-04-22T23:06:42Z;[{'id': 4974062925, 'qualifierId': 130, 'value': '8'}, {'id': 4974087617, 'qualifierId': 197, 'value': '23612'}, {'id': 4974062927, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4974062923, 'qualifierId': 59, 'value': '1, 18, 14, 10, 20, 4, 21, 24, 15, 11, 7, 52, 99, 8, 9, 13, 22, 44'}, {'id': 4974062931, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4974062929, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 4974062921, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4974062919, 'qualifierId': 30, 'value': '8qgdg40qe62yreujy7rueil0p, 11ppoeb5n4q657bwbg4cdxck, 3acyax22zfwdjw0cpgg4x7dre, 6oia90bi52zwmgdlvcvfnj1pm, f0jwa1a61lxs31g47csjv7itw, 2d9cw6dcm2wsgrr8mj5rt6zje, 1j1ybmazykfh5nqs7egkcdxck, 3jx1f1s8r150i6qo2juzooro4, 8p0k65b4c26ssfk0zh43lme7e, ami9xddgghvnly4mwtdj2tlyi, ew25ktcp76pmryz5psl1ctlka, 1nnd0b4qwlni7tqot2n2st4yy, 9i2pmc50q29y560ojvik3sdg4, 5jxj5s38o1nx0xbnapwl58bo4, eehmjxbl4xwc3mz1geibnszkk, 1nbbgew67td8zayaffvr1zcb8, 5zhvp39a530j8j03lsrtk8bv8, 7s32iecltoopsjddclg0ixzx0'}];;;;;c9px4ywqxj5qmstxcun9dkx78;Team set up;23612,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2677122071;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-22T23:03:42.835Z;2024-04-22T23:03:45Z;[{'id': 4974085745, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c9px4ywqxj5qmstxcun9dkx78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2677122069;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-22T23:03:42.835Z;2024-04-22T23:03:43Z;[{'id': 4974085741, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c9px4ywqxj5qmstxcun9dkx78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2677122077;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-04-22T23:03:42.836Z;2024-04-22T23:03:47Z;[{'id': 4974085777, 'qualifierId': 212, 'value': '21.7'}, {'id': 4974085773, 'qualifierId': 140, 'value': '29.4'}, {'id': 4974085781, 'qualifierId': 279, 'value': 'S'}, {'id': 4974085779, 'qualifierId': 213, 'value': '3.08'}, {'id': 4974085775, 'qualifierId': 141, 'value': '52.1'}, {'id': 4974085771, 'qualifierId': 56, 'value': 'Back'}];8p0k65b4c26ssfk0zh43lme7e;D. Polanco;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;21,7;29,4;;3,08;52,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;29,4;52,1;;;;;;;;0;0;0;Chicago Fire II;0;FW;1,0
2677122081;4;1;1;0;4;2nnef9tr9g7m2s6n873qif95g;0;28,3;51,2;2024-04-22T23:03:47.418Z;2024-04-23T00:06:47Z;[{'id': 4974085813, 'qualifierId': 213, 'value': '0.06'}, {'id': 4974085811, 'qualifierId': 212, 'value': '49.4'}, {'id': 4974085805, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974085803, 'qualifierId': 157}, {'id': 4974085807, 'qualifierId': 140, 'value': '75.3'}, {'id': 4974085809, 'qualifierId': 141, 'value': '55.5'}, {'id': 4974085815, 'qualifierId': 1}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;49,4;75,3;;0,06;55,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;75,3;55,5;;;;;;;;0;0;4;Chicago Fire II;4;DL;1,0
2677122083;3;1;1;0;7;8o8m08he36u0j4w08aj2iodn8;0;28,3;41,6;2024-04-22T23:03:50.331Z;2024-04-22T23:03:54Z;[{'id': 4974085823, 'qualifierId': 141, 'value': '55.8'}, {'id': 4974085817, 'qualifierId': 3}, {'id': 4974085827, 'qualifierId': 213, 'value': '0.80'}, {'id': 4974085821, 'qualifierId': 140, 'value': '37.3'}, {'id': 4974085819, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974085825, 'qualifierId': 212, 'value': '13.5'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;13,5;37,3;;0,8;55,8;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;37,3;55,8;;;;;;;;0;0;7;Carolina Core;7;DL;1,0
2677122093;6;44;1;0;9;2nnef9tr9g7m2s6n873qif95g;1;65,8;45,2;2024-04-22T23:03:52.018Z;2024-04-22T23:03:57Z;[{'id': 4974085871, 'qualifierId': 286}, {'id': 4974085869, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974085873, 'qualifierId': 233, 'value': '4'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;c9px4ywqxj5qmstxcun9dkx78;Aerial;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;9;Chicago Fire II;9;MC;1,0
2677122085;4;44;1;0;9;8o8m08he36u0j4w08aj2iodn8;0;34,2;54,8;2024-04-22T23:03:52.019Z;2024-04-22T23:03:58Z;[{'id': 4974085833, 'qualifierId': 285}, {'id': 4974085831, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974085877, 'qualifierId': 233, 'value': '6'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;c9px4ywqxj5qmstxcun9dkx78;Aerial;;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;9;Carolina Core;9;ML;1,0
2677122087;5;1;1;0;10;2nnef9tr9g7m2s6n873qif95g;0;67,4;42,8;2024-04-22T23:03:53.610Z;2024-04-22T23:03:54Z;[{'id': 4974085843, 'qualifierId': 212, 'value': '11.6'}, {'id': 4974085837, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974085841, 'qualifierId': 141, 'value': '52.7'}, {'id': 4974085839, 'qualifierId': 140, 'value': '76.4'}, {'id': 4974085835, 'qualifierId': 3}, {'id': 4974085845, 'qualifierId': 213, 'value': '0.62'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;11,6;76,4;;0,62;52,7;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;76,4;52,7;;;;;;;;0;0;10;Chicago Fire II;10;MC;1,0
2677122089;5;49;1;0;12;8o8m08he36u0j4w08aj2iodn8;1;34,3;45,7;2024-04-22T23:03:55.814Z;2024-04-22T23:03:55Z;[];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;c9px4ywqxj5qmstxcun9dkx78;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;12;Carolina Core;12;MR;1,0
2677122091;6;1;1;0;13;8o8m08he36u0j4w08aj2iodn8;1;34,3;45,7;2024-04-22T23:03:55.954Z;2024-04-22T23:03:57Z;[{'id': 4974085855, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974085857, 'qualifierId': 140, 'value': '28.4'}, {'id': 4974085861, 'qualifierId': 212, 'value': '11.3'}, {'id': 4974085859, 'qualifierId': 141, 'value': '59.6'}, {'id': 4974085863, 'qualifierId': 213, 'value': '2.15'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;11,3;28,4;;2,15;59,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;28,4;59,6;;;;;;;;0;0;13;Carolina Core;13;MR;1,0
2677122097;7;1;1;0;14;8o8m08he36u0j4w08aj2iodn8;1;28,4;59,6;2024-04-22T23:03:56.876Z;2024-04-22T23:03:58Z;[{'id': 4974085891, 'qualifierId': 141, 'value': '79.9'}, {'id': 4974085893, 'qualifierId': 212, 'value': '13.9'}, {'id': 4974085895, 'qualifierId': 213, 'value': '1.71'}, {'id': 4974085889, 'qualifierId': 140, 'value': '26.5'}, {'id': 4974085887, 'qualifierId': 56, 'value': 'Back'}];2buy6q56o0ixo30fatz7ps9w4;J. Zapata;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;13,9;26,5;;1,71;79,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;26,5;79,9;;;;;;;;0;0;14;Carolina Core;14;DMC;1,0
2677122099;8;1;1;0;15;8o8m08he36u0j4w08aj2iodn8;1;26,5;79,9;2024-04-22T23:03:58.548Z;2024-04-22T23:04:01Z;[{'id': 4974085901, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974085909, 'qualifierId': 213, 'value': '5.41'}, {'id': 4974085905, 'qualifierId': 141, 'value': '65.1'}, {'id': 4974085903, 'qualifierId': 140, 'value': '34.6'}, {'id': 4974085907, 'qualifierId': 212, 'value': '13.2'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;13,2;34,6;;5,41;65,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;34,6;65,1;;;;;;;;0;0;15;Carolina Core;15;DC;1,0
2677122101;9;1;1;0;18;8o8m08he36u0j4w08aj2iodn8;0;34,6;64,9;2024-04-22T23:04:01.235Z;2024-04-23T00:05:03Z;[{'id': 4974085913, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974085917, 'qualifierId': 141, 'value': '79.4'}, {'id': 4974085915, 'qualifierId': 140, 'value': '44.8'}, {'id': 4974085921, 'qualifierId': 213, 'value': '0.74'}, {'id': 4974085919, 'qualifierId': 212, 'value': '14.6'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;14,6;44,8;;0,74;79,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;44,8;79,4;;;;;;;;0;0;18;Carolina Core;18;ML;1,0
2677122107;8;49;1;0;19;2nnef9tr9g7m2s6n873qif95g;1;37,8;36,1;2024-04-22T23:04:02.218Z;2024-04-22T23:04:07Z;[];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;c9px4ywqxj5qmstxcun9dkx78;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;19;Chicago Fire II;19;MC;1,0
2677122105;7;1;1;0;20;2nnef9tr9g7m2s6n873qif95g;0;54,6;11,0;2024-04-22T23:04:03.292Z;2024-04-22T23:06:37Z;[{'id': 4974085937, 'qualifierId': 140, 'value': '37.8'}, {'id': 4974085943, 'qualifierId': 213, 'value': '2.37'}, {'id': 4974085941, 'qualifierId': 212, 'value': '24.5'}, {'id': 4974085939, 'qualifierId': 141, 'value': '36.1'}, {'id': 4974085935, 'qualifierId': 56, 'value': 'Back'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;24,5;37,8;;2,37;36,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;37,8;36,1;;;;;;;;0;0;20;Chicago Fire II;20;MC;1,0
2677122131;10;1;1;0;23;8o8m08he36u0j4w08aj2iodn8;1;68,1;54,9;2024-04-22T23:04:06.328Z;2024-04-22T23:04:20Z;[{'id': 4974086015, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974086149, 'qualifierId': 210, 'value': '13'}, {'id': 4974086021, 'qualifierId': 212, 'value': '23.2'}, {'id': 4974086019, 'qualifierId': 141, 'value': '26.2'}, {'id': 4974086023, 'qualifierId': 213, 'value': '5.28'}, {'id': 4974086017, 'qualifierId': 140, 'value': '80.0'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;1,0;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;23,2;80,0;;5,28;26,2;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;80,0;26,2;;;;;;;;0;0;23;Carolina Core;23;AMC;1,0
2677122133;11;13;1;0;26;8o8m08he36u0j4w08aj2iodn8;1;84,7;29,2;2024-04-22T23:04:09.749Z;2024-04-22T23:06:28Z;[{'id': 4974086169, 'qualifierId': 231, 'value': '47.7'}, {'id': 4974086031, 'qualifierId': 63}, {'id': 4974086157, 'qualifierId': 29}, {'id': 4974086163, 'qualifierId': 102, 'value': '35.8'}, {'id': 4974086155, 'qualifierId': 75}, {'id': 4974086069, 'qualifierId': 20}, {'id': 4974086159, 'qualifierId': 55, 'value': '10'}, {'id': 4974086033, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974086167, 'qualifierId': 230, 'value': '98.4'}, {'id': 4974086029, 'qualifierId': 22}, {'id': 4974086165, 'qualifierId': 103, 'value': '33.3'}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;c9px4ywqxj5qmstxcun9dkx78;Miss;;;;;;;;;;;;;;;;;;;;;;;47,7;1,0;1,0;35,8;1,0;1,0;10,0;98,4;1,0;33,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;35,8;33.3;10,0;b1p6qcv8wjzoxoax3nt13n5gq;;0;0;26;Carolina Core;26;FW;1,0
2677122127;9;5;1;0;28;2nnef9tr9g7m2s6n873qif95g;1;-1,0;57,4;2024-04-22T23:04:11.487Z;2024-04-22T23:04:13Z;[{'id': 4974086011, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974086049, 'qualifierId': 233, 'value': '12'}, {'id': 4974086013, 'qualifierId': 346}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;c9px4ywqxj5qmstxcun9dkx78;Out;;;;;;;;;;;;;;;;;;;;12,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;28;Chicago Fire II;28;MC;1,0
2677122135;12;5;1;0;28;8o8m08he36u0j4w08aj2iodn8;0;101,0;42,6;2024-04-22T23:04:11.487Z;2024-04-23T00:05:12Z;[{'id': 4974086041, 'qualifierId': 56, 'value': 'Center'}, {'id': 4974086065, 'qualifierId': 233, 'value': '9'}, {'id': 4974086043, 'qualifierId': 346}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;c9px4ywqxj5qmstxcun9dkx78;Out;;;;;;;;;;;;;;;;;;;;9,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;28;Carolina Core;28;FW;1,0
2677122179;10;1;1;0;47;2nnef9tr9g7m2s6n873qif95g;1;3,3;51,9;2024-04-22T23:04:30.298Z;2024-04-22T23:04:37Z;[{'id': 4974086263, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974086267, 'qualifierId': 141, 'value': '8.8'}, {'id': 4974086329, 'qualifierId': 189}, {'id': 4974086261, 'qualifierId': 124}, {'id': 4974086269, 'qualifierId': 212, 'value': '33.1'}, {'id': 4974086271, 'qualifierId': 213, 'value': '5.20'}, {'id': 4974086273, 'qualifierId': 1}, {'id': 4974086265, 'qualifierId': 140, 'value': '18.0'}, {'id': 4974086277, 'qualifierId': 237}];8qgdg40qe62yreujy7rueil0p;A. Pannenberg;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;33,1;18,0;;5,2;8,8;;;1,0;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;18,0;8,8;;;;;;;;0;0;47;Chicago Fire II;47;GK;1,0
2677122183;11;1;1;0;49;2nnef9tr9g7m2s6n873qif95g;0;18,1;8,8;2024-04-22T23:04:32.665Z;2024-04-22T23:04:34Z;[{'id': 4974086301, 'qualifierId': 1}, {'id': 4974086289, 'qualifierId': 157}, {'id': 4974086295, 'qualifierId': 141, 'value': '0.0'}, {'id': 4974086291, 'qualifierId': 56, 'value': 'Back'}, {'id': 4974086299, 'qualifierId': 213, 'value': '5.97'}, {'id': 4974086293, 'qualifierId': 140, 'value': '39.5'}, {'id': 4974086297, 'qualifierId': 212, 'value': '23.6'}];11ppoeb5n4q657bwbg4cdxck;J. White;;;c9px4ywqxj5qmstxcun9dkx78;Pass;;;;;;;;;;23,6;39,5;;5,97;0,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;39,5;0,0;;;;;;;;0;0;49;Chicago Fire II;49;DR;1,0
