id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_Captain;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_Zone;value_PassEndX;value_Length;value_PassEndY;value_LongBall;value_Chipped;value_MediumGkIntervention;value_KeeperThrow;value_LayOff;value_TouchTypePass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TakeOnSpace;value_DeletedEventType;value_Defensive1V1;value_TakeOnOvertake;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_HeadPass;value_Launch;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Cross;value_DrivenCross;value_Straight;value_LeftFooted;value_IntendedTackleTarget;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_BlockedPass;value_RightFooted;value_OutSwinger;value_BlockedCross;value_Right;value_Left;value_CornerTaken;value_Head;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_Blocked;value_LowCentre;value_RegularPlay;value_BlockedX;value_GkX;value_GkY;value_BoxCentre;value_Assisted;value_GoalmouthY;value_BlockedY;value_DefBlock;value_TouchTypeClearance;value_LowGkIntervention;value_BoxRight;value_IndividualPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_OutOfBoxCentre;value_FreeKick;value_NotAssisted;value_CloseRight;value_Shove/Push;value_InSwinger;value_FlickOn;value_TouchTypeControl;value_VideoCoverageLost;value_OtherObstacle;value_ShirtPull/Holding;value_SwitchOfPlay;value_Handball;value_FloatedCross;value_ThroughBall;value_GkKickFromHands;value_LowRight;value_BoxLeft;value_LowLeft;value_SwerveLeft;value_Hands;value_Stooping;value_Collected;value_BigChance;value_HighLeft;value_TimeWasting;value_OverArm;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_KickOff;value_HighRight;value_FirstTouch;value_SwerveRight;value_Overrun;value_CloseHigh;value_CoachId;value_Dissent;value_FastBreak;value_CloseRightAndHigh;value_High;value_Volley;value_HighGkIntervention;value_NotPastGoalLine;value_BlockedClearance;value_ParriedDanger;value_Diving;value_CaptainChange;value_FromCorner;value_GoalShotTimestamp;value_GoalShotGameClock;value_SmallBoxCentre;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_Standing;value_ParriedSafe;value_HighClaim;value_OverhitCross;value_InjuredPlayerId;value_Injury;value_Deflection;value_RecklessOffence;value_PullBack;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_KeeperTouched;value_Feet;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2675662061;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-20T19:02:21.798Z;2024-04-20T20:07:38Z;[{'id': 4966197597, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4966197595, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, e7q60ne93c6289xwnt9zj65wq, 9py9nrbgshlukfxu6pjukfxbe, b4hm7o0o1tlssg0aa1psm704q, 1o0ew8fp44fuo3o7c8ef8pd2i, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, 5zawuirp825t4brhaj90k9duy, e23yyl43xtcve09dx234uuj8, cap9cd2acljdjbbdmt7zb3uvo, e6ocmgjfubq6qvg4wfp8zipsk, 2io6rajwkftjli8i14hf606ei, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 58akq0ojntf5n123msb1tzeok, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg'}, {'id': 4966197601, 'qualifierId': 130, 'value': '8'}, {'id': 4966197607, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4966500265, 'qualifierId': 194, 'value': 'e7q60ne93c6289xwnt9zj65wq'}, {'id': 4966197599, 'qualifierId': 59, 'value': '31, 75, 50, 52, 12, 24, 30, 21, 29, 84, 61, 51, 55, 67, 71, 74, 81, 87, 95, 97'}, {'id': 4966197605, 'qualifierId': 197, 'value': '23342'}, {'id': 4966197603, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cbyrti5ilkq3s4qypjxffnris;Team set up;;;8,0;;;;23342,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2675663405;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-20T19:04:28.269Z;2024-04-20T21:19:30Z;[{'id': 4966205143, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4966205137, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4966205145, 'qualifierId': 197, 'value': '23616'}, {'id': 4966205135, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 9jczt268kcld72pk5ho4xpzsa, 1yohdc0hkzkom8hlhw3rjfn8q, bhhdcubw5vyxzf0lc1fcfftka, 1wa60ccrpw2zqguj4ayeeacyc, 4sw7pq7xhnf7pqii16lhtf7ro, a8ngovgs2qfu5udzb97kelg16, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 3tkdn8arq1j3il4ako7rcio2y, 32t6g252ti1peycjite40qiy2, 4cfvnypovkt900sfxmdhvxtec, r0s1fyyxaswujpkrv0yupt78, 6p1lkhwji9j00ojc7k80p6e50, c7luarkv7hwdspd9xhidhisk4, cjmhrw0kf73i17kxnrzipvpxw, 1pm343qga3zwdbrjngpeqhtnu, 2gawx03wls5vwtlocjir3u7vu, 3f52lf1p2xmtzysfi8n18m044, vhjelesjaxtgjcgfv7yxp2lm'}, {'id': 4966205147, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4966782913, 'qualifierId': 194, 'value': 'a8ngovgs2qfu5udzb97kelg16'}, {'id': 4966205139, 'qualifierId': 59, 'value': '36, 42, 33, 31, 74, 77, 39, 47, 99, 38, 70, 28, 30, 50, 52, 72, 80, 90, 91, 98'}, {'id': 4966205141, 'qualifierId': 130, 'value': '4'}];;;;;cbyrti5ilkq3s4qypjxffnris;Team set up;;;4,0;;;;23616,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Ventura County;0;;
2675714001;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-20T20:03:54.544Z;2024-04-26T14:33:57Z;[{'id': 4966487417, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cbyrti5ilkq3s4qypjxffnris;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2675714045;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-20T20:03:54.544Z;2024-04-20T20:05:11Z;[{'id': 4966487611, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cbyrti5ilkq3s4qypjxffnris;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Ventura County;0;;
2678409267;727;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;50,0;50,0;2024-04-20T20:03:54.545Z;2024-04-26T19:28:57Z;[{'id': 4981031657, 'qualifierId': 213, 'value': '2.79'}, {'id': 4981031649, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981031651, 'qualifierId': 140, 'value': '42.0'}, {'id': 4981031655, 'qualifierId': 212, 'value': '8.9'}, {'id': 4981031653, 'qualifierId': 141, 'value': '54.5'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;2,79;;42,0;8,9;54,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;42,0;54,5;;;;;;;;0;0;0;Ventura County;0;FW;1,0
2678409523;728;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;40,4;52,7;2024-04-20T20:03:55.525Z;2024-04-26T19:29:09Z;[{'id': 4981032891, 'qualifierId': 140, 'value': '37.0'}, {'id': 4981032895, 'qualifierId': 212, 'value': '26.3'}, {'id': 4981032893, 'qualifierId': 141, 'value': '14.4'}, {'id': 4981032889, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981032897, 'qualifierId': 213, 'value': '4.58'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;4,58;;37,0;26,3;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;37,0;14,4;;;;;;;;0;0;0;Ventura County;0;MC;1,0
2678409797;729;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;35,3;12,4;2024-04-20T20:03:59.425Z;2024-04-26T19:29:26Z;[{'id': 4981034501, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981034509, 'qualifierId': 213, 'value': '2.60'}, {'id': 4981034503, 'qualifierId': 140, 'value': '26.5'}, {'id': 4981034505, 'qualifierId': 141, 'value': '20.5'}, {'id': 4981034507, 'qualifierId': 212, 'value': '10.8'}];9jczt268kcld72pk5ho4xpzsa;J. Bartlett;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;2,6;;26,5;10,8;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;26,5;20,5;;;;;;;;0;0;4;Ventura County;4;DR;1,0
2678410041;730;1;1;0;7;7fbej4xwoq4imaf5l39304m37;1;28,1;22,5;2024-04-20T20:04:01.825Z;2024-04-26T19:29:42Z;[{'id': 4981035807, 'qualifierId': 1}, {'id': 4981035797, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981035801, 'qualifierId': 141, 'value': '70.6'}, {'id': 4981035799, 'qualifierId': 140, 'value': '26.9'}, {'id': 4981035805, 'qualifierId': 213, 'value': '1.61'}, {'id': 4981035803, 'qualifierId': 212, 'value': '32.7'}];1wa60ccrpw2zqguj4ayeeacyc;D. Montoute;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;1,61;;26,9;32,7;70,6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;26,9;70,6;;;;;;;;0;0;7;Ventura County;7;DL;1,0
2678410101;731;1;1;0;11;7fbej4xwoq4imaf5l39304m37;1;26,9;70,6;2024-04-20T20:04:06.325Z;2024-04-26T19:29:47Z;[{'id': 4981036181, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981036189, 'qualifierId': 213, 'value': '1.12'}, {'id': 4981036185, 'qualifierId': 141, 'value': '94.5'}, {'id': 4981036183, 'qualifierId': 140, 'value': '34.3'}, {'id': 4981036187, 'qualifierId': 212, 'value': '18.0'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;1,12;;34,3;18,0;94,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;34,3;94,5;;;;;;;;0;0;11;Ventura County;11;DC;1,0
2678410521;732;1;1;0;14;7fbej4xwoq4imaf5l39304m37;0;34,3;94,5;2024-04-20T20:04:08.958Z;2024-04-26T19:30:16Z;[{'id': 4981038549, 'qualifierId': 140, 'value': '87.9'}, {'id': 4981038555, 'qualifierId': 213, 'value': '5.92'}, {'id': 4981038553, 'qualifierId': 212, 'value': '60.1'}, {'id': 4981038557, 'qualifierId': 1}, {'id': 4981038551, 'qualifierId': 141, 'value': '63.4'}, {'id': 4981038547, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981038545, 'qualifierId': 155}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;5,92;;87,9;60,1;63,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;87,9;63,4;;;;;;;;0;0;14;Ventura County;14;DC;1,0
2678410659;993;52;1;0;17;8ijkk62897so5r3bq0wgwx4bu;1;12,1;36,6;2024-04-20T20:04:12.161Z;2024-04-26T19:30:30Z;[{'id': 4981039925, 'qualifierId': 377}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;cbyrti5ilkq3s4qypjxffnris;Keeper pick-up;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;0;17;Sporting KC II;17;GK;1,0
2678410997;994;1;1;0;21;8ijkk62897so5r3bq0wgwx4bu;1;13,1;43,5;2024-04-20T20:04:16.212Z;2024-04-26T19:30:46Z;[{'id': 4981041293, 'qualifierId': 123}, {'id': 4981041313, 'qualifierId': 213, 'value': '0.03'}, {'id': 4981041309, 'qualifierId': 212, 'value': '14.7'}, {'id': 4981041297, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981041301, 'qualifierId': 140, 'value': '27.1'}, {'id': 4981041305, 'qualifierId': 141, 'value': '44.1'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;0,03;;27,1;14,7;44,1;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;27,1;44,1;;;;;;;;0;0;21;Sporting KC II;21;GK;1,0
2678411387;995;1;1;0;22;8ijkk62897so5r3bq0wgwx4bu;1;27,1;44,1;2024-04-20T20:04:17.212Z;2024-04-26T19:31:12Z;[{'id': 4981043707, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981043711, 'qualifierId': 141, 'value': '39.5'}, {'id': 4981043713, 'qualifierId': 212, 'value': '14.6'}, {'id': 4981043715, 'qualifierId': 213, 'value': '3.36'}, {'id': 4981043709, 'qualifierId': 140, 'value': '13.5'}];c44bkncqmptribnxki1dyppbe;I. Parente;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;3,36;;13,5;14,6;39,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;13,5;39,5;;;;;;;;0;0;22;Sporting KC II;22;MC;1,0
2678411499;996;1;1;0;28;8ijkk62897so5r3bq0wgwx4bu;1;17,1;45,0;2024-04-20T20:04:23.112Z;2024-04-26T19:31:19Z;[{'id': 4981044319, 'qualifierId': 213, 'value': '1.47'}, {'id': 4981044311, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981044317, 'qualifierId': 212, 'value': '19.9'}, {'id': 4981044313, 'qualifierId': 140, 'value': '19.1'}, {'id': 4981044315, 'qualifierId': 141, 'value': '74.1'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;1,47;;19,1;19,9;74,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;19,1;74,1;;;;;;;;0;0;28;Sporting KC II;28;GK;1,0
2678411827;997;1;1;0;31;8ijkk62897so5r3bq0wgwx4bu;1;20,3;74,9;2024-04-20T20:04:25.582Z;2024-04-26T19:31:37Z;[{'id': 4981046053, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981046055, 'qualifierId': 140, 'value': '28.3'}, {'id': 4981046061, 'qualifierId': 213, 'value': '5.83'}, {'id': 4981046057, 'qualifierId': 141, 'value': '68.9'}, {'id': 4981046059, 'qualifierId': 212, 'value': '9.3'}];9py9nrbgshlukfxu6pjukfxbe;J. Neal;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;5,83;;28,3;9,3;68,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;28,3;68,9;;;;;;;;0;0;31;Sporting KC II;31;DC;1,0
2678412505;998;1;1;0;34;8ijkk62897so5r3bq0wgwx4bu;1;31,3;74,3;2024-04-20T20:04:28.982Z;2024-04-26T19:32:18Z;[{'id': 4981049963, 'qualifierId': 141, 'value': '66.6'}, {'id': 4981049965, 'qualifierId': 212, 'value': '8.8'}, {'id': 4981049961, 'qualifierId': 140, 'value': '38.0'}, {'id': 4981049959, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981049967, 'qualifierId': 213, 'value': '5.64'}];c44bkncqmptribnxki1dyppbe;I. Parente;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;5,64;;38,0;8,8;66,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;38,0;66,6;;;;;;;;0;0;34;Sporting KC II;34;MC;1,0
2678412583;999;1;1;0;35;8ijkk62897so5r3bq0wgwx4bu;1;37,8;70,6;2024-04-20T20:04:29.758Z;2024-04-26T19:32:23Z;[{'id': 4981050449, 'qualifierId': 141, 'value': '69.7'}, {'id': 4981050453, 'qualifierId': 213, 'value': '3.18'}, {'id': 4981050443, 'qualifierId': 156}, {'id': 4981050445, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981050451, 'qualifierId': 212, 'value': '15.2'}, {'id': 4981050447, 'qualifierId': 140, 'value': '23.3'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;3,18;;23,3;15,2;69,7;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;23,3;69,7;;;;;;;;0;0;35;Sporting KC II;35;FW;1,0
2678413051;1000;1;1;0;38;8ijkk62897so5r3bq0wgwx4bu;1;23,3;69,7;2024-04-20T20:04:32.765Z;2024-04-26T19:32:54Z;[{'id': 4981053065, 'qualifierId': 140, 'value': '26.5'}, {'id': 4981053063, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981053071, 'qualifierId': 213, 'value': '4.84'}, {'id': 4981053067, 'qualifierId': 141, 'value': '30.8'}, {'id': 4981053069, 'qualifierId': 212, 'value': '26.7'}];9py9nrbgshlukfxu6pjukfxbe;J. Neal;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;4,84;;26,5;26,7;30,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;26,5;30,8;;;;;;;;0;0;38;Sporting KC II;38;DC;1,0
2678413177;1001;1;1;0;42;8ijkk62897so5r3bq0wgwx4bu;1;28,3;28,5;2024-04-20T20:04:36.965Z;2024-04-26T19:33:00Z;[{'id': 4981053677, 'qualifierId': 213, 'value': '1.98'}, {'id': 4981053667, 'qualifierId': 140, 'value': '23.5'}, {'id': 4981053665, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981053673, 'qualifierId': 212, 'value': '12.6'}, {'id': 4981053669, 'qualifierId': 141, 'value': '45.5'}];e7q60ne93c6289xwnt9zj65wq;M. Ferkranus;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;1,98;;23,5;12,6;45,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;23,5;45,5;;;;;;;;0;0;42;Sporting KC II;42;DL;1,0
2678413319;1002;1;1;0;45;8ijkk62897so5r3bq0wgwx4bu;1;23,5;45,5;2024-04-20T20:04:40.165Z;2024-04-26T19:33:07Z;[{'id': 4981054375, 'qualifierId': 213, 'value': '4.83'}, {'id': 4981054363, 'qualifierId': 140, 'value': '25.5'}, {'id': 4981054371, 'qualifierId': 212, 'value': '18.5'}, {'id': 4981054361, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981054367, 'qualifierId': 141, 'value': '18.5'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;4,83;;25,5;18,5;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;25,5;18,5;;;;;;;;0;0;45;Sporting KC II;45;GK;1,0
2678413469;1003;1;1;0;48;8ijkk62897so5r3bq0wgwx4bu;1;26,7;14,1;2024-04-20T20:04:42.558Z;2024-04-26T19:33:18Z;[{'id': 4981055291, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981055293, 'qualifierId': 140, 'value': '40.0'}, {'id': 4981055295, 'qualifierId': 141, 'value': '15.6'}, {'id': 4981055299, 'qualifierId': 213, 'value': '0.07'}, {'id': 4981055297, 'qualifierId': 212, 'value': '14.0'}];e7q60ne93c6289xwnt9zj65wq;M. Ferkranus;;;cbyrti5ilkq3s4qypjxffnris;Pass;;;;;;;;;;0,07;;40,0;14,0;15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;40,0;15,6;;;;;;;;0;0;48;Sporting KC II;48;DL;1,0
