id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Captain;value_Resume;value_TeamKit;value_Involved;value_DirectionOfPlay;value_Length;value_NotVisible;value_KickOff;value_Angle;value_Zone;value_DeletedEventType;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_Chipped;value_FlickOn;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypeControl;value_SwitchOfPlay;value_TakeOnOvertake;value_Defensive1V1;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_BlockedPass;value_LayOff;value_TouchTypeClearance;value_OutOfPlay;value_RightFooted;value_IntentionalAssist;value_Assist;value_DrivenCross;value_Straight;value_Cross;value_GkX;value_RelatedEventId;value_GkY;value_RegularPlay;value_High;value_GoalmouthZ;value_FirstTouch;value_BoxRight;value_GoalmouthY;value_Assisted;value_NextEventGoalKick;value_GoalKick;value_Low;value_InSwinger;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_TacticalFoul;value_YellowCard;value_Head;value_OutSwinger;value_LeftFooted;value_Left;value_CornerTaken;value_FromCorner;value_BlockedY;value_BlockedX;value_LowCentre;value_BoxCentre;value_Blocked;value_DefBlock;value_LowRight;value_FastBreak;value_NotAssisted;value_Hands;value_Diving;value_ParriedSafe;value_MediumGkIntervention;value_Right;value_OverArm;value_Handball;value_Overrun;value_IndividualPlay;value_OutOfBoxCentre;value_ShirtPull/Holding;value_Shove/Push;value_HighRight;value_HighCentre;value_Dissent;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_HitWoodwork;value_PlayersCaughtOffside;value_Indirect;value_HitRightPost;value_SwerveLeft;value_PersistentInfringement;value_HighLeft;value_FreeKick;value_ByWall;value_NotPastGoalLine;value_SwerveRight;value_PullBack;value_RecklessOffence;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BoxLeft;value_Reaching;value_InjuredPlayerId;value_Injury;value_LowLeft;value_LowGkIntervention;value_Collected;value_Stooping;value_LeadingToAttempt;value_BigChance;value_RelatedError1Id;value_CloseRight;value_Fingertip;value_PenaltyTakerId;value_Penalty;value_FantasyAssistType;value_CausingPlayer;value_FantasyAssistId;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_Scored;value_BlockedCross;value_2NdAssist;value_ThrowInSetPiece;value_2NdAssisted;value_SmallBoxCentre;value_Volley;value_2NdRelatedEventId;value_SmallBoxLeft;value_CornerNotTaken;value_GoesToPenalties;value_Saved;value_Feet;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695915459;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-13T22:08:15.344Z;2024-06-13T22:19:22Z;[{'id': 5076548157, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5076548153, 'qualifierId': 59, 'value': '50, 30, 64, 53, 54, 68, 49, 56, 59, 23, 66, 32, 60, 62, 61, 96, 99'}, {'id': 5076548155, 'qualifierId': 130, 'value': '8'}, {'id': 5076548151, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5076548159, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5076548161, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076554159, 'qualifierId': 197, 'value': '3378'}, {'id': 5076548149, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, p99ze5cksh5tv01knf5oj33e, 9bv0zjyrsopyv3hw8m47sgr9w, c2b6h5zwjvzdvdcybyuqd6exg, 7tpb4dk9meee0utyu4cosnxn8, brzi1qy5hkx7zhxhjykg8ox78, aa4v8xfn3ra4digk5h7gdrbze, bebv65gzex5nuihc5mutjrwus, 595bi39ikp8s9sfw6q5981mvo, bvb7i5n0j5ltqkv991p40r8yc, 37uh4n2zngcixlzo8vnk50vtg, 8h2vywep73yn25kus2nda8ga2'}];;;;;dfe6xtgddcqowlgpwfidn1jx0;Team set up;;;8,0;;;;3378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Chattanooga;0;;
2695915921;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-06-13T22:12:38.560Z;2024-06-19T16:53:20Z;[{'id': 5076550787, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, exunlng0cgo9bpqh4x6jpxyax, 1h5rgsol19v1pcl5ksstrv9t6, b4te1cxogvhtglhug3sdgkmei, 87nhafgkozygrd5f06ore0xzo, 7e8xkqlux0myjc5cwtb7rega1, 4hdai9za2ls03tjpcw0ahu5wq, 6zuton58biybp7ge3mpc17alm, a3eln6gas8765a3pn6ecqjvxm, at2xv960peboe9spoag2kn21g, adfocor2tbcmxo03ednm8vywa, 2d3dwhrtafkd1b8q1nzerqew9, cpbyoj822ivx6qrqbkun1zr3d, 4cwccglaxz5sf71eptnj6kzfu, 5m8hxfvza21t4wfe6v0a18etw, 9gk1m714ni2m8n26uybsgadey, ew3qxbn1ev1qv7wi0iwoc642c, 82uh6ad46fvub9b0vfapw2vze'}, {'id': 5076550799, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076550791, 'qualifierId': 59, 'value': '15, 23, 22, 25, 14, 20, 11, 18, 9, 33, 58, 3, 5, 8, 10, 12, 32, 71'}, {'id': 5076555425, 'qualifierId': 197, 'value': '23331'}, {'id': 5076550789, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5076550795, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076550793, 'qualifierId': 130, 'value': '7'}, {'id': 5076550797, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}];;;;;dfe6xtgddcqowlgpwfidn1jx0;Team set up;;;7,0;;;;23331,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2695919853;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-13T23:04:03.174Z;2024-06-19T12:37:48Z;[{'id': 5076572231, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dfe6xtgddcqowlgpwfidn1jx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;0;Chattanooga;0;;
2695919849;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-06-13T23:04:03.174Z;2024-06-13T23:04:35Z;[{'id': 5076572217, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dfe6xtgddcqowlgpwfidn1jx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;0;Orlando City B;0;;
2695934443;384;43;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-06-13T23:04:03.175Z;2024-06-14T00:07:06Z;[{'id': 5076654499, 'qualifierId': 212, 'value': '15.2'}, {'id': 5076654491, 'qualifierId': 189, 'value': '0'}, {'id': 5076654503, 'qualifierId': 279, 'value': 'S'}, {'id': 5076654501, 'qualifierId': 213, 'value': '3.03'}, {'id': 5076654493, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076654671, 'qualifierId': 144, 'value': '1'}, {'id': 5076654495, 'qualifierId': 140, 'value': '35.7'}, {'id': 5076654497, 'qualifierId': 141, 'value': '52.7'}];c2b6h5zwjvzdvdcybyuqd6exg;J. Ellis;;;dfe6xtgddcqowlgpwfidn1jx0;Deleted event;;;;;;;;;;15,2;0,0;;3,03;;1,0;35,7;52,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;35,7;52,7;;;;;;;;0;0;0;Chattanooga;0;FW;1,0
2695936853;470;1;1;0;1;cwnjxlibb02fuh0vwgvac6h45;1;50,0;49,7;2024-06-13T23:04:04.905Z;2024-06-19T12:58:12Z;[{'id': 5076668761, 'qualifierId': 212, 'value': '26.1'}, {'id': 5076668759, 'qualifierId': 141, 'value': '47.0'}, {'id': 5076669839, 'qualifierId': 279, 'value': 'S'}, {'id': 5076668757, 'qualifierId': 140, 'value': '25.2'}, {'id': 5076668763, 'qualifierId': 213, 'value': '3.21'}, {'id': 5076668755, 'qualifierId': 56, 'value': 'Back'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;26,1;;;3,21;;;25,2;47,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;25,2;47,0;;;;;;;;0;0;1;Orlando City B;1;DMC;1,0
2695937015;471;1;1;0;3;cwnjxlibb02fuh0vwgvac6h45;0;29,3;48,7;2024-06-13T23:04:06.483Z;2024-06-19T12:58:16Z;[{'id': 5081824593, 'qualifierId': 157}, {'id': 5081824601, 'qualifierId': 213, 'value': '0.23'}, {'id': 5081824595, 'qualifierId': 140, 'value': '72.4'}, {'id': 5076669603, 'qualifierId': 56, 'value': 'Center'}, {'id': 5081824603, 'qualifierId': 1}, {'id': 5081824599, 'qualifierId': 212, 'value': '46.5'}, {'id': 5081824597, 'qualifierId': 141, 'value': '64.4'}];87nhafgkozygrd5f06ore0xzo;F. Sar-Sar;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;46,5;;;0,23;;;72,4;64,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;72,4;64,4;;;;;;;;0;0;3;Orlando City B;3;DL;1,0
2695919905;3;43;1;0;3;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-06-13T23:04:24.797Z;2024-06-13T23:05:39Z;[{'id': 5076572519, 'qualifierId': 141, 'value': '86.0'}, {'id': 5076574535, 'qualifierId': 144, 'value': '1'}, {'id': 5076572523, 'qualifierId': 213, 'value': '4.21'}, {'id': 5076572517, 'qualifierId': 140, 'value': '63.6'}, {'id': 5076572521, 'qualifierId': 212, 'value': '6.8'}, {'id': 5076572515, 'qualifierId': 56, 'value': 'Left'}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Deleted event;;;;;;;;;;6,8;;;4,21;;1,0;63,6;86,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;63,6;86,0;;;;;;;;0;0;3;Orlando City B;3;ML;1,0
2696882279;729;44;1;0;7;479lsfr4cwlzewpbuda3y2xv4;1;28,3;35,7;2024-06-13T23:04:10.597Z;2024-06-19T13:07:17Z;[{'id': 5081824613, 'qualifierId': 56, 'value': 'Back'}, {'id': 5081828349, 'qualifierId': 233, 'value': '846'}, {'id': 5081824617, 'qualifierId': 285}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;dfe6xtgddcqowlgpwfidn1jx0;Aerial;;;;;;;;;;;;;;;;;;;;846,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;7;Chattanooga;7;MC;1,0
2696882281;846;44;1;0;7;cwnjxlibb02fuh0vwgvac6h45;0;71,7;64,3;2024-06-13T23:04:10.598Z;2024-06-19T12:52:11Z;[{'id': 5081824625, 'qualifierId': 233, 'value': '729'}, {'id': 5081824623, 'qualifierId': 286}, {'id': 5081824619, 'qualifierId': 56, 'value': 'Center'}];a3eln6gas8765a3pn6ecqjvxm;M. Ouamri;;;dfe6xtgddcqowlgpwfidn1jx0;Aerial;;;;;;;;;;;;;;;;;;;;729,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;7;Orlando City B;7;FW;1,0
2696882283;730;1;1;0;7;479lsfr4cwlzewpbuda3y2xv4;0;29,5;36,9;2024-06-13T23:04:10.954Z;2024-06-19T12:52:21Z;[{'id': 5081824643, 'qualifierId': 56, 'value': 'Back'}, {'id': 5081824651, 'qualifierId': 213, 'value': '3.89'}, {'id': 5081824645, 'qualifierId': 140, 'value': '20.9'}, {'id': 5081824647, 'qualifierId': 141, 'value': '24.5'}, {'id': 5081824649, 'qualifierId': 212, 'value': '12.4'}, {'id': 5081824641, 'qualifierId': 3}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;12,4;;;3,89;;;20,9;24,5;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;20,9;24,5;;;;;;;;0;0;7;Chattanooga;7;MC;1,0
2696882285;847;1;1;0;9;cwnjxlibb02fuh0vwgvac6h45;1;74,9;75,8;2024-06-13T23:04:13.147Z;2024-06-19T12:52:43Z;[{'id': 5081824687, 'qualifierId': 212, 'value': '12.9'}, {'id': 5081824679, 'qualifierId': 3}, {'id': 5081824685, 'qualifierId': 141, 'value': '92.8'}, {'id': 5081824683, 'qualifierId': 140, 'value': '80.3'}, {'id': 5081824681, 'qualifierId': 56, 'value': 'Left'}, {'id': 5081824689, 'qualifierId': 213, 'value': '1.11'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;12,9;;;1,11;;;80,3;92,8;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;80,3;92,8;;;;;;;;0;0;9;Orlando City B;9;MR;1,0
2696882287;848;1;1;0;13;cwnjxlibb02fuh0vwgvac6h45;1;82,9;92,5;2024-06-13T23:04:16.897Z;2024-06-19T12:52:50Z;[{'id': 5081824711, 'qualifierId': 140, 'value': '64.7'}, {'id': 5081824713, 'qualifierId': 141, 'value': '96.0'}, {'id': 5081824715, 'qualifierId': 212, 'value': '19.3'}, {'id': 5081824709, 'qualifierId': 56, 'value': 'Left'}, {'id': 5081824717, 'qualifierId': 213, 'value': '3.02'}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;19,3;;;3,02;;;64,7;96,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;64,7;96,0;;;;;;;;0;0;13;Orlando City B;13;ML;1,0
2696882289;849;1;1;0;15;cwnjxlibb02fuh0vwgvac6h45;1;63,9;94,5;2024-06-13T23:04:19.146Z;2024-06-19T12:52:55Z;[{'id': 5081824727, 'qualifierId': 141, 'value': '87.0'}, {'id': 5081824729, 'qualifierId': 212, 'value': '11.4'}, {'id': 5081824731, 'qualifierId': 213, 'value': '3.61'}, {'id': 5081824725, 'qualifierId': 140, 'value': '54.2'}, {'id': 5081824723, 'qualifierId': 56, 'value': 'Left'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;11,4;;;3,61;;;54,2;87,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;54,2;87,0;;;;;;;;0;0;15;Orlando City B;15;DC;1,0
2696882291;850;1;1;0;17;cwnjxlibb02fuh0vwgvac6h45;1;54,2;87,0;2024-06-13T23:04:20.898Z;2024-06-19T12:53:00Z;[{'id': 5081824741, 'qualifierId': 141, 'value': '96.5'}, {'id': 5081824737, 'qualifierId': 56, 'value': 'Left'}, {'id': 5081824743, 'qualifierId': 212, 'value': '10.4'}, {'id': 5081824745, 'qualifierId': 213, 'value': '0.67'}, {'id': 5081824739, 'qualifierId': 140, 'value': '62.0'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;10,4;;;0,67;;;62,0;96,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;62,0;96,5;;;;;;;;0;0;17;Orlando City B;17;DMC;1,0
2696882293;851;1;1;0;19;cwnjxlibb02fuh0vwgvac6h45;1;62,0;96,5;2024-06-13T23:04:22.397Z;2024-06-19T12:53:04Z;[{'id': 5081824761, 'qualifierId': 213, 'value': '0.01'}, {'id': 5081824757, 'qualifierId': 141, 'value': '96.8'}, {'id': 5081824759, 'qualifierId': 212, 'value': '18.8'}, {'id': 5081824755, 'qualifierId': 140, 'value': '79.9'}, {'id': 5081824753, 'qualifierId': 56, 'value': 'Left'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;18,8;;;0,01;;;79,9;96,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;79,9;96,8;;;;;;;;0;0;19;Orlando City B;19;DC;1,0
2696882297;852;1;1;0;19;cwnjxlibb02fuh0vwgvac6h45;1;79,9;96,8;2024-06-13T23:04:23.148Z;2024-06-19T12:53:23Z;[{'id': 5081824781, 'qualifierId': 140, 'value': '74.1'}, {'id': 5081824787, 'qualifierId': 213, 'value': '4.01'}, {'id': 5081824779, 'qualifierId': 56, 'value': 'Left'}, {'id': 5081824785, 'qualifierId': 212, 'value': '9.4'}, {'id': 5081824783, 'qualifierId': 141, 'value': '86.2'}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;9,4;;;4,01;;;74,1;86,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;74,1;86,2;;;;;;;;0;0;19;Orlando City B;19;ML;1,0
2696882299;853;61;1;0;20;cwnjxlibb02fuh0vwgvac6h45;0;70,1;93,9;2024-06-13T23:04:24.135Z;2024-06-19T12:53:23Z;[{'id': 5081824791, 'qualifierId': 56, 'value': 'Left'}];6zuton58biybp7ge3mpc17alm;Kwak Min-jae;;;dfe6xtgddcqowlgpwfidn1jx0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;20;Orlando City B;20;MC;1,0
2695919921;3;5;1;0;32;479lsfr4cwlzewpbuda3y2xv4;1;30,8;-1,6;2024-06-13T23:04:35.498Z;2024-06-13T23:04:42Z;[{'id': 5076572623, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076572625, 'qualifierId': 347}, {'id': 5076572725, 'qualifierId': 233, 'value': '4'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;dfe6xtgddcqowlgpwfidn1jx0;Out;;;;;;;;;;;;;;;;;;;;4,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;;0;0;32;Chattanooga;32;DR;1,0
2695919937;4;5;1;0;32;cwnjxlibb02fuh0vwgvac6h45;0;69,2;101,6;2024-06-13T23:04:35.498Z;2024-06-14T01:11:57Z;[{'id': 5076572693, 'qualifierId': 56, 'value': 'Left'}, {'id': 5076572695, 'qualifierId': 347}, {'id': 5076572729, 'qualifierId': 233, 'value': '3'}];adfocor2tbcmxo03ednm8vywa;J. Ibarra;;;dfe6xtgddcqowlgpwfidn1jx0;Out;;;;;;;;;;;;;;;;;;;;3,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;32;Orlando City B;32;ML;1,0
2695919941;4;1;1;0;35;479lsfr4cwlzewpbuda3y2xv4;0;22,0;0,0;2024-06-13T23:04:38.888Z;2024-06-13T23:04:41Z;[{'id': 5076572721, 'qualifierId': 213, 'value': '0.54'}, {'id': 5076572719, 'qualifierId': 212, 'value': '30.4'}, {'id': 5076572711, 'qualifierId': 107}, {'id': 5076572717, 'qualifierId': 141, 'value': '21.1'}, {'id': 5076572713, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076572723, 'qualifierId': 1}, {'id': 5076572715, 'qualifierId': 140, 'value': '46.9'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;dfe6xtgddcqowlgpwfidn1jx0;Pass;;;;;;;;;;30,4;;;0,54;;;46,9;21,1;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;46,9;21,1;;;;;;;;0;0;35;Chattanooga;35;DR;1,0
