id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamKit;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_Involved;value_JerseyNumber;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_Angle;value_PassEndX;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_KeeperThrow;value_Chipped;value_LayOff;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_Foul;value_Direct;value_Offensive;value_Shove/Push;value_Defensive;value_IntentionalAssist;value_Assist;value_Cross;value_FreeKickTaken;value_Right;value_GkY;value_SetPiece;value_BoxCentre;value_Assisted;value_NotPastGoalLine;value_Head;value_GoalmouthY;value_BlockedY;value_FirstTouch;value_BlockedX;value_GkX;value_GoalmouthZ;value_RelatedEventId;value_OutOnSideline;value_DeletedEventType;value_NextEventGoalKick;value_ShirtPull/Holding;value_IntendedTackleTarget;value_LeadingToGoal;value_RightFooted;value_RelatedError1Id;value_GoalShotTimestamp;value_GoalShotGameClock;value_NotAssisted;value_KeeperTouched;value_LowCentre;value_RegularPlay;value_SmallBoxRight;value_IndividualPlay;value_AttemptedTackle;value_BlockedPass;value_SwitchOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_FromCorner;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_Volley;value_CloseHigh;value_Blocked;value_OutOfBoxCentre;value_DefBlock;value_FastBreak;value_LeftFooted;value_FlickOn;value_PullBack;value_AerialFoul;value_BoxLeft;value_NotVisible;value_OutSwinger;value_CloseLeft;value_Collected;value_Hands;value_Standing;value_LowRight;value_LowLeft;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_FantasyAssistId;value_OwnGoal;value_ThroughBall;value_HighLeft;value_HighClaim;value_HighCentre;value_Diving;value_ParriedSafe;value_Minutes;value_High;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Handball;value_CaptainChange;value_BoxRight;value_Overrun;value_GkKickFromHands;value_TacticalFoul;value_YellowCard;value_CloseRight;value_Injury;value_InjuredPlayerId;value_SmallBoxCentre;value_BigChance;value_RecklessOffence;value_GkHoof;value_SixYardBlocked;value_MisHit;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GoesToPenalties;value_HitWoodwork;value_HitLeftPost;value_HighRight;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2712098561;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-23T23:07:50.925Z;2024-08-24T01:32:42Z;[{'id': 5166007763, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166085925, 'qualifierId': 197, 'value': '23611'}, {'id': 5166007755, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5166257445, 'qualifierId': 194, 'value': '4k6c9nnzytq9qhc9uol64wg7o'}, {'id': 5166007761, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166007759, 'qualifierId': 130, 'value': '4'}, {'id': 5166007753, 'qualifierId': 30, 'value': '7csd9e4ga2p90zyawcpgdc82x, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 4k6c9nnzytq9qhc9uol64wg7o, bug5x187ehj0apzl11lrl3ip6, eiyzqnfh8r8aduel0seou7nu2, cwyml9l4tfvb4ceh8tv3au0wk, duj699i9620tuf3ii9z06bqsq, 3ei1s8oyub83owfxxbsygmsmi, 1p4rbf4wumfagv2ntlewdxey, 1cfm4ne1po0mld4bl37deg36c, 3o4uxnvpnf3cwjs3srwegxp90, 3mq1g1pyo3flkaorg9wqmfhuc, 2676930j149yvanqev61emh62, eq98gflais2v26wgbkw9wrxg4, 5bjavs7mhqjh1tlrfp4vj7od0, 4h2k5kwclhlgjk2koqin5r2fo, 1ni0mewxcbo26d1xxetkdy3ca, a0do5kh5akr89kst2p1hohixg'}, {'id': 5166007757, 'qualifierId': 59, 'value': '30, 38, 68, 37, 2, 31, 29, 42, 77, 74, 32, 75, 50, 70, 47, 81, 64, 63, 83'}];;;;;etwj8o8gw0dqlz3ivjqa29gk4;Team set up;;23611,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2712099295;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-23T23:11:28.687Z;2024-08-24T00:19:43Z;[{'id': 5166116319, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5166011835, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5166011841, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166011843, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166011837, 'qualifierId': 59, 'value': '25, 66, 56, 46, 43, 64, 53, 35, 48, 55, 68, 47, 70, 80, 45, 50, 52, 41, 73'}, {'id': 5166086487, 'qualifierId': 197, 'value': '14913'}, {'id': 5166011833, 'qualifierId': 30, 'value': '99hdzy5s45xr72d3lgttdmne1, 4ycsifqidpgttuanylwsyts7o, 710y645hepag4if4rm3gggjdg, 2buy6q56o0ixo30fatz7ps9w4, 5d341k1dxhlbetyh965z3q784, b3xoqrbmua9uzr0tw8kmnw9as, 4agnpztnedb7ql14bo477vspg, 64wbk2nsrs0ru0hjcq0lenwgk, b1p6qcv8wjzoxoax3nt13n5gq, 79knhnp7bvpjomzz14k715wtm, 9ii1zrimesdnqccy8dki8knx0, 83mk9m591utxa1lboute1kvmc, 12wcwqu2liyd0zv8ramcevh1w, 4uybjezp5gdqpvkwp8qsdxrf8, afdz1ibldn2vc8gtezyw8tqay, 2atsox1bassuexlgta8h3us4p, 6n55m4ykhmk5eqx0ymc2ufz84, 84oe7sbhy91b5xvbo2w28i7f8, cmwt0ezk7xwvni92pnkhgi0b8'}, {'id': 5166011839, 'qualifierId': 130, 'value': '2'}];;;;;etwj8o8gw0dqlz3ivjqa29gk4;Team set up;;14913,0;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New York City II;0;;
2712113275;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-24T00:05:56.095Z;2024-08-24T00:05:56Z;[{'id': 5166087355, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;etwj8o8gw0dqlz3ivjqa29gk4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2712113283;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-24T00:05:56.095Z;2024-08-24T00:05:57Z;[{'id': 5166087393, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;etwj8o8gw0dqlz3ivjqa29gk4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New York City II;0;;
2712113301;3;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;50,2;50,1;2024-08-24T00:05:56.096Z;2024-08-24T00:06:00Z;[{'id': 5166087485, 'qualifierId': 212, 'value': '22.6'}, {'id': 5166087489, 'qualifierId': 279, 'value': 'S'}, {'id': 5166087483, 'qualifierId': 141, 'value': '42.7'}, {'id': 5166087487, 'qualifierId': 213, 'value': '3.37'}, {'id': 5166087481, 'qualifierId': 140, 'value': '29.2'}, {'id': 5166087479, 'qualifierId': 56, 'value': 'Back'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;22,6;;42,7;3,37;29,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;29,2;42,7;;;;;;;;0;0;0;Chicago Fire II;0;FW;1,0
2712113323;4;1;1;0;4;6ddsx316t3j0z6nolrky9k4r8;1;31,7;42,1;2024-08-24T00:06:00.633Z;2024-08-24T00:06:04Z;[{'id': 5166087595, 'qualifierId': 1}, {'id': 5166087585, 'qualifierId': 56, 'value': 'Left'}, {'id': 5166087591, 'qualifierId': 212, 'value': '43.8'}, {'id': 5166087589, 'qualifierId': 141, 'value': '93.5'}, {'id': 5166087583, 'qualifierId': 157}, {'id': 5166087587, 'qualifierId': 140, 'value': '56.9'}, {'id': 5166087593, 'qualifierId': 213, 'value': '0.92'}];bug5x187ehj0apzl11lrl3ip6;R. Hope-Gund;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;43,8;;93,5;0,92;56,9;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;56,9;93,5;;;;;;;;0;0;4;Chicago Fire II;4;DL;1,0
2712113337;5;1;1;0;8;6ddsx316t3j0z6nolrky9k4r8;1;52,8;95,1;2024-08-24T00:06:04.745Z;2024-08-24T00:06:07Z;[{'id': 5166087697, 'qualifierId': 212, 'value': '16.6'}, {'id': 5166087691, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166087695, 'qualifierId': 141, 'value': '95.9'}, {'id': 5166087699, 'qualifierId': 213, 'value': '3.11'}, {'id': 5166087693, 'qualifierId': 140, 'value': '37.0'}];1cfm4ne1po0mld4bl37deg36c;J. Shore;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;16,6;;95,9;3,11;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;37,0;95,9;;;;;;;;0;0;8;Chicago Fire II;8;FWL;1,0
2712113349;6;1;1;0;11;6ddsx316t3j0z6nolrky9k4r8;1;36,9;95,9;2024-08-24T00:06:07.305Z;2024-08-24T00:06:09Z;[{'id': 5166087749, 'qualifierId': 141, 'value': '71.1'}, {'id': 5166087751, 'qualifierId': 212, 'value': '22.6'}, {'id': 5166087747, 'qualifierId': 140, 'value': '22.6'}, {'id': 5166087753, 'qualifierId': 213, 'value': '3.98'}, {'id': 5166087745, 'qualifierId': 56, 'value': 'Back'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;22,6;;71,1;3,98;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;22,6;71,1;;;;;;;;0;0;11;Chicago Fire II;11;DC;1,0
2712113361;7;1;1;0;13;6ddsx316t3j0z6nolrky9k4r8;0;23,2;72,4;2024-08-24T00:06:09.177Z;2024-08-24T00:06:11Z;[{'id': 5166087795, 'qualifierId': 56, 'value': 'Center'}, {'id': 5166087799, 'qualifierId': 141, 'value': '71.1'}, {'id': 5166087793, 'qualifierId': 157}, {'id': 5166087801, 'qualifierId': 212, 'value': '52.7'}, {'id': 5166087797, 'qualifierId': 140, 'value': '73.4'}, {'id': 5166087803, 'qualifierId': 213, 'value': '6.27'}, {'id': 5166087809, 'qualifierId': 1}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;52,7;;71,1;6,27;73,4;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;73,4;71,1;;;;;;;;0;0;13;Chicago Fire II;13;DC;1,0
2712113365;3;1;1;0;15;8o8m08he36u0j4w08aj2iodn8;0;27,1;29,5;2024-08-24T00:06:11.859Z;2024-08-24T00:06:12Z;[{'id': 5166087817, 'qualifierId': 141, 'value': '39.8'}, {'id': 5166087815, 'qualifierId': 140, 'value': '27.7'}, {'id': 5166087811, 'qualifierId': 3}, {'id': 5166087821, 'qualifierId': 213, 'value': '1.48'}, {'id': 5166087819, 'qualifierId': 212, 'value': '7.0'}, {'id': 5166087813, 'qualifierId': 56, 'value': 'Back'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;7,0;;39,8;1,48;27,7;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;27,7;39,8;;;;;;;;0;0;15;New York City II;15;DL;1,0
2712113377;8;8;1;0;17;6ddsx316t3j0z6nolrky9k4r8;1;69,5;67,2;2024-08-24T00:06:13.545Z;2024-08-24T00:06:13Z;[{'id': 5166087857, 'qualifierId': 56, 'value': 'Center'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;etwj8o8gw0dqlz3ivjqa29gk4;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;17;Chicago Fire II;17;FW;1,0
2712113403;4;1;1;0;20;8o8m08he36u0j4w08aj2iodn8;1;14,7;46,6;2024-08-24T00:06:16.946Z;2024-08-24T00:06:20Z;[{'id': 5166088007, 'qualifierId': 3}, {'id': 5166088015, 'qualifierId': 212, 'value': '4.1'}, {'id': 5166088009, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166088013, 'qualifierId': 141, 'value': '48.1'}, {'id': 5166088017, 'qualifierId': 213, 'value': '2.89'}, {'id': 5166088011, 'qualifierId': 140, 'value': '10.9'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;4,1;;48,1;2,89;10,9;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;10,9;48,1;;;;;;;;0;0;20;New York City II;20;DC;1,0
2712113405;5;52;1;0;23;8o8m08he36u0j4w08aj2iodn8;1;11,7;43,7;2024-08-24T00:06:19.954Z;2024-08-24T00:06:20Z;[];99hdzy5s45xr72d3lgttdmne1;J. Gal;;;etwj8o8gw0dqlz3ivjqa29gk4;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;23;New York City II;23;GK;1,0
2712113435;6;1;1;0;27;8o8m08he36u0j4w08aj2iodn8;1;9,5;44,2;2024-08-24T00:06:23.795Z;2024-08-24T00:06:27Z;[{'id': 5166088179, 'qualifierId': 141, 'value': '60.2'}, {'id': 5166088173, 'qualifierId': 123}, {'id': 5166088181, 'qualifierId': 212, 'value': '10.9'}, {'id': 5166088177, 'qualifierId': 140, 'value': '9.4'}, {'id': 5166088183, 'qualifierId': 213, 'value': '1.58'}, {'id': 5166088175, 'qualifierId': 56, 'value': 'Back'}];99hdzy5s45xr72d3lgttdmne1;J. Gal;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;10,9;;60,2;1,58;9,4;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;9,4;60,2;;;;;;;;0;0;27;New York City II;27;GK;1,0
2712113457;7;1;1;0;31;8o8m08he36u0j4w08aj2iodn8;1;9,4;60,6;2024-08-24T00:06:27.299Z;2024-08-24T00:06:31Z;[{'id': 5166088331, 'qualifierId': 213, 'value': '4.56'}, {'id': 5166088323, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166088329, 'qualifierId': 212, 'value': '8.7'}, {'id': 5166088327, 'qualifierId': 141, 'value': '47.9'}, {'id': 5166088325, 'qualifierId': 140, 'value': '8.1'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;8,7;;47,9;4,56;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;8,1;47,9;;;;;;;;0;0;31;New York City II;31;DC;1,0
2712113465;8;1;1;0;35;8o8m08he36u0j4w08aj2iodn8;1;9,1;43,0;2024-08-24T00:06:31.411Z;2024-08-24T00:06:33Z;[{'id': 5166088369, 'qualifierId': 213, 'value': '0.42'}, {'id': 5166088363, 'qualifierId': 140, 'value': '44.2'}, {'id': 5166088367, 'qualifierId': 212, 'value': '40.3'}, {'id': 5166088361, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166088371, 'qualifierId': 1}, {'id': 5166088359, 'qualifierId': 155}, {'id': 5166088365, 'qualifierId': 141, 'value': '67.0'}];99hdzy5s45xr72d3lgttdmne1;J. Gal;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;40,3;;67,0;0,42;44,2;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;44,2;67,0;;;;;;;;0;0;35;New York City II;35;GK;1,0
2712113489;9;1;1;0;36;8o8m08he36u0j4w08aj2iodn8;1;44,2;67,5;2024-08-24T00:06:32.979Z;2024-08-24T00:53:44Z;[{'id': 5166088515, 'qualifierId': 140, 'value': '39.2'}, {'id': 5166190917, 'qualifierId': 156}, {'id': 5166088519, 'qualifierId': 212, 'value': '5.7'}, {'id': 5166088513, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166088511, 'qualifierId': 3}, {'id': 5166088517, 'qualifierId': 141, 'value': '70.6'}, {'id': 5166088521, 'qualifierId': 213, 'value': '2.76'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;5,7;;70,6;2,76;39,2;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;39,2;70,6;;;;;;;;0;0;36;New York City II;36;FW;1,0
2712113499;10;1;1;0;40;8o8m08he36u0j4w08aj2iodn8;1;42,4;71,7;2024-08-24T00:06:36.771Z;2024-08-24T00:55:34Z;[{'id': 5166088575, 'qualifierId': 141, 'value': '85.7'}, {'id': 5166088571, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166088577, 'qualifierId': 212, 'value': '9.7'}, {'id': 5166088579, 'qualifierId': 213, 'value': '1.40'}, {'id': 5166088573, 'qualifierId': 140, 'value': '44.0'}];9ii1zrimesdnqccy8dki8knx0;V. Hlyut;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;9,7;;85,7;1,4;44,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;44,0;85,7;;;;;;;;0;0;40;New York City II;40;ML;1,0
2712113501;11;1;1;0;42;8o8m08he36u0j4w08aj2iodn8;1;44,9;71,6;2024-08-24T00:06:38.521Z;2024-08-24T00:55:33Z;[{'id': 5166191565, 'qualifierId': 141, 'value': '92.8'}, {'id': 5166191569, 'qualifierId': 213, 'value': '1.81'}, {'id': 5166191563, 'qualifierId': 140, 'value': '41.5'}, {'id': 5166191561, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166191567, 'qualifierId': 212, 'value': '14.9'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;14,9;;92,8;1,81;41,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;41,5;92,8;;;;;;;;0;0;42;New York City II;42;FW;1,0
2712113505;12;1;1;0;42;8o8m08he36u0j4w08aj2iodn8;1;47,0;92,4;2024-08-24T00:06:38.676Z;2024-08-24T00:55:31Z;[{'id': 5166192743, 'qualifierId': 141, 'value': '92.6'}, {'id': 5166192739, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166192747, 'qualifierId': 213, 'value': '3.13'}, {'id': 5166192745, 'qualifierId': 212, 'value': '10.5'}, {'id': 5166192741, 'qualifierId': 140, 'value': '37.0'}];710y645hepag4if4rm3gggjdg;B. Richards;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;10,5;;92,6;3,13;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;37,0;92,6;;;;;;;;0;0;42;New York City II;42;DC;1,0
2712132293;409;1;1;0;43;8o8m08he36u0j4w08aj2iodn8;1;40,2;85,4;2024-08-24T00:06:39.095Z;2024-08-24T00:54:52Z;[{'id': 5166193373, 'qualifierId': 141, 'value': '94.7'}, {'id': 5166193369, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166193377, 'qualifierId': 213, 'value': '2.17'}, {'id': 5166193375, 'qualifierId': 212, 'value': '7.7'}, {'id': 5166193371, 'qualifierId': 140, 'value': '36.1'}];9ii1zrimesdnqccy8dki8knx0;V. Hlyut;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;7,7;;94,7;2,17;36,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;36,1;94,7;;;;;;;;0;0;43;New York City II;43;ML;1,0
2712132433;410;1;1;0;47;8o8m08he36u0j4w08aj2iodn8;0;33,8;94,7;2024-08-24T00:06:43.095Z;2024-08-24T00:55:15Z;[{'id': 5166194159, 'qualifierId': 213, 'value': '0.00'}, {'id': 5166194153, 'qualifierId': 140, 'value': '49.0'}, {'id': 5166194151, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166194157, 'qualifierId': 212, 'value': '16.0'}, {'id': 5166194155, 'qualifierId': 141, 'value': '94.8'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;etwj8o8gw0dqlz3ivjqa29gk4;Pass;;;;;;;;;;16,0;;94,8;0,0;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;49,0;94,8;;;;;;;;0;0;47;New York City II;47;MC;1,0
