id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_PlayerPosition;value_Captain;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Length;value_Angle;value_KickOff;value_Zone;value_Chipped;value_SwitchOfPlay;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TouchTypeClearance;value_Head;value_HeadPass;value_Offensive;value_BlockedPass;value_Defensive;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_Cross;value_RightFooted;value_NextEventGoalKick;value_GoalKick;value_Low;value_NotVisible;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypePass;value_DeletedEventType;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_TakeOnOvertake;value_TouchTypeControl;value_Shove/Push;value_LowGkIntervention;value_KeeperThrow;value_InjuredPlayerId;value_Injury;value_High;value_FlickOn;value_LayOff;value_LeftFooted;value_PlayersCaughtOffside;value_Indirect;value_OutOfPlay;value_InSwinger;value_FirstTouch;value_GkY;value_BlockedY;value_SixYardBlocked;value_BlockedX;value_NotAssisted;value_LowRight;value_SmallBoxRight;value_FromCorner;value_GkX;value_GoalmouthY;value_Blocked;value_GoalmouthZ;value_DefBlock;value_SmallBoxCentre;value_RegularPlay;value_LowCentre;value_HighGkIntervention;value_BlockedCross;value_Volley;value_BoxLeft;value_CloseRight;value_Assist;value_IndividualPlay;value_BoxCentre;value_Assisted;value_Diving;value_Collected;value_Hands;value_OverArm;value_Defensive1V1;value_FreeKick;value_SwerveLeft;value_OutOfBoxCentre;value_BoxRight;value_ShirtPull/Holding;value_PullBack;value_SwerveRight;value_HighRight;value_ParriedSafe;value_OverhitCross;value_Minutes;value_HighClaim;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Overrun;value_LowLeft;value_ParriedDanger;value_BigChance;value_Stooping;value_GkHoof;value_IntentionalAssist;value_TacticalFoul;value_MediumGkIntervention;value_HighLeft;value_FastBreak;value_CloseLeft;value_MisHit;value_Weak;value_OutOfBoxRight;value_Standing;value_CaptainChange;value_Dissent;value_GkKickFromHands;value_GoesToPenalties;value_Penalty;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Scored;value_Saved;value_HitWoodwork;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2681910229;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-03T22:40:44.773Z;2024-05-03T23:56:58Z;[{'id': 5000086041, 'qualifierId': 30, 'value': 'cu84s15ig7u7g9iwwcff82yuh, 5c7gqtyra887hjyg502tvzn1m, bjk2ns3xadow18v3tkvqqrkh6, 6ahu72g0u39bxbjiz7ggefai1, 3uzxhd8g0jnft5xcd59yztm95, d5kcfgycj51y6aw82r38sl7o4, cbjd834y2hdx5jr3bda1zz6ga, 216tgeofjnxr75ehcftkvxkpg, eg5gobm8zylt21enud00dfnmy, 1b9b97pxox77ia41cilqqm4iy, 7y5v3oex0pnupaahm8arguluc, astn4ytzoaav30ifi17s4dn8, 2dpxsh3ijdwmlkdi1xgiefpqs, ctiorjdoewl12d0mtj1nqmas4, f69xf0cdfn1qe63t5tr5in10, b56zx0iumlw5cpjctu307c74k, ax2y5fvc4dzwn4qkxrfutapsk, c94hzs7c9bhmoc3iogsgwdjx0, dtb9aa7wp7e73bm367myma1n9, 2iz7apzo49byqz0ws65h9d7v8'}, {'id': 5000086049, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5000086051, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5000086047, 'qualifierId': 130, 'value': '8'}, {'id': 5000086043, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5000176081, 'qualifierId': 194, 'value': '5c7gqtyra887hjyg502tvzn1m'}, {'id': 5000142571, 'qualifierId': 197, 'value': '6108'}, {'id': 5000086045, 'qualifierId': 59, 'value': '22, 47, 75, 45, 36, 86, 52, 23, 99, 30, 55, 41, 44, 49, 50, 57, 62, 77, 88, 95'}];;;;ckp7byqdw5hwrggka891suuj8;Team set up;;;;8,0;;;6108,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;New York City II;0;;
2681910411;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-05-03T22:42:01.795Z;2024-05-04T01:26:39Z;[{'id': 5000087029, 'qualifierId': 59, 'value': '44, 38, 68, 20, 31, 61, 77, 42, 99, 29, 32, 37, 47, 70, 74, 75'}, {'id': 5000292731, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5000087027, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5'}, {'id': 5000087033, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5000087035, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5000087031, 'qualifierId': 130, 'value': '8'}, {'id': 5000142317, 'qualifierId': 197, 'value': '23611'}, {'id': 5000087025, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 1kuo66geyyz9gu2n39w0bvr4k, eiyzqnfh8r8aduel0seou7nu2, 9ijxde56q9ayy0v9kgt2osx04, 3ei1s8oyub83owfxxbsygmsmi, duj699i9620tuf3ii9z06bqsq, 1d20nyyvmp0doobj6heejkowk, cwyml9l4tfvb4ceh8tv3au0wk, 1cfm4ne1po0mld4bl37deg36c, 4k6c9nnzytq9qhc9uol64wg7o, eq98gflais2v26wgbkw9wrxg4, 2676930j149yvanqev61emh62, 1p4rbf4wumfagv2ntlewdxey, 3o4uxnvpnf3cwjs3srwegxp90'}];;;;ckp7byqdw5hwrggka891suuj8;Team set up;;;;8,0;;;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2681920817;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-03T23:33:55.906Z;2024-05-10T10:17:57Z;[{'id': 5000143133, 'qualifierId': 127, 'value': 'Right to Left'}];;;;ckp7byqdw5hwrggka891suuj8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;New York City II;0;;
2681920823;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-05-03T23:33:55.906Z;2024-05-03T23:33:59Z;[{'id': 5000143151, 'qualifierId': 127, 'value': 'Left to Right'}];;;;ckp7byqdw5hwrggka891suuj8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2681920849;3;1;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;50,2;50,1;2024-05-03T23:33:55.907Z;2024-05-03T23:34:00Z;[{'id': 5000143293, 'qualifierId': 140, 'value': '37.7'}, {'id': 5000143295, 'qualifierId': 141, 'value': '51.0'}, {'id': 5000143297, 'qualifierId': 212, 'value': '13.1'}, {'id': 5000143299, 'qualifierId': 213, 'value': '3.09'}, {'id': 5000143301, 'qualifierId': 279, 'value': 'S'}, {'id': 5000143291, 'qualifierId': 56, 'value': 'Back'}];eg5gobm8zylt21enud00dfnmy;K. Tmimi;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;37,7;51,0;13,1;3,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;37,7;51,0;;;;;;;;0;0;0;New York City II;0;FW;1,0
2681920851;4;1;1;0;2;erwnez7ksfkns4dqmyr1fhbe;1;37,7;51,0;2024-05-03T23:33:58.109Z;2024-05-03T23:34:00Z;[{'id': 5000143309, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000143311, 'qualifierId': 140, 'value': '42.1'}, {'id': 5000143313, 'qualifierId': 141, 'value': '7.4'}, {'id': 5000143317, 'qualifierId': 213, 'value': '4.87'}, {'id': 5000143315, 'qualifierId': 212, 'value': '30.0'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;42,1;7,4;30,0;4,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;42,1;7,4;;;;;;;;0;0;2;New York City II;2;MC;1,0
2681920879;5;1;1;0;4;erwnez7ksfkns4dqmyr1fhbe;1;42,1;7,3;2024-05-03T23:34:00.609Z;2024-05-03T23:34:04Z;[{'id': 5000143465, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000143471, 'qualifierId': 212, 'value': '25.0'}, {'id': 5000143467, 'qualifierId': 140, 'value': '20.0'}, {'id': 5000143473, 'qualifierId': 213, 'value': '2.76'}, {'id': 5000143469, 'qualifierId': 141, 'value': '20.9'}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;20,0;20,9;25,0;2,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;20,0;20,9;;;;;;;;0;0;4;New York City II;4;DR;1,0
2681920897;6;1;1;0;8;erwnez7ksfkns4dqmyr1fhbe;1;18,3;19,4;2024-05-03T23:34:04.265Z;2024-05-03T23:34:08Z;[{'id': 5000143581, 'qualifierId': 140, 'value': '4.4'}, {'id': 5000143589, 'qualifierId': 213, 'value': '2.17'}, {'id': 5000143579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000143585, 'qualifierId': 212, 'value': '25.8'}, {'id': 5000143583, 'qualifierId': 141, 'value': '50.7'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;4,4;50,7;25,8;2,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;4,4;50,7;;;;;;;;0;0;8;New York City II;8;DL;1,0
2681920933;7;1;1;0;12;erwnez7ksfkns4dqmyr1fhbe;1;6,1;58,2;2024-05-03T23:34:08.296Z;2024-05-03T23:34:14Z;[{'id': 5000143793, 'qualifierId': 212, 'value': '21.5'}, {'id': 5000143795, 'qualifierId': 213, 'value': '1.35'}, {'id': 5000143787, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000143791, 'qualifierId': 141, 'value': '89.1'}, {'id': 5000143789, 'qualifierId': 140, 'value': '10.5'}];cu84s15ig7u7g9iwwcff82yuh;J. Cohen;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;10,5;89,1;21,5;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;10,5;89,1;;;;;;;;0;0;12;New York City II;12;GK;1,0
2681920949;8;1;1;0;18;erwnez7ksfkns4dqmyr1fhbe;1;10,4;84,7;2024-05-03T23:34:14.124Z;2024-05-03T23:34:18Z;[{'id': 5000143903, 'qualifierId': 155}, {'id': 5000143905, 'qualifierId': 196}, {'id': 5000143915, 'qualifierId': 213, 'value': '4.92'}, {'id': 5000143913, 'qualifierId': 212, 'value': '54.0'}, {'id': 5000143907, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000143917, 'qualifierId': 1}, {'id': 5000143909, 'qualifierId': 140, 'value': '20.9'}, {'id': 5000143911, 'qualifierId': 141, 'value': '7.0'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;20,9;7,0;54,0;4,92;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;20,9;7,0;;;;;;;;0;0;18;New York City II;18;DC;1,0
2681920967;9;1;1;0;22;erwnez7ksfkns4dqmyr1fhbe;1;20,0;9,4;2024-05-03T23:34:18.483Z;2024-05-03T23:34:22Z;[{'id': 5000144019, 'qualifierId': 140, 'value': '25.6'}, {'id': 5000144021, 'qualifierId': 141, 'value': '47.5'}, {'id': 5000144017, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000144025, 'qualifierId': 213, 'value': '1.35'}, {'id': 5000144023, 'qualifierId': 212, 'value': '26.6'}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;25,6;47,5;26,6;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;25,6;47,5;;;;;;;;0;0;22;New York City II;22;DR;1,0
2681920985;10;1;1;0;26;erwnez7ksfkns4dqmyr1fhbe;0;26,2;47,5;2024-05-03T23:34:22.139Z;2024-05-03T23:34:24Z;[{'id': 5000144111, 'qualifierId': 157}, {'id': 5000144119, 'qualifierId': 212, 'value': '49.3'}, {'id': 5000144123, 'qualifierId': 1}, {'id': 5000144121, 'qualifierId': 213, 'value': '5.70'}, {'id': 5000144117, 'qualifierId': 141, 'value': '7.7'}, {'id': 5000144113, 'qualifierId': 56, 'value': 'Right'}, {'id': 5000144115, 'qualifierId': 140, 'value': '65.4'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;65,4;7,7;49,3;5,7;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;65,4;7,7;;;;;;;;0;0;26;New York City II;26;MC;1,0
2681920999;3;1;1;0;29;6ddsx316t3j0z6nolrky9k4r8;0;23,6;77,6;2024-05-03T23:34:25.536Z;2024-05-03T23:34:26Z;[{'id': 5000144205, 'qualifierId': 157}, {'id': 5000144215, 'qualifierId': 213, 'value': '0.94'}, {'id': 5000144213, 'qualifierId': 212, 'value': '20.0'}, {'id': 5000144211, 'qualifierId': 141, 'value': '100.0'}, {'id': 5000144209, 'qualifierId': 140, 'value': '34.8'}, {'id': 5000144207, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000144217, 'qualifierId': 1}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;34,8;100,0;20,0;0,94;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;34,8;100,0;;;;;;;;0;0;29;Atlanta United II;29;DC;1,0
2681921003;4;5;1;0;30;6ddsx316t3j0z6nolrky9k4r8;0;36,5;101,4;2024-05-03T23:34:26.363Z;2024-05-03T23:34:38Z;[{'id': 5000144229, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000144231, 'qualifierId': 347}, {'id': 5000144459, 'qualifierId': 233, 'value': '11'}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;ckp7byqdw5hwrggka891suuj8;Out;;;;;;;;;;;;;;;;;;;;1,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;30;Atlanta United II;30;DC;1,0
2681921043;11;5;1;0;30;erwnez7ksfkns4dqmyr1fhbe;1;63,5;-1,4;2024-05-03T23:34:26.363Z;2024-05-03T23:35:52Z;[{'id': 5000144449, 'qualifierId': 347}, {'id': 5000144455, 'qualifierId': 233, 'value': '4'}, {'id': 5000144447, 'qualifierId': 56, 'value': 'Right'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;ckp7byqdw5hwrggka891suuj8;Out;;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;30;New York City II;30;MC;1,0
2681921051;12;1;1;0;41;erwnez7ksfkns4dqmyr1fhbe;1;58,9;0,0;2024-05-03T23:34:37.638Z;2024-05-03T23:34:40Z;[{'id': 5000144483, 'qualifierId': 141, 'value': '8.5'}, {'id': 5000144485, 'qualifierId': 212, 'value': '6.8'}, {'id': 5000144487, 'qualifierId': 213, 'value': '1.42'}, {'id': 5000144479, 'qualifierId': 56, 'value': 'Right'}, {'id': 5000144481, 'qualifierId': 140, 'value': '59.9'}, {'id': 5000144477, 'qualifierId': 107}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;59,9;8,5;6,8;1,42;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;59,9;8,5;;;;;;;;0;0;41;New York City II;41;DR;1,0
2681921063;13;1;1;0;44;erwnez7ksfkns4dqmyr1fhbe;1;58,3;13,2;2024-05-03T23:34:40.045Z;2024-05-03T23:34:43Z;[{'id': 5000144537, 'qualifierId': 140, 'value': '36.5'}, {'id': 5000144539, 'qualifierId': 141, 'value': '48.5'}, {'id': 5000144543, 'qualifierId': 213, 'value': '2.33'}, {'id': 5000144545, 'qualifierId': 1}, {'id': 5000144541, 'qualifierId': 212, 'value': '33.2'}, {'id': 5000144535, 'qualifierId': 56, 'value': 'Back'}];cbjd834y2hdx5jr3bda1zz6ga;E. Centeno;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;36,5;48,5;33,2;2,33;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;36,5;48,5;;;;;;;;0;0;44;New York City II;44;AMR;1,0
2681921073;14;1;1;0;47;erwnez7ksfkns4dqmyr1fhbe;1;36,5;48,5;2024-05-03T23:34:42.951Z;2024-05-03T23:34:44Z;[{'id': 5000144601, 'qualifierId': 213, 'value': '1.08'}, {'id': 5000144597, 'qualifierId': 141, 'value': '73.3'}, {'id': 5000144599, 'qualifierId': 212, 'value': '19.1'}, {'id': 5000144595, 'qualifierId': 140, 'value': '45.0'}, {'id': 5000144593, 'qualifierId': 56, 'value': 'Back'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;45,0;73,3;19,1;1,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;45,0;73,3;;;;;;;;0;0;47;New York City II;47;DC;1,0
2681921087;15;1;1;0;48;erwnez7ksfkns4dqmyr1fhbe;1;45,0;73,3;2024-05-03T23:34:44.779Z;2024-05-03T23:34:48Z;[{'id': 5000144667, 'qualifierId': 212, 'value': '17.7'}, {'id': 5000144663, 'qualifierId': 140, 'value': '34.7'}, {'id': 5000144665, 'qualifierId': 141, 'value': '52.7'}, {'id': 5000144661, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000144669, 'qualifierId': 213, 'value': '4.05'}];bjk2ns3xadow18v3tkvqqrkh6;J. Williams;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;34,7;52,7;17,7;4,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;34,7;52,7;;;;;;;;0;0;48;New York City II;48;DC;1,0
2681921117;16;1;1;0;52;erwnez7ksfkns4dqmyr1fhbe;1;36,2;49,7;2024-05-03T23:34:48.716Z;2024-05-03T23:34:53Z;[{'id': 5000144781, 'qualifierId': 140, 'value': '36.6'}, {'id': 5000144783, 'qualifierId': 141, 'value': '5.2'}, {'id': 5000144787, 'qualifierId': 213, 'value': '4.73'}, {'id': 5000144785, 'qualifierId': 212, 'value': '30.3'}, {'id': 5000144779, 'qualifierId': 56, 'value': 'Back'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;36,6;5,2;30,3;4,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;36,6;5,2;;;;;;;;0;0;52;New York City II;52;DC;1,0
2681921149;17;1;1;0;57;erwnez7ksfkns4dqmyr1fhbe;1;39,5;5,2;2024-05-03T23:34:52.997Z;2024-05-03T23:35:01Z;[{'id': 5000144967, 'qualifierId': 212, 'value': '27.4'}, {'id': 5000144965, 'qualifierId': 141, 'value': '43.3'}, {'id': 5000144963, 'qualifierId': 140, 'value': '30.9'}, {'id': 5000144969, 'qualifierId': 213, 'value': '1.91'}, {'id': 5000144961, 'qualifierId': 56, 'value': 'Back'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;30,9;43,3;27,4;1,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;30,9;43,3;;;;;;;;0;0;57;New York City II;57;DL;1,0
2681921181;18;1;1;1;5;erwnez7ksfkns4dqmyr1fhbe;1;34,0;43,9;2024-05-03T23:35:01.403Z;2024-05-03T23:35:06Z;[{'id': 5000145179, 'qualifierId': 212, 'value': '25.0'}, {'id': 5000145175, 'qualifierId': 140, 'value': '34.7'}, {'id': 5000145181, 'qualifierId': 213, 'value': '4.74'}, {'id': 5000145177, 'qualifierId': 141, 'value': '7.1'}, {'id': 5000145173, 'qualifierId': 56, 'value': 'Back'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;ckp7byqdw5hwrggka891suuj8;Pass;;;;;;;;;;34,7;7,1;25,0;4,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;34,7;7,1;;;;;;;;0;1;5;New York City II;65;DC;1,0
