id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_TeamKit;value_PlayerPosition;value_JerseyNumber;value_Captain;value_Resume;value_DirectionOfPlay;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Offensive;value_Defensive;value_TouchTypeClearance;value_Chipped;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_DeletedEventType;value_PlayersCaughtOffside;value_Indirect;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_IntentionalAssist;value_Assist;value_RegularPlay;value_Assisted;value_GoalmouthZ;value_BigChance;value_LowRight;value_GoalmouthY;value_GoalShotTimestamp;value_BoxCentre;value_GkY;value_RelatedEventId;value_RightFooted;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_FirstTouch;value_GoalShotGameClock;value_GkX;value_LayOff;value_Cross;value_OutSwinger;value_LeftFooted;value_SmallBoxLeft;value_CloseLeft;value_ThroughBall;value_SwitchOfPlay;value_PullBack;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_NotAssisted;value_Defensive1V1;value_AttemptedTackle;value_Overrun;value_TouchTypePass;value_TakeOnSpace;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_HighGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_Blocked;value_BlockedX;value_FromCorner;value_BlockedY;value_LowLeft;value_BoxLeft;value_DefBlock;value_CloseLeftAndHigh;value_OutOfBoxCentre;value_NotVisible;value_LowCentre;value_IndividualPlay;value_LowGkIntervention;value_OverArm;value_FlickOn;value_RecklessOffence;value_YellowCard;value_FastBreak;value_HighCentre;value_MediumGkIntervention;value_RefereeStop;value_WeatherProblem;value_ClockAffecting;value_SixYardBlocked;value_HeadPass;value_TacticalFoul;value_CloseRight;value_BoxRight;value_Penalty;value_PenaltyTakerId;value_Hands;value_ParriedSafe;value_Standing;value_Saved;value_Diving;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Collected;value_Minutes;value_BoxDeepLeft;value_OverhitCross;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Shove/Push;value_HighLeft;value_Volley;value_Handball;value_Straight;value_DrivenCross;value_Injury;value_InjuredPlayerId;value_AerialFoul;value_MisHit;value_NotPastGoalLine;value_SmallBoxCentre;value_HighRight;value_Reaching;value_GkKickFromHands;value_SwerveLeft;value_KeeperTouched;value_VideoCoverageLost;value_BlockedCross;value_SoloRun;value_ParriedDanger;value_OtherBodyPart;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_NewStartTime;value_Estimated;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698739069;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-06-30T20:21:09.282Z;2024-06-30T23:06:44Z;[{'id': 5092124129, 'qualifierId': 130, 'value': '10'}, {'id': 5092124131, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092124123, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 4agnpztnedb7ql14bo477vspg, 79knhnp7bvpjomzz14k715wtm, 84oe7sbhy91b5xvbo2w28i7f8, 72xktsosbsh2uwkwby59mr6z8, 5d341k1dxhlbetyh965z3q784, 5ehbz7f56cmfamc29fnk3yuax, afdz1ibldn2vc8gtezyw8tqay, 2atsox1bassuexlgta8h3us4p, b1p6qcv8wjzoxoax3nt13n5gq, 64wbk2nsrs0ru0hjcq0lenwgk, 6n0x8t513vmsmgfasovvoj7u2, 2buy6q56o0ixo30fatz7ps9w4, ctwn52am38jz5ly1h8ac069lg, a8t1jn05xxxccikegk8fdaiok, 83uri423ckm6ngfoerw6gwh04, b3xoqrbmua9uzr0tw8kmnw9as, 1x9uiwhoqu3qumt0urv5trlec, 9ii1zrimesdnqccy8dki8knx0, 4uybjezp5gdqpvkwp8qsdxrf8'}, {'id': 5092325029, 'qualifierId': 197, 'value': '24041'}, {'id': 5092124125, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092124127, 'qualifierId': 59, 'value': '70, 53, 55, 41, 42, 43, 49, 45, 50, 48, 35, 44, 46, 57, 59, 62, 64, 67, 68, 80'}, {'id': 5092337581, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5092124133, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dpnd9apr7pvehvnwqne9dmrkk;Team set up;10,0;;;24041,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2698739151;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-06-30T20:21:29.097Z;2024-06-30T22:51:35Z;[{'id': 5092124579, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092124581, 'qualifierId': 59, 'value': '31, 24, 20, 66, 6, 54, 60, 48, 68, 35, 40, 27, 41, 43, 44, 51, 52, 56, 71, 97'}, {'id': 5092124585, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092124587, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092274295, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5092313147, 'qualifierId': 197, 'value': '18742'}, {'id': 5092124577, 'qualifierId': 30, 'value': 'aiifscgp07zvj7thb3p3huelm, 52rcg38mijjjusfwqxa2l7hex, dkgv1asv2glgvoddpvxe56t5g, dercetgxemr74f5yasq86s5t6, 9b29l83qhedv79h20lgyu9tqt, ezda0qbkzxiyuxmpc360mcdn8, 9qhpi9y9iujvkbocafhgrj04q, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, ds4avrkvrp4jxq9lp02ssci22, 6bg69aksa8wb6wmu7w81is8yy, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, avxfzgoe2y0opif75qu3aeb6c, 3xd2kq7cxmvdbqsfzgi644c4q, 4npcsyrhri5kmeks8gfon146i, bkfv997rk0vvplqh2e4dot1w, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 5092124583, 'qualifierId': 130, 'value': '4'}];;;;;dpnd9apr7pvehvnwqne9dmrkk;Team set up;4,0;;;18742,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2698772853;3;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-06-30T22:53:02.067Z;2024-06-30T22:53:02Z;[{'id': 5092315275, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dpnd9apr7pvehvnwqne9dmrkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2698772855;5;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-06-30T22:53:02.067Z;2024-07-03T06:13:37Z;[{'id': 5092315279, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dpnd9apr7pvehvnwqne9dmrkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2698772867;4;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;50,1;50,0;2024-06-30T22:53:02.068Z;2024-06-30T22:53:07Z;[{'id': 5092315367, 'qualifierId': 212, 'value': '22.5'}, {'id': 5092315375, 'qualifierId': 279, 'value': 'S'}, {'id': 5092315355, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092315371, 'qualifierId': 213, 'value': '3.15'}, {'id': 5092315359, 'qualifierId': 140, 'value': '28.7'}, {'id': 5092315363, 'qualifierId': 141, 'value': '49.6'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;22,5;;;3,15;28,7;49,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;28,7;49,6;;;;;;;;0;0;0;Crown Legacy;0;FW;1,0
2698772875;5;1;1;0;3;8o8m08he36u0j4w08aj2iodn8;0;30,2;53,0;2024-06-30T22:53:05.414Z;2024-07-03T04:41:43Z;[{'id': 5092315403, 'qualifierId': 157}, {'id': 5092315415, 'qualifierId': 1}, {'id': 5092315411, 'qualifierId': 212, 'value': '55.0'}, {'id': 5092315409, 'qualifierId': 141, 'value': '100.0'}, {'id': 5092315407, 'qualifierId': 140, 'value': '72.4'}, {'id': 5092315405, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092315413, 'qualifierId': 213, 'value': '0.63'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;55,0;;;0,63;72,4;100,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;72,4;100,0;;;;;;;;0;0;3;Crown Legacy;3;DC;1,0
2698772919;6;5;1;0;7;6ubc4y1v6hr63mca7ica4hp90;1;25,6;-0,9;2024-06-30T22:53:09.791Z;2024-06-30T23:35:05Z;[{'id': 5092315687, 'qualifierId': 233, 'value': '6'}, {'id': 5092315685, 'qualifierId': 347}, {'id': 5092315683, 'qualifierId': 56, 'value': 'Back'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;dpnd9apr7pvehvnwqne9dmrkk;Out;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;7;Chicago Fire II;7;MC;1,0
2698772877;6;5;1;0;7;8o8m08he36u0j4w08aj2iodn8;0;74,4;100,9;2024-06-30T22:53:09.791Z;2024-06-30T22:53:16Z;[{'id': 5092315703, 'qualifierId': 233, 'value': '6'}, {'id': 5092315417, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092315419, 'qualifierId': 347}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dpnd9apr7pvehvnwqne9dmrkk;Out;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;7;Crown Legacy;7;DC;1,0
2698772953;7;1;1;0;13;6ubc4y1v6hr63mca7ica4hp90;1;28,4;0,0;2024-06-30T22:53:15.812Z;2024-06-30T22:53:22Z;[{'id': 5092315883, 'qualifierId': 140, 'value': '41.8'}, {'id': 5092315889, 'qualifierId': 213, 'value': '0.79'}, {'id': 5092315879, 'qualifierId': 107}, {'id': 5092315881, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092315885, 'qualifierId': 141, 'value': '19.5'}, {'id': 5092315887, 'qualifierId': 212, 'value': '19.9'}];52rcg38mijjjusfwqxa2l7hex;J. Lindsey;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;19,9;;;0,79;41,8;19,5;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;41,8;19,5;;;;;;;;0;0;13;Chicago Fire II;13;DR;1,0
2698772945;7;83;1;0;18;8o8m08he36u0j4w08aj2iodn8;0;54,5;88,7;2024-06-30T22:53:20.997Z;2024-06-30T23:40:41Z;[{'id': 5092388525, 'qualifierId': 399, 'value': 'f12wt1v2qf2siv8p6q6x2bxuc'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;dpnd9apr7pvehvnwqne9dmrkk;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;18;Crown Legacy;18;MC;1,0
2698772957;8;50;1;0;20;6ubc4y1v6hr63mca7ica4hp90;1;40,4;13,0;2024-06-30T22:53:22.181Z;2024-06-30T23:00:18Z;[{'id': 5092325831, 'qualifierId': 233, 'value': '8'}, {'id': 5092315907, 'qualifierId': 286}, {'id': 5092315905, 'qualifierId': 56, 'value': 'Back'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;dpnd9apr7pvehvnwqne9dmrkk;Dispossessed;;;;;;;;;;;;;;;;;;8,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;20;Chicago Fire II;20;FW;1,0
2698772959;8;7;1;0;20;8o8m08he36u0j4w08aj2iodn8;0;59,6;87,0;2024-06-30T22:53:22.182Z;2024-07-03T04:42:11Z;[{'id': 5092325819, 'qualifierId': 285}, {'id': 5093708289, 'qualifierId': 385}, {'id': 5092325817, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092325825, 'qualifierId': 233, 'value': '8'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;dpnd9apr7pvehvnwqne9dmrkk;Tackle;;;;;;;;;;;;;;;;;;8,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;20;Crown Legacy;20;DL;1,0
2698773141;10;61;1;0;20;6ubc4y1v6hr63mca7ica4hp90;1;42,2;8,1;2024-06-30T22:53:22.838Z;2024-06-30T22:54:16Z;[{'id': 5092316999, 'qualifierId': 56, 'value': 'Back'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;dpnd9apr7pvehvnwqne9dmrkk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;20;Chicago Fire II;20;MC;1,0
2698772981;9;5;1;0;21;6ubc4y1v6hr63mca7ica4hp90;0;38,7;-0,5;2024-06-30T22:53:23.460Z;2024-06-30T22:53:28Z;[{'id': 5092316075, 'qualifierId': 233, 'value': '9'}, {'id': 5092316037, 'qualifierId': 347}, {'id': 5092316035, 'qualifierId': 56, 'value': 'Back'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;dpnd9apr7pvehvnwqne9dmrkk;Out;;;;;;;;;;;;;;;;;;9,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;21;Chicago Fire II;21;FW;1,0
2698772973;9;5;1;0;21;8o8m08he36u0j4w08aj2iodn8;1;61,3;100,5;2024-06-30T22:53:23.460Z;2024-06-30T23:35:06Z;[{'id': 5092316067, 'qualifierId': 233, 'value': '9'}, {'id': 5092315987, 'qualifierId': 56, 'value': 'Left'}, {'id': 5092315989, 'qualifierId': 347}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;dpnd9apr7pvehvnwqne9dmrkk;Out;;;;;;;;;;;;;;;;;;9,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;21;Crown Legacy;21;DL;1,0
2698773001;10;1;1;0;28;8o8m08he36u0j4w08aj2iodn8;1;56,6;100,0;2024-06-30T22:53:30.093Z;2024-06-30T22:53:32Z;[{'id': 5092316147, 'qualifierId': 213, 'value': '3.58'}, {'id': 5092316145, 'qualifierId': 212, 'value': '14.6'}, {'id': 5092316141, 'qualifierId': 140, 'value': '44.0'}, {'id': 5092316137, 'qualifierId': 107}, {'id': 5092316143, 'qualifierId': 141, 'value': '92.4'}, {'id': 5092316139, 'qualifierId': 56, 'value': 'Back'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;14,6;;;3,58;44,0;92,4;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;44,0;92,4;;;;;;;;0;0;28;Crown Legacy;28;DL;1,0
2698773011;11;1;1;0;30;8o8m08he36u0j4w08aj2iodn8;1;42,2;92,0;2024-06-30T22:53:32.597Z;2024-06-30T22:53:36Z;[{'id': 5092316201, 'qualifierId': 212, 'value': '21.2'}, {'id': 5092316203, 'qualifierId': 213, 'value': '3.07'}, {'id': 5092316199, 'qualifierId': 141, 'value': '94.1'}, {'id': 5092316195, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316197, 'qualifierId': 140, 'value': '22.1'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;21,2;;;3,07;22,1;94,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;22,1;94,1;;;;;;;;0;0;30;Crown Legacy;30;MC;1,0
2698773025;12;1;1;0;34;8o8m08he36u0j4w08aj2iodn8;1;20,0;94,8;2024-06-30T22:53:36.253Z;2024-06-30T22:53:39Z;[{'id': 5092316283, 'qualifierId': 213, 'value': '4.32'}, {'id': 5092316275, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316277, 'qualifierId': 140, 'value': '7.6'}, {'id': 5092316281, 'qualifierId': 212, 'value': '33.8'}, {'id': 5092316279, 'qualifierId': 141, 'value': '49.0'}, {'id': 5092316287, 'qualifierId': 1}];84oe7sbhy91b5xvbo2w28i7f8;J. Diouf;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;33,8;;;4,32;7,6;49,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;7,6;49,0;;;;;;;;0;0;34;Crown Legacy;34;DC;1,0
2698773031;13;1;1;0;37;8o8m08he36u0j4w08aj2iodn8;1;8,1;44,5;2024-06-30T22:53:39.149Z;2024-06-30T22:53:43Z;[{'id': 5092316343, 'qualifierId': 213, 'value': '5.45'}, {'id': 5092316341, 'qualifierId': 212, 'value': '27.1'}, {'id': 5092316335, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316339, 'qualifierId': 141, 'value': '15.0'}, {'id': 5092316337, 'qualifierId': 140, 'value': '25.4'}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;27,1;;;5,45;25,4;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;25,4;15,0;;;;;;;;0;0;37;Crown Legacy;37;GK;1,0
2698773043;14;1;1;0;41;8o8m08he36u0j4w08aj2iodn8;1;31,1;11,6;2024-06-30T22:53:43.133Z;2024-06-30T22:53:44Z;[{'id': 5092316413, 'qualifierId': 141, 'value': '27.9'}, {'id': 5092316409, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316411, 'qualifierId': 140, 'value': '32.2'}, {'id': 5092316419, 'qualifierId': 213, 'value': '1.47'}, {'id': 5092316415, 'qualifierId': 212, 'value': '11.1'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;11,1;;;1,47;32,2;27,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;32,2;27,9;;;;;;;;0;0;41;Crown Legacy;41;DC;1,0
2698773047;15;1;1;0;42;8o8m08he36u0j4w08aj2iodn8;1;32,2;27,9;2024-06-30T22:53:44.541Z;2024-06-30T22:53:47Z;[{'id': 5092316445, 'qualifierId': 140, 'value': '9.2'}, {'id': 5092316447, 'qualifierId': 141, 'value': '43.6'}, {'id': 5092316449, 'qualifierId': 212, 'value': '26.4'}, {'id': 5092316443, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316451, 'qualifierId': 213, 'value': '2.73'}];5ehbz7f56cmfamc29fnk3yuax;L. Prpa;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;26,4;;;2,73;9,2;43,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;9,2;43,6;;;;;;;;0;0;42;Crown Legacy;42;MC;1,0
2698773055;16;1;1;0;45;8o8m08he36u0j4w08aj2iodn8;1;8,6;45,7;2024-06-30T22:53:47.677Z;2024-06-30T22:53:50Z;[{'id': 5092316495, 'qualifierId': 141, 'value': '66.7'}, {'id': 5092316491, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092316499, 'qualifierId': 212, 'value': '15.3'}, {'id': 5092316493, 'qualifierId': 140, 'value': '13.9'}, {'id': 5092316503, 'qualifierId': 213, 'value': '1.20'}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;15,3;;;1,2;13,9;66,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;13,9;66,7;;;;;;;;0;0;45;Crown Legacy;45;GK;1,0
