id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_Zone;value_Length;value_PassEndY;value_Angle;value_PassEndX;value_LongBall;value_IntendedTackleTarget;value_Direct;value_Foul;value_Offensive;value_AttemptedTackle;value_OppositeRelatedEventId;value_Defensive;value_FreeKickTaken;value_Cross;value_Chipped;value_DeletedEventType;value_Head;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GoalmouthZ;value_RelatedEventId;value_RightFooted;value_GkX;value_Assisted;value_GkY;value_RegularPlay;value_BoxRight;value_CloseLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_ShirtPull/Holding;value_BoxCentre;value_TempBlocked;value_OutOfPlay;value_OutOfBoxCentre;value_BlockedY;value_BlockedX;value_LowLeft;value_IndividualPlay;value_Hands;value_Stooping;value_Caught;value_NotVisible;value_GkHoof;value_HeadPass;value_BlockedPass;value_Left;value_CornerTaken;value_InSwinger;value_HighRight;value_Volley;value_FromCorner;value_FirstTouch;value_FlickOn;value_Dissent;value_YellowCard;value_SwitchOfPlay;value_BlockedCross;value_Right;value_OutSwinger;value_GkChallenge;value_Shove/Push;value_Penalty;value_PenaltyTakerId;value_Injury;value_InjuredPlayerId;value_Diving;value_Saved;value_HitWoodwork;value_LeftFooted;value_NotAssisted;value_BigChance;value_Second(2Nd)OppositeRelatedEventId;value_HitLeftPost;value_LowCentre;value_CausingPlayer;value_Feet;value_ParriedDanger;value_OverhitCross;value_KeeperThrow;value_PullBack;value_Collected;value_Standing;value_TacticalFoul;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_SmallBoxRight;value_CloseRight;value_GoalShotGameClock;value_HighCentre;value_GoalShotTimestamp;value_LowRight;value_ParriedSafe;value_TempMissed;value_PositionSideId;value_DetailedPositionId;value_Blocked;value_DefBlock;value_High;value_BoxLeft;value_NotRetreating;value_RecklessOffence;value_NotPastGoalLine;value_Sliding;value_Reaching;value_CloseHigh;value_1On1;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710850023;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-18T22:05:04.662Z;2024-08-18T23:24:23Z;[{'id': 5159034277, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159034271, 'qualifierId': 59, 'value': '37, 90, 40, 89, 28, 42, 88, 38, 47, 99, 98, 39, 52, 96, 77, 76, 74, 35, 91'}, {'id': 5159034275, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159186805, 'qualifierId': 194, 'value': '4cfvnypovkt900sfxmdhvxtec'}, {'id': 5159163271, 'qualifierId': 197, 'value': '23615'}, {'id': 5159034269, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5159034267, 'qualifierId': 30, 'value': '78geqjj0pzo2gp7p8xg3q39w, 2gawx03wls5vwtlocjir3u7vu, 9kahvwswke29dt3uumulbktpm, tvbjgz0zeq5irumgofxrko44, 4cfvnypovkt900sfxmdhvxtec, 2vq2t4ttpcwey95jzofd60qy2, 9ts3xs5p912m8f3pph7ni9vkk, 3tkdn8arq1j3il4ako7rcio2y, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, vhjelesjaxtgjcgfv7yxp2lm, a8ngovgs2qfu5udzb97kelg16, c7luarkv7hwdspd9xhidhisk4, hranx8amv6zdzmvzda4to0lw, 4sw7pq7xhnf7pqii16lhtf7ro, avijawqszxv4ewdxydxeugbv8, 1wa60ccrpw2zqguj4ayeeacyc, 5n0su1a4r7kb7it3ghxbhrf56, 3f52lf1p2xmtzysfi8n18m044'}, {'id': 5159034273, 'qualifierId': 130, 'value': '12'}];;;;;erzackp6huaw3w59c0b7oerdg;Team set up;;;;;23615,0;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Austin II;0;;
2710851453;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-08-18T22:08:04.645Z;2024-08-18T23:03:16Z;[{'id': 5159163115, 'qualifierId': 197, 'value': '23347'}, {'id': 5159042079, 'qualifierId': 59, 'value': '1, 2, 3, 6, 14, 5, 18, 30, 32, 10, 19, 11, 9, 25, 8, 20, 17, 7, 4, 77'}, {'id': 5159042083, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159042081, 'qualifierId': 130, 'value': '4'}, {'id': 5159042077, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5159042075, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 3cbmr8hg3kszw5wl04p3ol27e, 4wgjayv8s85dueh5l88im6lwq, 4521gkm1oemvrfsgksz7b6zxm, 9yldym4386a2icfk6qb6i90r8, 7nxqbiq6fics5w3qnwhz249as, dcypf9mqtlcn5wetj1z7g3mui, 35ds2xu43z6jccyhlr8jsomzu, 53ufl7f1lbwnr7klx9ofxufbo, ec3xdenc4ncg4sc8ni4kkyln8, 4o2lk5bkmyxe8ji3lqjo69qtw'}, {'id': 5159042085, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;erzackp6huaw3w59c0b7oerdg;Team set up;;;;;23347,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2710874027;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-08-18T23:04:10.306Z;2024-08-18T23:04:10Z;[{'id': 5159165425, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;erzackp6huaw3w59c0b7oerdg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2710874031;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-18T23:04:10.306Z;2024-08-18T23:04:13Z;[{'id': 5159165439, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;erzackp6huaw3w59c0b7oerdg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Austin II;0;;
2710874037;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;49,9;50,1;2024-08-18T23:04:10.369Z;2024-08-18T23:04:13Z;[{'id': 5159165463, 'qualifierId': 279, 'value': 'S'}, {'id': 5159165453, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159165459, 'qualifierId': 212, 'value': '12.5'}, {'id': 5159165457, 'qualifierId': 141, 'value': '56.9'}, {'id': 5159165461, 'qualifierId': 213, 'value': '2.76'}, {'id': 5159165455, 'qualifierId': 140, 'value': '38.8'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;12,5;56,9;2,76;38,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;38,8;56,9;;;;;;;;0;0;0;Austin II;0;FW;1,0
2710874057;4;1;1;0;3;7fbej4xwoq4imaf5l39304m37;1;37,6;56,6;2024-08-18T23:04:13.957Z;2024-08-18T23:34:31Z;[{'id': 5159165607, 'qualifierId': 212, 'value': '20.1'}, {'id': 5159165601, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159165605, 'qualifierId': 141, 'value': '34.9'}, {'id': 5159165603, 'qualifierId': 140, 'value': '24.6'}, {'id': 5159165609, 'qualifierId': 213, 'value': '3.97'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;20,1;34,9;3,97;24,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,6;34,9;;;;;;;;0;0;3;Austin II;3;AMC;1,0
2710874095;5;1;1;0;8;7fbej4xwoq4imaf5l39304m37;1;24,3;35,5;2024-08-18T23:04:18.917Z;2024-08-18T23:04:20Z;[{'id': 5159165817, 'qualifierId': 213, 'value': '1.87'}, {'id': 5159165811, 'qualifierId': 140, 'value': '22.0'}, {'id': 5159165813, 'qualifierId': 141, 'value': '47.0'}, {'id': 5159165809, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159165815, 'qualifierId': 212, 'value': '8.2'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;8,2;47,0;1,87;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;22,0;47,0;;;;;;;;0;0;8;Austin II;8;DC;1,0
2710874101;6;1;1;0;10;7fbej4xwoq4imaf5l39304m37;1;22,2;49,7;2024-08-18T23:04:20.822Z;2024-08-18T23:04:22Z;[{'id': 5159165851, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159165857, 'qualifierId': 212, 'value': '16.6'}, {'id': 5159165859, 'qualifierId': 213, 'value': '1.44'}, {'id': 5159165853, 'qualifierId': 140, 'value': '24.2'}, {'id': 5159165855, 'qualifierId': 141, 'value': '73.9'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;16,6;73,9;1,44;24,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,2;73,9;;;;;;;;0;0;10;Austin II;10;DC;1,0
2710874125;7;1;1;0;12;7fbej4xwoq4imaf5l39304m37;1;24,3;75,0;2024-08-18T23:04:22.310Z;2024-08-18T23:34:43Z;[{'id': 5159165983, 'qualifierId': 213, 'value': '4.51'}, {'id': 5159165979, 'qualifierId': 141, 'value': '51.5'}, {'id': 5159165975, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159165977, 'qualifierId': 140, 'value': '21.2'}, {'id': 5159165981, 'qualifierId': 212, 'value': '16.3'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;16,3;51,5;4,51;21,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;21,2;51,5;;;;;;;;0;0;12;Austin II;12;DC;1,0
2710874171;8;1;1;0;15;7fbej4xwoq4imaf5l39304m37;1;20,7;47,6;2024-08-18T23:04:25.589Z;2024-08-18T23:04:32Z;[{'id': 5159166223, 'qualifierId': 140, 'value': '24.4'}, {'id': 5159166229, 'qualifierId': 213, 'value': '1.36'}, {'id': 5159166225, 'qualifierId': 141, 'value': '74.5'}, {'id': 5159166227, 'qualifierId': 212, 'value': '18.7'}, {'id': 5159166221, 'qualifierId': 56, 'value': 'Back'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;18,7;74,5;1,36;24,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,4;74,5;;;;;;;;0;0;15;Austin II;15;DC;1,0
2710874215;9;1;1;0;22;7fbej4xwoq4imaf5l39304m37;1;26,6;75,6;2024-08-18T23:04:32.582Z;2024-08-18T23:34:53Z;[{'id': 5159166457, 'qualifierId': 212, 'value': '27.9'}, {'id': 5159166451, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159166453, 'qualifierId': 140, 'value': '22.5'}, {'id': 5159166455, 'qualifierId': 141, 'value': '35.1'}, {'id': 5159166459, 'qualifierId': 213, 'value': '4.56'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;27,9;35,1;4,56;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;22,5;35,1;;;;;;;;0;0;22;Austin II;22;DC;1,0
2710874237;10;1;1;0;25;7fbej4xwoq4imaf5l39304m37;1;22,3;31,6;2024-08-18T23:04:36.021Z;2024-08-18T23:04:38Z;[{'id': 5159166575, 'qualifierId': 140, 'value': '31.6'}, {'id': 5159166577, 'qualifierId': 141, 'value': '44.9'}, {'id': 5159166581, 'qualifierId': 212, 'value': '13.3'}, {'id': 5159166573, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159166583, 'qualifierId': 213, 'value': '0.75'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;13,3;44,9;0,75;31,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;31,6;44,9;;;;;;;;0;0;25;Austin II;25;DC;1,0
2710874271;11;1;1;0;27;7fbej4xwoq4imaf5l39304m37;0;29,0;41,3;2024-08-18T23:04:38.181Z;2024-08-18T23:04:42Z;[{'id': 5159166717, 'qualifierId': 212, 'value': '37.0'}, {'id': 5159166721, 'qualifierId': 1}, {'id': 5159166711, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159166715, 'qualifierId': 141, 'value': '31.9'}, {'id': 5159166713, 'qualifierId': 140, 'value': '63.7'}, {'id': 5159166719, 'qualifierId': 213, 'value': '6.11'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;37,0;31,9;6,11;63,7;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;63,7;31,9;;;;;;;;0;0;27;Austin II;27;MC;1,0
2710874253;3;49;1;0;30;d0c07im4a6oj8qa7f1zlt3pqs;1;29,2;76,9;2024-08-18T23:04:40.629Z;2024-08-18T23:04:40Z;[];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;erzackp6huaw3w59c0b7oerdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;30;Sporting KC II;30;DC;1,0
2710874303;4;1;1;0;31;d0c07im4a6oj8qa7f1zlt3pqs;1;29,6;72,3;2024-08-18T23:04:41.828Z;2024-08-18T23:04:47Z;[{'id': 5159166899, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159166903, 'qualifierId': 141, 'value': '50.0'}, {'id': 5159166905, 'qualifierId': 212, 'value': '25.6'}, {'id': 5159166901, 'qualifierId': 140, 'value': '10.0'}, {'id': 5159166907, 'qualifierId': 213, 'value': '3.78'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;25,6;50,0;3,78;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;10,0;50,0;;;;;;;;0;0;31;Sporting KC II;31;DC;1,0
2710874331;5;1;1;0;37;d0c07im4a6oj8qa7f1zlt3pqs;1;12,0;47,9;2024-08-18T23:04:47.604Z;2024-08-18T23:04:50Z;[{'id': 5159167073, 'qualifierId': 212, 'value': '19.3'}, {'id': 5159167067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167075, 'qualifierId': 213, 'value': '5.36'}, {'id': 5159167069, 'qualifierId': 140, 'value': '23.1'}, {'id': 5159167071, 'qualifierId': 141, 'value': '25.3'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;19,3;25,3;5,36;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;23,1;25,3;;;;;;;;0;0;37;Sporting KC II;37;GK;1,0
2710874363;6;1;1;0;40;d0c07im4a6oj8qa7f1zlt3pqs;1;23,9;23,9;2024-08-18T23:04:50.469Z;2024-08-18T23:04:54Z;[{'id': 5159167241, 'qualifierId': 213, 'value': '1.90'}, {'id': 5159167233, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167239, 'qualifierId': 212, 'value': '33.9'}, {'id': 5159167237, 'qualifierId': 141, 'value': '71.1'}, {'id': 5159167235, 'qualifierId': 140, 'value': '13.5'}, {'id': 5159167243, 'qualifierId': 1}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;33,9;71,1;1,9;13,5;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;13,5;71,1;;;;;;;;0;0;40;Sporting KC II;40;DL;1,0
2710874395;7;1;1;0;44;d0c07im4a6oj8qa7f1zlt3pqs;1;20,8;67,6;2024-08-18T23:04:54.517Z;2024-08-18T23:04:59Z;[{'id': 5159167411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167417, 'qualifierId': 212, 'value': '29.3'}, {'id': 5159167419, 'qualifierId': 213, 'value': '4.81'}, {'id': 5159167413, 'qualifierId': 140, 'value': '23.6'}, {'id': 5159167415, 'qualifierId': 141, 'value': '24.7'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;29,3;24,7;4,81;23,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;23,6;24,7;;;;;;;;0;0;44;Sporting KC II;44;DC;1,0
2710874429;8;1;1;0;48;d0c07im4a6oj8qa7f1zlt3pqs;1;27,1;19,5;2024-08-18T23:04:58.948Z;2024-08-18T23:05:03Z;[{'id': 5159167603, 'qualifierId': 212, 'value': '16.6'}, {'id': 5159167597, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167599, 'qualifierId': 140, 'value': '38.6'}, {'id': 5159167601, 'qualifierId': 141, 'value': '2.8'}, {'id': 5159167605, 'qualifierId': 213, 'value': '5.53'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;16,6;2,8;5,53;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;38,6;2,8;;;;;;;;0;0;48;Sporting KC II;48;DL;1,0
2710874447;12;83;1;0;52;7fbej4xwoq4imaf5l39304m37;0;58,2;88,9;2024-08-18T23:05:02.909Z;2024-08-18T23:35:54Z;[{'id': 5159167945, 'qualifierId': 399, 'value': '8ly83pm2mbtz4u7jwsv0o96qy'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;erzackp6huaw3w59c0b7oerdg;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;52;Austin II;52;MC;1,0
2710874445;9;1;1;0;53;d0c07im4a6oj8qa7f1zlt3pqs;1;35,1;10,4;2024-08-18T23:05:03.620Z;2024-08-18T23:05:05Z;[{'id': 5159167697, 'qualifierId': 140, 'value': '22.4'}, {'id': 5159167703, 'qualifierId': 213, 'value': '3.16'}, {'id': 5159167701, 'qualifierId': 212, 'value': '13.3'}, {'id': 5159167699, 'qualifierId': 141, 'value': '10.0'}, {'id': 5159167693, 'qualifierId': 56, 'value': 'Back'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;13,3;10,0;3,16;22,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;22,4;10,0;;;;;;;;0;0;53;Sporting KC II;53;DR;1,0
2710874469;10;1;1;0;55;d0c07im4a6oj8qa7f1zlt3pqs;1;23,0;10,6;2024-08-18T23:05:05.476Z;2024-08-18T23:05:07Z;[{'id': 5159167821, 'qualifierId': 141, 'value': '44.9'}, {'id': 5159167817, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167819, 'qualifierId': 140, 'value': '7.7'}, {'id': 5159167825, 'qualifierId': 213, 'value': '2.17'}, {'id': 5159167823, 'qualifierId': 212, 'value': '28.3'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;28,3;44,9;2,17;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;7,7;44,9;;;;;;;;0;0;55;Sporting KC II;55;DL;1,0
2710874487;11;1;1;0;57;d0c07im4a6oj8qa7f1zlt3pqs;1;8,7;46,1;2024-08-18T23:05:07.557Z;2024-08-18T23:05:10Z;[{'id': 5159167893, 'qualifierId': 141, 'value': '69.4'}, {'id': 5159167895, 'qualifierId': 212, 'value': '16.3'}, {'id': 5159167897, 'qualifierId': 213, 'value': '1.34'}, {'id': 5159167889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159167891, 'qualifierId': 140, 'value': '12.2'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;16,3;69,4;1,34;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;12,2;69,4;;;;;;;;0;0;57;Sporting KC II;57;GK;1,0
