id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Involved;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Angle;value_Length;value_Zone;value_PassEndX;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_DeletedEventType;value_IntentionalAssist;value_Assist;value_BlockedY;value_BigChance;value_LeftFooted;value_LowCentre;value_FirstTouch;value_1On1;value_GoalmouthZ;value_Assisted;value_BlockedX;value_RelatedEventId;value_RegularPlay;value_OppositeRelatedEventId;value_GoalmouthY;value_BoxCentre;value_LowGkIntervention;value_Sliding;value_OtherBodyPart;value_ParriedSafe;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_TouchTypePass;value_Chipped;value_NextEventGoalKick;value_GoalKick;value_High;value_TakeOnSpace;value_TouchTypeControl;value_BlockedPass;value_ThrowIn;value_Left;value_IndividualPlay;value_GkY;value_BoxRight;value_GkX;value_Low;value_OutOfPlay;value_IntendedTackleTarget;value_TakeOnOvertake;value_SwitchOfPlay;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_RightFooted;value_SetPiece;value_Collected;value_Hands;value_Standing;value_NotAssisted;value_SmallBoxRight;value_LowRight;value_Stooping;value_KeeperThrow;value_OverArm;value_Overrun;value_CornerTaken;value_InSwinger;value_Cross;value_Shove/Push;value_FlickOn;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Head;value_MediumGkIntervention;value_OutSwinger;value_BlockedCross;value_Right;value_DefBlock;value_LayOff;value_Straight;value_FloatedCross;value_AerialFoul;value_VideoCoverageLost;value_HighGkIntervention;value_TouchTypeClearance;value_OutOfBoxCentre;value_LowLeft;value_DrivenCross;value_HighClaim;value_SixYardBlocked;value_Blocked;value_Penalty;value_PenaltyTakerId;value_Scored;value_Diving;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_CausingPlayer;value_Minutes;value_EndType;value_HighCentre;value_SmallBoxCentre;value_Reaching;value_FromCorner;value_HighRight;value_FastBreak;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_GkKickFromHands;value_OwnPlayer;value_HitLeftPost;value_HitWoodwork;value_NotPastGoalLine;value_CloseLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728298743;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-09-29T18:06:09.685Z;2024-09-29T19:09:39Z;[{'id': 5254633791, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254633781, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, cjhjwaelyypl3ca9gpzu61vys, 20wmdzih6b1t0ekt1v2qd4b2s, 434xf7moiduhzy9ivp7jxr10, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, 7nd2w9ipveb6nfo413i8focus, 5aszabja459117mqykvfpajh0, cbpm8k301adrmft5fd0kaeiuh, 872ifpo3qufi9vv9vy7ty6uj8, 1ceqwz4ozqi6ft5l4hf5a04r8, dvems493n5l4twsq6cq2fg26s, d4spt2529fmys8d26x61lk36c, sqm6jwnogmzp7u7rsv3rtel0, de6bz3uyz5ta17f0jnnfhzims'}, {'id': 5254633785, 'qualifierId': 59, 'value': '76, 30, 39, 24, 44, 29, 38, 6, 55, 77, 56, 32, 42, 88, 58, 57, 36, 47, 62, 45'}, {'id': 5254633783, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5254893965, 'qualifierId': 197, 'value': '23610'}, {'id': 5254633789, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254633787, 'qualifierId': 130, 'value': '3'}, {'id': 5254893153, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}];;;;;g0ejl83bkbxuocv8r983rbis;Team set up;;;;;23610,0;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2728300865;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-29T18:08:31.846Z;2024-09-29T19:03:54Z;[{'id': 5254645951, 'qualifierId': 130, 'value': '4'}, {'id': 5254645945, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 3uzxhd8g0jnft5xcd59yztm95, f69xf0cdfn1qe63t5tr5in10, 1b9b97pxox77ia41cilqqm4iy, 8pzkxfe5txe71u08n67d8k1uy, 2iz7apzo49byqz0ws65h9d7v8, d5kcfgycj51y6aw82r38sl7o4, 216tgeofjnxr75ehcftkvxkpg, 5zeta56pml2qki1q095myhvys, 8dcbkmm7ktscumo0c6qcpy1p0, ax2y5fvc4dzwn4qkxrfutapsk, eg5gobm8zylt21enud00dfnmy, astn4ytzoaav30ifi17s4dn8, 3lafo3mzfkp2kmf2fj8d6lnv8, bjk2ns3xadow18v3tkvqqrkh6, dtb9aa7wp7e73bm367myma1n9, 6ahu72g0u39bxbjiz7ggefai1, 7y5v3oex0pnupaahm8arguluc'}, {'id': 5254898015, 'qualifierId': 197, 'value': '4451'}, {'id': 5254645949, 'qualifierId': 59, 'value': '42, 36, 50, 30, 21, 95, 86, 23, 43, 48, 62, 99, 41, 38, 75, 88, 45, 55'}, {'id': 5254645947, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5254645955, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254645953, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254885977, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}];;;;;g0ejl83bkbxuocv8r983rbis;Team set up;;;;;4451,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2728344007;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-29T19:02:59.459Z;2024-09-29T19:03:29Z;[{'id': 5254893859, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;g0ejl83bkbxuocv8r983rbis;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2728344119;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-09-29T19:02:59.459Z;2024-10-03T08:05:36Z;[{'id': 5254894575, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;g0ejl83bkbxuocv8r983rbis;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2728389123;440;1;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;50,1;49,9;2024-09-29T19:02:59.460Z;2024-09-29T19:50:29Z;[{'id': 5255154495, 'qualifierId': 213, 'value': '3.21'}, {'id': 5255154493, 'qualifierId': 212, 'value': '25.2'}, {'id': 5255154487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255154489, 'qualifierId': 140, 'value': '26.2'}, {'id': 5255154497, 'qualifierId': 279, 'value': 'S'}, {'id': 5255154491, 'qualifierId': 141, 'value': '47.2'}];ax2y5fvc4dzwn4qkxrfutapsk;A. Gordon;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;3,21;25,2;;26,2;;47,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;26,2;47,2;;;;;;;;0;0;0;Philadelphia Union II;0;FWL;1,0
2728389417;441;1;1;0;2;erwnez7ksfkns4dqmyr1fhbe;1;26,5;56,9;2024-09-29T19:03:01.459Z;2024-09-29T19:50:46Z;[{'id': 5255156001, 'qualifierId': 140, 'value': '14.1'}, {'id': 5255156003, 'qualifierId': 141, 'value': '49.0'}, {'id': 5255156005, 'qualifierId': 212, 'value': '14.1'}, {'id': 5255155999, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255156007, 'qualifierId': 213, 'value': '3.53'}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;3,53;14,1;;14,1;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;14,1;49,0;;;;;;;;0;0;2;Philadelphia Union II;2;DC;1,0
2728389689;442;1;1;0;3;erwnez7ksfkns4dqmyr1fhbe;1;18,2;44,8;2024-09-29T19:03:02.459Z;2024-09-29T19:51:01Z;[{'id': 5255157305, 'qualifierId': 141, 'value': '18.3'}, {'id': 5255157297, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255157307, 'qualifierId': 212, 'value': '22.7'}, {'id': 5255157309, 'qualifierId': 213, 'value': '5.37'}, {'id': 5255157301, 'qualifierId': 140, 'value': '31.4'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;5,37;22,7;;31,4;;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;31,4;18,3;;;;;;;;0;0;3;Philadelphia Union II;3;GK;1,0
2728390199;443;1;1;0;8;erwnez7ksfkns4dqmyr1fhbe;1;26,2;14,0;2024-09-29T19:03:07.459Z;2024-09-29T19:51:32Z;[{'id': 5255159811, 'qualifierId': 1}, {'id': 5255159809, 'qualifierId': 213, 'value': '0.30'}, {'id': 5255159807, 'qualifierId': 212, 'value': '43.3'}, {'id': 5255159805, 'qualifierId': 141, 'value': '32.8'}, {'id': 5255159803, 'qualifierId': 140, 'value': '65.6'}, {'id': 5255159799, 'qualifierId': 157}, {'id': 5255159801, 'qualifierId': 56, 'value': 'Center'}];8pzkxfe5txe71u08n67d8k1uy;E. Morales;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;0,3;43,3;;65,6;;32,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;65,6;32,8;;;;;;;;0;0;8;Philadelphia Union II;8;DL;1,0
2728390409;444;1;1;0;11;erwnez7ksfkns4dqmyr1fhbe;1;60,4;20,9;2024-09-29T19:03:10.459Z;2024-09-29T19:51:43Z;[{'id': 5255160891, 'qualifierId': 56, 'value': 'Right'}, {'id': 5255160893, 'qualifierId': 140, 'value': '61.2'}, {'id': 5255160895, 'qualifierId': 141, 'value': '7.9'}, {'id': 5255160897, 'qualifierId': 212, 'value': '8.9'}, {'id': 5255160899, 'qualifierId': 213, 'value': '4.81'}];5zeta56pml2qki1q095myhvys;R. Neri;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;4,81;8,9;;61,2;;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;61,2;7,9;;;;;;;;0;0;11;Philadelphia Union II;11;FW;1,0
2728344209;3;43;1;0;12;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-09-29T19:03:11.847Z;2024-09-29T21:14:30Z;[{'id': 5254895031, 'qualifierId': 212, 'value': '18.1'}, {'id': 5254895027, 'qualifierId': 141, 'value': '68.2'}, {'id': 5254895017, 'qualifierId': 56, 'value': 'Center'}, {'id': 5254895021, 'qualifierId': 140, 'value': '61.6'}, {'id': 5254895035, 'qualifierId': 213, 'value': '0.84'}, {'id': 5255537989, 'qualifierId': 144, 'value': '1'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;g0ejl83bkbxuocv8r983rbis;Deleted event;;;;;;;;;;0,84;18,1;;61,6;;68,2;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;61,6;68,2;;;;;;;;0;0;12;Atlanta United II;12;FW;1,0
2728390433;445;1;1;0;13;erwnez7ksfkns4dqmyr1fhbe;1;69,7;14,3;2024-09-29T19:03:12.459Z;2024-09-29T19:52:40Z;[{'id': 5255165657, 'qualifierId': 154}, {'id': 5255161031, 'qualifierId': 140, 'value': '93.8'}, {'id': 5255161027, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255165655, 'qualifierId': 210, 'value': '15'}, {'id': 5255161039, 'qualifierId': 212, 'value': '33.2'}, {'id': 5255161035, 'qualifierId': 141, 'value': '45.8'}, {'id': 5255161045, 'qualifierId': 1}, {'id': 5255161043, 'qualifierId': 213, 'value': '0.70'}];8dcbkmm7ktscumo0c6qcpy1p0;C. Sanchez;1,0;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;0,7;33,2;;93,8;;45,8;1,0;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;93,8;45,8;;;;;;;;0;0;13;Philadelphia Union II;13;FWR;1,0
2728391039;446;15;1;0;14;erwnez7ksfkns4dqmyr1fhbe;1;85,9;45,5;2024-09-29T19:03:14.359Z;2024-09-29T19:55:58Z;[{'id': 5255165727, 'qualifierId': 147, 'value': '46.6'}, {'id': 5255165717, 'qualifierId': 214}, {'id': 5255164835, 'qualifierId': 72}, {'id': 5255165703, 'qualifierId': 78}, {'id': 5255165721, 'qualifierId': 328}, {'id': 5255165719, 'qualifierId': 89}, {'id': 5255165715, 'qualifierId': 103, 'value': '6.3'}, {'id': 5255165705, 'qualifierId': 29}, {'id': 5255165723, 'qualifierId': 146, 'value': '89.7'}, {'id': 5255165709, 'qualifierId': 55, 'value': '445'}, {'id': 5255164095, 'qualifierId': 22}, {'id': 5255179045, 'qualifierId': 233, 'value': '325'}, {'id': 5255165713, 'qualifierId': 102, 'value': '49.5'}, {'id': 5255164099, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255165707, 'qualifierId': 154}, {'id': 5255164097, 'qualifierId': 17}];ax2y5fvc4dzwn4qkxrfutapsk;A. Gordon;;;g0ejl83bkbxuocv8r983rbis;Attempt Saved;;;;;;;;;;;;;;;;;;;1,0;;46,6;1,0;1,0;1,0;1,0;1,0;6,3;1,0;89,7;445,0;1,0;325,0;49,5;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;89,7;46,6;49,5;6.3;445,0;8dcbkmm7ktscumo0c6qcpy1p0;;0;0;14;Philadelphia Union II;14;FWL;1,0
2728393937;325;10;1;0;15;1zgjjyruyufrkh4xjvryqsb1i;1;12,4;53,9;2024-09-29T19:03:14.459Z;2024-10-03T07:12:33Z;[{'id': 5255179031, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255179061, 'qualifierId': 233, 'value': '446'}, {'id': 5262183945, 'qualifierId': 376}, {'id': 5255179027, 'qualifierId': 389}, {'id': 5262183979, 'qualifierId': 21}, {'id': 5255179025, 'qualifierId': 173}];2y9o7d8tm1f8fnp6jewxzifis;A. Rick;;;g0ejl83bkbxuocv8r983rbis;Save;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446,0;;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;15;Atlanta United II;15;GK;1,0
2728344459;4;1;1;0;15;1zgjjyruyufrkh4xjvryqsb1i;1;35,3;70,2;2024-09-29T19:03:15.206Z;2024-09-29T19:03:48Z;[{'id': 5254896539, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254896547, 'qualifierId': 213, 'value': '3.75'}, {'id': 5254896545, 'qualifierId': 212, 'value': '26.5'}, {'id': 5254896543, 'qualifierId': 141, 'value': '47.8'}, {'id': 5254896541, 'qualifierId': 140, 'value': '14.6'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;3,75;26,5;;14,6;;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;14,6;47,8;;;;;;;;0;0;15;Atlanta United II;15;DR;1,0
2728394439;326;12;1;0;17;1zgjjyruyufrkh4xjvryqsb1i;1;15,6;52,2;2024-09-29T19:03:16.459Z;2024-09-29T19:56:28Z;[{'id': 5255181363, 'qualifierId': 213, 'value': '0.05'}, {'id': 5255181361, 'qualifierId': 212, 'value': '41.7'}, {'id': 5255181355, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255181359, 'qualifierId': 141, 'value': '55.2'}, {'id': 5255181357, 'qualifierId': 140, 'value': '55.3'}];3h4x6eh6zkcaww4g6rhkwpbf8;Neil Pierre;;;g0ejl83bkbxuocv8r983rbis;Clearance;;;;;;;;;;0,05;41,7;;55,3;;55,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;55,3;55,2;;;;;;;;0;0;17;Atlanta United II;17;DL;1,0
2728392211;447;44;1;0;19;erwnez7ksfkns4dqmyr1fhbe;1;46,0;47,2;2024-09-29T19:03:19.458Z;2024-09-29T21:14:01Z;[{'id': 5255170167, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255181483, 'qualifierId': 233, 'value': '327'}, {'id': 5255170171, 'qualifierId': 285}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;;g0ejl83bkbxuocv8r983rbis;Aerial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;327,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;19;Philadelphia Union II;19;DC;1,0
2728394457;327;44;1;0;20;1zgjjyruyufrkh4xjvryqsb1i;0;54,0;52,8;2024-09-29T19:03:19.459Z;2024-09-29T21:14:02Z;[{'id': 5255181441, 'qualifierId': 286}, {'id': 5255181517, 'qualifierId': 233, 'value': '447'}, {'id': 5255181437, 'qualifierId': 56, 'value': 'Center'}];434xf7moiduhzy9ivp7jxr10;S. Olivas;;;g0ejl83bkbxuocv8r983rbis;Aerial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;447,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;20;Atlanta United II;20;FW;1,0
2728392319;448;1;1;0;20;erwnez7ksfkns4dqmyr1fhbe;0;47,0;51,0;2024-09-29T19:03:19.459Z;2024-09-29T21:15:15Z;[{'id': 5255170723, 'qualifierId': 213, 'value': '5.52'}, {'id': 5255170717, 'qualifierId': 140, 'value': '60.3'}, {'id': 5255170719, 'qualifierId': 141, 'value': '31.3'}, {'id': 5255170721, 'qualifierId': 212, 'value': '19.4'}, {'id': 5255170715, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255170713, 'qualifierId': 3}];2iz7apzo49byqz0ws65h9d7v8;K. Moore;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;5,52;19,4;;60,3;;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;60,3;31,3;;;;;;;;0;0;20;Philadelphia Union II;20;DC;1,0
2728344291;3;43;1;0;20;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-29T19:03:20.034Z;2024-09-29T19:53:07Z;[{'id': 5254895485, 'qualifierId': 157, 'value': '0'}, {'id': 5254895493, 'qualifierId': 212, 'value': '34.4'}, {'id': 5254895501, 'qualifierId': 1, 'value': '0'}, {'id': 5255167513, 'qualifierId': 144, 'value': '1'}, {'id': 5254895489, 'qualifierId': 140, 'value': '45.8'}, {'id': 5254895497, 'qualifierId': 213, 'value': '3.17'}, {'id': 5254895487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254895491, 'qualifierId': 141, 'value': '43.0'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;g0ejl83bkbxuocv8r983rbis;Deleted event;;;;;;;;;;3,17;34,4;;45,8;;43,0;0,0;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;45,8;43,0;;;;;;;;0;0;20;Philadelphia Union II;20;GK;1,0
2728394697;328;1;1;0;25;1zgjjyruyufrkh4xjvryqsb1i;0;42,1;65,7;2024-09-29T19:03:24.459Z;2024-09-29T19:56:45Z;[{'id': 5255182789, 'qualifierId': 213, 'value': '0.28'}, {'id': 5255182787, 'qualifierId': 212, 'value': '33.2'}, {'id': 5255182791, 'qualifierId': 1}, {'id': 5255182779, 'qualifierId': 157}, {'id': 5255182781, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255182783, 'qualifierId': 140, 'value': '72.5'}, {'id': 5255182785, 'qualifierId': 141, 'value': '79.1'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;0,28;33,2;;72,5;;79,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;72,5;79,1;;;;;;;;0;0;25;Atlanta United II;25;ML;1,0
2728392657;449;1;1;0;26;erwnez7ksfkns4dqmyr1fhbe;1;28,9;22,8;2024-09-29T19:03:25.459Z;2024-10-03T07:13:30Z;[{'id': 5255172331, 'qualifierId': 141, 'value': '15.0'}, {'id': 5255172329, 'qualifierId': 140, 'value': '39.2'}, {'id': 5255172327, 'qualifierId': 56, 'value': 'Back'}, {'id': 5262184145, 'qualifierId': 1}, {'id': 5262184143, 'qualifierId': 157}, {'id': 5255172335, 'qualifierId': 213, 'value': '5.83'}, {'id': 5255172333, 'qualifierId': 212, 'value': '12.0'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;5,83;12,0;;39,2;;15,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;39,2;15,0;;;;;;;;0;0;26;Philadelphia Union II;26;DR;1,0
