id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_Resume;value_JerseyNumber;value_PlayerPosition;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_Angle;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_Zone;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_FlickOn;value_HeadPass;value_Launch;value_DeletedEventType;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TouchTypeControl;value_BlockedX;value_FirstTouch;value_NotAssisted;value_BoxCentre;value_BigChance;value_GoalmouthY;value_RegularPlay;value_BlockedY;value_GoalmouthZ;value_LowRight;value_RightFooted;value_ParriedSafe;value_Feet;value_Sliding;value_LowGkIntervention;value_GkY;value_GkX;value_High;value_OutOfBoxCentre;value_NextEventGoalKick;value_NotVisible;value_Low;value_GoalKick;value_LayOff;value_TouchTypePass;value_IntendedTackleTarget;value_Assist;value_IndividualPlay;value_Assisted;value_RelatedEventId;value_HighRight;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_TouchTypeClearance;value_SwitchOfPlay;value_PlayersCaughtOffside;value_Indirect;value_AttemptedTackle;value_AerialFoul;value_TakeOnOvertake;value_Blocked;value_LeftFooted;value_DefBlock;value_FastBreak;value_Left;value_35Centre;value_ThroughBall;value_IntentionalAssist;value_CloseHigh;value_Cross;value_OutSwinger;value_Head;value_SmallBoxLeft;value_LowLeft;value_SixYardBlocked;value_CornerTaken;value_Volley;value_FromCorner;value_PullBack;value_Right;value_InSwinger;value_HighCentre;value_Weak;value_Standing;value_Collected;value_HighGkIntervention;value_Hands;value_KeeperThrow;value_Defensive1V1;value_MediumGkIntervention;value_RefereeDelay;value_DrinksBreak;value_RecklessOffence;value_YellowCard;value_Injury;value_InjuredPlayerId;value_NotPastGoalLine;value_Minutes;value_ShirtPull/Holding;value_OutOfPlay;value_DrivenCross;value_Straight;value_LowCentre;value_MisHit;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Handball;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_OverArm;value_BlockedClearance;value_SmallBoxRight;value_SetPiece;value_BoxRight;value_TacticalFoul;value_IncorrectOutOfPlayDecision;value_LastLine;value_TempShotOn;value_ParriedDanger;value_Diving;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_BlockedCross;value_SwerveLeft;value_FreeKick;value_FloatedCross;value_BoxLeft;value_GkHoof;value_GkKickFromHands;value_OverhitCross;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_KeeperTouched;value_HitLeftPost;value_HitWoodwork;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699878617;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-07T21:17:00.971Z;2024-07-07T22:47:34Z;[{'id': 5098415219, 'qualifierId': 197, 'value': '14908'}, {'id': 5098412193, 'qualifierId': 194, 'value': '8warl67c0id3dorr48mn7h82c'}, {'id': 5098412195, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098412187, 'qualifierId': 59, 'value': '22, 17, 11, 8, 3, 5, 45, 10, 18, 29, 43, 2, 9, 13, 20, 50, 55, 59'}, {'id': 5098412185, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5098412183, 'qualifierId': 30, 'value': '3me8mlpj9tgn82v2mwyibpkb8, 58w3qcq1xrkpq5f9miuxp4ys4, 79606fy6lyfs1h12645q4shzo, 8warl67c0id3dorr48mn7h82c, 1cc8cz8wtm8f05109tjb02xka, ba9m1xd2b3b2zvuuogn4uxkwk, a12t1zv0y8gzzf6p3jrotkoic, 37zynr7fwzqg4c9w5ydefywyy, dgosg1mymhuajg0rz2ts6alpm, 33a69m1zaamzxjr6tsb8p3578, 290iohuheoqdrdocbg25ipgk4, cc7auv8d89ohifqg7qwz62mwa, xxu2xv2n6f5d51ksa8z4rv2s, 9bn2zid7u305xii6alm8a58us, 9jy9vyn7y1bomsbjhjujynb4k, bkqd6i7ppyk2gj32y19e64is4, 51tmp14xyzuy8we2s63vkndw4, 3vztrleod574utjrzhpgn0cgk'}, {'id': 5098412189, 'qualifierId': 130, 'value': '4'}, {'id': 5098412191, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;dx89rvtjj4ztoqu20jcruv21g;Team set up;14908,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;Toronto II;0;;
2699879157;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-07T21:19:45.157Z;2024-07-13T06:28:44Z;[{'id': 5098707687, 'qualifierId': 194, 'value': 'c760g3hvhvi7nra7gpdrynn1m'}, {'id': 5098415397, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, d8u6lnk9lmbrgv9obcshpec8a, 5qfwg7j8xrfv19ouu4gvrs00k, 3wn0nn5q8g2mjzuc8yb4dvu2, 8pvvljn4uasfjxdleh56pm38, 2figny7hhxiw29vizhlyta3o4, 7w2rw1jd8ouhu8bbvswvysu8k, e8i5fg3tp35k8iys32eiv7jmc, bx7d0ws7fi7iwgpi9ccomjehg, 7z57s6veqr3k87quyd6i7fgx6, c760g3hvhvi7nra7gpdrynn1m, dqxh3f9qy6lhrwabvnbb6erro, 7q8y6gbmg9j75zgm3nhs3bfh0, 2m7xhno7xnktvmzwa6j7wlgfe, dfnus4g6zypd1xcec6x7p85ey, 6xu5v7x5zge1k83w40mmbxyzu, 5l9js12tsf18c7st0oac3swes, cgcpmpetc768pyqb51qthq61g, u5v1owoegnvaqvk214qlvh90, 5bqykg2h7so4c20htynfp242c'}, {'id': 5098415399, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5098415401, 'qualifierId': 59, 'value': '40, 85, 95, 71, 51, 58, 73, 89, 91, 72, 82, 79, 68, 50, 75, 81, 92, 96, 97, 98'}, {'id': 5098415403, 'qualifierId': 130, 'value': '8'}, {'id': 5098415409, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098415405, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5098415407, 'qualifierId': 197, 'value': '3386'}];;;;;dx89rvtjj4ztoqu20jcruv21g;Team set up;3386,0;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2699896925;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-07T22:03:53.048Z;2024-07-13T06:18:29Z;[{'id': 5098512183, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dx89rvtjj4ztoqu20jcruv21g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;Toronto II;0;;
2699896915;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-07T22:03:53.048Z;2024-07-07T22:03:53Z;[{'id': 5098512145, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dx89rvtjj4ztoqu20jcruv21g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2699896937;3;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;50,0;50,0;2024-07-07T22:03:53.049Z;2024-07-07T22:03:56Z;[{'id': 5098512257, 'qualifierId': 213, 'value': '2.64'}, {'id': 5098512253, 'qualifierId': 141, 'value': '66.4'}, {'id': 5098512259, 'qualifierId': 279, 'value': 'S'}, {'id': 5098512255, 'qualifierId': 212, 'value': '23.0'}, {'id': 5098512251, 'qualifierId': 140, 'value': '30.8'}, {'id': 5098512249, 'qualifierId': 56, 'value': 'Back'}];3wn0nn5q8g2mjzuc8yb4dvu2;M. Cimermancic;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;2,64;66,4;;23,0;30,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;30,8;66,4;;;;;;;;0;0;0;Columbus Crew II;0;MC;1,0
2699896969;4;1;1;0;3;29nx7yxy1rdqv2oobqn5pjf8p;1;30,8;66,4;2024-07-07T22:03:56.751Z;2024-07-13T06:35:28Z;[{'id': 5098512409, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512411, 'qualifierId': 140, 'value': '65.2'}, {'id': 5102061949, 'qualifierId': 155}, {'id': 5098512419, 'qualifierId': 1}, {'id': 5098512413, 'qualifierId': 141, 'value': '30.8'}, {'id': 5098512415, 'qualifierId': 212, 'value': '43.5'}, {'id': 5098512417, 'qualifierId': 213, 'value': '5.69'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;5,69;30,8;;43,5;65,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;65,2;30,8;;;;;;;;0;0;3;Columbus Crew II;3;MC;1,0
2699896971;5;44;1;0;5;29nx7yxy1rdqv2oobqn5pjf8p;1;68,0;23,0;2024-07-07T22:03:58.392Z;2024-07-13T06:36:06Z;[{'id': 5098512431, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512433, 'qualifierId': 286}, {'id': 5098512465, 'qualifierId': 233, 'value': '3'}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dx89rvtjj4ztoqu20jcruv21g;Aerial;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;5;Columbus Crew II;5;FW;1,0
2699896959;3;44;1;0;5;5b4ccd62yeeqdl2qk6jzsmjv8;0;32,0;77,0;2024-07-07T22:03:58.393Z;2024-07-13T06:36:07Z;[{'id': 5098512483, 'qualifierId': 233, 'value': '5'}, {'id': 5098512355, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098512357, 'qualifierId': 285}];79606fy6lyfs1h12645q4shzo;T. Williams;;;dx89rvtjj4ztoqu20jcruv21g;Aerial;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;5;Toronto II;5;DC;1,0
2699896975;6;1;1;0;5;29nx7yxy1rdqv2oobqn5pjf8p;0;65,2;30,8;2024-07-07T22:03:58.456Z;2024-07-13T06:36:11Z;[{'id': 5098512457, 'qualifierId': 212, 'value': '5.0'}, {'id': 5098512459, 'qualifierId': 213, 'value': '1.05'}, {'id': 5098512455, 'qualifierId': 141, 'value': '37.2'}, {'id': 5098512453, 'qualifierId': 140, 'value': '67.6'}, {'id': 5098512451, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512449, 'qualifierId': 168}, {'id': 5098512447, 'qualifierId': 3}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;1,05;37,2;;5,0;67,6;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;67,6;37,2;;;;;;;;0;0;5;Columbus Crew II;5;FW;1,0
2699896977;4;44;1;0;6;5b4ccd62yeeqdl2qk6jzsmjv8;1;24,9;70,8;2024-07-07T22:03:59.455Z;2024-07-13T06:36:14Z;[{'id': 5098512463, 'qualifierId': 285}, {'id': 5098512503, 'qualifierId': 233, 'value': '7'}, {'id': 5098512461, 'qualifierId': 56, 'value': 'Back'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;dx89rvtjj4ztoqu20jcruv21g;Aerial;;;;;;;;;;;;;;;;;;;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;6;Toronto II;6;DC;1,0
2699896983;7;44;1;0;6;29nx7yxy1rdqv2oobqn5pjf8p;0;75,1;29,2;2024-07-07T22:03:59.456Z;2024-07-13T06:36:15Z;[{'id': 5098512499, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512501, 'qualifierId': 286}, {'id': 5098512507, 'qualifierId': 233, 'value': '4'}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dx89rvtjj4ztoqu20jcruv21g;Aerial;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;6;Columbus Crew II;6;FW;1,0
2699896979;5;1;1;0;6;5b4ccd62yeeqdl2qk6jzsmjv8;1;21,5;75,1;2024-07-07T22:03:59.877Z;2024-07-13T06:36:17Z;[{'id': 5098512469, 'qualifierId': 3}, {'id': 5098512471, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098512473, 'qualifierId': 140, 'value': '28.1'}, {'id': 5098512479, 'qualifierId': 213, 'value': '6.02'}, {'id': 5098512475, 'qualifierId': 141, 'value': '72.4'}, {'id': 5098512477, 'qualifierId': 212, 'value': '7.2'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;6,02;72,4;;7,2;28,1;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;28,1;72,4;;;;;;;;0;0;6;Toronto II;6;DC;1,0
2699897001;6;1;1;0;9;5b4ccd62yeeqdl2qk6jzsmjv8;1;27,4;72,6;2024-07-07T22:04:02.549Z;2024-07-07T22:04:07Z;[{'id': 5098512593, 'qualifierId': 141, 'value': '69.3'}, {'id': 5098512599, 'qualifierId': 1}, {'id': 5098512595, 'qualifierId': 212, 'value': '35.0'}, {'id': 5098512585, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512589, 'qualifierId': 140, 'value': '60.7'}, {'id': 5098512583, 'qualifierId': 157}, {'id': 5098512597, 'qualifierId': 213, 'value': '6.22'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;6,22;69,3;;35,0;60,7;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;60,7;69,3;;;;;;;;0;0;9;Toronto II;9;MC;1,0
2699897007;7;1;1;0;13;5b4ccd62yeeqdl2qk6jzsmjv8;0;60,3;69,4;2024-07-07T22:04:06.985Z;2024-07-07T22:36:32Z;[{'id': 5098568069, 'qualifierId': 168}, {'id': 5098512633, 'qualifierId': 213, 'value': '6.12'}, {'id': 5098512627, 'qualifierId': 140, 'value': '82.2'}, {'id': 5098512629, 'qualifierId': 141, 'value': '63.9'}, {'id': 5098512631, 'qualifierId': 212, 'value': '23.3'}, {'id': 5098512625, 'qualifierId': 56, 'value': 'Center'}, {'id': 5098512623, 'qualifierId': 3}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;6,12;63,9;;23,3;82,2;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;82,2;63,9;;;;;;;;0;0;13;Toronto II;13;FW;1,0
2699897015;8;43;1;0;16;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-07T22:04:09.936Z;2024-07-07T22:04:20Z;[{'id': 5098512909, 'qualifierId': 144, 'value': '49'}];dt797hve9mdpnuyy1z4pnpp1w;A. De Rosario;;;dx89rvtjj4ztoqu20jcruv21g;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;16;Columbus Crew II;16;GK;1,0
2699897041;9;1;1;0;20;29nx7yxy1rdqv2oobqn5pjf8p;0;18,1;29,7;2024-07-07T22:04:13.760Z;2024-07-13T06:37:24Z;[{'id': 5098512853, 'qualifierId': 212, 'value': '82.0'}, {'id': 5098512855, 'qualifierId': 213, 'value': '6.19'}, {'id': 5098512857, 'qualifierId': 1}, {'id': 5098512851, 'qualifierId': 141, 'value': '18.5'}, {'id': 5098512847, 'qualifierId': 56, 'value': 'Right'}, {'id': 5098512845, 'qualifierId': 157}, {'id': 5098512849, 'qualifierId': 140, 'value': '95.9'}];dt797hve9mdpnuyy1z4pnpp1w;A. De Rosario;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;6,19;18,5;;82,0;95,9;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;95,9;18,5;;;;;;;;0;0;20;Columbus Crew II;20;GK;1,0
2699897057;8;49;1;0;28;5b4ccd62yeeqdl2qk6jzsmjv8;1;4,8;81,4;2024-07-07T22:04:21.357Z;2024-07-07T22:04:22Z;[];3me8mlpj9tgn82v2mwyibpkb8;C. Johnson;;;dx89rvtjj4ztoqu20jcruv21g;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;28;Toronto II;28;GK;1,0
2699897201;9;1;1;0;43;5b4ccd62yeeqdl2qk6jzsmjv8;1;7,9;50,3;2024-07-07T22:04:36.761Z;2024-07-07T22:04:39Z;[{'id': 5098513711, 'qualifierId': 141, 'value': '79.4'}, {'id': 5098513707, 'qualifierId': 140, 'value': '11.5'}, {'id': 5098513713, 'qualifierId': 212, 'value': '20.1'}, {'id': 5098513715, 'qualifierId': 213, 'value': '1.38'}, {'id': 5098513703, 'qualifierId': 56, 'value': 'Back'}];3me8mlpj9tgn82v2mwyibpkb8;C. Johnson;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;1,38;79,4;;20,1;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;11,5;79,4;;;;;;;;0;0;43;Toronto II;43;GK;1,0
2699897211;10;1;1;0;46;5b4ccd62yeeqdl2qk6jzsmjv8;1;11,5;84,1;2024-07-07T22:04:39.464Z;2024-07-07T22:04:41Z;[{'id': 5098513809, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098513811, 'qualifierId': 140, 'value': '19.9'}, {'id': 5098513817, 'qualifierId': 213, 'value': '0.74'}, {'id': 5098513815, 'qualifierId': 212, 'value': '12.0'}, {'id': 5098513813, 'qualifierId': 141, 'value': '96.0'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;0,74;96,0;;12,0;19,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;19,9;96,0;;;;;;;;0;0;46;Toronto II;46;DC;1,0
2699897225;11;1;1;0;48;5b4ccd62yeeqdl2qk6jzsmjv8;1;21,5;95,3;2024-07-07T22:04:41.385Z;2024-07-07T22:04:43Z;[{'id': 5098513891, 'qualifierId': 141, 'value': '83.0'}, {'id': 5098513889, 'qualifierId': 140, 'value': '12.2'}, {'id': 5098513887, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098513895, 'qualifierId': 213, 'value': '3.85'}, {'id': 5098513893, 'qualifierId': 212, 'value': '12.9'}];79606fy6lyfs1h12645q4shzo;T. Williams;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;3,85;83,0;;12,9;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;12,2;83,0;;;;;;;;0;0;48;Toronto II;48;DC;1,0
2699897241;12;1;1;0;50;5b4ccd62yeeqdl2qk6jzsmjv8;1;12,8;81,7;2024-07-07T22:04:43.151Z;2024-07-07T22:04:46Z;[{'id': 5098514017, 'qualifierId': 141, 'value': '63.4'}, {'id': 5098514019, 'qualifierId': 212, 'value': '15.0'}, {'id': 5098514015, 'qualifierId': 140, 'value': '4.8'}, {'id': 5098514013, 'qualifierId': 56, 'value': 'Back'}, {'id': 5098514021, 'qualifierId': 213, 'value': '4.12'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;dx89rvtjj4ztoqu20jcruv21g;Pass;;;;;;;;;;4,12;63,4;;15,0;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;4,8;63,4;;;;;;;;0;0;50;Toronto II;50;DC;1,0
