id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_JerseyNumber;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Zone;value_Angle;value_Length;value_KickOff;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Defensive;value_TakeOnOvertake;value_TouchTypeClearance;value_Offensive;value_OutOfPlay;value_IntendedTackleTarget;value_TouchTypePass;value_Chipped;value_RightFooted;value_OutSwinger;value_Cross;value_Head;value_HeadPass;value_SwitchOfPlay;value_DeletedEventType;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_NotVisible;value_ShirtPull/Holding;value_LayOff;value_TakeOnSpace;value_BlockedPass;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GkX;value_GoalmouthZ;value_Blocked;value_GkY;value_BlockedY;value_BlockedX;value_LowRight;value_RegularPlay;value_SixYardBlocked;value_FirstTouch;value_Assisted;value_BoxCentre;value_DefBlock;value_LeftFooted;value_LastLine;value_FastBreak;value_NotAssisted;value_ParriedSafe;value_LowGkIntervention;value_Hands;value_Diving;value_Right;value_Left;value_CornerTaken;value_FromCorner;value_IndividualPlay;value_BoxLeft;value_LowCentre;value_BlockedCross;value_InSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_Defensive1V1;value_Shove/Push;value_KeeperThrow;value_VideoCoverageLost;value_TouchTypeControl;value_OutOfBoxCentre;value_CloseRight;value_BigChance;value_SetPiece;value_Overrun;value_FlickOn;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_HighCentre;value_GkYTimeOfGoal;value_GoalShotGameClock;value_LowLeft;value_Collected;value_PlayersCaughtOffside;value_Indirect;value_HighGkIntervention;value_Minutes;value_EndType;value_Standing;value_MediumGkIntervention;value_OtherObstacle;value_Deflection;value_Weak;value_Feet;value_ThroughBall;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_DrivenCross;value_Straight;value_InjuredPlayerId;value_Injury;value_SwerveLeft;value_FollowsShotRebound;value_GoalDisallowed;value_PullBack;value_ParriedDanger;value_RedCard;value_SeriousFoul;value_FloatedCross;value_MisHit;value_HighRight;value_HighLeft;value_NotPastGoalLine;value_CloseLeft;value_35Right;value_GkHoof;value_BoxRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700343265;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-11T23:16:29.246Z;2024-07-12T00:20:40Z;[{'id': 5100919913, 'qualifierId': 130, 'value': '8'}, {'id': 5100953345, 'qualifierId': 197, 'value': '15044'}, {'id': 5100919915, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100919919, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100919917, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5100919911, 'qualifierId': 59, 'value': '12, 30, 3, 13, 6, 23, 43, 19, 9, 18, 11, 14, 4, 5, 33, 35, 36, 41, 48, 70'}, {'id': 5100919907, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, bfsjxpmiflhdz2162ulqlo0lw, 2jzuij8p7eoy42aqem688ltuy, 1p5u02noafhj6r31hj50stn2s, 7yt2ddw0yntv9xq1hrv1jx05w, aa4ut2fmswha43fxnrxp1obo4, 9ph8wasuz3ndre586gople49g, 4uuq2zuhmlbg7kh85v5l8723u, azzpjrq2pndxuz0waw25p7r6y, 48p3wcjai97tpt50ia7bi7ok4, e4vvdd1cn5ezrocpequewmwic, 1d43ue54zl1o9rvnwz5zfotm, 3ehrq9mryoug8osgxkpg4eo7o, n5otejqjssvxk3bzx06642z8, 70lmb5krx6h8iidmbs6t015hw, a2go478lv67wqun5v4nb741zo, 1es4nynrpc8sz3enj46i9zeok, bk0ik8kr1gpu372ibbbv87ndg'}, {'id': 5100919909, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;dzj0cfmo3nsbmujxbseqt711w;Team set up;8,0;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2700343387;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-07-11T23:17:10.742Z;2024-07-12T00:19:17Z;[{'id': 5100920583, 'qualifierId': 130, 'value': '8'}, {'id': 5100920587, 'qualifierId': 194, 'value': 'd0riqrsz7ojwb9m94rbvx7r6y'}, {'id': 5100954707, 'qualifierId': 197, 'value': '23347'}, {'id': 5100920585, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100920589, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100920579, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100920577, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9yldym4386a2icfk6qb6i90r8, 7nxqbiq6fics5w3qnwhz249as, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, 641bsr9un81t6sds51fhvijh0, ov91zkisppven9tp72gfbjf8, 4521gkm1oemvrfsgksz7b6zxm, elvrjpt1jlko4henaqvfid7o4, 3cbmr8hg3kszw5wl04p3ol27e, 9nlw8tihbzfnvkt5uproa79jo, 53ufl7f1lbwnr7klx9ofxufbo, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 3dtt0czm41hnuw8mvyn14ys4, 5rusq0uqak1y920vdwpg2f190, 4o2lk5bkmyxe8ji3lqjo69qtw'}, {'id': 5100920581, 'qualifierId': 59, 'value': '1, 2, 25, 8, 4, 5, 10, 18, 9, 32, 19, 3, 7, 17, 20, 33, 35, 77'}];;;;;dzj0cfmo3nsbmujxbseqt711w;Team set up;8,0;23347,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2700349225;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-12T00:06:13.059Z;2024-07-16T02:41:40Z;[{'id': 5100954845, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dzj0cfmo3nsbmujxbseqt711w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2700349221;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-07-12T00:06:13.059Z;2024-07-12T00:06:13Z;[{'id': 5100954827, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dzj0cfmo3nsbmujxbseqt711w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2700349229;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,2;49,4;2024-07-12T00:06:13.371Z;2024-07-12T00:06:16Z;[{'id': 5100954861, 'qualifierId': 140, 'value': '37.0'}, {'id': 5100954863, 'qualifierId': 141, 'value': '36.3'}, {'id': 5100954859, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100954867, 'qualifierId': 213, 'value': '3.71'}, {'id': 5100954865, 'qualifierId': 212, 'value': '16.5'}, {'id': 5100954869, 'qualifierId': 279, 'value': 'S'}];9ph8wasuz3ndre586gople49g;S. Annor Gyamfi;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;37,0;36,3;;3,71;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;37,0;36,3;;;;;;;0;0;0;0;Austin II;0;FW;1,0
2700349253;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;0;39,3;43,6;2024-07-12T00:06:16.298Z;2024-07-16T02:57:34Z;[{'id': 5100954981, 'qualifierId': 212, 'value': '53.8'}, {'id': 5100954983, 'qualifierId': 213, 'value': '0.81'}, {'id': 5100954977, 'qualifierId': 140, 'value': '74.6'}, {'id': 5100954979, 'qualifierId': 141, 'value': '100.0'}, {'id': 5100954975, 'qualifierId': 56, 'value': 'Left'}, {'id': 5100954985, 'qualifierId': 1}, {'id': 5106084751, 'qualifierId': 157}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;74,6;100,0;;0,81;53,8;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;74,6;100,0;;;;;;;0;0;0;3;Austin II;3;AMC;1,0
2700349299;3;5;1;0;6;d0c07im4a6oj8qa7f1zlt3pqs;1;22,2;-1,0;2024-07-12T00:06:19.309Z;2024-07-12T00:13:10Z;[{'id': 5100955193, 'qualifierId': 347}, {'id': 5100955191, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955195, 'qualifierId': 233, 'value': '5'}];3cbmr8hg3kszw5wl04p3ol27e;C. Fodrey;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;6;Houston Dynamo II;6;AML;1,0
2700349255;5;5;1;0;6;7pmw399vh2v44cjle4fkklp1w;0;77,8;101,0;2024-07-12T00:06:19.309Z;2024-07-12T00:06:34Z;[{'id': 5100954987, 'qualifierId': 56, 'value': 'Left'}, {'id': 5100955211, 'qualifierId': 233, 'value': '3'}, {'id': 5100954989, 'qualifierId': 347}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;6;Austin II;6;MC;1,0
2700349335;4;1;1;0;20;d0c07im4a6oj8qa7f1zlt3pqs;1;24,6;0,0;2024-07-12T00:06:33.836Z;2024-07-16T02:57:48Z;[{'id': 5100955369, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955367, 'qualifierId': 107}, {'id': 5100955371, 'qualifierId': 140, 'value': '4.1'}, {'id': 5100955377, 'qualifierId': 213, 'value': '2.45'}, {'id': 5100955379, 'qualifierId': 1}, {'id': 5100955375, 'qualifierId': 212, 'value': '28.0'}, {'id': 5100955373, 'qualifierId': 141, 'value': '24.8'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;4,1;24,8;;2,45;28,0;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;4,1;24,8;;;;;;;0;0;0;20;Houston Dynamo II;20;DR;1,0
2700349339;5;1;1;0;29;d0c07im4a6oj8qa7f1zlt3pqs;1;3,3;43,5;2024-07-12T00:06:42.413Z;2024-07-12T00:06:44Z;[{'id': 5100955395, 'qualifierId': 212, 'value': '24.1'}, {'id': 5100955389, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955397, 'qualifierId': 213, 'value': '1.41'}, {'id': 5100955393, 'qualifierId': 141, 'value': '78.5'}, {'id': 5100955391, 'qualifierId': 140, 'value': '6.9'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;6,9;78,5;;1,41;24,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;6,9;78,5;;;;;;;0;0;0;29;Houston Dynamo II;29;GK;1,0
2700349345;6;1;1;0;31;d0c07im4a6oj8qa7f1zlt3pqs;1;10,0;77,5;2024-07-12T00:06:44.444Z;2024-07-16T02:57:58Z;[{'id': 5100955427, 'qualifierId': 213, 'value': '0.79'}, {'id': 5100955425, 'qualifierId': 212, 'value': '18.0'}, {'id': 5100955419, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955421, 'qualifierId': 140, 'value': '22.1'}, {'id': 5100955423, 'qualifierId': 141, 'value': '96.3'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;22,1;96,3;;0,79;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;22,1;96,3;;;;;;;0;0;0;31;Houston Dynamo II;31;DC;1,0
2700349349;7;3;1;0;32;d0c07im4a6oj8qa7f1zlt3pqs;0;22,5;95,8;2024-07-12T00:06:46.038Z;2024-07-16T02:58:02Z;[{'id': 5100955487, 'qualifierId': 233, 'value': '6'}, {'id': 5100955445, 'qualifierId': 285}, {'id': 5106084783, 'qualifierId': 465}, {'id': 5100955443, 'qualifierId': 56, 'value': 'Back'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;dzj0cfmo3nsbmujxbseqt711w;Take On;;;;;;;;;;;;;;;;;;;6,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;32;Houston Dynamo II;32;DC;1,0
2700349355;6;7;1;0;32;7pmw399vh2v44cjle4fkklp1w;1;77,5;4,2;2024-07-12T00:06:46.039Z;2024-07-16T02:58:04Z;[{'id': 5106084785, 'qualifierId': 385}, {'id': 5100955471, 'qualifierId': 56, 'value': 'Right'}, {'id': 5100955473, 'qualifierId': 286}, {'id': 5100955469, 'qualifierId': 167}, {'id': 5100955483, 'qualifierId': 233, 'value': '7'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;dzj0cfmo3nsbmujxbseqt711w;Tackle;;;;;;;;;;;;;;;;;;;7,0;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;32;Austin II;32;AMR;1,0
2700349357;7;5;1;0;35;7pmw399vh2v44cjle4fkklp1w;0;76,0;-1,9;2024-07-12T00:06:48.600Z;2024-07-12T00:13:11Z;[{'id': 5100955475, 'qualifierId': 56, 'value': 'Right'}, {'id': 5100955477, 'qualifierId': 347}, {'id': 5100955565, 'qualifierId': 233, 'value': '8'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;35;Austin II;35;AMR;1,0
2700349369;8;5;1;0;35;d0c07im4a6oj8qa7f1zlt3pqs;1;24,0;101,9;2024-07-12T00:06:48.600Z;2024-07-12T00:06:57Z;[{'id': 5100955561, 'qualifierId': 233, 'value': '7'}, {'id': 5100955557, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955559, 'qualifierId': 347}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;dzj0cfmo3nsbmujxbseqt711w;Out;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;35;Houston Dynamo II;35;DC;1,0
2700349373;9;1;1;0;43;d0c07im4a6oj8qa7f1zlt3pqs;1;23,1;100,0;2024-07-12T00:06:56.459Z;2024-07-16T02:58:16Z;[{'id': 5100955591, 'qualifierId': 212, 'value': '12.1'}, {'id': 5100955583, 'qualifierId': 107}, {'id': 5100955593, 'qualifierId': 213, 'value': '5.49'}, {'id': 5100955589, 'qualifierId': 141, 'value': '89.1'}, {'id': 5100955585, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955587, 'qualifierId': 140, 'value': '31.2'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;31,2;89,1;;5,49;12,1;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;31,2;89,1;;;;;;;0;0;0;43;Houston Dynamo II;43;DC;1,0
2700349375;10;61;1;0;47;d0c07im4a6oj8qa7f1zlt3pqs;1;34,0;81,4;2024-07-12T00:07:00.904Z;2024-07-12T00:07:01Z;[{'id': 5100955597, 'qualifierId': 56, 'value': 'Back'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;dzj0cfmo3nsbmujxbseqt711w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;47;Houston Dynamo II;47;FW;1,0
2700349381;11;1;1;0;49;d0c07im4a6oj8qa7f1zlt3pqs;1;26,8;88,5;2024-07-12T00:07:02.122Z;2024-07-16T02:58:26Z;[{'id': 5100955629, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955633, 'qualifierId': 141, 'value': '95.5'}, {'id': 5100955631, 'qualifierId': 140, 'value': '32.0'}, {'id': 5100955635, 'qualifierId': 212, 'value': '7.2'}, {'id': 5100955637, 'qualifierId': 213, 'value': '0.72'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;32,0;95,5;;0,72;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;32,0;95,5;;;;;;;0;0;0;49;Houston Dynamo II;49;MC;1,0
2700349409;12;1;1;0;49;d0c07im4a6oj8qa7f1zlt3pqs;1;31,6;96,1;2024-07-12T00:07:03.013Z;2024-07-16T02:58:36Z;[{'id': 5100955773, 'qualifierId': 141, 'value': '91.4'}, {'id': 5100955771, 'qualifierId': 140, 'value': '30.6'}, {'id': 5100955775, 'qualifierId': 212, 'value': '3.4'}, {'id': 5100955777, 'qualifierId': 213, 'value': '4.39'}, {'id': 5100955769, 'qualifierId': 56, 'value': 'Back'}];3cbmr8hg3kszw5wl04p3ol27e;C. Fodrey;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;30,6;91,4;;4,39;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;30,6;91,4;;;;;;;0;0;0;49;Houston Dynamo II;49;AML;1,0
2700349403;8;83;1;0;50;7pmw399vh2v44cjle4fkklp1w;0;67,5;22,5;2024-07-12T00:07:03.283Z;2024-07-12T00:13:19Z;[{'id': 5100962157, 'qualifierId': 399, 'value': '4521gkm1oemvrfsgksz7b6zxm'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;dzj0cfmo3nsbmujxbseqt711w;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;50;Austin II;50;MC;1,0
2700349419;13;1;1;0;52;d0c07im4a6oj8qa7f1zlt3pqs;1;33,3;85,0;2024-07-12T00:07:05.653Z;2024-07-16T02:58:46Z;[{'id': 5100955797, 'qualifierId': 140, 'value': '41.6'}, {'id': 5100955795, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955803, 'qualifierId': 213, 'value': '5.56'}, {'id': 5100955801, 'qualifierId': 212, 'value': '11.7'}, {'id': 5100955799, 'qualifierId': 141, 'value': '73.6'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;dzj0cfmo3nsbmujxbseqt711w;Pass;;;;;;;;;;41,6;73,6;;5,56;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;41,6;73,6;;;;;;;0;0;0;52;Houston Dynamo II;52;FW;1,0
2700349423;14;50;1;0;53;d0c07im4a6oj8qa7f1zlt3pqs;1;42,4;72,9;2024-07-12T00:07:06.585Z;2024-07-12T01:07:33Z;[{'id': 5100955855, 'qualifierId': 233, 'value': '9'}, {'id': 5100955815, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100955817, 'qualifierId': 286}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;dzj0cfmo3nsbmujxbseqt711w;Dispossessed;;;;;;;;;;;;;;;;;;;9,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;53;Houston Dynamo II;53;AMC;1,0
2700349425;9;7;1;0;53;7pmw399vh2v44cjle4fkklp1w;1;57,6;27,1;2024-07-12T00:07:06.586Z;2024-07-16T02:58:55Z;[{'id': 5100955833, 'qualifierId': 285}, {'id': 5100955831, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100955851, 'qualifierId': 233, 'value': '14'}, {'id': 5106084827, 'qualifierId': 384}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;dzj0cfmo3nsbmujxbseqt711w;Tackle;;;;;;;;;;;;;;;;;;;14,0;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;53;Austin II;53;MC;1,0
