id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Resume;value_Involved;value_PlayerPosition;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_Angle;value_OppositeRelatedEventId;value_NextEventThrowIn;value_LongBall;value_ThrowIn;value_Launch;value_Direct;value_AttemptedTackle;value_Offensive;value_Foul;value_Defensive;value_FreeKickTaken;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_TouchTypePass;value_BlockedPass;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_HeadPass;value_LayOff;value_TakeOnSpace;value_DeletedEventType;value_IntentionalAssist;value_Assist;value_RegularPlay;value_BlockedX;value_GoalmouthZ;value_BlockedY;value_Assisted;value_BoxCentre;value_RightFooted;value_GoalmouthY;value_LowLeft;value_Diving;value_LowGkIntervention;value_Hands;value_ParriedSafe;value_OutOfPlay;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_Head;value_BoxRight;value_IndividualPlay;value_FromCorner;value_LowCentre;value_NotAssisted;value_Stooping;value_Collected;value_KeeperThrow;value_Shove/Push;value_Chipped;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_TouchTypeControl;value_IntendedTackleTarget;value_Overrun;value_TakeOnOvertake;value_BlockedClearance;value_GkY;value_Blocked;value_GkX;value_DefBlock;value_Right;value_OutSwinger;value_FirstTouch;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_High;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_FantasyAssistType;value_GkYTimeOfGoal;value_HitLeftPost;value_GoalShotTimestamp;value_GoalShotGameClock;value_FantasyAssistId;value_FantasyAssistTeam;value_HitWoodwork;value_FreeKick;value_AerialFoul;value_ThroughBall;value_BigChance;value_LeftFooted;value_FollowsADribble;value_TouchTypeClearance;value_FlickOn;value_CloseLeft;value_LowRight;value_SwerveRight;value_Weak;value_Standing;value_GkHoof;value_SwitchOfPlay;value_RecklessOffence;value_Low;value_FastBreak;value_BlockedCross;value_Volley;value_BoxLeft;value_NotPastGoalLine;value_HighGkIntervention;value_Minutes;value_Straight;value_DrivenCross;value_HighCentre;value_Dissent;value_Handball;value_OverhitCross;value_MisHit;value_OwnPlayer;value_OwnShotBlocked;value_SmallBoxCentre;value_SixYardBlocked;value_EndType;value_MediumGkIntervention;value_Tactical;value_OverArm;value_SecondYellow;value_Reaching;value_TempBlocked;value_HighLeft;value_CloseRight;value_HighClaim;value_KeeperTouched;value_HitBar;value_1On1;value_Defensive1V1;value_TempMissed;value_SoloRun;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724768379;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-09-22T21:12:40.798Z;2024-09-22T22:14:06Z;[{'id': 5235482511, 'qualifierId': 197, 'value': '12783'}, {'id': 5235287885, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235287875, 'qualifierId': 30, 'value': '3f52lf1p2xmtzysfi8n18m044, 2gawx03wls5vwtlocjir3u7vu, 9kahvwswke29dt3uumulbktpm, tvbjgz0zeq5irumgofxrko44, 4cfvnypovkt900sfxmdhvxtec, 2vq2t4ttpcwey95jzofd60qy2, bhhdcubw5vyxzf0lc1fcfftka, 9ts3xs5p912m8f3pph7ni9vkk, 3tkdn8arq1j3il4ako7rcio2y, cqmvrx028gh19yh8qh7w01y0a, 4oz12ku4mdjsq7y4sgogpwg2y, 1yohdc0hkzkom8hlhw3rjfn8q, a8ngovgs2qfu5udzb97kelg16, vhjelesjaxtgjcgfv7yxp2lm, c7luarkv7hwdspd9xhidhisk4, hranx8amv6zdzmvzda4to0lw, avijawqszxv4ewdxydxeugbv8, 1wa60ccrpw2zqguj4ayeeacyc, 5n0su1a4r7kb7it3ghxbhrf56, 78geqjj0pzo2gp7p8xg3q39w'}, {'id': 5235287877, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235287879, 'qualifierId': 59, 'value': '91, 90, 40, 89, 28, 42, 31, 88, 38, 99, 47, 33, 39, 98, 52, 96, 76, 74, 35, 37'}, {'id': 5235518659, 'qualifierId': 194, 'value': '4cfvnypovkt900sfxmdhvxtec'}, {'id': 5235287883, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235287881, 'qualifierId': 130, 'value': '12'}];;;;;bgsr1gtefnbn2jma7cxw5mok;Team set up;12783,0;;;;;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2724772511;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-22T21:18:29.362Z;2024-09-22T22:10:41Z;[{'id': 5235309923, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235483873, 'qualifierId': 197, 'value': '23805'}, {'id': 5235309921, 'qualifierId': 30, 'value': '4ac61l7qt4s63hv34g8zsihgp, d3456pq0j1inb26jyfxu5ak15, 4ecgnoxeou0m46yw8hwisbrx0, a4staqjshva5lhcr0dw744nze, 58839nfw30jxxroffd3a7q0wk, 2tgt5sjb27wy99ijttspj6r6c, 1gmj4ge2sog221wqkmap8kidw, c3f7oxhzkegam5g1cn1j8j7jd, clqg0gusupd6cehokpggbslck, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w, e2olfsduxvaqsx6rdbaasa356, 1795jw1oc3pkthyq0kqexh65m, f4gpras1h3k8qfz71u84iyyok, 2pka62t1zg04jwkcx6zbc4wlw, 98tyw392rp4ow3apn0ygrbtp0, 39kv8a6a82fos9hw9esb84k16, 4tcyjpnhwsxlay9mqedrpspp0'}, {'id': 5235309929, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235507721, 'qualifierId': 194, 'value': '2tgt5sjb27wy99ijttspj6r6c'}, {'id': 5235309931, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235309927, 'qualifierId': 130, 'value': '4'}, {'id': 5235309925, 'qualifierId': 59, 'value': '30, 18, 13, 34, 24, 2, 50, 19, 95, 57, 90, 44, 35, 49, 39, 59, 98, 66'}];;;;;bgsr1gtefnbn2jma7cxw5mok;Team set up;23805,0;;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2724806487;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-22T22:05:15.923Z;2024-09-22T22:05:18Z;[{'id': 5235488473, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bgsr1gtefnbn2jma7cxw5mok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2724806477;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-09-22T22:05:15.923Z;2024-09-26T08:48:08Z;[{'id': 5235488443, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bgsr1gtefnbn2jma7cxw5mok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2724806527;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;49,9;49,7;2024-09-22T22:05:15.924Z;2024-09-22T22:05:20Z;[{'id': 5235488699, 'qualifierId': 279, 'value': 'S'}, {'id': 5235488691, 'qualifierId': 140, 'value': '34.1'}, {'id': 5235488693, 'qualifierId': 141, 'value': '49.1'}, {'id': 5235488689, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235488695, 'qualifierId': 212, 'value': '16.6'}, {'id': 5235488697, 'qualifierId': 213, 'value': '3.17'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;34,1;49,1;;16,6;3,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;34,1;49,1;;;;;;;0;0;0;0;Minnesota United II;0;FW;1,0
2724806575;4;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;34,0;52,8;2024-09-22T22:05:20.116Z;2024-09-22T22:05:25Z;[{'id': 5235488879, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235488883, 'qualifierId': 141, 'value': '71.8'}, {'id': 5235488881, 'qualifierId': 140, 'value': '26.9'}, {'id': 5235488887, 'qualifierId': 213, 'value': '2.09'}, {'id': 5235488885, 'qualifierId': 212, 'value': '14.9'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;26,9;71,8;;14,9;2,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;26,9;71,8;;;;;;;0;0;0;4;Minnesota United II;4;MC;1,0
2724806593;5;1;1;0;9;7fbej4xwoq4imaf5l39304m37;1;26,4;71,2;2024-09-22T22:05:24.929Z;2024-09-22T22:05:25Z;[{'id': 5235488959, 'qualifierId': 212, 'value': '7.9'}, {'id': 5235488961, 'qualifierId': 213, 'value': '4.55'}, {'id': 5235488953, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235488955, 'qualifierId': 140, 'value': '25.2'}, {'id': 5235488957, 'qualifierId': 141, 'value': '59.7'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;25,2;59,7;;7,9;4,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;25,2;59,7;;;;;;;0;0;0;9;Minnesota United II;9;DC;1,0
2724806611;6;1;1;0;9;7fbej4xwoq4imaf5l39304m37;1;25,2;59,7;2024-09-22T22:05:25.857Z;2024-09-22T22:05:27Z;[{'id': 5235489023, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235489029, 'qualifierId': 212, 'value': '11.6'}, {'id': 5235489031, 'qualifierId': 213, 'value': '1.37'}, {'id': 5235489027, 'qualifierId': 141, 'value': '76.4'}, {'id': 5235489025, 'qualifierId': 140, 'value': '27.4'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;27,4;76,4;;11,6;1,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;27,4;76,4;;;;;;;0;0;0;9;Minnesota United II;9;DC;1,0
2724806631;7;1;1;0;11;7fbej4xwoq4imaf5l39304m37;1;27,4;76,4;2024-09-22T22:05:27.713Z;2024-09-22T22:05:29Z;[{'id': 5235489089, 'qualifierId': 141, 'value': '58.2'}, {'id': 5235489087, 'qualifierId': 140, 'value': '29.0'}, {'id': 5235489093, 'qualifierId': 213, 'value': '4.85'}, {'id': 5235489091, 'qualifierId': 212, 'value': '12.5'}, {'id': 5235489085, 'qualifierId': 56, 'value': 'Back'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;29,0;58,2;;12,5;4,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;29,0;58,2;;;;;;;0;0;0;11;Minnesota United II;11;DC;1,0
2724806657;8;1;1;0;13;7fbej4xwoq4imaf5l39304m37;1;30,4;57,9;2024-09-22T22:05:28.945Z;2024-09-22T22:05:33Z;[{'id': 5235489269, 'qualifierId': 212, 'value': '6.9'}, {'id': 5235489263, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235489265, 'qualifierId': 140, 'value': '24.3'}, {'id': 5235489271, 'qualifierId': 213, 'value': '2.75'}, {'id': 5235489267, 'qualifierId': 141, 'value': '61.8'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;24,3;61,8;;6,9;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,3;61,8;;;;;;;0;0;0;13;Minnesota United II;13;MC;1,0
2724806695;9;1;1;0;17;7fbej4xwoq4imaf5l39304m37;1;25,3;55,7;2024-09-22T22:05:32.946Z;2024-09-22T22:05:36Z;[{'id': 5235489459, 'qualifierId': 212, 'value': '15.4'}, {'id': 5235489461, 'qualifierId': 213, 'value': '4.62'}, {'id': 5235489453, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235489455, 'qualifierId': 140, 'value': '24.0'}, {'id': 5235489457, 'qualifierId': 141, 'value': '33.1'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;24,0;33,1;;15,4;4,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,0;33,1;;;;;;;0;0;0;17;Minnesota United II;17;DC;1,0
2724806719;10;1;1;0;20;7fbej4xwoq4imaf5l39304m37;1;23,7;29,7;2024-09-22T22:05:36.225Z;2024-09-22T22:05:39Z;[{'id': 5235489595, 'qualifierId': 213, 'value': '5.01'}, {'id': 5235489589, 'qualifierId': 140, 'value': '27.4'}, {'id': 5235489591, 'qualifierId': 141, 'value': '11.4'}, {'id': 5235489593, 'qualifierId': 212, 'value': '13.0'}, {'id': 5235489587, 'qualifierId': 56, 'value': 'Back'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;27,4;11,4;;13,0;5,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;27,4;11,4;;;;;;;0;0;0;20;Minnesota United II;20;DC;1,0
2724806771;11;1;1;0;23;7fbej4xwoq4imaf5l39304m37;1;29,7;19,5;2024-09-22T22:05:39.729Z;2024-09-22T22:05:45Z;[{'id': 5235489831, 'qualifierId': 213, 'value': '2.04'}, {'id': 5235489827, 'qualifierId': 212, 'value': '21.2'}, {'id': 5235489815, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235489817, 'qualifierId': 140, 'value': '20.6'}, {'id': 5235489823, 'qualifierId': 141, 'value': '47.3'}];2gawx03wls5vwtlocjir3u7vu;M. Alexandre;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;20,6;47,3;;21,2;2,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;20,6;47,3;;;;;;;0;0;0;23;Minnesota United II;23;DMR;1,0
2724806813;12;1;1;0;29;7fbej4xwoq4imaf5l39304m37;1;22,4;48,4;2024-09-22T22:05:44.945Z;2024-09-22T22:05:48Z;[{'id': 5235490045, 'qualifierId': 141, 'value': '68.5'}, {'id': 5235490047, 'qualifierId': 212, 'value': '13.7'}, {'id': 5235490049, 'qualifierId': 213, 'value': '1.49'}, {'id': 5235490041, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235490043, 'qualifierId': 140, 'value': '23.5'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;23,5;68,5;;13,7;1,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;23,5;68,5;;;;;;;0;0;0;29;Minnesota United II;29;DC;1,0
2724806873;13;1;1;0;32;7fbej4xwoq4imaf5l39304m37;1;24,3;73,6;2024-09-22T22:05:48.161Z;2024-09-22T22:05:53Z;[{'id': 5235490425, 'qualifierId': 213, 'value': '0.99'}, {'id': 5235490417, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235490423, 'qualifierId': 212, 'value': '16.5'}, {'id': 5235490419, 'qualifierId': 140, 'value': '32.9'}, {'id': 5235490421, 'qualifierId': 141, 'value': '93.9'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;32,9;93,9;;16,5;0,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;32,9;93,9;;;;;;;0;0;0;32;Minnesota United II;32;DC;1,0
2724806899;14;1;1;0;36;7fbej4xwoq4imaf5l39304m37;1;34,7;95,1;2024-09-22T22:05:52.897Z;2024-09-22T22:05:55Z;[{'id': 5235490575, 'qualifierId': 141, 'value': '85.1'}, {'id': 5235490583, 'qualifierId': 213, 'value': '4.13'}, {'id': 5235490573, 'qualifierId': 140, 'value': '30.4'}, {'id': 5235490579, 'qualifierId': 212, 'value': '8.2'}, {'id': 5235490571, 'qualifierId': 56, 'value': 'Back'}];9kahvwswke29dt3uumulbktpm;M. Visconti;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;30,4;85,1;;8,2;4,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;30,4;85,1;;;;;;;0;0;0;36;Minnesota United II;36;DML;1,0
2724806945;15;1;1;0;38;7fbej4xwoq4imaf5l39304m37;1;29,9;82,0;2024-09-22T22:05:54.881Z;2024-09-22T22:05:58Z;[{'id': 5235490775, 'qualifierId': 140, 'value': '18.2'}, {'id': 5235490783, 'qualifierId': 212, 'value': '16.8'}, {'id': 5235490785, 'qualifierId': 213, 'value': '3.89'}, {'id': 5235490779, 'qualifierId': 141, 'value': '65.1'}, {'id': 5235490771, 'qualifierId': 56, 'value': 'Back'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;18,2;65,1;;16,8;3,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;18,2;65,1;;;;;;;0;0;0;38;Minnesota United II;38;MC;1,0
2724806971;16;1;1;0;42;7fbej4xwoq4imaf5l39304m37;0;19,0;66,4;2024-09-22T22:05:57.985Z;2024-09-22T22:05:59Z;[{'id': 5235490915, 'qualifierId': 141, 'value': '100.0'}, {'id': 5235490917, 'qualifierId': 212, 'value': '26.7'}, {'id': 5235490911, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235490919, 'qualifierId': 213, 'value': '1.10'}, {'id': 5235490913, 'qualifierId': 140, 'value': '30.5'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;30,5;100,0;;26,7;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;30,5;100,0;;;;;;;0;0;0;42;Minnesota United II;42;DC;1,0
2724807057;3;5;1;0;43;1pc6sx2h4rp113ldkbp5d2xas;1;69,2;-1,6;2024-09-22T22:05:59.284Z;2024-09-22T23:06:37Z;[{'id': 5235491313, 'qualifierId': 233, 'value': '17'}, {'id': 5235491271, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235491273, 'qualifierId': 347}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;bgsr1gtefnbn2jma7cxw5mok;Out;;;;;;;;;;;;;;;;17,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;43;Sporting KC II;43;FWL;1,0
2724806979;17;5;1;0;43;7fbej4xwoq4imaf5l39304m37;0;30,8;101,6;2024-09-22T22:05:59.284Z;2024-09-22T23:06:37Z;[{'id': 5235490927, 'qualifierId': 347}, {'id': 5235490925, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235491347, 'qualifierId': 233, 'value': '3'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;bgsr1gtefnbn2jma7cxw5mok;Out;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;43;Minnesota United II;43;DC;1,0
2724807105;4;1;1;0;48;1pc6sx2h4rp113ldkbp5d2xas;1;66,6;0,0;2024-09-22T22:06:04.177Z;2024-09-22T22:06:08Z;[{'id': 5235491529, 'qualifierId': 140, 'value': '42.2'}, {'id': 5235491537, 'qualifierId': 1}, {'id': 5235491535, 'qualifierId': 213, 'value': '2.96'}, {'id': 5235491533, 'qualifierId': 212, 'value': '26.0'}, {'id': 5235491531, 'qualifierId': 141, 'value': '5.0'}, {'id': 5235491525, 'qualifierId': 107}, {'id': 5235491527, 'qualifierId': 56, 'value': 'Back'}];d3456pq0j1inb26jyfxu5ak15;M. Kmeť;;;bgsr1gtefnbn2jma7cxw5mok;Pass;;;;;;;;;;;42,2;5,0;;26,0;2,96;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;42,2;5,0;;;;;;;0;0;0;48;Sporting KC II;48;DR;1,0
