id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_Angle;value_Zone;value_KickOff;value_PassEndX;value_Length;value_PassEndY;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_IntendedTackleTarget;value_BlockedPass;value_Chipped;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_Cross;value_Head;value_Left;value_CornerTaken;value_InSwinger;value_BlockedX;value_GoalmouthY;value_NotAssisted;value_BlockedY;value_IndividualPlay;value_GoalmouthZ;value_Volley;value_GkY;value_NotPastGoalLine;value_Right;value_LeftFooted;value_GkX;value_FirstTouch;value_FromCorner;value_OutOfBoxCentre;value_IntentionalAssist;value_Assist;value_BigChance;value_SmallBoxCentre;value_RelatedEventId;value_RightFooted;value_LowCentre;value_Assisted;value_Diving;value_Hands;value_ParriedDanger;value_BoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_AttemptedTackle;value_RegularPlay;value_GoalShotTimestamp;value_GoalShotGameClock;value_LowLeft;value_PlayersCaughtOffside;value_Indirect;value_35Centre;value_High;value_FastBreak;value_FlickOn;value_OutSwinger;value_DeletedEventType;value_Shove/Push;value_Blocked;value_OwnPlayer;value_OwnShotBlocked;value_YellowCard;value_TimeWasting;value_LayOff;value_Overrun;value_BlockedCross;value_OutOnSideline;value_MisHit;value_Stooping;value_Collected;value_KeeperThrow;value_Injury;value_InjuredPlayerId;value_DrinksBreak;value_RefereeDelay;value_LowRight;value_BoxRight;value_KeeperTouched;value_SwitchOfPlay;value_SmallBoxRight;value_SixYardBlocked;value_DefBlock;value_CloseLeft;value_NotVisible;value_TacticalFoul;value_OverArm;value_Minutes;value_EndType;value_HighClaim;value_OverhitCross;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_SetPiece;value_CloseRight;value_HighRight;value_Dissent;value_Deflection;value_GkKickFromHands;value_OtherObstacle;value_OtherReason;value_BallHitsReferee;value_HighCentre;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705293255;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-02T21:59:41.519Z;2024-08-03T01:06:44Z;[{'id': 5128379745, 'qualifierId': 59, 'value': '31, 75, 50, 87, 64, 51, 53, 72, 29, 95, 61, 48, 49, 67, 71, 74, 91, 97'}, {'id': 5128379741, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, 58akq0ojntf5n123msb1tzeok, ckqdb14rd2i1scytlygbsncb8, e23yyl43xtcve09dx234uuj8, b2sl4wp77nrynvodb6k19yfze, 2eoftsi3eznjjmhu8ybft11ck, 1kl9112b8rcbr3k1s5hs353x0, 4283da2hccprbybkv4nvmos2c, 5zawuirp825t4brhaj90k9duy, al111zqt4j4b3yg8064d9cep6, 92k301czub8hcyhqa10qvpt04, e6ocmgjfubq6qvg4wfp8zipsk, 2io6rajwkftjli8i14hf606ei, byzzgz3ix7vuh6c3hqf7580lw, pldpnmzoo867jhdvamuhp9n8, 7suq9shgwa8fyip80f1zy1mhg'}, {'id': 5128379747, 'qualifierId': 130, 'value': '8'}, {'id': 5128379749, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128379751, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128410567, 'qualifierId': 197, 'value': '23342'}, {'id': 5128379743, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5128528091, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}];;;;;edm27r7argpa5747hbmsd7rx0;Team set up;;;8,0;;;23342,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2705293607;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-02T22:07:38.580Z;2024-08-03T00:38:27Z;[{'id': 5128497505, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5128383025, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128383017, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, 4ecgnoxeou0m46yw8hwisbrx0, 4eh46qse8ocmutobremniuolw, 9ulwk81vyj5rbz88h62i2ejv8, 276kl5oc1k19y1linbxml0xec, 1extjwx4b7nlpu8fm6526dsrt, 92oqt9q51us5rpmqmvvrdso6i, 9k050zmkegfu3gdw2b4g4uwwk, f2nvagw4mjjpn1ytj6rdl5ene, 9gswafduy82n4o6f0uk0khhck, 1b1vsi0l9xd0xy42q4p1bdk44, 5xz7ooniokkcu9a1p8diq74t0, 37vbc16ejxmfkssydcdxq69zo, c51ttt2cn2mguvgay18wfgzdg, 632mpv8dpnxjm69f8ip1e4l5g, bbnk87q7t8pahznohwjjcvu5m, 8hg6c5ehhaa37lwduf5977i3u, a7g8qfuyirsvuux6f2ffmyyok'}, {'id': 5128383019, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5128383027, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128383021, 'qualifierId': 59, 'value': '31, 33, 13, 94, 50, 42, 98, 56, 46, 80, 59, 97, 53, 55, 61, 64, 72, 88, 78'}, {'id': 5128410571, 'qualifierId': 197, 'value': '15030'}, {'id': 5128383023, 'qualifierId': 130, 'value': '2'}];;;;;edm27r7argpa5747hbmsd7rx0;Team set up;;;2,0;;;15030,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2705299419;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-02T23:03:40.612Z;2024-08-02T23:03:40Z;[{'id': 5128410613, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;edm27r7argpa5747hbmsd7rx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2705299421;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-02T23:03:40.612Z;2024-08-02T23:03:43Z;[{'id': 5128410617, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;edm27r7argpa5747hbmsd7rx0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2705299425;3;1;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;50,0;50,0;2024-08-02T23:03:40.613Z;2024-08-02T23:03:46Z;[{'id': 5128410631, 'qualifierId': 213, 'value': '3.05'}, {'id': 5128410623, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410633, 'qualifierId': 279, 'value': 'S'}, {'id': 5128410625, 'qualifierId': 140, 'value': '22.2'}, {'id': 5128410629, 'qualifierId': 212, 'value': '29.3'}, {'id': 5128410627, 'qualifierId': 141, 'value': '54.0'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;3,05;;;22,2;29,3;54,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;22,2;54,0;;;;;;;0;0;0;0;St. Louis City II;0;FW;1,0
2705299429;4;1;1;0;5;8ijkk62897so5r3bq0wgwx4bu;0;19,5;47,0;2024-08-02T23:03:45.898Z;2024-08-02T23:54:39Z;[{'id': 5128410653, 'qualifierId': 141, 'value': '25.1'}, {'id': 5128410647, 'qualifierId': 157}, {'id': 5128410649, 'qualifierId': 56, 'value': 'Center'}, {'id': 5128410659, 'qualifierId': 1}, {'id': 5128410657, 'qualifierId': 213, 'value': '5.94'}, {'id': 5128410651, 'qualifierId': 140, 'value': '58.7'}, {'id': 5128410655, 'qualifierId': 212, 'value': '43.8'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;5,94;;;58,7;43,8;25,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;58,7;25,1;;;;;;;0;0;0;5;St. Louis City II;5;GK;1,0
2705299427;3;44;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;37,9;75,2;2024-08-02T23:03:48.984Z;2024-08-02T23:54:35Z;[{'id': 5128410643, 'qualifierId': 285}, {'id': 5128410641, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410681, 'qualifierId': 233, 'value': '5'}];276kl5oc1k19y1linbxml0xec;Ó. Benítez;;;edm27r7argpa5747hbmsd7rx0;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;8;Ventura County;8;DC;1,0
2705299431;5;44;1;0;8;8ijkk62897so5r3bq0wgwx4bu;0;62,1;24,8;2024-08-02T23:03:48.985Z;2024-08-02T23:03:51Z;[{'id': 5128410665, 'qualifierId': 286}, {'id': 5128410691, 'qualifierId': 233, 'value': '3'}, {'id': 5128410663, 'qualifierId': 56, 'value': 'Center'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;edm27r7argpa5747hbmsd7rx0;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;8;St. Louis City II;8;AMC;1,0
2705299441;4;1;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;34,8;75,9;2024-08-02T23:03:49.431Z;2024-08-02T23:54:38Z;[{'id': 5128410715, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410721, 'qualifierId': 212, 'value': '8.8'}, {'id': 5128410723, 'qualifierId': 213, 'value': '6.08'}, {'id': 5128410713, 'qualifierId': 3}, {'id': 5128410719, 'qualifierId': 141, 'value': '73.3'}, {'id': 5128410717, 'qualifierId': 140, 'value': '43.0'}];276kl5oc1k19y1linbxml0xec;Ó. Benítez;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;6,08;;;43,0;8,8;73,3;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;43,0;73,3;;;;;;;0;0;0;8;Ventura County;8;DC;1,0
2705299443;5;61;1;0;10;dqx48fglv1l96cyrmjdod0xec;0;41,7;76,3;2024-08-02T23:03:50.688Z;2024-08-02T23:54:47Z;[{'id': 5128410731, 'qualifierId': 56, 'value': 'Back'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;edm27r7argpa5747hbmsd7rx0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;10;Ventura County;10;MC;1,0
2705299447;6;5;1;0;10;8ijkk62897so5r3bq0wgwx4bu;1;59,5;-0,9;2024-08-02T23:03:51.356Z;2024-08-02T23:03:53Z;[{'id': 5128410735, 'qualifierId': 347}, {'id': 5128410733, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128410741, 'qualifierId': 233, 'value': '6'}];4283da2hccprbybkv4nvmos2c;J. Corona;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;6,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;10;St. Louis City II;10;AMC;1,0
2705299449;6;5;1;0;10;dqx48fglv1l96cyrmjdod0xec;0;40,5;100,9;2024-08-02T23:03:51.356Z;2024-08-02T23:34:21Z;[{'id': 5128410745, 'qualifierId': 233, 'value': '6'}, {'id': 5128410737, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410739, 'qualifierId': 347}];4eh46qse8ocmutobremniuolw;C. Locker;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;6,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;10;Ventura County;10;MC;1,0
2705299457;7;1;1;0;17;8ijkk62897so5r3bq0wgwx4bu;1;56,4;0,0;2024-08-02T23:03:58.221Z;2024-08-02T23:04:01Z;[{'id': 5128410773, 'qualifierId': 140, 'value': '61.6'}, {'id': 5128410769, 'qualifierId': 107}, {'id': 5128410779, 'qualifierId': 213, 'value': '0.59'}, {'id': 5128410771, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128410777, 'qualifierId': 212, 'value': '6.6'}, {'id': 5128410775, 'qualifierId': 141, 'value': '4.6'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;0,59;;;61,6;6,6;4,6;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;61,6;4,6;;;;;;;0;0;0;17;St. Louis City II;17;DR;1,0
2705299459;8;3;1;0;20;8ijkk62897so5r3bq0wgwx4bu;0;64,2;15,5;2024-08-02T23:04:01.403Z;2024-08-02T23:55:02Z;[{'id': 5128410785, 'qualifierId': 286}, {'id': 5128451937, 'qualifierId': 233, 'value': '7'}, {'id': 5128410783, 'qualifierId': 56, 'value': 'Right'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;edm27r7argpa5747hbmsd7rx0;Take On;;;;;;;;;;;;;;;;;;;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;20;St. Louis City II;20;FW;1,0
2705299463;7;7;1;0;20;dqx48fglv1l96cyrmjdod0xec;0;35,8;84,5;2024-08-02T23:04:01.404Z;2024-08-02T23:04:06Z;[{'id': 5128410789, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410791, 'qualifierId': 285}, {'id': 5128410807, 'qualifierId': 233, 'value': '8'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;edm27r7argpa5747hbmsd7rx0;Tackle;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;20;Ventura County;20;MC;1,0
2705299461;9;61;1;0;21;8ijkk62897so5r3bq0wgwx4bu;1;64,5;7,5;2024-08-02T23:04:01.993Z;2024-08-02T23:04:02Z;[{'id': 5128410787, 'qualifierId': 56, 'value': 'Right'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;edm27r7argpa5747hbmsd7rx0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;21;St. Louis City II;21;FW;1,0
2705299471;8;12;1;0;23;dqx48fglv1l96cyrmjdod0xec;1;29,0;95,7;2024-08-02T23:04:04.375Z;2024-08-02T23:16:45Z;[{'id': 5128410833, 'qualifierId': 212, 'value': '3.2'}, {'id': 5128410831, 'qualifierId': 141, 'value': '100.0'}, {'id': 5128410843, 'qualifierId': 167}, {'id': 5128410823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410827, 'qualifierId': 140, 'value': '27.8'}, {'id': 5128410835, 'qualifierId': 213, 'value': '1.97'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;edm27r7argpa5747hbmsd7rx0;Clearance;;;;;;;;;;1,97;;;27,8;3,2;100,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;27,8;100,0;;;;;;;0;0;0;23;Ventura County;23;MC;1,0
2705299473;9;5;1;0;24;dqx48fglv1l96cyrmjdod0xec;0;29,2;100,6;2024-08-02T23:04:04.683Z;2024-08-02T23:34:21Z;[{'id': 5128410839, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410841, 'qualifierId': 347}, {'id': 5128410849, 'qualifierId': 233, 'value': '10'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;10,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;24;Ventura County;24;MC;1,0
2705299467;10;5;1;0;24;8ijkk62897so5r3bq0wgwx4bu;1;70,8;-0,6;2024-08-02T23:04:04.683Z;2024-08-02T23:04:07Z;[{'id': 5128410797, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128410799, 'qualifierId': 347}, {'id': 5128410845, 'qualifierId': 233, 'value': '9'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;edm27r7argpa5747hbmsd7rx0;Out;;;;;;;;;;;;;;;;;;;9,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;24;St. Louis City II;24;FW;1,0
2705299475;11;1;1;0;28;8ijkk62897so5r3bq0wgwx4bu;1;69,4;0,0;2024-08-02T23:04:09.611Z;2024-08-02T23:04:11Z;[{'id': 5128410853, 'qualifierId': 107}, {'id': 5128410863, 'qualifierId': 213, 'value': '1.91'}, {'id': 5128410855, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128410857, 'qualifierId': 140, 'value': '67.4'}, {'id': 5128410859, 'qualifierId': 141, 'value': '7.5'}, {'id': 5128410861, 'qualifierId': 212, 'value': '6.3'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;1,91;;;67,4;6,3;7,5;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;67,4;7,5;;;;;;;0;0;0;28;St. Louis City II;28;DR;1,0
2705299481;12;1;1;0;30;8ijkk62897so5r3bq0wgwx4bu;1;67,4;7,5;2024-08-02T23:04:11.419Z;2024-08-02T23:04:13Z;[{'id': 5128410901, 'qualifierId': 213, 'value': '4.98'}, {'id': 5128410895, 'qualifierId': 140, 'value': '68.2'}, {'id': 5128410897, 'qualifierId': 141, 'value': '3.0'}, {'id': 5128410899, 'qualifierId': 212, 'value': '3.2'}, {'id': 5128410893, 'qualifierId': 56, 'value': 'Right'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;4,98;;;68,2;3,2;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;68,2;3,0;;;;;;;0;0;0;30;St. Louis City II;30;MC;1,0
2705299483;13;1;1;0;32;8ijkk62897so5r3bq0wgwx4bu;1;68,2;3,0;2024-08-02T23:04:13.019Z;2024-08-02T23:55:14Z;[{'id': 5128410909, 'qualifierId': 140, 'value': '66.1'}, {'id': 5128410907, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128410915, 'qualifierId': 213, 'value': '1.98'}, {'id': 5128410913, 'qualifierId': 212, 'value': '5.5'}, {'id': 5128410911, 'qualifierId': 141, 'value': '10.4'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;edm27r7argpa5747hbmsd7rx0;Pass;;;;;;;;;;1,98;;;66,1;5,5;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;66,1;10,4;;;;;;;0;0;0;32;St. Louis City II;32;DR;1,0
2705306733;358;61;1;0;33;8ijkk62897so5r3bq0wgwx4bu;0;70,1;9,8;2024-08-02T23:04:13.612Z;2024-08-02T23:55:22Z;[{'id': 5128452145, 'qualifierId': 56, 'value': 'Right'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;edm27r7argpa5747hbmsd7rx0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;33;St. Louis City II;33;MC;1,0
2705299489;10;49;1;0;34;dqx48fglv1l96cyrmjdod0xec;1;41,6;89,0;2024-08-02T23:04:14.967Z;2024-08-02T23:04:15Z;[];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;edm27r7argpa5747hbmsd7rx0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;34;Ventura County;34;FW;1,0
2705299495;11;50;1;0;34;dqx48fglv1l96cyrmjdod0xec;1;40,8;88,0;2024-08-02T23:04:15.448Z;2024-08-02T23:04:16Z;[{'id': 5128410945, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128410971, 'qualifierId': 233, 'value': '14'}, {'id': 5128410947, 'qualifierId': 286}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;edm27r7argpa5747hbmsd7rx0;Dispossessed;;;;;;;;;;;;;;;;;;;14,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;34;Ventura County;34;FW;1,0
