id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_Resume;value_PlayerPosition;value_TeamFormation;value_Captain;value_Involved;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Length;value_KickOff;value_Angle;value_PassEndX;value_LayOff;value_Defensive;value_OppositeRelatedEventId;value_TakeOnOvertake;value_Offensive;value_Straight;value_LongBall;value_Cross;value_LeftFooted;value_DrivenCross;value_DeletedEventType;value_Chipped;value_HeadPass;value_InSwinger;value_RightFooted;value_IntendedTackleTarget;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_Launch;value_FlickOn;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_Foul;value_AttemptedTackle;value_OutSwinger;value_FreeKickTaken;value_OutOfPlay;value_Head;value_TouchTypeControl;value_SwitchOfPlay;value_PlayersCaughtOffside;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Indirect;value_TakeOnSpace;value_TouchTypeClearance;value_BlockedPass;value_Left;value_CornerTaken;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_OverArm;value_NextEventGoalKick;value_GoalKick;value_High;value_TouchTypePass;value_LowGkIntervention;value_Right;value_Assist;value_IntentionalAssist;value_GkX;value_GkY;value_Assisted;value_GoalmouthY;value_FirstTouch;value_BoxCentre;value_FromCorner;value_GoalmouthZ;value_Low;value_IndividualPlay;value_CloseRight;value_NotAssisted;value_OutOfBoxCentre;value_RegularPlay;value_Shove/Push;value_SwerveRight;value_Blocked;value_LowRight;value_FreeKick;value_BlockedX;value_BlockedY;value_ByWall;value_DefBlock;value_GkKickFromHands;value_CloseHigh;value_SetPiece;value_NotPastGoalLine;value_Overrun;value_BoxRight;value_LowLeft;value_ParriedSafe;value_Hands;value_Diving;value_BoxLeft;value_LowCentre;value_Defensive1V1;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_NotVisible;value_RecklessOffence;value_Minutes;value_ThrowInSetPiece;value_FastBreak;value_Standing;value_ParriedDanger;value_MediumGkIntervention;value_EndType;value_Tactical;value_BlockedCross;value_Collected;value_Stooping;value_ThroughBall;value_AerialFoul;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Penalty;value_PenaltyTakerId;value_HitWoodwork;value_BigChance;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Dissent;value_HighRight;value_Handball;value_HighCentre;value_Volley;value_GkHoof;value_MisHit;value_FoulAndAbusiveLanguage;value_RedCard;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705781819;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-04T01:19:04.556Z;2025-01-14T14:30:33Z;[{'id': 5131155583, 'qualifierId': 197, 'value': '23808'}, {'id': 5131011601, 'qualifierId': 59, 'value': '51, 53, 99, 40, 44, 56, 80, 42, 47, 24, 39, 55, 57, 71, 72, 75, 78, 90, 46'}, {'id': 5131011607, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5131011599, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5131011603, 'qualifierId': 130, 'value': '8'}, {'id': 5131226195, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5131011597, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, 1keonaeqvrkqhbw9sjaaxsff8, 38z2cuwmbeanujqho9cqwozmy, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, 7pegcq6kh8s6naujxky714ys4, etyqw24tl6zko0qarctyv6ane, 28kg6zbpgbb8zrnhidogpxi0a, 6kfmf44wdx1btf9mwqdmo36z8, ew8oodr9hiuqve7xlz24xznfu, 86piuxs9tep01rcbsp3t8vx90, 1p1ektnr3l7lj518cbs2dnmdw, 9j4bb1s2mxtk3d4vmtvv081lg, am8ndwmm4m03ys6wkad29lst0, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8, 45nz5h9qtf9bnucuxuh3b4qhg, 7gh46rkxaa7trgtp8lf1l591w'}, {'id': 5131011605, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;ega2vwtqvq22dz9evmnim4vf8;Team set up;23808,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2705791857;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-04T01:34:18.280Z;2024-08-08T13:16:40Z;[{'id': 5131067337, 'qualifierId': 59, 'value': '12, 30, 3, 19, 6, 14, 43, 33, 36, 21, 18, 1, 5, 9, 10, 11, 31, 48, 50, 70'}, {'id': 5131067341, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5131272407, 'qualifierId': 197, 'value': '15044'}, {'id': 5131067343, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5131067339, 'qualifierId': 130, 'value': '8'}, {'id': 5131067335, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5131272405, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5131067333, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 7yt2ddw0yntv9xq1hrv1jx05w, 3ehrq9mryoug8osgxkpg4eo7o, 70lmb5krx6h8iidmbs6t015hw, 7qt4r82kyz05r8kd8cmdh1xqs, 4uuq2zuhmlbg7kh85v5l8723u, e81zc97bmfjgwo978gplrx46i, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, 3c1xz4vpfoum0jbq6bmtdrtux, azzpjrq2pndxuz0waw25p7r6y, bp0a3bvzsxokh4nu3bq96yx3o, 1es4nynrpc8sz3enj46i9zeok, 2p2lvzr6lk92tevfvb5u6uiac, bk0ik8kr1gpu372ibbbv87ndg'}];;;;;ega2vwtqvq22dz9evmnim4vf8;Team set up;15044,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2705807871;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-04T02:04:47.263Z;2024-08-08T13:04:32Z;[{'id': 5131157951, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ega2vwtqvq22dz9evmnim4vf8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2705807891;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-04T02:04:47.263Z;2024-08-04T02:04:57Z;[{'id': 5131158067, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ega2vwtqvq22dz9evmnim4vf8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2705822243;253;1;1;0;1;7pmw399vh2v44cjle4fkklp1w;1;49,8;49,9;2024-08-04T02:04:48.334Z;2024-08-04T03:05:52Z;[{'id': 5131238813, 'qualifierId': 141, 'value': '51.5'}, {'id': 5131238809, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131238815, 'qualifierId': 212, 'value': '1.3'}, {'id': 5131239051, 'qualifierId': 279, 'value': 'S'}, {'id': 5131238817, 'qualifierId': 213, 'value': '1.05'}, {'id': 5131238811, 'qualifierId': 140, 'value': '50.4'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;51,5;;1,3;;1,05;50,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;50,4;51,5;;;;;;;;0;0;1;Colorado Rapids II;1;AMC;1,0
2705808009;3;1;1;0;1;7pmw399vh2v44cjle4fkklp1w;1;50,1;50,3;2024-08-04T02:04:48.765Z;2024-08-04T02:31:29Z;[{'id': 5131158777, 'qualifierId': 141, 'value': '33.1'}, {'id': 5131158779, 'qualifierId': 212, 'value': '21.5'}, {'id': 5131158775, 'qualifierId': 140, 'value': '32.9'}, {'id': 5131158773, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131158781, 'qualifierId': 213, 'value': '3.72'}];70lmb5krx6h8iidmbs6t015hw;D. Garcia;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;33,1;;21,5;;3,72;32,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;32,9;33,1;;;;;;;;0;0;1;Colorado Rapids II;1;FW;1,0
2705822679;256;1;1;0;2;7pmw399vh2v44cjle4fkklp1w;1;36,6;32,4;2024-08-04T02:04:49.461Z;2024-08-04T02:31:38Z;[{'id': 5131241059, 'qualifierId': 140, 'value': '48.1'}, {'id': 5131241061, 'qualifierId': 141, 'value': '17.0'}, {'id': 5131241057, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131241065, 'qualifierId': 213, 'value': '5.57'}, {'id': 5131241063, 'qualifierId': 212, 'value': '16.0'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;17,0;;16,0;;5,57;48,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;48,1;17,0;;;;;;;;0;0;2;Colorado Rapids II;2;MC;1,0
2705822773;257;1;1;0;4;7pmw399vh2v44cjle4fkklp1w;1;48,3;7,3;2024-08-04T02:04:52.246Z;2024-08-04T02:31:47Z;[{'id': 5131241591, 'qualifierId': 141, 'value': '25.8'}, {'id': 5131241589, 'qualifierId': 140, 'value': '29.6'}, {'id': 5131241595, 'qualifierId': 213, 'value': '2.57'}, {'id': 5131241587, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131241593, 'qualifierId': 212, 'value': '23.3'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;25,8;;23,3;;2,57;29,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;29,6;25,8;;;;;;;;0;0;4;Colorado Rapids II;4;AMR;1,0
2705822937;258;1;1;0;6;7pmw399vh2v44cjle4fkklp1w;1;31,3;16,1;2024-08-04T02:04:53.662Z;2024-08-04T02:32:04Z;[{'id': 5131242395, 'qualifierId': 213, 'value': '2.36'}, {'id': 5131242387, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131242393, 'qualifierId': 212, 'value': '14.3'}, {'id': 5131242391, 'qualifierId': 141, 'value': '30.9'}, {'id': 5131242389, 'qualifierId': 140, 'value': '21.6'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;30,9;;14,3;;2,36;21,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;21,6;30,9;;;;;;;;0;0;6;Colorado Rapids II;6;DR;1,0
2705824043;268;1;1;0;11;7pmw399vh2v44cjle4fkklp1w;1;25,0;36,7;2024-08-04T02:04:58.381Z;2024-08-04T02:34:11Z;[{'id': 5131248213, 'qualifierId': 213, 'value': '6.15'}, {'id': 5131248209, 'qualifierId': 141, 'value': '33.7'}, {'id': 5131248205, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131248207, 'qualifierId': 140, 'value': '39.4'}, {'id': 5131248211, 'qualifierId': 212, 'value': '15.3'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;33,7;;15,3;;6,15;39,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;39,4;33,7;;;;;;;;0;0;11;Colorado Rapids II;11;DL;1,0
2705824097;269;1;1;0;12;7pmw399vh2v44cjle4fkklp1w;1;35,9;34,3;2024-08-04T02:04:59.421Z;2024-08-07T16:37:46Z;[{'id': 5131248521, 'qualifierId': 213, 'value': '3.01'}, {'id': 5131248513, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131248515, 'qualifierId': 140, 'value': '24.2'}, {'id': 5131248519, 'qualifierId': 212, 'value': '12.4'}, {'id': 5135932687, 'qualifierId': 156}, {'id': 5131248517, 'qualifierId': 141, 'value': '36.7'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;36,7;;12,4;;3,01;24,2;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;24,2;36,7;;;;;;;;0;0;12;Colorado Rapids II;12;MC;1,0
2705824137;270;1;1;0;13;7pmw399vh2v44cjle4fkklp1w;1;25,5;36,4;2024-08-04T02:05:00.781Z;2024-08-04T02:34:29Z;[{'id': 5131248777, 'qualifierId': 213, 'value': '5.29'}, {'id': 5131248769, 'qualifierId': 141, 'value': '14.9'}, {'id': 5131248767, 'qualifierId': 140, 'value': '34.5'}, {'id': 5131248765, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131248773, 'qualifierId': 212, 'value': '17.4'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;14,9;;17,4;;5,29;34,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;34,5;14,9;;;;;;;;0;0;13;Colorado Rapids II;13;DL;1,0
2705808035;4;1;1;0;18;7pmw399vh2v44cjle4fkklp1w;1;42,0;15,3;2024-08-04T02:05:05.603Z;2024-08-04T02:34:39Z;[{'id': 5131158919, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131158927, 'qualifierId': 213, 'value': '0.67'}, {'id': 5131158921, 'qualifierId': 140, 'value': '58.9'}, {'id': 5131158923, 'qualifierId': 141, 'value': '36.1'}, {'id': 5131158925, 'qualifierId': 212, 'value': '22.7'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;36,1;;22,7;;0,67;58,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;58,9;36,1;;;;;;;;0;0;18;Colorado Rapids II;18;DR;1,0
2705808049;5;61;1;0;21;7pmw399vh2v44cjle4fkklp1w;1;61,9;38,6;2024-08-04T02:05:08.387Z;2024-08-07T16:39:06Z;[{'id': 5131159013, 'qualifierId': 56, 'value': 'Center'}];70lmb5krx6h8iidmbs6t015hw;D. Garcia;;;ega2vwtqvq22dz9evmnim4vf8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;21;Colorado Rapids II;21;FW;1,0
2705808063;6;1;1;0;23;7pmw399vh2v44cjle4fkklp1w;1;55,8;55,4;2024-08-04T02:05:10.372Z;2024-08-04T02:53:44Z;[{'id': 5131159125, 'qualifierId': 213, 'value': '2.04'}, {'id': 5131159123, 'qualifierId': 212, 'value': '26.7'}, {'id': 5131159117, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131159121, 'qualifierId': 141, 'value': '90.3'}, {'id': 5131159119, 'qualifierId': 140, 'value': '44.2'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;90,3;;26,7;;2,04;44,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;44,2;90,3;;;;;;;;0;0;23;Colorado Rapids II;23;MC;1,0
2705808093;7;1;1;0;25;7pmw399vh2v44cjle4fkklp1w;1;46,2;75,6;2024-08-04T02:05:12.851Z;2024-08-04T02:53:57Z;[{'id': 5131159263, 'qualifierId': 213, 'value': '0.71'}, {'id': 5131159259, 'qualifierId': 141, 'value': '95.7'}, {'id': 5131159261, 'qualifierId': 212, 'value': '20.9'}, {'id': 5131159257, 'qualifierId': 140, 'value': '61.3'}, {'id': 5131159255, 'qualifierId': 56, 'value': 'Left'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;95,7;;20,9;;0,71;61,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;61,3;95,7;;;;;;;;0;0;25;Colorado Rapids II;25;AML;1,0
2705808087;3;45;1;0;28;iiolvosiuokkrl5iuoxcjo4p;0;28,2;6,6;2024-08-04T02:05:15.643Z;2024-08-04T02:05:18Z;[{'id': 5131159239, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131159241, 'qualifierId': 285}, {'id': 5131159339, 'qualifierId': 233, 'value': '8'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;ega2vwtqvq22dz9evmnim4vf8;Challenge;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;28;Houston Dynamo II;28;AMR;1,0
2705808101;8;3;1;0;28;7pmw399vh2v44cjle4fkklp1w;1;71,8;93,4;2024-08-04T02:05:15.643Z;2024-08-07T16:39:46Z;[{'id': 5131159331, 'qualifierId': 233, 'value': '3'}, {'id': 5131159303, 'qualifierId': 56, 'value': 'Left'}, {'id': 5135933463, 'qualifierId': 465}, {'id': 5131159305, 'qualifierId': 286}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;ega2vwtqvq22dz9evmnim4vf8;Take On;;;;;;;;;;;;;;;;;;3,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;28;Colorado Rapids II;28;DC;1,0
2705808113;9;1;1;0;30;7pmw399vh2v44cjle4fkklp1w;0;79,8;96,0;2024-08-04T02:05:17.829Z;2024-08-07T16:40:05Z;[{'id': 5131159373, 'qualifierId': 213, 'value': '4.99'}, {'id': 5135933487, 'qualifierId': 225}, {'id': 5131159375, 'qualifierId': 1}, {'id': 5131159369, 'qualifierId': 141, 'value': '48.1'}, {'id': 5131159365, 'qualifierId': 56, 'value': 'Center'}, {'id': 5131159361, 'qualifierId': 2}, {'id': 5131159371, 'qualifierId': 212, 'value': '33.9'}, {'id': 5135933491, 'qualifierId': 72}, {'id': 5135933489, 'qualifierId': 386}, {'id': 5131159367, 'qualifierId': 140, 'value': '88.8'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;48,1;;33,9;;4,99;88,8;;;;;;1,0;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;88,8;48,1;;;;;;;;0;0;30;Colorado Rapids II;30;DC;1,0
2705808129;4;12;1;0;30;iiolvosiuokkrl5iuoxcjo4p;1;15,6;52,1;2024-08-04T02:05:18.226Z;2024-08-04T02:05:21Z;[{'id': 5131159481, 'qualifierId': 213, 'value': '0.01'}, {'id': 5131159471, 'qualifierId': 56, 'value': 'Back'}, {'id': 5131159479, 'qualifierId': 212, 'value': '21.3'}, {'id': 5131159475, 'qualifierId': 141, 'value': '52.4'}, {'id': 5131159473, 'qualifierId': 140, 'value': '35.9'}];1keonaeqvrkqhbw9sjaaxsff8;J. Travis;;;ega2vwtqvq22dz9evmnim4vf8;Clearance;;;;;;;;;;52,4;;21,3;;0,01;35,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;35,9;52,4;;;;;;;;0;0;30;Houston Dynamo II;30;DC;1,0
2705808141;5;1;1;0;34;iiolvosiuokkrl5iuoxcjo4p;0;35,9;52,4;2024-08-04T02:05:21.802Z;2024-08-04T02:05:22Z;[{'id': 5131159533, 'qualifierId': 140, 'value': '46.6'}, {'id': 5131159537, 'qualifierId': 212, 'value': '11.3'}, {'id': 5131159539, 'qualifierId': 213, 'value': '0.10'}, {'id': 5131159535, 'qualifierId': 141, 'value': '54.0'}, {'id': 5131159531, 'qualifierId': 56, 'value': 'Back'}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;ega2vwtqvq22dz9evmnim4vf8;Pass;;;;;;;;;;54,0;;11,3;;0,1;46,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;46,6;54,0;;;;;;;;0;0;34;Houston Dynamo II;34;AML;1,0
2705808149;10;43;1;0;36;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-04T02:05:24.180Z;2024-08-07T16:40:49Z;[{'id': 5135933731, 'qualifierId': 144, 'value': '49'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;ega2vwtqvq22dz9evmnim4vf8;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;36;Colorado Rapids II;36;DL;1,0
