id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_Resume;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_FlickOn;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Head;value_IntendedTackleTarget;value_NextEventGoalKick;value_High;value_GoalKick;value_LowGkIntervention;value_KeeperThrow;value_TouchTypeClearance;value_LayOff;value_BlockedPass;value_Offensive;value_Defensive;value_TakeOnOvertake;value_OutOfPlay;value_TouchTypePass;value_DeletedEventType;value_Cross;value_RightFooted;value_InSwinger;value_Overrun;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_AerialFoul;value_ThroughBall;value_MediumGkIntervention;value_TakeOnSpace;value_LeftFooted;value_OutSwinger;value_HighGkIntervention;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_GkY;value_BlockedY;value_GkX;value_RelatedEventId;value_LowLeft;value_Assisted;value_BoxCentre;value_BlockedX;value_RegularPlay;value_FirstTouch;value_GoalmouthY;value_GoalmouthZ;value_Blocked;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_IndividualPlay;value_CloseRightAndHigh;value_NotAssisted;value_OutOfBoxCentre;value_Low;value_CloseHigh;value_BoxRight;value_Handball;value_HighClaim;value_AttemptedTackle;value_35Centre;value_ShirtPull/Holding;value_OverhitCross;value_LastLine;value_Volley;value_HighCentre;value_Collected;value_Hands;value_Standing;value_ParriedSafe;value_OverArm;value_LeadingToAttempt;value_LowRight;value_RelatedError1Id;value_Defensive1V1;value_SwitchOfPlay;value_PullBack;value_SwerveLeft;value_LowCentre;value_NotVisible;value_GkHoof;value_RefereeDelay;value_DrinksBreak;value_GkKickFromHands;value_BoxLeft;value_ParriedDanger;value_Stooping;value_Fumble;value_Minutes;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_EndType;value_Injury;value_InjuredPlayerId;value_BlockedCross;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Diving;value_Caught;value_YellowCard;value_TacticalFoul;value_BlockByHand;value_FromCorner;value_Penalty;value_PenaltyTakerId;value_Dissent;value_Scored;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_CausingPlayer;value_BlockedClearance;value_OtherReason;value_Tap;value_FreeKick;value_Deflection;value_CloseLeft;value_Unchallenged;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699542983;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-06T22:02:12.277Z;2024-07-06T23:06:30Z;[{'id': 5096562827, 'qualifierId': 59, 'value': '31, 35, 44, 66, 39, 43, 60, 48, 68, 41, 40, 27, 36, 47, 51, 56, 64, 71, 79, 97'}, {'id': 5096562825, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5096562831, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096614811, 'qualifierId': 197, 'value': '18743'}, {'id': 5096619561, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5096562833, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096562829, 'qualifierId': 130, 'value': '4'}, {'id': 5096562823, 'qualifierId': 30, 'value': 'aiifscgp07zvj7thb3p3huelm, ds4avrkvrp4jxq9lp02ssci22, 3xd2kq7cxmvdbqsfzgi644c4q, dercetgxemr74f5yasq86s5t6, exk9svcdgcbn05ms00fhorvv8, avxfzgoe2y0opif75qu3aeb6c, 9qhpi9y9iujvkbocafhgrj04q, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 7bxp7ho4cmsoviw19q4bxr02c, 6bg69aksa8wb6wmu7w81is8yy, 9ohy24mxhsqao5kymh0lbxxck, 603sxl8xsij9kep03px6s85m2, 8texi81doeqhy7eu6fnhrstbe, 4npcsyrhri5kmeks8gfon146i, doqbp8fg8hke6hhifdr4jzklw, 7nvpvg46tgsnyp31t3se72e0a, 35i699wz5v6nush729peu776c, avg8cobjwujoc3os8q8755tlg, 7ofdnarha4k4b8nggld7gxnqi'}];;;;;dvcrb9b459b1qqi3gh8kpu6ms;Team set up;;;;18743,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2699543193;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-07-06T22:03:10.784Z;2024-07-06T23:06:04Z;[{'id': 5096563827, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096563825, 'qualifierId': 130, 'value': '4'}, {'id': 5096563821, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5096563819, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, exunlng0cgo9bpqh4x6jpxyax, 1h5rgsol19v1pcl5ksstrv9t6, at2xv960peboe9spoag2kn21g, 87nhafgkozygrd5f06ore0xzo, 7e8xkqlux0myjc5cwtb7rega1, b4te1cxogvhtglhug3sdgkmei, 4cwccglaxz5sf71eptnj6kzfu, a3eln6gas8765a3pn6ecqjvxm, 82uh6ad46fvub9b0vfapw2vze, 4hdai9za2ls03tjpcw0ahu5wq, 6zuton58biybp7ge3mpc17alm, jb43adjmhnwysrrwwmvuojfu, 2d3dwhrtafkd1b8q1nzerqew9, 6zbb5xiauoixj3clxdgud8lxw, 5m8hxfvza21t4wfe6v0a18etw, 9gk1m714ni2m8n26uybsgadey, 3a8bghw11ttrstr4jlopadd9m, ew3qxbn1ev1qv7wi0iwoc642c, ezq3vqtlf2keocudx8ndelct0'}, {'id': 5096610103, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 5096563829, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096563823, 'qualifierId': 59, 'value': '15, 23, 22, 33, 14, 20, 25, 8, 9, 71, 11, 18, 2, 3, 6, 10, 12, 24, 32, 51'}, {'id': 5096616653, 'qualifierId': 197, 'value': '23330'}];;;;;dvcrb9b459b1qqi3gh8kpu6ms;Team set up;;;;23330,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2699551045;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-06T23:03:57.915Z;2024-07-06T23:03:59Z;[{'id': 5096615295, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dvcrb9b459b1qqi3gh8kpu6ms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Chattanooga;0;;
2699551035;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-07-06T23:03:57.915Z;2024-07-14T06:26:22Z;[{'id': 5096615273, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dvcrb9b459b1qqi3gh8kpu6ms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2699551065;3;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;49,9;50,4;2024-07-06T23:03:57.916Z;2024-07-06T23:04:02Z;[{'id': 5096615397, 'qualifierId': 140, 'value': '27.5'}, {'id': 5096615395, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615403, 'qualifierId': 213, 'value': '3.28'}, {'id': 5096615405, 'qualifierId': 279, 'value': 'S'}, {'id': 5096615401, 'qualifierId': 212, 'value': '23.7'}, {'id': 5096615399, 'qualifierId': 141, 'value': '45.7'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;27,5;;3,28;;23,7;45,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;27,5;45,7;;;;;;;;0;0;0;Chattanooga;0;MC;1,0
2699551087;4;1;1;0;4;6ubc4y1v6hr63mca7ica4hp90;0;27,5;45,8;2024-07-06T23:04:02.293Z;2024-07-06T23:04:05Z;[{'id': 5096615519, 'qualifierId': 213, 'value': '0.44'}, {'id': 5096615521, 'qualifierId': 1}, {'id': 5096615513, 'qualifierId': 140, 'value': '86.7'}, {'id': 5096615509, 'qualifierId': 157}, {'id': 5096615515, 'qualifierId': 141, 'value': '89.3'}, {'id': 5096615517, 'qualifierId': 212, 'value': '68.8'}, {'id': 5096615511, 'qualifierId': 56, 'value': 'Left'}];exk9svcdgcbn05ms00fhorvv8;J. Neeley;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;86,7;;0,44;;68,8;89,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;86,7;89,3;;;;;;;;0;0;4;Chattanooga;4;DL;1,0
2699551099;3;1;1;0;8;cwnjxlibb02fuh0vwgvac6h45;1;14,0;22,1;2024-07-06T23:04:06.336Z;2024-07-14T06:56:31Z;[{'id': 5096615571, 'qualifierId': 141, 'value': '24.6'}, {'id': 5096615567, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615817, 'qualifierId': 3}, {'id': 5096615575, 'qualifierId': 213, 'value': '0.26'}, {'id': 5096615573, 'qualifierId': 212, 'value': '6.7'}, {'id': 5096615569, 'qualifierId': 140, 'value': '20.2'}];exunlng0cgo9bpqh4x6jpxyax;J. Williams;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;20,2;;0,26;;6,7;24,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;20,2;24,6;;;;;;;;0;0;8;Crown Legacy;8;DR;1,0
2699551101;4;49;1;0;9;cwnjxlibb02fuh0vwgvac6h45;1;13,2;19,8;2024-07-06T23:04:07.508Z;2024-07-06T23:04:07Z;[];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dvcrb9b459b1qqi3gh8kpu6ms;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;9;Crown Legacy;9;MC;1,0
2699551109;5;1;1;0;10;cwnjxlibb02fuh0vwgvac6h45;1;10,6;17,4;2024-07-06T23:04:08.086Z;2024-07-06T23:04:09Z;[{'id': 5096615635, 'qualifierId': 213, 'value': '3.60'}, {'id': 5096615627, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615631, 'qualifierId': 141, 'value': '11.7'}, {'id': 5096615629, 'qualifierId': 140, 'value': '3.2'}, {'id': 5096615633, 'qualifierId': 212, 'value': '8.7'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;3,2;;3,6;;8,7;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;3,2;11,7;;;;;;;;0;0;10;Crown Legacy;10;MC;1,0
2699551117;6;1;1;0;11;cwnjxlibb02fuh0vwgvac6h45;1;3,2;11,7;2024-07-06T23:04:09.679Z;2024-07-06T23:04:11Z;[{'id': 5096615673, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615679, 'qualifierId': 212, 'value': '12.8'}, {'id': 5096615671, 'qualifierId': 155}, {'id': 5096615681, 'qualifierId': 213, 'value': '6.08'}, {'id': 5096615675, 'qualifierId': 140, 'value': '15.1'}, {'id': 5096615677, 'qualifierId': 141, 'value': '7.9'}];exunlng0cgo9bpqh4x6jpxyax;J. Williams;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;15,1;;6,08;;12,8;7,9;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;15,1;7,9;;;;;;;;0;0;11;Crown Legacy;11;DR;1,0
2699551119;7;1;1;0;13;cwnjxlibb02fuh0vwgvac6h45;0;15,1;7,9;2024-07-06T23:04:11.132Z;2024-07-06T23:04:12Z;[{'id': 5096615699, 'qualifierId': 212, 'value': '16.3'}, {'id': 5096615693, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615701, 'qualifierId': 213, 'value': '5.87'}, {'id': 5096615695, 'qualifierId': 140, 'value': '29.3'}, {'id': 5096615697, 'qualifierId': 141, 'value': '0.0'}, {'id': 5096615691, 'qualifierId': 168}, {'id': 5096615689, 'qualifierId': 3}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;29,3;;5,87;;16,3;0,0;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;29,3;0,0;;;;;;;;0;0;13;Crown Legacy;13;MC;1,0
2699551141;5;5;1;0;14;6ubc4y1v6hr63mca7ica4hp90;1;70,2;101,8;2024-07-06T23:04:11.975Z;2024-07-06T23:07:54Z;[{'id': 5096615863, 'qualifierId': 233, 'value': '8'}, {'id': 5096615835, 'qualifierId': 56, 'value': 'Left'}, {'id': 5096615837, 'qualifierId': 347}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;dvcrb9b459b1qqi3gh8kpu6ms;Out;;;;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;14;Chattanooga;14;MC;1,0
2699551121;8;5;1;0;14;cwnjxlibb02fuh0vwgvac6h45;0;29,8;-1,8;2024-07-06T23:04:11.975Z;2024-07-06T23:04:21Z;[{'id': 5096615703, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615867, 'qualifierId': 233, 'value': '5'}, {'id': 5096615705, 'qualifierId': 347}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;dvcrb9b459b1qqi3gh8kpu6ms;Out;;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;14;Crown Legacy;14;MC;1,0
2699551147;6;1;1;0;22;6ubc4y1v6hr63mca7ica4hp90;0;69,7;100,0;2024-07-06T23:04:20.020Z;2024-07-06T23:04:21Z;[{'id': 5096615871, 'qualifierId': 107}, {'id': 5096615875, 'qualifierId': 140, 'value': '88.3'}, {'id': 5096615877, 'qualifierId': 141, 'value': '88.0'}, {'id': 5096615881, 'qualifierId': 213, 'value': '5.83'}, {'id': 5096615873, 'qualifierId': 56, 'value': 'Left'}, {'id': 5096615879, 'qualifierId': 212, 'value': '21.7'}, {'id': 5096615883, 'qualifierId': 1}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;88,3;;5,83;;21,7;88,0;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;88,3;88,0;;;;;;;;0;0;22;Chattanooga;22;DC;1,0
2699551159;9;12;1;0;24;cwnjxlibb02fuh0vwgvac6h45;1;9,3;17,6;2024-07-06T23:04:22.817Z;2024-07-14T06:57:10Z;[{'id': 5096615941, 'qualifierId': 213, 'value': '6.14'}, {'id': 5104153049, 'qualifierId': 15}, {'id': 5096615937, 'qualifierId': 141, 'value': '13.9'}, {'id': 5096615935, 'qualifierId': 140, 'value': '25.6'}, {'id': 5096615933, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096615939, 'qualifierId': 212, 'value': '17.3'}];exunlng0cgo9bpqh4x6jpxyax;J. Williams;;;dvcrb9b459b1qqi3gh8kpu6ms;Clearance;;;;;;;;;;25,6;;6,14;;17,3;13,9;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;25,6;13,9;;;;;;;;0;0;24;Crown Legacy;24;DR;1,0
2699571661;411;61;1;0;25;cwnjxlibb02fuh0vwgvac6h45;0;29,9;14,1;2024-07-06T23:04:22.915Z;2024-07-14T06:57:23Z;[{'id': 5096733345, 'qualifierId': 56, 'value': 'Back'}];82uh6ad46fvub9b0vfapw2vze;J. James;;;dvcrb9b459b1qqi3gh8kpu6ms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;25;Crown Legacy;25;FWR;1,0
2699551189;7;1;1;0;30;6ubc4y1v6hr63mca7ica4hp90;1;70,9;75,6;2024-07-06T23:04:28.757Z;2024-07-06T23:57:15Z;[{'id': 5096616125, 'qualifierId': 213, 'value': '4.36'}, {'id': 5096616121, 'qualifierId': 141, 'value': '65.8'}, {'id': 5096616117, 'qualifierId': 140, 'value': '68.6'}, {'id': 5096616115, 'qualifierId': 56, 'value': 'Center'}, {'id': 5096616123, 'qualifierId': 212, 'value': '7.1'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;68,6;;4,36;;7,1;65,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;68,6;65,8;;;;;;;;0;0;30;Chattanooga;30;MC;1,0
2699551207;8;1;1;0;34;6ubc4y1v6hr63mca7ica4hp90;1;68,6;65,8;2024-07-06T23:04:32.884Z;2024-07-06T23:57:17Z;[{'id': 5096616239, 'qualifierId': 212, 'value': '41.6'}, {'id': 5096616233, 'qualifierId': 56, 'value': 'Right'}, {'id': 5096616243, 'qualifierId': 1}, {'id': 5096739873, 'qualifierId': 155}, {'id': 5096616235, 'qualifierId': 140, 'value': '78.0'}, {'id': 5096616237, 'qualifierId': 141, 'value': '6.4'}, {'id': 5096616241, 'qualifierId': 213, 'value': '4.95'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;78,0;;4,95;;41,6;6,4;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;78,0;6,4;;;;;;;;0;0;34;Chattanooga;34;MC;1,0
2699551211;9;1;1;0;37;6ubc4y1v6hr63mca7ica4hp90;0;80,1;10,3;2024-07-06T23:04:34.996Z;2024-07-14T06:58:42Z;[{'id': 5096616273, 'qualifierId': 213, 'value': '1.25'}, {'id': 5096616405, 'qualifierId': 233, 'value': '10'}, {'id': 5096616269, 'qualifierId': 141, 'value': '15.0'}, {'id': 5096616271, 'qualifierId': 212, 'value': '3.4'}, {'id': 5096616267, 'qualifierId': 140, 'value': '81.1'}, {'id': 5096616265, 'qualifierId': 56, 'value': 'Right'}];7bxp7ho4cmsoviw19q4bxr02c;B. Romero;;;dvcrb9b459b1qqi3gh8kpu6ms;Pass;;;;;;;;;;81,1;;1,25;;3,4;15,0;;;;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;81,1;15,0;;;;;;;;0;0;37;Chattanooga;37;FWR;1,0
2699551229;10;61;1;0;37;cwnjxlibb02fuh0vwgvac6h45;1;24,7;85,1;2024-07-06T23:04:34.997Z;2024-07-14T06:58:38Z;[{'id': 5096616365, 'qualifierId': 56, 'value': 'Back'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dvcrb9b459b1qqi3gh8kpu6ms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;37;Crown Legacy;37;FWL;1,0
2699551237;11;83;1;0;38;cwnjxlibb02fuh0vwgvac6h45;0;17,2;87,2;2024-07-06T23:04:36.266Z;2024-07-14T06:58:54Z;[{'id': 5096623607, 'qualifierId': 399, 'value': '7bxp7ho4cmsoviw19q4bxr02c'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dvcrb9b459b1qqi3gh8kpu6ms;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;0;38;Crown Legacy;38;FWL;1,0
2699551249;10;61;1;0;41;6ubc4y1v6hr63mca7ica4hp90;0;89,4;15,2;2024-07-06T23:04:39.180Z;2024-07-06T23:08:23Z;[{'id': 5096616449, 'qualifierId': 56, 'value': 'Right'}];7bxp7ho4cmsoviw19q4bxr02c;B. Romero;;;dvcrb9b459b1qqi3gh8kpu6ms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;41;Chattanooga;41;FWR;1,0
