id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_Involved;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Zone;value_Angle;value_Length;value_LongBall;value_Launch;value_OutOfPlay;value_Head;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_BlockedPass;value_Defensive;value_TouchTypePass;value_Chipped;value_Cross;value_LeftFooted;value_OutSwinger;value_BlockedCross;value_Left;value_Assist;value_IntentionalAssist;value_InSwinger;value_CornerTaken;value_RightFooted;value_CloseLeft;value_GkX;value_Assisted;value_GkY;value_FromCorner;value_FirstTouch;value_BoxCentre;value_GoalmouthZ;value_GoalmouthY;value_RelatedEventId;value_NextEventGoalKick;value_GoalKick;value_High;value_TakeOnOvertake;value_Overrun;value_DeletedEventType;value_TakeOnSpace;value_LayOff;value_RegularPlay;value_LowLeft;value_BoxLeft;value_GoalShotTimestamp;value_IndividualPlay;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_HeadPass;value_TouchTypeControl;value_LowCentre;value_Blocked;value_BlockedX;value_BoxRight;value_BlockedY;value_SixYardBlocked;value_DefBlock;value_Right;value_FloatedCross;value_Straight;value_TouchTypeClearance;value_DrivenCross;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_ShirtPull/Holding;value_HighGkIntervention;value_HighClaim;value_GkHoof;value_CloseLeftAndHigh;value_OutOfBoxCentre;value_Low;value_Shove/Push;value_NotRetreating;value_YellowCard;value_IntendedTackleTarget;value_SmallBoxRight;value_Volley;value_SetPiece;value_LowRight;value_FreeKick;value_OutOfBoxDeepRight;value_NotAssisted;value_LeadingToGoal;value_BigChance;value_RelatedError1Id;value_FlickOn;value_MediumGkIntervention;value_KeeperThrow;value_LowGkIntervention;value_HitLeftPost;value_HitWoodwork;value_HighCentre;value_Hands;value_Fumble;value_Standing;value_ParriedDanger;value_HitRightPost;value_NotVisible;value_GkKickFromHands;value_SwitchOfPlay;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_Minutes;value_SwerveLeft;value_Diving;value_ParriedSafe;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_CaptainChange;value_PlayersCaughtOffside;value_Indirect;value_OtherReason;value_RefereeDelay;value_CloseRight;value_ProfessionalFoulLastMan;value_RedCard;value_Collected;value_TacticalFoul;value_VideoCoverageLost;value_CloseHigh;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716814941;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-01T23:24:01.504Z;2024-09-05T07:55:38Z;[{'id': 5196237839, 'qualifierId': 194, 'value': 'c760g3hvhvi7nra7gpdrynn1m'}, {'id': 5191899643, 'qualifierId': 197, 'value': '3386'}, {'id': 5191774673, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, 5qfwg7j8xrfv19ouu4gvrs00k, 7w2rw1jd8ouhu8bbvswvysu8k, cgcpmpetc768pyqb51qthq61g, 2figny7hhxiw29vizhlyta3o4, 8pvvljn4uasfjxdleh56pm38, d8u6lnk9lmbrgv9obcshpec8a, e8i5fg3tp35k8iys32eiv7jmc, d5del7kcf1zgkd2uvhius8y22, 7z57s6veqr3k87quyd6i7fgx6, c760g3hvhvi7nra7gpdrynn1m, b1fzb3n41gtxqnv6pcaug88pg, bje8wvncnbbx5w0l08uno88ru, 5l9js12tsf18c7st0oac3swes, 7q8y6gbmg9j75zgm3nhs3bfh0, bwn9d457kxdldt87z9fl1x0k4, 2m7xhno7xnktvmzwa6j7wlgfe, dqxh3f9qy6lhrwabvnbb6erro, 6xu5v7x5zge1k83w40mmbxyzu'}, {'id': 5191774675, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191774683, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191774677, 'qualifierId': 59, 'value': '40, 95, 73, 96, 58, 51, 85, 89, 38, 72, 82, 74, 70, 92, 68, 86, 50, 79, 81'}, {'id': 5191774681, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191774679, 'qualifierId': 130, 'value': '13'}];;;;;f28rgiegrw553krvj4ckl8fmc;Team set up;;3386,0;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2716816225;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-01T23:25:46.640Z;2024-09-02T01:08:44Z;[{'id': 5192073143, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5191781749, 'qualifierId': 30, 'value': 'b82dmhiv5rfrczfcx26cnvo16, 44nrrrjr233eellmujjz45h5g, 5bgt61vb5lnzyoczqnr202lpm, 739dnufx6izfhubwow0n1ijxm, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, 4uo9isxivewjrtdg9v7lku9zo, b94wogguhbhpo2mal3pfpo26s, 9asj8t10cvfumot9hr3dprsic, aw0ngrym0lzn2paoz70wtlgyc, bpr7u1cp7bzt1w2t1tsmru73e, 8za8xvdiyduedk2i99bdqv4es, 6hq9a0pz5ybc67wdttd54xvbp, 8bjjne12yudwbzfzjdlygqx62, bfm4xr4ue74v0li53slarf9t6, bu0qf3q6j69an4i0gz7xhqcd0, 14etj499a213gtgymith3htec, dpijel5jgf0itquzz7ryfju38, aqhx9mrbm7s98tnjc09vqjnys'}, {'id': 5191781755, 'qualifierId': 130, 'value': '18'}, {'id': 5191781753, 'qualifierId': 59, 'value': '30, 15, 45, 34, 38, 96, 41, 37, 35, 44, 77, 43, 48, 40, 42, 49, 52, 50, 68, 95'}, {'id': 5191781751, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191781759, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191781757, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191899743, 'qualifierId': 197, 'value': '14969'}];;;;;f28rgiegrw553krvj4ckl8fmc;Team set up;;14969,0;;;;;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2716837603;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-02T00:03:44.673Z;2024-09-05T07:43:12Z;[{'id': 5191901601, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f28rgiegrw553krvj4ckl8fmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2716837631;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-02T00:03:44.673Z;2024-09-02T00:03:47Z;[{'id': 5191901721, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f28rgiegrw553krvj4ckl8fmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2716837647;3;1;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;49,7;49,4;2024-09-02T00:03:44.674Z;2024-09-02T00:03:48Z;[{'id': 5191901805, 'qualifierId': 141, 'value': '47.8'}, {'id': 5191901811, 'qualifierId': 279, 'value': 'S'}, {'id': 5191901803, 'qualifierId': 140, 'value': '32.6'}, {'id': 5191901801, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191901809, 'qualifierId': 213, 'value': '3.20'}, {'id': 5191901807, 'qualifierId': 212, 'value': '18.0'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;47,8;;32,6;;3,2;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;32,6;47,8;;;;;;;0;0;0;0;Toronto II;0;FW;1,0
2716837665;4;1;1;0;4;bd0378yx50xpdcgwkt9p9bmz8;0;33,2;47,8;2024-09-02T00:03:48.799Z;2024-09-02T00:03:51Z;[{'id': 5191901911, 'qualifierId': 141, 'value': '7.1'}, {'id': 5191901917, 'qualifierId': 1}, {'id': 5191901915, 'qualifierId': 213, 'value': '5.68'}, {'id': 5191901913, 'qualifierId': 212, 'value': '48.5'}, {'id': 5191901905, 'qualifierId': 157}, {'id': 5191901909, 'qualifierId': 140, 'value': '71.1'}, {'id': 5191901907, 'qualifierId': 56, 'value': 'Right'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;7,1;;71,1;;5,68;48,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;71,1;7,1;;;;;;;0;0;0;4;Toronto II;4;DC;1,0
2716837681;3;12;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;1;22,3;95,1;2024-09-02T00:03:52.305Z;2024-09-02T01:05:34Z;[{'id': 5191901991, 'qualifierId': 141, 'value': '100.0'}, {'id': 5191902057, 'qualifierId': 167}, {'id': 5191901997, 'qualifierId': 15}, {'id': 5191901987, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191901995, 'qualifierId': 213, 'value': '1.27'}, {'id': 5191901989, 'qualifierId': 140, 'value': '23.7'}, {'id': 5191901993, 'qualifierId': 212, 'value': '4.9'}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;f28rgiegrw553krvj4ckl8fmc;Clearance;;;;;;;;;;100,0;;23,7;;1,27;4,9;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;23,7;100,0;;;;;;;0;0;0;7;Cincinnati II;7;DML;1,0
2716837689;4;5;1;0;8;29nx7yxy1rdqv2oobqn5pjf8p;0;24,1;101,7;2024-09-02T00:03:53.071Z;2024-09-02T01:08:58Z;[{'id': 5191902033, 'qualifierId': 347}, {'id': 5191902235, 'qualifierId': 233, 'value': '5'}, {'id': 5191902031, 'qualifierId': 56, 'value': 'Back'}];cgcpmpetc768pyqb51qthq61g;R. Chukwu;;;f28rgiegrw553krvj4ckl8fmc;Out;;;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;8;Cincinnati II;8;DC;1,0
2716837723;5;5;1;0;8;bd0378yx50xpdcgwkt9p9bmz8;1;75,9;-1,7;2024-09-02T00:03:53.071Z;2024-09-02T01:08:57Z;[{'id': 5191902195, 'qualifierId': 347}, {'id': 5191902193, 'qualifierId': 56, 'value': 'Right'}, {'id': 5191902231, 'qualifierId': 233, 'value': '4'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;f28rgiegrw553krvj4ckl8fmc;Out;;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;8;Toronto II;8;DC;1,0
2716837749;6;1;1;0;12;bd0378yx50xpdcgwkt9p9bmz8;1;76,2;0,0;2024-09-02T00:03:57.535Z;2024-09-02T00:22:42Z;[{'id': 5191902311, 'qualifierId': 56, 'value': 'Right'}, {'id': 5191902319, 'qualifierId': 213, 'value': '2.72'}, {'id': 5191902317, 'qualifierId': 212, 'value': '18.1'}, {'id': 5191902315, 'qualifierId': 141, 'value': '9.1'}, {'id': 5191902313, 'qualifierId': 140, 'value': '60.5'}, {'id': 5191902309, 'qualifierId': 107}];44nrrrjr233eellmujjz45h5g;B. Halsey;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;9,1;;60,5;;2,72;18,1;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;60,5;9,1;;;;;;;0;0;0;12;Toronto II;12;DMR;1,0
2716837797;7;1;1;0;15;bd0378yx50xpdcgwkt9p9bmz8;1;60,0;9,7;2024-09-02T00:04:00.575Z;2024-09-02T00:04:03Z;[{'id': 5191902585, 'qualifierId': 141, 'value': '27.9'}, {'id': 5191902583, 'qualifierId': 140, 'value': '39.1'}, {'id': 5191902589, 'qualifierId': 213, 'value': '2.63'}, {'id': 5191902581, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191902587, 'qualifierId': 212, 'value': '25.2'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;27,9;;39,1;;2,63;25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;39,1;27,9;;;;;;;0;0;0;15;Toronto II;15;DC;1,0
2716837825;8;1;1;0;18;bd0378yx50xpdcgwkt9p9bmz8;1;33,9;29,1;2024-09-02T00:04:03.503Z;2024-09-02T00:04:06Z;[{'id': 5191902767, 'qualifierId': 213, 'value': '2.42'}, {'id': 5191902761, 'qualifierId': 140, 'value': '19.1'}, {'id': 5191902759, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191902763, 'qualifierId': 141, 'value': '49.3'}, {'id': 5191902765, 'qualifierId': 212, 'value': '20.7'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;49,3;;19,1;;2,42;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;19,1;49,3;;;;;;;0;0;0;18;Toronto II;18;DC;1,0
2716837859;9;1;1;0;21;bd0378yx50xpdcgwkt9p9bmz8;1;19,6;49,3;2024-09-02T00:04:06.238Z;2024-09-02T00:04:11Z;[{'id': 5191902957, 'qualifierId': 212, 'value': '12.2'}, {'id': 5191902959, 'qualifierId': 213, 'value': '5.11'}, {'id': 5191902951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191902953, 'qualifierId': 140, 'value': '24.1'}, {'id': 5191902955, 'qualifierId': 141, 'value': '32.7'}];b82dmhiv5rfrczfcx26cnvo16;H. Morse;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;32,7;;24,1;;5,11;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;24,1;32,7;;;;;;;0;0;0;21;Toronto II;21;GK;1,0
2716837881;10;1;1;0;26;bd0378yx50xpdcgwkt9p9bmz8;1;24,6;32,7;2024-09-02T00:04:11.567Z;2024-09-02T00:04:13Z;[{'id': 5191903067, 'qualifierId': 141, 'value': '11.6'}, {'id': 5191903069, 'qualifierId': 212, 'value': '16.2'}, {'id': 5191903071, 'qualifierId': 213, 'value': '5.19'}, {'id': 5191903063, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903065, 'qualifierId': 140, 'value': '31.7'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;11,6;;31,7;;5,19;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;31,7;11,6;;;;;;;0;0;0;26;Toronto II;26;DC;1,0
2716837911;11;1;1;0;29;bd0378yx50xpdcgwkt9p9bmz8;1;31,7;11,6;2024-09-02T00:04:13.823Z;2024-09-02T00:04:16Z;[{'id': 5191903201, 'qualifierId': 140, 'value': '53.5'}, {'id': 5191903207, 'qualifierId': 213, 'value': '0.19'}, {'id': 5191903205, 'qualifierId': 212, 'value': '23.3'}, {'id': 5191903199, 'qualifierId': 56, 'value': 'Right'}, {'id': 5191903203, 'qualifierId': 141, 'value': '17.9'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;17,9;;53,5;;0,19;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;53,5;17,9;;;;;;;0;0;0;29;Toronto II;29;DC;1,0
2716837925;12;1;1;0;31;bd0378yx50xpdcgwkt9p9bmz8;1;53,5;17,9;2024-09-02T00:04:16.191Z;2024-09-02T00:23:04Z;[{'id': 5191903287, 'qualifierId': 140, 'value': '41.8'}, {'id': 5191903293, 'qualifierId': 213, 'value': '2.51'}, {'id': 5191903289, 'qualifierId': 141, 'value': '31.2'}, {'id': 5191903291, 'qualifierId': 212, 'value': '15.3'}, {'id': 5191903285, 'qualifierId': 56, 'value': 'Back'}];9asj8t10cvfumot9hr3dprsic;B. Stitz;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;31,2;;41,8;;2,51;15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;41,8;31,2;;;;;;;0;0;0;31;Toronto II;31;FW;1,0
2716837967;13;1;1;0;33;bd0378yx50xpdcgwkt9p9bmz8;1;41,1;34,8;2024-09-02T00:04:18.671Z;2024-09-02T00:04:21Z;[{'id': 5191903543, 'qualifierId': 212, 'value': '26.8'}, {'id': 5191903539, 'qualifierId': 140, 'value': '28.5'}, {'id': 5191903537, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903545, 'qualifierId': 213, 'value': '2.09'}, {'id': 5191903541, 'qualifierId': 141, 'value': '69.1'}];8sydisziijh84elb8dprtlduy;N. Benalcázar;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;69,1;;28,5;;2,09;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;28,5;69,1;;;;;;;0;0;0;33;Toronto II;33;DMC;1,0
2716837995;14;1;1;0;36;bd0378yx50xpdcgwkt9p9bmz8;1;29,7;69,3;2024-09-02T00:04:21.054Z;2024-09-02T00:04:23Z;[{'id': 5191903661, 'qualifierId': 212, 'value': '18.9'}, {'id': 5191903655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903657, 'qualifierId': 140, 'value': '40.4'}, {'id': 5191903659, 'qualifierId': 141, 'value': '91.7'}, {'id': 5191903663, 'qualifierId': 213, 'value': '0.94'}];739dnufx6izfhubwow0n1ijxm;L. Aghedo;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;91,7;;40,4;;0,94;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;40,4;91,7;;;;;;;0;0;0;36;Toronto II;36;DC;1,0
2716838013;15;1;1;0;38;bd0378yx50xpdcgwkt9p9bmz8;1;38,6;91,4;2024-09-02T00:04:23.647Z;2024-09-02T00:04:25Z;[{'id': 5191903745, 'qualifierId': 141, 'value': '85.7'}, {'id': 5191903743, 'qualifierId': 140, 'value': '29.7'}, {'id': 5191903741, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903749, 'qualifierId': 213, 'value': '3.53'}, {'id': 5191903747, 'qualifierId': 212, 'value': '10.1'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;85,7;;29,7;;3,53;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;29,7;85,7;;;;;;;0;0;0;38;Toronto II;38;DML;1,0
2716838029;16;1;1;0;40;bd0378yx50xpdcgwkt9p9bmz8;1;29,6;85,7;2024-09-02T00:04:25.662Z;2024-09-02T00:04:27Z;[{'id': 5191903827, 'qualifierId': 212, 'value': '11.8'}, {'id': 5191903829, 'qualifierId': 213, 'value': '0.34'}, {'id': 5191903821, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903823, 'qualifierId': 140, 'value': '40.2'}, {'id': 5191903825, 'qualifierId': 141, 'value': '91.5'}];739dnufx6izfhubwow0n1ijxm;L. Aghedo;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;91,5;;40,2;;0,34;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;40,2;91,5;;;;;;;0;0;0;40;Toronto II;40;DC;1,0
2716838035;17;1;1;0;43;bd0378yx50xpdcgwkt9p9bmz8;0;40,5;93,5;2024-09-02T00:04:27.694Z;2024-09-02T00:04:32Z;[{'id': 5191904081, 'qualifierId': 286}, {'id': 5191904077, 'qualifierId': 233, 'value': '5'}, {'id': 5191903847, 'qualifierId': 140, 'value': '44.4'}, {'id': 5191904075, 'qualifierId': 236}, {'id': 5191903849, 'qualifierId': 141, 'value': '93.6'}, {'id': 5191903841, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191903853, 'qualifierId': 212, 'value': '4.1'}, {'id': 5191903857, 'qualifierId': 213, 'value': '0.02'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;f28rgiegrw553krvj4ckl8fmc;Pass;;;;;;;;;;93,6;;44,4;;0,02;4,1;;;;;;5,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;44,4;93,6;;;;;;;0;0;0;43;Toronto II;43;DML;1,0
