id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Resume;value_Involved;value_TeamFormation;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Length;value_Angle;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_SwitchOfPlay;value_BlockedPass;value_IntendedTackleTarget;value_DeletedEventType;value_ShirtPull/Holding;value_RightFooted;value_Cross;value_OutSwinger;value_LayOff;value_TouchTypeClearance;value_TouchTypePass;value_PullBack;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_IntentionalAssist;value_RegularPlay;value_Assist;value_TakeOnSpace;value_GkY;value_BoxCentre;value_RelatedEventId;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GoalmouthY;value_Assisted;value_GkX;value_LowLeft;value_GkXTimeOfGoal;value_GoalmouthZ;value_FollowsADribble;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_TakeOnOvertake;value_DrivenCross;value_Straight;value_LeftFooted;value_ThroughBall;value_BoxLeft;value_FirstTouch;value_NextEventGoalKick;value_GoalKick;value_Low;value_Overrun;value_BlockedCross;value_InSwinger;value_Head;value_TouchTypeControl;value_High;value_FlickOn;value_VideoCoverageLost;value_YellowCard;value_TimeWasting;value_Defensive1V1;value_AerialFoul;value_HighGkIntervention;value_FastBreak;value_Shove/Push;value_SetPiece;value_NotAssisted;value_Volley;value_MisHit;value_IndividualPlay;value_OutOfBoxCentre;value_Minutes;value_EndType;value_LowGkIntervention;value_KeeperThrow;value_FantasyAssistedBy;value_FromCorner;value_SmallBoxCentre;value_OwnGoal;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_BigChance;value_1On1;value_LowRight;value_BlockedX;value_BlockedY;value_Diving;value_ParriedSafe;value_Hands;value_LowCentre;value_Collected;value_GkHoof;value_Simulation;value_Blocked;value_DefBlock;value_OtherObstacle;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_MediumGkIntervention;value_OverArm;value_Stooping;value_Injury;value_TacticalFoul;value_BoxRight;value_RecklessOffence;value_SixYardBlocked;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698050839;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-06-26T22:25:37.758Z;2024-06-26T23:21:29Z;[{'id': 5088289745, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5088289741, 'qualifierId': 59, 'value': '40, 72, 95, 97, 58, 85, 89, 68, 91, 81, 70, 79, 50, 71, 75, 92, 96, 98, 65, 94'}, {'id': 5088354987, 'qualifierId': 194, 'value': '7z57s6veqr3k87quyd6i7fgx6'}, {'id': 5088289747, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5088289737, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, 7z57s6veqr3k87quyd6i7fgx6, 5qfwg7j8xrfv19ouu4gvrs00k, u5v1owoegnvaqvk214qlvh90, 2figny7hhxiw29vizhlyta3o4, d8u6lnk9lmbrgv9obcshpec8a, e8i5fg3tp35k8iys32eiv7jmc, 7q8y6gbmg9j75zgm3nhs3bfh0, bx7d0ws7fi7iwgpi9ccomjehg, 6xu5v7x5zge1k83w40mmbxyzu, bje8wvncnbbx5w0l08uno88ru, dqxh3f9qy6lhrwabvnbb6erro, 2m7xhno7xnktvmzwa6j7wlgfe, 3wn0nn5q8g2mjzuc8yb4dvu2, dfnus4g6zypd1xcec6x7p85ey, 5l9js12tsf18c7st0oac3swes, cgcpmpetc768pyqb51qthq61g, 5bqykg2h7so4c20htynfp242c, 48uytxtisot3s0ilflltvxwk4, 356askk0qenz3bidcknth2wic'}, {'id': 5088289743, 'qualifierId': 130, 'value': '13'}, {'id': 5088354989, 'qualifierId': 197, 'value': '19221'}, {'id': 5088289739, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;dnc6pag4auehwq4w20f19hlw4;Team set up;;;;;;13,0;19221,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2698051531;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-26T22:28:58.924Z;2024-06-27T00:00:29Z;[{'id': 5088294381, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 40za2m92ngp5og8pxyrkxl3is, 9hxomhr5g6zy05ei4z4lhrklw, cngjy2fgv7bd3262mp7onczkk, 3x8f4j8q49d8hft60a6k8l5as, c1fvknrf94i05q738d5r7vmdw, 9z7fz0c95ib7oniguzwbihs0k, cjjvy22j5q0piz5omn2tf18us, 8l4bqb8gtyzqpx3pti200phqs, cliiemf1ih37qhh1wi1olk9ka, 7ve3vmg19c3g91j7zs32oecd0, 6lsvk9o6d581sd33g38mr6904, bn5ic0uuxaupf6hs2tgqqq0b8, infc7r3a8oktbajwp4pff7dg, 3vssz1vq3p0tv1ks0hqrpxjis, aymd7oegdw0wsqbvfl7xrl0r8, 1874nj27f507jqja4e8zla1as, 9owtf360wi6ky1cr4qwnnfk0k, 4vloworaa03y2m2cnzbsifk7o'}, {'id': 5088294385, 'qualifierId': 59, 'value': '1, 62, 13, 14, 12, 4, 22, 8, 90, 9, 23, 3, 10, 17, 36, 66, 70, 85, 87'}, {'id': 5088294383, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5088294387, 'qualifierId': 130, 'value': '12'}, {'id': 5088294389, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5088294391, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5088324155, 'qualifierId': 197, 'value': '23485'}, {'id': 5088425461, 'qualifierId': 194, 'value': 'c1fvknrf94i05q738d5r7vmdw'}];;;;;dnc6pag4auehwq4w20f19hlw4;Team set up;;;;;;12,0;23485,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Toronto II;0;;
2698057343;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-06-26T23:03:23.088Z;2024-06-29T06:23:44Z;[{'id': 5088324583, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dnc6pag4auehwq4w20f19hlw4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2698057349;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-06-26T23:03:23.088Z;2024-06-26T23:03:25Z;[{'id': 5088324589, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dnc6pag4auehwq4w20f19hlw4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Toronto II;0;;
2698057363;3;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;49,8;49,8;2024-06-26T23:03:23.089Z;2024-06-26T23:49:51Z;[{'id': 5088324641, 'qualifierId': 279, 'value': 'S'}, {'id': 5088324631, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324635, 'qualifierId': 141, 'value': '58.7'}, {'id': 5088324633, 'qualifierId': 140, 'value': '31.0'}, {'id': 5088324637, 'qualifierId': 212, 'value': '20.6'}, {'id': 5088324639, 'qualifierId': 213, 'value': '2.84'}];bje8wvncnbbx5w0l08uno88ru;M. Catavolo;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;58,7;31,0;20,6;2,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;31,0;58,7;;;;;;;0;0;0;0;Inter Miami II;0;FWL;1,0
2698057371;4;1;1;0;4;29nx7yxy1rdqv2oobqn5pjf8p;0;31,3;55,6;2024-06-26T23:03:27.577Z;2024-06-26T23:49:58Z;[{'id': 5088324671, 'qualifierId': 141, 'value': '17.1'}, {'id': 5088324667, 'qualifierId': 56, 'value': 'Right'}, {'id': 5088324675, 'qualifierId': 213, 'value': '5.76'}, {'id': 5088324673, 'qualifierId': 212, 'value': '52.6'}, {'id': 5088324665, 'qualifierId': 157}, {'id': 5088324677, 'qualifierId': 1}, {'id': 5088324669, 'qualifierId': 140, 'value': '74.8'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;17,1;74,8;52,6;5,76;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;74,8;17,1;;;;;;;0;0;0;4;Inter Miami II;4;MC;1,0
2698057377;3;44;1;0;7;c7c4wwva2u1vb3rr7rwava044;1;25,9;79,4;2024-06-26T23:03:30.824Z;2024-06-26T23:03:32Z;[{'id': 5088324701, 'qualifierId': 285}, {'id': 5088324737, 'qualifierId': 233, 'value': '5'}, {'id': 5088324699, 'qualifierId': 56, 'value': 'Back'}];cngjy2fgv7bd3262mp7onczkk;S. Garcia;;;dnc6pag4auehwq4w20f19hlw4;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;7;Toronto II;7;DC;1,0
2698057373;5;44;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;0;74,1;20,6;2024-06-26T23:03:30.825Z;2024-06-26T23:50:19Z;[{'id': 5088324683, 'qualifierId': 286}, {'id': 5088324741, 'qualifierId': 233, 'value': '3'}, {'id': 5088324681, 'qualifierId': 56, 'value': 'Right'}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dnc6pag4auehwq4w20f19hlw4;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;7;Inter Miami II;7;FW;1,0
2698057383;4;1;1;0;8;c7c4wwva2u1vb3rr7rwava044;0;26,6;75,9;2024-06-26T23:03:31.510Z;2024-06-26T23:21:46Z;[{'id': 5088324727, 'qualifierId': 141, 'value': '84.1'}, {'id': 5088324723, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324731, 'qualifierId': 213, 'value': '0.49'}, {'id': 5088324725, 'qualifierId': 140, 'value': '36.5'}, {'id': 5088324721, 'qualifierId': 3}, {'id': 5088324729, 'qualifierId': 212, 'value': '11.8'}];cngjy2fgv7bd3262mp7onczkk;S. Garcia;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;84,1;36,5;11,8;0,49;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;36,5;84,1;;;;;;;0;0;0;8;Toronto II;8;DC;1,0
2698073229;482;61;1;0;9;29nx7yxy1rdqv2oobqn5pjf8p;1;68,7;17,2;2024-06-26T23:03:32.088Z;2024-06-26T23:50:23Z;[{'id': 5088411051, 'qualifierId': 56, 'value': 'Right'}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dnc6pag4auehwq4w20f19hlw4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;0;0;0;9;Inter Miami II;9;FW;1,0
2698057397;6;1;1;0;11;29nx7yxy1rdqv2oobqn5pjf8p;1;60,6;12,9;2024-06-26T23:03:34.369Z;2024-06-26T23:03:36Z;[{'id': 5088324805, 'qualifierId': 212, 'value': '10.6'}, {'id': 5088324801, 'qualifierId': 140, 'value': '55.0'}, {'id': 5088324807, 'qualifierId': 213, 'value': '2.16'}, {'id': 5088324803, 'qualifierId': 141, 'value': '25.8'}, {'id': 5088324799, 'qualifierId': 56, 'value': 'Center'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;25,8;55,0;10,6;2,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;55,0;25,8;;;;;;;0;0;0;11;Inter Miami II;11;DMR;1,0
2698057403;7;1;1;0;13;29nx7yxy1rdqv2oobqn5pjf8p;1;55,0;25,8;2024-06-26T23:03:36.593Z;2024-06-26T23:03:39Z;[{'id': 5088324819, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324825, 'qualifierId': 212, 'value': '27.7'}, {'id': 5088324821, 'qualifierId': 140, 'value': '31.3'}, {'id': 5088324827, 'qualifierId': 213, 'value': '2.68'}, {'id': 5088324823, 'qualifierId': 141, 'value': '43.8'}];7q8y6gbmg9j75zgm3nhs3bfh0;L. Olguin;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;43,8;31,3;27,7;2,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;31,3;43,8;;;;;;;0;0;0;13;Inter Miami II;13;MC;1,0
2698057411;8;1;1;0;14;29nx7yxy1rdqv2oobqn5pjf8p;1;31,3;43,8;2024-06-26T23:03:37.449Z;2024-06-29T06:38:15Z;[{'id': 5088324865, 'qualifierId': 141, 'value': '79.8'}, {'id': 5088324861, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324867, 'qualifierId': 212, 'value': '26.7'}, {'id': 5088324863, 'qualifierId': 140, 'value': '41.4'}, {'id': 5088324869, 'qualifierId': 213, 'value': '1.16'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;79,8;41,4;26,7;1,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;41,4;79,8;;;;;;;0;0;0;14;Inter Miami II;14;DC;1,0
2698057421;9;1;1;0;18;29nx7yxy1rdqv2oobqn5pjf8p;1;40,7;76,9;2024-06-26T23:03:41.169Z;2024-06-29T06:38:35Z;[{'id': 5088324915, 'qualifierId': 212, 'value': '22.0'}, {'id': 5088324911, 'qualifierId': 140, 'value': '40.9'}, {'id': 5088324917, 'qualifierId': 213, 'value': '4.72'}, {'id': 5088324909, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324913, 'qualifierId': 141, 'value': '44.6'}];u5v1owoegnvaqvk214qlvh90;T. Pusztahegyi;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;44,6;40,9;22,0;4,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;40,9;44,6;;;;;;;0;0;0;18;Inter Miami II;18;DC;1,0
2698057431;10;1;1;0;20;29nx7yxy1rdqv2oobqn5pjf8p;1;40,0;40,1;2024-06-26T23:03:43.873Z;2024-06-29T06:38:48Z;[{'id': 5088324967, 'qualifierId': 141, 'value': '52.1'}, {'id': 5088324971, 'qualifierId': 213, 'value': '2.24'}, {'id': 5088324963, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088324965, 'qualifierId': 140, 'value': '33.8'}, {'id': 5088324969, 'qualifierId': 212, 'value': '10.4'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;52,1;33,8;10,4;2,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;33,8;52,1;;;;;;;0;0;0;20;Inter Miami II;20;MC;1,0
2698057439;11;1;1;0;22;29nx7yxy1rdqv2oobqn5pjf8p;1;33,5;63,4;2024-06-26T23:03:45.785Z;2024-06-29T06:39:03Z;[{'id': 5088325005, 'qualifierId': 212, 'value': '13.6'}, {'id': 5088324999, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088325001, 'qualifierId': 140, 'value': '46.0'}, {'id': 5088325007, 'qualifierId': 213, 'value': '6.01'}, {'id': 5088325003, 'qualifierId': 141, 'value': '57.9'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;57,9;46,0;13,6;6,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;46,0;57,9;;;;;;;0;0;0;22;Inter Miami II;22;DC;1,0
2698057445;12;1;1;0;24;29nx7yxy1rdqv2oobqn5pjf8p;1;45,0;58,1;2024-06-26T23:03:47.761Z;2024-06-29T06:39:12Z;[{'id': 5088325025, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088325027, 'qualifierId': 140, 'value': '34.2'}, {'id': 5088325031, 'qualifierId': 212, 'value': '11.7'}, {'id': 5088325029, 'qualifierId': 141, 'value': '62.2'}, {'id': 5088325033, 'qualifierId': 213, 'value': '2.90'}];7q8y6gbmg9j75zgm3nhs3bfh0;L. Olguin;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;62,2;34,2;11,7;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;34,2;62,2;;;;;;;0;0;0;24;Inter Miami II;24;MC;1,0
2698057453;13;1;1;0;25;29nx7yxy1rdqv2oobqn5pjf8p;1;27,5;64,9;2024-06-26T23:03:48.729Z;2024-06-26T23:03:51Z;[{'id': 5088325079, 'qualifierId': 212, 'value': '25.3'}, {'id': 5088325081, 'qualifierId': 213, 'value': '4.85'}, {'id': 5088325075, 'qualifierId': 140, 'value': '30.8'}, {'id': 5088325073, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088325077, 'qualifierId': 141, 'value': '28.0'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;28,0;30,8;25,3;4,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;30,8;28,0;;;;;;;0;0;0;25;Inter Miami II;25;DC;1,0
2698057469;14;1;1;0;28;29nx7yxy1rdqv2oobqn5pjf8p;1;30,8;28,0;2024-06-26T23:03:51.161Z;2024-06-26T23:03:54Z;[{'id': 5088325153, 'qualifierId': 140, 'value': '62.7'}, {'id': 5088325157, 'qualifierId': 212, 'value': '33.9'}, {'id': 5088325151, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088325155, 'qualifierId': 141, 'value': '35.7'}, {'id': 5088325159, 'qualifierId': 213, 'value': '0.16'}, {'id': 5088325163, 'qualifierId': 1}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;35,7;62,7;33,9;0,16;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;62,7;35,7;;;;;;;0;0;0;28;Inter Miami II;28;MC;1,0
2698057477;15;1;1;0;31;29nx7yxy1rdqv2oobqn5pjf8p;1;56,7;23,9;2024-06-26T23:03:54.745Z;2024-06-26T23:03:56Z;[{'id': 5088325203, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088325207, 'qualifierId': 141, 'value': '11.3'}, {'id': 5088325211, 'qualifierId': 213, 'value': '3.65'}, {'id': 5088325209, 'qualifierId': 212, 'value': '17.6'}, {'id': 5088325205, 'qualifierId': 140, 'value': '42.1'}];bx7d0ws7fi7iwgpi9ccomjehg;D. Barrow;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;11,3;42,1;17,6;3,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;42,1;11,3;;;;;;;0;0;0;31;Inter Miami II;31;FW;1,0
2698057501;16;1;1;0;37;29nx7yxy1rdqv2oobqn5pjf8p;1;40,2;10,0;2024-06-26T23:04:00.881Z;2024-06-26T23:04:02Z;[{'id': 5088325323, 'qualifierId': 213, 'value': '2.16'}, {'id': 5088325319, 'qualifierId': 141, 'value': '36.5'}, {'id': 5088325321, 'qualifierId': 212, 'value': '21.7'}, {'id': 5088325317, 'qualifierId': 140, 'value': '28.7'}, {'id': 5088325315, 'qualifierId': 56, 'value': 'Back'}];d8u6lnk9lmbrgv9obcshpec8a;M. Stojadinovic;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;36,5;28,7;21,7;2,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;28,7;36,5;;;;;;;0;0;0;37;Inter Miami II;37;DC;1,0
2698057515;17;1;1;0;40;29nx7yxy1rdqv2oobqn5pjf8p;1;30,3;29,5;2024-06-26T23:04:03.713Z;2024-06-26T23:04:06Z;[{'id': 5088325377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5088325383, 'qualifierId': 212, 'value': '19.5'}, {'id': 5088325381, 'qualifierId': 141, 'value': '41.7'}, {'id': 5088325385, 'qualifierId': 213, 'value': '2.70'}, {'id': 5088325379, 'qualifierId': 140, 'value': '13.5'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;dnc6pag4auehwq4w20f19hlw4;Pass;;;;;;;;;;;;41,7;13,5;19,5;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;13,5;41,7;;;;;;;0;0;0;40;Inter Miami II;40;MC;1,0
