id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_Involved;value_TeamKit;value_Resume;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_KickOff;value_Zone;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_Launch;value_TouchTypePass;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_TouchTypeControl;value_IntendedTackleTarget;value_DeletedEventType;value_SwitchOfPlay;value_TakeOnSpace;value_HeadPass;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_LayOff;value_ShirtPull/Holding;value_MediumGkIntervention;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_TakeOnOvertake;value_Overrun;value_Cross;value_Assist;value_IntentionalAssist;value_InSwinger;value_RightFooted;value_Volley;value_LowCentre;value_BlockedY;value_Assisted;value_BoxCentre;value_FirstTouch;value_BigChance;value_GoalmouthZ;value_GoalmouthY;value_RegularPlay;value_LeftFooted;value_BlockedX;value_Standing;value_ParriedSafe;value_Feet;value_OutSwinger;value_Head;value_HighGkIntervention;value_HighClaim;value_Shove/Push;value_LeadingToAttempt;value_Left;value_GkX;value_GkY;value_SetPiece;value_NextEventGoalKick;value_Low;value_GoalKick;value_NotVisible;value_BlockedPass;value_Blocked;value_IndividualPlay;value_DefBlock;value_Right;value_CornerTaken;value_Straight;value_DrivenCross;value_OutOfBoxCentre;value_RelatedError1Id;value_ThroughBall;value_BoxLeft;value_FastBreak;value_High;value_FloatedCross;value_NotPastGoalLine;value_LowLeft;value_Hands;value_Stooping;value_Collected;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_BoxRight;value_GoalShotGameClock;value_GkXTimeOfGoal;value_NotAssisted;value_CloseRight;value_FlickOn;value_OwnPlayer;value_OwnShotBlocked;value_CloseRightAndHigh;value_Minutes;value_SwerveLeft;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Defensive1V1;value_PullBack;value_FromCorner;value_LowRight;value_SixYardBlocked;value_SmallBoxRight;value_BlockedCross;value_AerialFoul;value_HighCentre;value_KeeperTouched;value_YellowCard;value_RecklessOffence;value_LastLine;value_CaptainChange;value_HighLeft;value_Deflection;value_TacticalFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702693135;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-21T23:15:05.011Z;2024-08-05T09:28:22Z;[{'id': 5113909019, 'qualifierId': 59, 'value': '12, 30, 22, 13, 6, 14, 43, 48, 8, 18, 11, 3, 4, 5, 9, 10, 19, 33, 36, 40'}, {'id': 5113909021, 'qualifierId': 130, 'value': '8'}, {'id': 5113909017, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5113909023, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113958775, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5113909015, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, ck9v5tgscw65gsjfo00u9p0q1, bfsjxpmiflhdz2162ulqlo0lw, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 7yt2ddw0yntv9xq1hrv1jx05w, 1es4nynrpc8sz3enj46i9zeok, 60ej9rpig6xzj1d80w0ki92i, 4uuq2zuhmlbg7kh85v5l8723u, azzpjrq2pndxuz0waw25p7r6y, 2wj1w4opn7f0jyz1ps6ebvc6i, e4vvdd1cn5ezrocpequewmwic, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, 3c1xz4vpfoum0jbq6bmtdrtux, aa4ut2fmswha43fxnrxp1obo4, 3ehrq9mryoug8osgxkpg4eo7o, 70lmb5krx6h8iidmbs6t015hw, 8jm3jixnmppaccwg39f0yts7o'}, {'id': 5114021889, 'qualifierId': 197, 'value': '23619'}, {'id': 5113909025, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;e75bqy7vz0rzi0z9hobuznod0;Team set up;;8,0;;;;;23619,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;North Texas;0;;
2702701035;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-21T23:28:22.538Z;2024-08-05T08:59:10Z;[{'id': 5113953111, 'qualifierId': 59, 'value': '30, 2, 7, 6, 5, 4, 34, 50, 36, 16, 14, 9, 21, 22, 37, 39, 47'}, {'id': 5113953109, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5114021119, 'qualifierId': 197, 'value': '23486'}, {'id': 5113955589, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5113953115, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5113953117, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113953107, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 3risld5mac5ns2rrv6namc2l0, 7al9w77ailhli8g487tkl32tw, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, fgue58g7u6f2c53ggb0r2oa2, 1iedtrzbcgj817i0ccin8dvro, 741wavjzdmc04j4i8a3chq9zo, b84ll9fqlnmone6cub8hfcx78, 8g1piun8acm9udttt1795qnhm, da3mzb093sxf8i2xznedau8t0, 995tkbb88t1qlq70yr111gf84, co4j4b7htv16p26yfwzw82vx0, 42qfid10xd86ufhqaxn3sonpw'}, {'id': 5113953113, 'qualifierId': 130, 'value': '4'}];;;;;e75bqy7vz0rzi0z9hobuznod0;Team set up;;4,0;;;;;23486,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2702713267;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-22T00:04:51.769Z;2024-08-05T08:58:21Z;[{'id': 5114022845, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e75bqy7vz0rzi0z9hobuznod0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;North Texas;0;;
2702713269;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-22T00:04:51.769Z;2024-07-22T00:04:52Z;[{'id': 5114022847, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e75bqy7vz0rzi0z9hobuznod0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2702713271;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,1;50,1;2024-07-22T00:04:51.780Z;2024-07-22T00:04:55Z;[{'id': 5114022855, 'qualifierId': 212, 'value': '22.4'}, {'id': 5114022857, 'qualifierId': 213, 'value': '3.22'}, {'id': 5114022853, 'qualifierId': 141, 'value': '47.6'}, {'id': 5114022851, 'qualifierId': 140, 'value': '28.8'}, {'id': 5114022859, 'qualifierId': 279, 'value': 'S'}, {'id': 5114022849, 'qualifierId': 56, 'value': 'Back'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;22,4;3,22;47,6;28,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;28,8;47,6;;;;;;;0;0;0;0;North Texas;0;FW;1,0
2702713295;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;0;35,0;47,2;2024-07-22T00:04:55.283Z;2024-07-22T00:56:20Z;[{'id': 5114023019, 'qualifierId': 141, 'value': '80.8'}, {'id': 5114023021, 'qualifierId': 212, 'value': '47.3'}, {'id': 5114023015, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114023017, 'qualifierId': 140, 'value': '74.4'}, {'id': 5114023023, 'qualifierId': 213, 'value': '0.50'}, {'id': 5114023025, 'qualifierId': 1}, {'id': 5114023013, 'qualifierId': 155}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;47,3;0,5;80,8;74,4;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;74,4;80,8;;;;;;;0;0;0;3;North Texas;3;AMC;1,0
2702713311;3;44;1;0;6;99l7fsj6ykgbyqcb9zqqu9dgq;1;27,4;18,7;2024-07-22T00:04:58.100Z;2024-07-22T00:05:03Z;[{'id': 5114023125, 'qualifierId': 233, 'value': '5'}, {'id': 5114023121, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023123, 'qualifierId': 285}];auomns9j08ffqknhs9007ju38;M. Molina;;;e75bqy7vz0rzi0z9hobuznod0;Aerial;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;6;Houston Dynamo II;6;DR;1,0
2702713297;5;44;1;0;6;7pmw399vh2v44cjle4fkklp1w;0;72,6;81,3;2024-07-22T00:04:58.101Z;2024-07-22T00:05:03Z;[{'id': 5114023029, 'qualifierId': 56, 'value': 'Left'}, {'id': 5114023031, 'qualifierId': 286}, {'id': 5114023129, 'qualifierId': 233, 'value': '3'}];azzpjrq2pndxuz0waw25p7r6y;I. Reid;;;e75bqy7vz0rzi0z9hobuznod0;Aerial;;;;;;;;;;;;;;;;;;3,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;6;North Texas;6;AML;1,0
2702713313;4;49;1;0;10;99l7fsj6ykgbyqcb9zqqu9dgq;1;18,1;7,6;2024-07-22T00:05:02.722Z;2024-07-22T00:05:03Z;[];auomns9j08ffqknhs9007ju38;M. Molina;;;e75bqy7vz0rzi0z9hobuznod0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;10;Houston Dynamo II;10;DR;1,0
2702713323;5;1;1;0;11;99l7fsj6ykgbyqcb9zqqu9dgq;1;18,1;7,6;2024-07-22T00:05:03.633Z;2024-07-22T00:05:05Z;[{'id': 5114023215, 'qualifierId': 140, 'value': '6.9'}, {'id': 5114023217, 'qualifierId': 141, 'value': '8.9'}, {'id': 5114023219, 'qualifierId': 212, 'value': '11.8'}, {'id': 5114023221, 'qualifierId': 213, 'value': '3.07'}, {'id': 5114023213, 'qualifierId': 56, 'value': 'Back'}];auomns9j08ffqknhs9007ju38;M. Molina;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;11,8;3,07;8,9;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;6,9;8,9;;;;;;;0;0;0;11;Houston Dynamo II;11;DR;1,0
2702713345;6;1;1;0;13;99l7fsj6ykgbyqcb9zqqu9dgq;1;7,0;8,9;2024-07-22T00:05:05.457Z;2024-07-22T00:05:55Z;[{'id': 5114023317, 'qualifierId': 212, 'value': '35.8'}, {'id': 5114023315, 'qualifierId': 141, 'value': '17.6'}, {'id': 5114023313, 'qualifierId': 140, 'value': '40.6'}, {'id': 5114023309, 'qualifierId': 157}, {'id': 5114023311, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023319, 'qualifierId': 213, 'value': '0.17'}, {'id': 5114023321, 'qualifierId': 1}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;35,8;0,17;17,6;40,6;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;40,6;17,6;;;;;;;0;0;0;13;Houston Dynamo II;13;DL;1,0
2702713349;7;1;1;0;18;99l7fsj6ykgbyqcb9zqqu9dgq;1;41,0;18,9;2024-07-22T00:05:10.065Z;2024-07-22T00:05:12Z;[{'id': 5114023353, 'qualifierId': 140, 'value': '33.5'}, {'id': 5114023355, 'qualifierId': 141, 'value': '9.1'}, {'id': 5114023357, 'qualifierId': 212, 'value': '10.3'}, {'id': 5114023359, 'qualifierId': 213, 'value': '3.84'}, {'id': 5114023351, 'qualifierId': 56, 'value': 'Back'}];fgue58g7u6f2c53ggb0r2oa2;M. Henry-Scott;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;10,3;3,84;9,1;33,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;33,5;9,1;;;;;;;0;0;0;18;Houston Dynamo II;18;FW;1,0
2702713353;8;1;1;0;20;99l7fsj6ykgbyqcb9zqqu9dgq;1;33,5;9,1;2024-07-22T00:05:12.145Z;2024-07-22T00:05:13Z;[{'id': 5114023389, 'qualifierId': 213, 'value': '1.97'}, {'id': 5114023383, 'qualifierId': 140, 'value': '31.2'}, {'id': 5114023381, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023385, 'qualifierId': 141, 'value': '17.6'}, {'id': 5114023387, 'qualifierId': 212, 'value': '6.3'}];6girdg17h5o2qr8stoywy3vv8;A. Urzua;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;6,3;1,97;17,6;31,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;31,2;17,6;;;;;;;0;0;0;20;Houston Dynamo II;20;MC;1,0
2702713357;9;50;1;0;21;99l7fsj6ykgbyqcb9zqqu9dgq;1;36,6;25,2;2024-07-22T00:05:13.251Z;2024-07-22T00:05:15Z;[{'id': 5114023443, 'qualifierId': 233, 'value': '6'}, {'id': 5114023405, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023407, 'qualifierId': 286}];fgue58g7u6f2c53ggb0r2oa2;M. Henry-Scott;;;e75bqy7vz0rzi0z9hobuznod0;Dispossessed;;;;;;;;;;;;;;;;;;6,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;21;Houston Dynamo II;21;FW;1,0
2702713363;6;7;1;0;21;7pmw399vh2v44cjle4fkklp1w;1;63,4;74,8;2024-07-22T00:05:13.252Z;2024-07-25T06:28:45Z;[{'id': 5114023431, 'qualifierId': 56, 'value': 'Center'}, {'id': 5116853363, 'qualifierId': 384}, {'id': 5114023433, 'qualifierId': 285}, {'id': 5114023439, 'qualifierId': 233, 'value': '9'}];1es4nynrpc8sz3enj46i9zeok;Josué;;;e75bqy7vz0rzi0z9hobuznod0;Tackle;;;;;;;;;;;;;;;;;;9,0;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;21;North Texas;21;MC;1,0
2702713367;7;1;1;0;22;7pmw399vh2v44cjle4fkklp1w;1;68,0;80,3;2024-07-22T00:05:14.724Z;2024-07-22T00:05:15Z;[{'id': 5114023459, 'qualifierId': 140, 'value': '69.7'}, {'id': 5114023461, 'qualifierId': 141, 'value': '67.9'}, {'id': 5114023463, 'qualifierId': 212, 'value': '8.6'}, {'id': 5114023465, 'qualifierId': 213, 'value': '4.92'}, {'id': 5114023457, 'qualifierId': 56, 'value': 'Center'}];azzpjrq2pndxuz0waw25p7r6y;I. Reid;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;8,6;4,92;67,9;69,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;69,7;67,9;;;;;;;0;0;0;22;North Texas;22;AML;1,0
2702713369;8;49;1;0;23;7pmw399vh2v44cjle4fkklp1w;1;69,7;67,9;2024-07-22T00:05:15.444Z;2024-07-22T00:05:16Z;[];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;e75bqy7vz0rzi0z9hobuznod0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;23;North Texas;23;FW;1,0
2702713375;9;1;1;0;24;7pmw399vh2v44cjle4fkklp1w;0;69,7;67,9;2024-07-22T00:05:15.841Z;2024-07-22T00:05:18Z;[{'id': 5114023499, 'qualifierId': 212, 'value': '12.0'}, {'id': 5114023489, 'qualifierId': 56, 'value': 'Center'}, {'id': 5114023495, 'qualifierId': 141, 'value': '76.0'}, {'id': 5114023501, 'qualifierId': 213, 'value': '2.67'}, {'id': 5114023491, 'qualifierId': 140, 'value': '59.5'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;12,0;2,67;76,0;59,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;59,5;76,0;;;;;;;0;0;0;24;North Texas;24;FW;1,0
2702713385;10;49;1;0;27;99l7fsj6ykgbyqcb9zqqu9dgq;1;44,5;31,6;2024-07-22T00:05:19.758Z;2024-07-22T00:05:19Z;[];1iedtrzbcgj817i0ccin8dvro;D. Pepi;;;e75bqy7vz0rzi0z9hobuznod0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;27;Houston Dynamo II;27;FWR;1,0
2702713405;11;1;1;0;28;99l7fsj6ykgbyqcb9zqqu9dgq;0;44,5;31,6;2024-07-22T00:05:20.465Z;2024-07-22T00:05:23Z;[{'id': 5114023669, 'qualifierId': 140, 'value': '48.4'}, {'id': 5114023673, 'qualifierId': 212, 'value': '28.9'}, {'id': 5114023667, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023675, 'qualifierId': 213, 'value': '1.43'}, {'id': 5114023671, 'qualifierId': 141, 'value': '73.6'}];1iedtrzbcgj817i0ccin8dvro;D. Pepi;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;28,9;1,43;73,6;48,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;48,4;73,6;;;;;;;0;0;0;28;Houston Dynamo II;28;FWR;1,0
2702713393;10;49;1;0;30;7pmw399vh2v44cjle4fkklp1w;1;52,3;24,3;2024-07-22T00:05:22.487Z;2024-07-22T00:05:22Z;[];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;e75bqy7vz0rzi0z9hobuznod0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;30;North Texas;30;AMR;1,0
2702713419;11;1;1;0;31;7pmw399vh2v44cjle4fkklp1w;1;46,5;24,6;2024-07-22T00:05:23.204Z;2024-07-22T00:05:26Z;[{'id': 5114023733, 'qualifierId': 141, 'value': '23.9'}, {'id': 5114023729, 'qualifierId': 56, 'value': 'Back'}, {'id': 5114023731, 'qualifierId': 140, 'value': '32.8'}, {'id': 5114023735, 'qualifierId': 212, 'value': '14.4'}, {'id': 5114023737, 'qualifierId': 213, 'value': '3.17'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;14,4;3,17;23,9;32,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;32,8;23,9;;;;;;;0;0;0;31;North Texas;31;AMR;1,0
2702713425;12;1;1;0;34;7pmw399vh2v44cjle4fkklp1w;1;32,9;24,4;2024-07-22T00:05:26.613Z;2024-07-22T00:05:27Z;[{'id': 5114023757, 'qualifierId': 213, 'value': '2.25'}, {'id': 5114023751, 'qualifierId': 140, 'value': '26.3'}, {'id': 5114023755, 'qualifierId': 212, 'value': '11.0'}, {'id': 5114023753, 'qualifierId': 141, 'value': '37.0'}, {'id': 5114023749, 'qualifierId': 56, 'value': 'Back'}];1snfyu5dmv164k5cl87chjlsk;I. Mwakutuya;;;e75bqy7vz0rzi0z9hobuznod0;Pass;;;;;;;;;;11,0;2,25;37,0;26,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;26,3;37,0;;;;;;;0;0;0;34;North Texas;34;DR;1,0
