id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_Resume;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndX;value_Zone;value_PassEndY;value_KickOff;value_LongBall;value_Overrun;value_Offensive;value_OutOfPlay;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Defensive;value_Chipped;value_DeletedEventType;value_Foul;value_AttemptedTackle;value_Direct;value_Penalty;value_PenaltyTakerId;value_Diving;value_Right;value_Scored;value_GoalShotTimestamp;value_GoalmouthY;value_GkX;value_CausingPlayer;value_LeftFooted;value_BoxCentre;value_GoalShotGameClock;value_GkY;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_GoalmouthZ;value_NotAssisted;value_LowLeft;value_Launch;value_Head;value_IntendedTackleTarget;value_HeadPass;value_IntentionalAssist;value_Assist;value_Cross;value_Assisted;value_RelatedEventId;value_NotPastGoalLine;value_FirstTouch;value_BlockedX;value_MisHit;value_BlockedY;value_RegularPlay;value_KeeperThrow;value_LayOff;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_LowCentre;value_RightFooted;value_Weak;value_Stooping;value_Collected;value_Hands;value_NotVisible;value_FreeKickTaken;value_Left;value_OutOfBoxCentre;value_IndividualPlay;value_SixYardBlocked;value_BoxDeepRight;value_Blocked;value_DefBlock;value_BlockedCross;value_Shove/Push;value_BoxLeft;value_FlickOn;value_CornerTaken;value_OutSwinger;value_SwitchOfPlay;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_TempBlocked;value_35Centre;value_Indirect;value_SmallBoxCentre;value_High;value_RefereeDelay;value_DrinksBreak;value_HighCentre;value_OverhitCross;value_ThroughBall;value_Minutes;value_BoxRight;value_GkKickFromHands;value_HitWoodwork;value_HitLeftPost;value_KeeperTouched;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_OverArm;value_ParriedDanger;value_BlockedClearance;value_Injury;value_InjuredPlayerId;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_Volley;value_LowRight;value_BallHitsReferee;value_InSwinger;value_FromCorner;value_TacticalFoul;value_YellowCard;value_SetPiece;value_Standing;value_Fumble;value_HighClaim;value_HighRight;value_ParriedSafe;value_Reaching;value_FastBreak;value_1On1;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706144445;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-04T18:06:40.606Z;2024-08-04T21:37:15Z;[{'id': 5132949557, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5132949549, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 3007iihmvmlzgpgtxri3v3hg4, e2t6sxwsa5ll4zvsxh96512zu, ez0t0pl5qxy0sa3zp1l77sjro, dil2b9u1omrsdbxba5swbe9gq, 7zr3gif60ntltgt3s5yi6qjca, 4dji8lgdl3psnfchdwpllvod0, 2iusvkm9t8r1widsfvbesnjf8, 3y5rrahty1k0l1hnww3bcozmy, 5jal3zhkwodffivsq89wfd15g, 9fbj8njpn0q6j87le4rnafjf8, 5rcj1mef6u2jbosy1urou0d7t, 4s56s6f9nw96wergw7ix5zp0q, 2w2jy14eq0n5diyfa1jveklxw, lrkkhk8u32krmb0n4wtg1las, 12s9icx64njgo9to4sb732eqc, 8ofmink2axfrxg3ti4tbt2cr8, b0xuwec3m6rvxwx7gygv34o6i, s9a51dj3nkad2e53b2jbgl5g, do5nsl65m35sog9vcp0j3kbh0'}, {'id': 5132949555, 'qualifierId': 130, 'value': '8'}, {'id': 5132949559, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5132949551, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5133116445, 'qualifierId': 197, 'value': '23614'}, {'id': 5132949553, 'qualifierId': 59, 'value': '29, 96, 83, 37, 35, 31, 93, 85, 95, 80, 36, 30, 32, 40, 44, 53, 72, 81, 90, 97'}, {'id': 5133599819, 'qualifierId': 194, 'value': 'ez0t0pl5qxy0sa3zp1l77sjro'}];;;;;eiim2xxga2jfmxnrw4yr7dz4k;Team set up;;;8,0;;;23614,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2706145655;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-04T18:08:39.599Z;2024-08-04T21:34:46Z;[{'id': 5132956289, 'qualifierId': 130, 'value': '12'}, {'id': 5132956285, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5132956287, 'qualifierId': 59, 'value': '98, 35, 42, 39, 51, 24, 38, 50, 57, 95, 34, 63, 65, 45, 48, 49, 52, 59'}, {'id': 5133113545, 'qualifierId': 197, 'value': '15045'}, {'id': 5132956293, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5132956291, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133593389, 'qualifierId': 194, 'value': 'a4staqjshva5lhcr0dw744nze'}, {'id': 5132956283, 'qualifierId': 30, 'value': '39kv8a6a82fos9hw9esb84k16, 1795jw1oc3pkthyq0kqexh65m, 6e688gqc8qzt0h9cutptkcd90, 2pka62t1zg04jwkcx6zbc4wlw, cz98wcy8nq9hqncb2z33p4hec, 58839nfw30jxxroffd3a7q0wk, 8hftsf1ff8839jdbe3e6lmm1g, 1gmj4ge2sog221wqkmap8kidw, byelagxi3qg0rb06tjl3fodn8, clqg0gusupd6cehokpggbslck, a4staqjshva5lhcr0dw744nze, br4cvbc1kyb7rzqe9rpbbbxn8, 2mpx1zzsiryzqjqqnko17jzmc, dbc343lsh3l20pi4a4gmd94wk, a1rc6kukly42y5j5smz3w72tw, f4gpras1h3k8qfz71u84iyyok, btr1fg89bjqk2en1k4vbuxlp0, 98tyw392rp4ow3apn0ygrbtp0'}];;;;;eiim2xxga2jfmxnrw4yr7dz4k;Team set up;;;12,0;;;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2706174109;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-04T19:04:09.183Z;2024-08-04T19:04:09Z;[{'id': 5133119089, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eiim2xxga2jfmxnrw4yr7dz4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2706174127;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-04T19:04:09.183Z;2024-08-04T19:04:13Z;[{'id': 5133119181, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eiim2xxga2jfmxnrw4yr7dz4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2706174139;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;49,8;50,1;2024-08-04T19:04:09.300Z;2024-08-04T19:04:14Z;[{'id': 5133119287, 'qualifierId': 212, 'value': '15.3'}, {'id': 5133119289, 'qualifierId': 213, 'value': '3.89'}, {'id': 5133119281, 'qualifierId': 140, 'value': '39.1'}, {'id': 5133119279, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133119283, 'qualifierId': 141, 'value': '34.9'}, {'id': 5133119291, 'qualifierId': 279, 'value': 'S'}];3y5rrahty1k0l1hnww3bcozmy;O. De Rosario;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;15,3;3,89;39,1;;34,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;39,1;34,9;;;;;;;;0;0;0;Minnesota United II;0;FW;1,0
2706174193;4;1;1;0;3;5icuo8utnztpsd9l03gdd68dl;1;36,9;36,4;2024-08-04T19:04:12.588Z;2024-08-04T19:04:15Z;[{'id': 5133119553, 'qualifierId': 140, 'value': '27.9'}, {'id': 5133119561, 'qualifierId': 1}, {'id': 5133119557, 'qualifierId': 212, 'value': '39.0'}, {'id': 5133119559, 'qualifierId': 213, 'value': '1.82'}, {'id': 5133119551, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133119555, 'qualifierId': 141, 'value': '92.0'}];2iusvkm9t8r1widsfvbesnjf8;K. Kossa-Rienzi;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;39,0;1,82;27,9;;92,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;27,9;92,0;;;;;;;;0;0;3;Minnesota United II;3;MC;1,0
2706174217;5;1;1;0;6;5icuo8utnztpsd9l03gdd68dl;1;27,9;92,0;2024-08-04T19:04:15.515Z;2024-08-04T19:04:19Z;[{'id': 5133119693, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133119703, 'qualifierId': 213, 'value': '4.49'}, {'id': 5133119695, 'qualifierId': 140, 'value': '24.1'}, {'id': 5133119699, 'qualifierId': 212, 'value': '17.9'}, {'id': 5133119697, 'qualifierId': 141, 'value': '66.4'}];e2t6sxwsa5ll4zvsxh96512zu;E. Katsaros;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;17,9;4,49;24,1;;66,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;24,1;66,4;;;;;;;;0;0;6;Minnesota United II;6;DC;1,0
2706174265;6;1;1;0;9;5icuo8utnztpsd9l03gdd68dl;1;24,4;60,9;2024-08-04T19:04:19.011Z;2024-08-04T19:04:23Z;[{'id': 5133119949, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133119951, 'qualifierId': 140, 'value': '10.1'}, {'id': 5133119957, 'qualifierId': 213, 'value': '3.88'}, {'id': 5133119955, 'qualifierId': 212, 'value': '20.2'}, {'id': 5133119953, 'qualifierId': 141, 'value': '41.0'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;20,2;3,88;10,1;;41,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;10,1;41,0;;;;;;;;0;0;9;Minnesota United II;9;DC;1,0
2706174297;7;1;1;0;14;5icuo8utnztpsd9l03gdd68dl;1;12,7;41,8;2024-08-04T19:04:23.604Z;2024-08-04T19:04:26Z;[{'id': 5133120145, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133120149, 'qualifierId': 141, 'value': '21.8'}, {'id': 5133120151, 'qualifierId': 212, 'value': '14.6'}, {'id': 5133120155, 'qualifierId': 213, 'value': '5.08'}, {'id': 5133120147, 'qualifierId': 140, 'value': '17.7'}];bdrs643l8uzj01plxa25wncdm;J. Castro;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;14,6;5,08;17,7;;21,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;17,7;21,8;;;;;;;;0;0;14;Minnesota United II;14;GK;1,0
2706174315;8;1;1;0;17;5icuo8utnztpsd9l03gdd68dl;1;18,1;19,1;2024-08-04T19:04:26.788Z;2024-08-04T19:04:28Z;[{'id': 5133120281, 'qualifierId': 213, 'value': '0.38'}, {'id': 5133120271, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133120275, 'qualifierId': 140, 'value': '37.5'}, {'id': 5133120279, 'qualifierId': 212, 'value': '21.9'}, {'id': 5133120277, 'qualifierId': 141, 'value': '30.9'}];dil2b9u1omrsdbxba5swbe9gq;A. Lopez;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;21,9;0,38;37,5;;30,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;37,5;30,9;;;;;;;;0;0;17;Minnesota United II;17;DL;1,0
2706174335;9;1;1;0;19;5icuo8utnztpsd9l03gdd68dl;1;37,1;29,1;2024-08-04T19:04:28.796Z;2024-08-04T19:04:31Z;[{'id': 5133120393, 'qualifierId': 212, 'value': '7.8'}, {'id': 5133120389, 'qualifierId': 140, 'value': '42.5'}, {'id': 5133120391, 'qualifierId': 141, 'value': '21.3'}, {'id': 5133120395, 'qualifierId': 213, 'value': '5.53'}, {'id': 5133120387, 'qualifierId': 56, 'value': 'Back'}];5jal3zhkwodffivsq89wfd15g;C. Aquino;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;7,8;5,53;42,5;;21,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;42,5;21,3;;;;;;;;0;0;19;Minnesota United II;19;AMC;1,0
2706174359;10;1;1;0;21;5icuo8utnztpsd9l03gdd68dl;1;42,5;21,3;2024-08-04T19:04:30.932Z;2024-08-04T19:56:52Z;[{'id': 5133120507, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133120511, 'qualifierId': 141, 'value': '24.7'}, {'id': 5133120515, 'qualifierId': 213, 'value': '0.12'}, {'id': 5133120513, 'qualifierId': 212, 'value': '19.8'}, {'id': 5133120509, 'qualifierId': 140, 'value': '61.2'}];3007iihmvmlzgpgtxri3v3hg4;B. Bowen;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;19,8;0,12;61,2;;24,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;61,2;24,7;;;;;;;;0;0;21;Minnesota United II;21;DR;1,0
2706174389;11;1;1;0;23;5icuo8utnztpsd9l03gdd68dl;1;61,2;24,7;2024-08-04T19:04:32.404Z;2024-08-04T19:04:35Z;[{'id': 5133120727, 'qualifierId': 213, 'value': '4.52'}, {'id': 5133120719, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133120721, 'qualifierId': 140, 'value': '59.2'}, {'id': 5133120725, 'qualifierId': 212, 'value': '11.1'}, {'id': 5133120723, 'qualifierId': 141, 'value': '8.6'}];3y5rrahty1k0l1hnww3bcozmy;O. De Rosario;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;11,1;4,52;59,2;;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;59,2;8,6;;;;;;;;0;0;23;Minnesota United II;23;FW;1,0
2706174423;12;1;1;0;26;5icuo8utnztpsd9l03gdd68dl;1;59,2;8,8;2024-08-04T19:04:35.564Z;2024-08-04T19:04:38Z;[{'id': 5133120923, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133120931, 'qualifierId': 213, 'value': '2.19'}, {'id': 5133120925, 'qualifierId': 140, 'value': '55.8'}, {'id': 5133120929, 'qualifierId': 212, 'value': '6.2'}, {'id': 5133120927, 'qualifierId': 141, 'value': '16.2'}];4dji8lgdl3psnfchdwpllvod0;G. Minoungou;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;6,2;2,19;55,8;;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;55,8;16,2;;;;;;;;0;0;26;Minnesota United II;26;AMR;1,0
2706174517;13;1;1;0;28;5icuo8utnztpsd9l03gdd68dl;1;57,1;11,0;2024-08-04T19:04:38.027Z;2024-08-04T19:04:47Z;[{'id': 5133121567, 'qualifierId': 213, 'value': '5.70'}, {'id': 5133121555, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133121561, 'qualifierId': 141, 'value': '6.7'}, {'id': 5133121557, 'qualifierId': 140, 'value': '61.3'}, {'id': 5133121563, 'qualifierId': 212, 'value': '5.3'}];5jal3zhkwodffivsq89wfd15g;C. Aquino;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;5,3;5,7;61,3;;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;61,3;6,7;;;;;;;;0;0;28;Minnesota United II;28;AMC;1,0
2706174521;14;3;1;0;36;5icuo8utnztpsd9l03gdd68dl;0;72,7;7,7;2024-08-04T19:04:46.044Z;2024-08-04T21:14:57Z;[{'id': 5133121605, 'qualifierId': 211}, {'id': 5133121587, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133121589, 'qualifierId': 286}];4dji8lgdl3psnfchdwpllvod0;G. Minoungou;;;eiim2xxga2jfmxnrw4yr7dz4k;Take On;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;36;Minnesota United II;36;AMR;1,0
2706174511;3;12;1;0;36;1pc6sx2h4rp113ldkbp5d2xas;1;9,4;77,5;2024-08-04T19:04:46.160Z;2024-08-04T19:56:19Z;[{'id': 5133121527, 'qualifierId': 212, 'value': '16.5'}, {'id': 5133121571, 'qualifierId': 167}, {'id': 5133121521, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133121529, 'qualifierId': 213, 'value': '1.39'}, {'id': 5133121525, 'qualifierId': 141, 'value': '100.0'}, {'id': 5133121523, 'qualifierId': 140, 'value': '12.2'}];cz98wcy8nq9hqncb2z33p4hec;D. Mawing;;;eiim2xxga2jfmxnrw4yr7dz4k;Clearance;;;;;;;;;;16,5;1,39;12,2;;100,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;12,2;100,0;;;;;;;;0;0;36;Tacoma Defiance;36;DC;1,0
2706174515;4;5;1;0;37;1pc6sx2h4rp113ldkbp5d2xas;0;18,9;101,1;2024-08-04T19:04:46.695Z;2024-08-04T19:04:51Z;[{'id': 5133121553, 'qualifierId': 347}, {'id': 5133121839, 'qualifierId': 233, 'value': '15'}, {'id': 5133121551, 'qualifierId': 56, 'value': 'Back'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;;eiim2xxga2jfmxnrw4yr7dz4k;Out;;;;;;;;;;;;;;;;;;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;37;Tacoma Defiance;37;DC;1,0
2706174543;15;5;1;0;37;5icuo8utnztpsd9l03gdd68dl;1;81,1;-1,1;2024-08-04T19:04:46.695Z;2024-08-04T21:20:32Z;[{'id': 5133121741, 'qualifierId': 347}, {'id': 5133121797, 'qualifierId': 233, 'value': '4'}, {'id': 5133121739, 'qualifierId': 56, 'value': 'Right'}];e2t6sxwsa5ll4zvsxh96512zu;E. Katsaros;;;eiim2xxga2jfmxnrw4yr7dz4k;Out;;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;37;Minnesota United II;37;DC;1,0
2706174575;16;1;1;0;41;5icuo8utnztpsd9l03gdd68dl;1;74,4;0,0;2024-08-04T19:04:50.524Z;2024-08-04T19:57:41Z;[{'id': 5133121935, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133121939, 'qualifierId': 141, 'value': '3.2'}, {'id': 5133121933, 'qualifierId': 107}, {'id': 5133121937, 'qualifierId': 140, 'value': '71.9'}, {'id': 5133121943, 'qualifierId': 213, 'value': '2.35'}, {'id': 5133121941, 'qualifierId': 212, 'value': '3.7'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;3,7;2,35;71,9;;3,2;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;71,9;3,2;;;;;;;;0;0;41;Minnesota United II;41;MC;1,0
2706174599;17;1;1;0;41;5icuo8utnztpsd9l03gdd68dl;1;71,9;3,2;2024-08-04T19:04:50.579Z;2024-08-04T19:57:48Z;[{'id': 5133122083, 'qualifierId': 140, 'value': '77.8'}, {'id': 5133122089, 'qualifierId': 213, 'value': '6.21'}, {'id': 5133122081, 'qualifierId': 56, 'value': 'Right'}, {'id': 5133122087, 'qualifierId': 212, 'value': '6.2'}, {'id': 5133122085, 'qualifierId': 141, 'value': '2.5'}];3007iihmvmlzgpgtxri3v3hg4;B. Bowen;;;eiim2xxga2jfmxnrw4yr7dz4k;Pass;;;;;;;;;;6,2;6,21;77,8;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;77,8;2,5;;;;;;;;0;0;41;Minnesota United II;41;DR;1,0
2706174607;18;50;1;0;42;5icuo8utnztpsd9l03gdd68dl;1;79,2;3,7;2024-08-04T19:04:51.532Z;2024-08-04T19:58:03Z;[{'id': 5133122143, 'qualifierId': 286}, {'id': 5133122169, 'qualifierId': 233, 'value': '5'}, {'id': 5133122141, 'qualifierId': 56, 'value': 'Right'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;eiim2xxga2jfmxnrw4yr7dz4k;Dispossessed;;;;;;;;;;;;;;;;;;1,0;;;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;;0;0;42;Minnesota United II;42;MC;1,0
