id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_Resume;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_JerseyNumber;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_LongBall;value_Chipped;value_Launch;value_LayOff;value_TouchTypePass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_TakeOnSpace;value_Defensive;value_DeletedEventType;value_HeadPass;value_IntendedTackleTarget;value_TouchTypeControl;value_TakeOnOvertake;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_TouchTypeClearance;value_BlockedPass;value_Head;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_LowRight;value_RegularPlay;value_GoalmouthY;value_Assisted;value_FirstTouch;value_BoxCentre;value_RelatedEventId;value_BlockedX;value_1On1;value_BlockedY;value_RightFooted;value_BigChance;value_Feet;value_Sliding;value_ParriedDanger;value_NextEventGoalKick;value_Low;value_NotVisible;value_GoalKick;value_OutSwinger;value_Cross;value_Weak;value_OtherBodyPart;value_LowLeft;value_Diving;value_Hands;value_Collected;value_IndividualPlay;value_LowCentre;value_OutOfBoxCentre;value_ParriedSafe;value_MediumGkIntervention;value_Left;value_LeftFooted;value_CornerTaken;value_Overrun;value_SwitchOfPlay;value_High;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_InSwinger;value_HighGkIntervention;value_Handball;value_ThroughBall;value_FastBreak;value_BoxLeft;value_HighCentre;value_Volley;value_NotAssisted;value_OutOfBoxDeepLeft;value_GkY;value_GkX;value_CloseHigh;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_FairPlay;value_FlickOn;value_AerialFoul;value_OverArm;value_Blocked;value_FreeKick;value_ByWall;value_DefBlock;value_PullBack;value_CloseLeft;value_Stooping;value_GkKickFromHands;value_BoxRight;value_MisHit;value_Right;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Minutes;value_Dissent;value_YellowCard;value_Unchallenged;value_EndType;value_Tactical;value_BlockedClearance;value_CloseRight;value_Standing;value_BlockByHand;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_Scored;value_GkHoof;value_HighRight;value_SwerveLeft;value_ShirtPull/Holding;value_SmallBoxLeft;value_NotPastGoalLine;value_TacticalFoul;value_SecondYellow;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2670719871;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-10T22:48:35.890Z;2024-04-11T00:17:50Z;[{'id': 4939663581, 'qualifierId': 197, 'value': '19205'}, {'id': 4939553139, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4939553137, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4939553129, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, duj699i9620tuf3ii9z06bqsq, 1ni0mewxcbo26d1xxetkdy3ca, 9ijxde56q9ayy0v9kgt2osx04, cwyml9l4tfvb4ceh8tv3au0wk, 2676930j149yvanqev61emh62, 3ei1s8oyub83owfxxbsygmsmi, 1d20nyyvmp0doobj6heejkowk, 1cfm4ne1po0mld4bl37deg36c, 1kuo66geyyz9gu2n39w0bvr4k, 4k6c9nnzytq9qhc9uol64wg7o, eq98gflais2v26wgbkw9wrxg4, 3mq1g1pyo3flkaorg9wqmfhuc, 8qkw6bkxcucb5jnsfotm816ac, 1p4rbf4wumfagv2ntlewdxey, 3o4uxnvpnf3cwjs3srwegxp90'}, {'id': 4939553135, 'qualifierId': 130, 'value': '8'}, {'id': 4939553133, 'qualifierId': 59, 'value': '44, 38, 68, 42, 63, 61, 29, 70, 77, 99, 32, 20, 37, 47, 50, 67, 74, 75'}, {'id': 4939604951, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 4939553131, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}];;;;c3p48vu4u9p0rjcc9bd5rl3x0;Team set up;19205,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;New York RB II;0;;
2670719877;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-10T22:48:39.739Z;2024-04-10T23:38:16Z;[{'id': 4939605087, 'qualifierId': 197, 'value': '6066'}, {'id': 4939553195, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4939553191, 'qualifierId': 130, 'value': '2'}, {'id': 4939553189, 'qualifierId': 59, 'value': '57, 45, 42, 91, 23, 50, 82, 48, 33, 16, 65, 24, 34, 35, 44, 46, 66, 79, 90, 97'}, {'id': 4939553193, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4939553187, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4939605083, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 4939553183, 'qualifierId': 30, 'value': '76xo0u2yd2cqf8xdyh8rteqdw, 6rgdv71lxh4cpz487ygvy5nv8, 92np3jwhxchmtfeov82ehe13o, 5u3ohty1lsm0fn2ltez4g7o5w, e2tuar1frliervcr2mnmvfspg, 4gp2d7oltfq4uwzj78gr6q9sk, afqry84j23xgkhqryrontj190, a79oz5xhvq7gz2k2j20sa02dw, 7ak1pv4uqkfa5cxsnthsjvfca, 8y7kqet5swj9dmqama0z5ngus, 8q2wozyqz4nveabn71hc614dm, nhhmltlm3ayn7vqmp6etck5w, 59kitnlge8bjsxmhy850bsutw, gz9dek1oxgman9jslfku0zmy, 8u0efvao8rym6mdx0tl0h0qac, o3gftw0hatp1r62ynjmlaaui, 65g50zt5gbo1lnrbc7uvwsbo4, e4rpnf90oa672lcm8ego7vllg, ov4fk38lrcculu6tdbnrto2c, 4akvdujqbywk628gok9xbh2j8'}];;;;c3p48vu4u9p0rjcc9bd5rl3x0;Team set up;6066,0;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;New York City II;0;;
2670730595;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-10T23:36:38.731Z;2024-04-16T15:27:47Z;[{'id': 4939608507, 'qualifierId': 127, 'value': 'Right to Left'}];;;;c3p48vu4u9p0rjcc9bd5rl3x0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;New York RB II;0;;
2670730593;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-10T23:36:38.731Z;2024-04-10T23:36:38Z;[{'id': 4939608497, 'qualifierId': 127, 'value': 'Left to Right'}];;;;c3p48vu4u9p0rjcc9bd5rl3x0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;0;New York City II;0;;
2670730619;3;1;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;49,9;50,1;2024-04-10T23:36:38.732Z;2024-04-10T23:36:42Z;[{'id': 4939608597, 'qualifierId': 213, 'value': '2.92'}, {'id': 4939608599, 'qualifierId': 279, 'value': 'S'}, {'id': 4939608591, 'qualifierId': 140, 'value': '28.4'}, {'id': 4939608593, 'qualifierId': 141, 'value': '57.5'}, {'id': 4939608589, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939608595, 'qualifierId': 212, 'value': '23.1'}];7ak1pv4uqkfa5cxsnthsjvfca;R. Mitchell;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;2,92;;28,4;57,5;;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;28,4;57,5;;;;;;;;0;0;0;New York City II;0;FW;1,0
2670730641;4;1;1;0;3;4g68p0t2f5jzhzfr67i2rj1ex;1;28,3;57,3;2024-04-10T23:36:42.699Z;2024-04-10T23:36:45Z;[{'id': 4939608675, 'qualifierId': 213, 'value': '4.64'}, {'id': 4939608673, 'qualifierId': 212, 'value': '16.5'}, {'id': 4939608671, 'qualifierId': 141, 'value': '33.1'}, {'id': 4939608669, 'qualifierId': 140, 'value': '27.1'}, {'id': 4939608667, 'qualifierId': 56, 'value': 'Back'}];4gp2d7oltfq4uwzj78gr6q9sk;J. Collahuazo;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;4,64;;27,1;33,1;;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;27,1;33,1;;;;;;;;0;0;3;New York City II;3;DC;1,0
2670730683;5;1;1;0;6;4g68p0t2f5jzhzfr67i2rj1ex;1;25,0;30,3;2024-04-10T23:36:45.418Z;2024-04-10T23:36:51Z;[{'id': 4939608891, 'qualifierId': 213, 'value': '5.93'}, {'id': 4939608887, 'qualifierId': 141, 'value': '12.5'}, {'id': 4939608893, 'qualifierId': 1}, {'id': 4939608889, 'qualifierId': 212, 'value': '34.9'}, {'id': 4939608885, 'qualifierId': 140, 'value': '56.2'}, {'id': 4939608881, 'qualifierId': 155}, {'id': 4939608883, 'qualifierId': 56, 'value': 'Right'}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;5,93;;56,2;12,5;;34,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;56,2;12,5;;;;;;;;0;0;6;New York City II;6;DL;1,0
2670730685;6;1;1;0;12;4g68p0t2f5jzhzfr67i2rj1ex;0;61,4;4,0;2024-04-10T23:36:51.135Z;2024-04-11T01:43:40Z;[{'id': 4939608915, 'qualifierId': 140, 'value': '80.5'}, {'id': 4939608921, 'qualifierId': 213, 'value': '0.00'}, {'id': 4939608919, 'qualifierId': 212, 'value': '20.1'}, {'id': 4939608913, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939608917, 'qualifierId': 141, 'value': '4.1'}];afqry84j23xgkhqryrontj190;I. Kasule;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;0,0;;80,5;4,1;;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;80,5;4,1;;;;;;;;0;0;12;New York City II;12;MR;1,0
2670730693;3;1;1;0;13;6ddsx316t3j0z6nolrky9k4r8;1;19,5;90,9;2024-04-10T23:36:52.218Z;2024-04-10T23:36:54Z;[{'id': 4939608983, 'qualifierId': 212, 'value': '17.9'}, {'id': 4939608981, 'qualifierId': 141, 'value': '89.3'}, {'id': 4939608985, 'qualifierId': 213, 'value': '6.22'}, {'id': 4939608979, 'qualifierId': 140, 'value': '36.5'}, {'id': 4939608977, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939608987, 'qualifierId': 1}, {'id': 4939608975, 'qualifierId': 157}];9ijxde56q9ayy0v9kgt2osx04;A. Hauschild;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;6,22;;36,5;89,3;;17,9;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;36,5;89,3;;;;;;;;0;0;13;New York RB II;13;DC;1,0
2670730695;4;1;1;0;15;6ddsx316t3j0z6nolrky9k4r8;0;36,5;89,3;2024-04-10T23:36:54.185Z;2024-04-11T00:28:13Z;[{'id': 4939608995, 'qualifierId': 141, 'value': '82.7'}, {'id': 4939675795, 'qualifierId': 156}, {'id': 4939608999, 'qualifierId': 213, 'value': '4.29'}, {'id': 4939608993, 'qualifierId': 140, 'value': '34.6'}, {'id': 4939608997, 'qualifierId': 212, 'value': '4.9'}, {'id': 4939608991, 'qualifierId': 56, 'value': 'Back'}];1cfm4ne1po0mld4bl37deg36c;J. Shore;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;4,29;;34,6;82,7;;4,9;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;34,6;82,7;;;;;;;;0;0;15;New York RB II;15;AML;1,0
2670730699;7;8;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;1;68,7;15,8;2024-04-10T23:36:54.947Z;2024-04-16T15:35:44Z;[{'id': 4939609007, 'qualifierId': 56, 'value': 'Right'}, {'id': 4956237157, 'qualifierId': 384}];afqry84j23xgkhqryrontj190;I. Kasule;;c3p48vu4u9p0rjcc9bd5rl3x0;Interception;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;16;New York City II;16;MR;1,0
2670730719;8;1;1;0;17;4g68p0t2f5jzhzfr67i2rj1ex;1;64,9;23,6;2024-04-10T23:36:56.118Z;2024-04-10T23:36:59Z;[{'id': 4939609095, 'qualifierId': 141, 'value': '50.3'}, {'id': 4939609099, 'qualifierId': 213, 'value': '1.29'}, {'id': 4939609097, 'qualifierId': 212, 'value': '18.9'}, {'id': 4939609093, 'qualifierId': 140, 'value': '69.9'}, {'id': 4939609091, 'qualifierId': 56, 'value': 'Center'}];5u3ohty1lsm0fn2ltez4g7o5w;B. Estrela;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;1,29;;69,9;50,3;;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;69,9;50,3;;;;;;;;0;0;17;New York City II;17;MC;1,0
2670730723;9;61;1;0;19;4g68p0t2f5jzhzfr67i2rj1ex;0;70,4;54,0;2024-04-10T23:36:58.296Z;2024-04-11T00:29:06Z;[{'id': 4939609105, 'qualifierId': 56, 'value': 'Center'}];8q2wozyqz4nveabn71hc614dm;S. Sserwadda;;c3p48vu4u9p0rjcc9bd5rl3x0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;19;New York City II;19;ML;1,0
2670730727;5;1;1;0;19;6ddsx316t3j0z6nolrky9k4r8;1;29,3;38,9;2024-04-10T23:36:58.297Z;2024-04-11T00:28:32Z;[{'id': 4939676195, 'qualifierId': 140, 'value': '24.8'}, {'id': 4939676197, 'qualifierId': 141, 'value': '29.5'}, {'id': 4939676199, 'qualifierId': 212, 'value': '7.9'}, {'id': 4939609115, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939676201, 'qualifierId': 213, 'value': '4.08'}];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;4,08;;24,8;29,5;;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;24,8;29,5;;;;;;;;0;0;19;New York RB II;19;AMR;1,0
2670730729;6;49;1;0;21;6ddsx316t3j0z6nolrky9k4r8;1;23,1;26,1;2024-04-10T23:37:00.537Z;2024-04-10T23:37:00Z;[];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;c3p48vu4u9p0rjcc9bd5rl3x0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;21;New York RB II;21;DR;1,0
2670730751;7;1;1;0;22;6ddsx316t3j0z6nolrky9k4r8;1;23,1;26,1;2024-04-10T23:37:00.889Z;2024-04-10T23:37:02Z;[{'id': 4939609209, 'qualifierId': 140, 'value': '10.2'}, {'id': 4939609207, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939609211, 'qualifierId': 141, 'value': '38.6'}, {'id': 4939609213, 'qualifierId': 212, 'value': '16.0'}, {'id': 4939609215, 'qualifierId': 213, 'value': '2.58'}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;2,58;;10,2;38,6;;16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;10,2;38,6;;;;;;;;0;0;22;New York RB II;22;DR;1,0
2670730773;8;1;1;0;23;6ddsx316t3j0z6nolrky9k4r8;0;10,2;38,6;2024-04-10T23:37:02.729Z;2024-04-10T23:37:08Z;[{'id': 4939609333, 'qualifierId': 213, 'value': '6.09'}, {'id': 4939609331, 'qualifierId': 212, 'value': '64.5'}, {'id': 4939609327, 'qualifierId': 140, 'value': '70.5'}, {'id': 4939609329, 'qualifierId': 141, 'value': '20.4'}, {'id': 4939609323, 'qualifierId': 157}, {'id': 4939609335, 'qualifierId': 1}, {'id': 4939609325, 'qualifierId': 56, 'value': 'Right'}];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;6,09;;70,5;20,4;;64,5;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;70,5;20,4;;;;;;;;0;0;23;New York RB II;23;GK;1,0
2670730783;10;49;1;0;30;4g68p0t2f5jzhzfr67i2rj1ex;1;35,6;85,4;2024-04-10T23:37:09.256Z;2024-04-11T00:29:08Z;[];4gp2d7oltfq4uwzj78gr6q9sk;J. Collahuazo;;c3p48vu4u9p0rjcc9bd5rl3x0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;30;New York City II;30;DC;1,0
2670730827;11;1;1;0;32;4g68p0t2f5jzhzfr67i2rj1ex;1;32,6;86,3;2024-04-10T23:37:11.067Z;2024-04-10T23:37:16Z;[{'id': 4939609559, 'qualifierId': 140, 'value': '13.2'}, {'id': 4939609557, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939609563, 'qualifierId': 212, 'value': '23.3'}, {'id': 4939609561, 'qualifierId': 141, 'value': '69.6'}, {'id': 4939609565, 'qualifierId': 213, 'value': '3.65'}];4gp2d7oltfq4uwzj78gr6q9sk;J. Collahuazo;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;3,65;;13,2;69,6;;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;13,2;69,6;;;;;;;;0;0;32;New York City II;32;DC;1,0
2670730831;12;1;1;0;36;4g68p0t2f5jzhzfr67i2rj1ex;0;13,2;69,6;2024-04-10T23:37:14.785Z;2024-04-10T23:37:19Z;[{'id': 4939609579, 'qualifierId': 213, 'value': '1.30'}, {'id': 4939609573, 'qualifierId': 140, 'value': '19.1'}, {'id': 4939609577, 'qualifierId': 212, 'value': '22.9'}, {'id': 4939609569, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939609575, 'qualifierId': 141, 'value': '100.0'}];76xo0u2yd2cqf8xdyh8rteqdw;A. Rutkowski;;c3p48vu4u9p0rjcc9bd5rl3x0;Pass;;;;;;;;;;1,3;;19,1;100,0;;22,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;19,1;100,0;;;;;;;;0;0;36;New York City II;36;GK;1,0
2670730843;9;5;1;0;37;6ddsx316t3j0z6nolrky9k4r8;1;78,4;-2,0;2024-04-10T23:37:15.822Z;2024-04-10T23:37:18Z;[{'id': 4939609617, 'qualifierId': 347}, {'id': 4939609647, 'qualifierId': 233, 'value': '13'}, {'id': 4939609615, 'qualifierId': 56, 'value': 'Right'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;c3p48vu4u9p0rjcc9bd5rl3x0;Out;;;;;;;;;;;;;;;;;;;;;1,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;37;New York RB II;37;AMC;1,0
2670730837;13;5;1;0;37;4g68p0t2f5jzhzfr67i2rj1ex;0;21,6;102,0;2024-04-10T23:37:15.822Z;2024-04-10T23:51:31Z;[{'id': 4939609667, 'qualifierId': 233, 'value': '9'}, {'id': 4939609585, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939609587, 'qualifierId': 347}];76xo0u2yd2cqf8xdyh8rteqdw;A. Rutkowski;;c3p48vu4u9p0rjcc9bd5rl3x0;Out;;;;;;;;;;;;;;;;;;;;;1,0;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;;0;0;37;New York City II;37;GK;1,0
