id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_KickOff;value_Angle;value_Length;value_Launch;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_FlickOn;value_HeadPass;value_IntendedTackleTarget;value_RightFooted;value_Cross;value_Chipped;value_OutSwinger;value_Offensive;value_BlockedPass;value_BlockedCross;value_TouchTypeClearance;value_Defensive;value_FloatedCross;value_LeftFooted;value_Straight;value_TouchTypeControl;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_TouchTypePass;value_DeletedEventType;value_LayOff;value_TakeOnOvertake;value_OutOfPlay;value_Head;value_BlockedClearance;value_TakeOnSpace;value_ShirtPull/Holding;value_Assist;value_IntentionalAssist;value_ThroughBall;value_RegularPlay;value_GoalmouthZ;value_LowCentre;value_RelatedEventId;value_Assisted;value_BoxRight;value_BlockedX;value_BlockedY;value_GoalmouthY;value_Stooping;value_LowGkIntervention;value_Collected;value_Hands;value_NotVisible;value_GkStart;value_Shove/Push;value_SetPiece;value_GkY;value_NotAssisted;value_HighRight;value_IndividualPlay;value_BoxCentre;value_GkX;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_CloseLeft;value_SmallBoxCentre;value_FromCorner;value_BigChance;value_FirstTouch;value_MediumGkIntervention;value_GkHoof;value_High;value_CloseHigh;value_RecklessOffence;value_YellowCard;value_OutOfBoxCentre;value_FreeKick;value_Standing;value_KeeperThrow;value_Sliding;value_OtherBodyPart;value_ParriedSafe;value_OverhitCross;value_InjuredPlayerId;value_Injury;value_PlayersCaughtOffside;value_Indirect;value_GkXTimeOfGoal;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Tap;value_OverArm;value_Overrun;value_NotRetreating;value_Weak;value_Volley;value_NotPastGoalLine;value_CloseRight;value_HighGkIntervention;value_KeeperTouched;value_Deflection;value_Blocked;value_DefBlock;value_PullBack;value_Minutes;value_BoxLeft;value_EndType;value_PenaltyTakerId;value_Penalty;value_DeniedGoalScoringOpp;value_Diving;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_LowRight;value_FollowsADribble;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FastBreak;value_35Right;value_Reaching;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2740251485;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-10-27T17:17:56.853Z;2024-10-27T20:25:59Z;[{'id': 5319946549, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5319946541, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5319946545, 'qualifierId': 130, 'value': '13'}, {'id': 5320182765, 'qualifierId': 197, 'value': '14907'}, {'id': 5319946539, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, 4nvz6yrxluelbpsjavcjtgnx0, ba9m1xd2b3b2zvuuogn4uxkwk, agw4ksz62ddb0q7h7lon4na0a, bezle40rjwnkdskjbf9yg4sq2, cc7auv8d89ohifqg7qwz62mwa, 37zynr7fwzqg4c9w5ydefywyy, xxu2xv2n6f5d51ksa8z4rv2s, dgosg1mymhuajg0rz2ts6alpm, e0pkyzm6eqzlrxme33k7dwgt0, 79606fy6lyfs1h12645q4shzo, 9jy9vyn7y1bomsbjhjujynb4k, 5s2xdtggwprul1m02vjs3nw9g, 9elhnfsovx9efu5f92mkkls7o, 290iohuheoqdrdocbg25ipgk4, 3me8mlpj9tgn82v2mwyibpkb8, 3gtqm8npkg5prbfnvqxq92dm2, e1jku8gmpckc900s9y6z1gn4k'}, {'id': 5319946547, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5319946543, 'qualifierId': 59, 'value': '13, 17, 49, 5, 24, 12, 2, 10, 9, 18, 52, 11, 20, 60, 6, 43, 22, 7, 27'}, {'id': 5320915477, 'qualifierId': 194, 'value': '9bn2zid7u305xii6alm8a58us'}];;;;;chgm2serr432rqnas1dmvwh78;Team set up;;;13,0;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2740257751;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-10-27T17:25:22.850Z;2024-10-27T18:04:54Z;[{'id': 5319982649, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5319982647, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5319982639, 'qualifierId': 30, 'value': '4uybjezp5gdqpvkwp8qsdxrf8, acskv7krqaau05kpgbfz6f0iy, 9vc2mynd9lg2oyt14n4e7a44q, 5ehbz7f56cmfamc29fnk3yuax, 84oe7sbhy91b5xvbo2w28i7f8, 72xktsosbsh2uwkwby59mr6z8, 38p90lsdc5iv1jvjbhiinv6ne, 64wbk2nsrs0ru0hjcq0lenwgk, b1p6qcv8wjzoxoax3nt13n5gq, 79knhnp7bvpjomzz14k715wtm, 2atsox1bassuexlgta8h3us4p, a8t1jn05xxxccikegk8fdaiok, afdz1ibldn2vc8gtezyw8tqay, b3xoqrbmua9uzr0tw8kmnw9as, 9ii1zrimesdnqccy8dki8knx0, 6n0x8t513vmsmgfasovvoj7u2, 4agnpztnedb7ql14bo477vspg, 2buy6q56o0ixo30fatz7ps9w4, 8gksildsf5a192c34p0sc01zo'}, {'id': 5319982643, 'qualifierId': 59, 'value': '80, 36, 54, 49, 41, 42, 37, 35, 48, 55, 50, 59, 45, 64, 68, 44, 53, 46, 90'}, {'id': 5319982641, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5319982645, 'qualifierId': 130, 'value': '4'}, {'id': 5320193341, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5320193343, 'qualifierId': 197, 'value': '14913'}];;;;;chgm2serr432rqnas1dmvwh78;Team set up;;;4,0;14913,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2740296761;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-10-27T18:06:11.230Z;2024-10-31T02:39:08Z;[{'id': 5320199549, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;chgm2serr432rqnas1dmvwh78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2740296779;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-10-27T18:06:11.230Z;2024-10-27T18:06:12Z;[{'id': 5320199643, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;chgm2serr432rqnas1dmvwh78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2740296833;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;49,8;49,6;2024-10-27T18:06:11.231Z;2024-10-27T18:06:15Z;[{'id': 5320199905, 'qualifierId': 141, 'value': '42.4'}, {'id': 5320199901, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320199903, 'qualifierId': 140, 'value': '28.3'}, {'id': 5320199911, 'qualifierId': 279, 'value': 'S'}, {'id': 5320199909, 'qualifierId': 213, 'value': '3.36'}, {'id': 5320199907, 'qualifierId': 212, 'value': '23.1'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;42,4;;28,3;;3,36;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;28,3;42,4;;;;;;;;0;0;0;Chicago Fire II;0;MC;1,0
2740296893;4;1;1;0;3;5b4ccd62yeeqdl2qk6jzsmjv8;0;29,8;44,9;2024-10-27T18:06:15.162Z;2024-10-27T18:06:19Z;[{'id': 5320200255, 'qualifierId': 157}, {'id': 5320200259, 'qualifierId': 140, 'value': '76.7'}, {'id': 5320200261, 'qualifierId': 141, 'value': '0.0'}, {'id': 5320200271, 'qualifierId': 1}, {'id': 5320200267, 'qualifierId': 213, 'value': '5.71'}, {'id': 5320200257, 'qualifierId': 56, 'value': 'Right'}, {'id': 5320200263, 'qualifierId': 212, 'value': '58.5'}];agw4ksz62ddb0q7h7lon4na0a;A. Keita;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;0,0;;76,7;;5,71;58,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;76,7;0,0;;;;;;;;0;0;3;Chicago Fire II;3;DC;1,0
2740297015;3;5;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;26,8;101,6;2024-10-27T18:06:18.929Z;2024-10-27T19:03:37Z;[{'id': 5320201009, 'qualifierId': 347}, {'id': 5320201063, 'qualifierId': 233, 'value': '5'}, {'id': 5320201007, 'qualifierId': 56, 'value': 'Back'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;chgm2serr432rqnas1dmvwh78;Out;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;7;Columbus Crew II;7;DC;1,0
2740296901;5;5;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;0;73,2;-1,6;2024-10-27T18:06:18.929Z;2024-10-27T19:03:37Z;[{'id': 5320200303, 'qualifierId': 347}, {'id': 5320200301, 'qualifierId': 56, 'value': 'Right'}, {'id': 5320201077, 'qualifierId': 233, 'value': '3'}];agw4ksz62ddb0q7h7lon4na0a;A. Keita;;;chgm2serr432rqnas1dmvwh78;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;7;Chicago Fire II;7;DC;1,0
2740297089;4;1;1;0;14;8o8m08he36u0j4w08aj2iodn8;1;31,7;100,0;2024-10-27T18:06:26.214Z;2024-10-27T18:06:30Z;[{'id': 5320201435, 'qualifierId': 140, 'value': '12.0'}, {'id': 5320201431, 'qualifierId': 107}, {'id': 5320201443, 'qualifierId': 1}, {'id': 5320201439, 'qualifierId': 212, 'value': '22.5'}, {'id': 5320201433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320201441, 'qualifierId': 213, 'value': '3.55'}, {'id': 5320201437, 'qualifierId': 141, 'value': '88.3'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;88,3;;12,0;;3,55;22,5;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;12,0;88,3;;;;;;;;0;0;14;Columbus Crew II;14;DC;1,0
2740297135;5;1;1;0;18;8o8m08he36u0j4w08aj2iodn8;1;11,4;89,6;2024-10-27T18:06:30.058Z;2024-10-27T18:06:33Z;[{'id': 5320201737, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320201749, 'qualifierId': 1}, {'id': 5320201745, 'qualifierId': 212, 'value': '38.7'}, {'id': 5320201739, 'qualifierId': 140, 'value': '47.3'}, {'id': 5320201747, 'qualifierId': 213, 'value': '6.06'}, {'id': 5320201735, 'qualifierId': 157}, {'id': 5320201743, 'qualifierId': 141, 'value': '76.9'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;76,9;;47,3;;6,06;38,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;47,3;76,9;;;;;;;;0;0;18;Columbus Crew II;18;DC;1,0
2740297149;6;1;1;0;22;8o8m08he36u0j4w08aj2iodn8;0;47,3;76,9;2024-10-27T18:06:33.698Z;2024-10-31T02:41:43Z;[{'id': 5320201813, 'qualifierId': 212, 'value': '19.9'}, {'id': 5320201807, 'qualifierId': 56, 'value': 'Left'}, {'id': 5328867167, 'qualifierId': 168}, {'id': 5320201805, 'qualifierId': 3}, {'id': 5320201815, 'qualifierId': 213, 'value': '0.47'}, {'id': 5320201811, 'qualifierId': 141, 'value': '90.3'}, {'id': 5320201809, 'qualifierId': 140, 'value': '64.2'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;90,3;;64,2;;0,47;19,9;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;64,2;90,3;;;;;;;;0;0;22;Columbus Crew II;22;FW;1,0
2740297193;6;1;1;0;22;5b4ccd62yeeqdl2qk6jzsmjv8;0;34,4;15,2;2024-10-27T18:06:34.122Z;2024-10-27T18:06:37Z;[{'id': 5320202069, 'qualifierId': 140, 'value': '41.6'}, {'id': 5320202075, 'qualifierId': 213, 'value': '5.31'}, {'id': 5320202071, 'qualifierId': 141, 'value': '0.0'}, {'id': 5320202077, 'qualifierId': 1}, {'id': 5320202067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320202073, 'qualifierId': 212, 'value': '13.5'}, {'id': 5320202063, 'qualifierId': 157}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;0,0;;41,6;;5,31;13,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;41,6;0,0;;;;;;;;0;0;22;Chicago Fire II;22;DC;1,0
2740297203;7;5;1;0;26;5b4ccd62yeeqdl2qk6jzsmjv8;0;41,8;-1,3;2024-10-27T18:06:37.526Z;2024-10-27T19:03:38Z;[{'id': 5320202105, 'qualifierId': 347}, {'id': 5320202103, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320202979, 'qualifierId': 233, 'value': '7'}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;chgm2serr432rqnas1dmvwh78;Out;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;26;Chicago Fire II;26;DC;1,0
2740297347;7;5;1;0;26;8o8m08he36u0j4w08aj2iodn8;1;58,2;101,3;2024-10-27T18:06:37.526Z;2024-10-27T19:03:37Z;[{'id': 5320202939, 'qualifierId': 56, 'value': 'Left'}, {'id': 5320202941, 'qualifierId': 347}, {'id': 5320202957, 'qualifierId': 233, 'value': '7'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;chgm2serr432rqnas1dmvwh78;Out;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;0;26;Columbus Crew II;26;FW;1,0
2740297417;8;1;1;0;35;8o8m08he36u0j4w08aj2iodn8;1;57,9;100,0;2024-10-27T18:06:46.448Z;2024-10-27T18:06:50Z;[{'id': 5320203353, 'qualifierId': 107}, {'id': 5320203363, 'qualifierId': 213, 'value': '3.38'}, {'id': 5320203357, 'qualifierId': 140, 'value': '33.5'}, {'id': 5320203355, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320203365, 'qualifierId': 1}, {'id': 5320203359, 'qualifierId': 141, 'value': '92.1'}, {'id': 5320203361, 'qualifierId': 212, 'value': '26.4'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;92,1;;33,5;;3,38;26,4;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;33,5;92,1;;;;;;;;0;0;35;Columbus Crew II;35;DC;1,0
2740297515;9;1;1;0;39;8o8m08he36u0j4w08aj2iodn8;1;31,4;85,1;2024-10-27T18:06:50.760Z;2024-10-27T18:06:56Z;[{'id': 5320203889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320203893, 'qualifierId': 140, 'value': '31.9'}, {'id': 5320203901, 'qualifierId': 213, 'value': '4.73'}, {'id': 5320203897, 'qualifierId': 141, 'value': '44.9'}, {'id': 5320203899, 'qualifierId': 212, 'value': '27.3'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;44,9;;31,9;;4,73;27,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;31,9;44,9;;;;;;;;0;0;39;Columbus Crew II;39;DC;1,0
2740297569;10;1;1;0;44;8o8m08he36u0j4w08aj2iodn8;1;31,5;39,4;2024-10-27T18:06:55.932Z;2024-10-27T18:06:59Z;[{'id': 5320204195, 'qualifierId': 140, 'value': '54.3'}, {'id': 5320204193, 'qualifierId': 56, 'value': 'Right'}, {'id': 5320204201, 'qualifierId': 212, 'value': '31.5'}, {'id': 5320204205, 'qualifierId': 213, 'value': '5.58'}, {'id': 5320204197, 'qualifierId': 141, 'value': '9.4'}];84oe7sbhy91b5xvbo2w28i7f8;J. Diouf;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;9,4;;54,3;;5,58;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;54,3;9,4;;;;;;;;0;0;44;Columbus Crew II;44;DL;1,0
2740297561;8;83;1;0;47;5b4ccd62yeeqdl2qk6jzsmjv8;0;35,2;90,5;2024-10-27T18:06:58.747Z;2024-10-27T18:07:03Z;[{'id': 5320204657, 'qualifierId': 399, 'value': 'acskv7krqaau05kpgbfz6f0iy'}];e0pkyzm6eqzlrxme33k7dwgt0;C. Adams;;;chgm2serr432rqnas1dmvwh78;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;47;Chicago Fire II;47;FWL;1,0
2740297629;11;1;1;0;47;8o8m08he36u0j4w08aj2iodn8;1;61,7;12,6;2024-10-27T18:06:59.150Z;2024-10-27T18:07:02Z;[{'id': 5320204583, 'qualifierId': 56, 'value': 'Right'}, {'id': 5320204595, 'qualifierId': 213, 'value': '6.05'}, {'id': 5320204587, 'qualifierId': 140, 'value': '81.2'}, {'id': 5320204591, 'qualifierId': 212, 'value': '21.0'}, {'id': 5320204589, 'qualifierId': 141, 'value': '5.5'}];acskv7krqaau05kpgbfz6f0iy;J. Reynolds;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;5,5;;81,2;;6,05;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;81,2;5,5;;;;;;;;0;0;47;Columbus Crew II;47;DR;1,0
2740297635;12;1;1;0;50;8o8m08he36u0j4w08aj2iodn8;0;83,4;5,5;2024-10-27T18:07:02.197Z;2024-10-31T02:42:34Z;[{'id': 5320204639, 'qualifierId': 212, 'value': '2.3'}, {'id': 5328867245, 'qualifierId': 20}, {'id': 5320204629, 'qualifierId': 2}, {'id': 5320204631, 'qualifierId': 155}, {'id': 5320204635, 'qualifierId': 140, 'value': '84.2'}, {'id': 5328867243, 'qualifierId': 224}, {'id': 5320204767, 'qualifierId': 286}, {'id': 5320204633, 'qualifierId': 56, 'value': 'Right'}, {'id': 5320204641, 'qualifierId': 213, 'value': '1.19'}, {'id': 5320204761, 'qualifierId': 236}, {'id': 5320204637, 'qualifierId': 141, 'value': '8.6'}, {'id': 5320204763, 'qualifierId': 233, 'value': '9'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;8,6;;84,2;;1,19;2,3;;;;9,0;;;;;1,0;1,0;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;84,2;8,6;;;;;;;;0;0;50;Columbus Crew II;50;FWR;1,0
2740297647;9;12;1;0;51;5b4ccd62yeeqdl2qk6jzsmjv8;1;15,1;90,6;2024-10-27T18:07:02.297Z;2024-10-27T18:07:04Z;[{'id': 5320204697, 'qualifierId': 56, 'value': 'Back'}, {'id': 5320204787, 'qualifierId': 233, 'value': '12'}, {'id': 5320204693, 'qualifierId': 185}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;chgm2serr432rqnas1dmvwh78;Clearance;;;;;;;;;;;;;;;;;;;12,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;51;Chicago Fire II;51;DML;1,0
