id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_Involved;value_Resume;value_PlayerPosition;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndX;value_Angle;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_OppositeRelatedEventId;value_Offensive;value_TouchTypePass;value_Defensive;value_Chipped;value_OutSwinger;value_RightFooted;value_Cross;value_Right;value_Left;value_InSwinger;value_LeftFooted;value_CornerTaken;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_TakeOnSpace;value_LayOff;value_HeadPass;value_FlickOn;value_TakeOnOvertake;value_TouchTypeControl;value_LowGkIntervention;value_Overrun;value_NextEventGoalKick;value_Low;value_GoalKick;value_KeeperThrow;value_Head;value_BlockedPass;value_BlockedCross;value_Assist;value_IntentionalAssist;value_BoxCentre;value_GoalmouthZ;value_FromCorner;value_Blocked;value_FirstTouch;value_BlockedY;value_GkY;value_Assisted;value_LowCentre;value_RelatedEventId;value_SixYardBlocked;value_BlockedX;value_GoalmouthY;value_GkX;value_DefBlock;value_IntendedTackleTarget;value_TouchTypeClearance;value_SwitchOfPlay;value_Direct;value_Foul;value_ShirtPull/Holding;value_GoalShotTimestamp;value_FantasyAssistType;value_FreeKick;value_OutOfBoxDeepLeft;value_FantasyAssistTeam;value_GkXTimeOfGoal;value_LowLeft;value_FantasyAssistId;value_GkYTimeOfGoal;value_GoalShotGameClock;value_NotAssisted;value_FantasyAssistedBy;value_AttemptedTackle;value_RegularPlay;value_OutOfBoxCentre;value_CloseHigh;value_IndividualPlay;value_BigChance;value_Hands;value_Diving;value_ParriedSafe;value_Standing;value_Collected;value_InjuredPlayerId;value_Injury;value_TacticalFoul;value_YellowCard;value_NotPastGoalLine;value_NotVisible;value_Shove/Push;value_Minutes;value_EndType;value_DrivenCross;value_Straight;value_AdvantagePlayed;value_RecklessOffence;value_AerialFoul;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LowRight;value_OtherBodyPart;value_Sliding;value_OverArm;value_MediumGkIntervention;value_HighClaim;value_HighGkIntervention;value_ThroughBall;value_1On1;value_Handball;value_High;value_BoxRight;value_BoxLeft;value_Dissent;value_GkHoof;value_FastBreak;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724874643;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-09-23T00:00:50.990Z;2024-09-23T00:49:29Z;[{'id': 5235857823, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5235969797, 'qualifierId': 197, 'value': '23486'}, {'id': 5235857813, 'qualifierId': 30, 'value': '608d9yxcn99up33girsspyaga, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, 74rnjizxzn5a0oag6sue0ja7e, 9nl0k91lrjonu0z2irbs01oiy, 1j010cibh247p8kjchww6ny3u, 32c9e26wcnr5kmab8ep4zph5g, 14sld3djevxpcce9co1aqxn9w, 6ggqe5gi2w2jjclmbjev6dd78, 8vnnownnzz2ksuuitbw3ax5yi, 3h8rx5wumr7hktll4hnvx7or8, 741wavjzdmc04j4i8a3chq9zo, 19ckwd2oz9uyfjznuq2c41btg, f3bqitwkt3mitemcjd61hi044, 6girdg17h5o2qr8stoywy3vv8, 9acojrco6dg2i9otq02gj6904, 7al9w77ailhli8g487tkl32tw, e7vsajjh4e7t51ciycjg0skd0, auomns9j08ffqknhs9007ju38, 6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 5235857825, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235857815, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235857817, 'qualifierId': 59, 'value': '13, 27, 7, 18, 24, 5, 50, 32, 10, 51, 99, 14, 41, 8, 34, 12, 6, 4, 2, 30'}, {'id': 5235857819, 'qualifierId': 130, 'value': '13'}, {'id': 5235857821, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c7iozugubetwocgdnoesnswk;Team set up;;23486,0;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Austin II;0;;
2724874679;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-23T00:00:59.725Z;2024-09-23T00:52:32Z;[{'id': 5235858027, 'qualifierId': 130, 'value': '8'}, {'id': 5235858031, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5235858025, 'qualifierId': 59, 'value': '20, 2, 3, 6, 4, 14, 11, 18, 32, 30, 19, 17, 7, 25, 1, 77, 90, 8, 5'}, {'id': 5235858023, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235858021, 'qualifierId': 30, 'value': 'dcypf9mqtlcn5wetj1z7g3mui, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, 7u1lf62rqlgzban2dwy6c1rmc, 4wgjayv8s85dueh5l88im6lwq, ov91zkisppven9tp72gfbjf8, elvrjpt1jlko4henaqvfid7o4, 7m5wyvhq876dyap45egqs2tjo, 3cbmr8hg3kszw5wl04p3ol27e, 35ds2xu43z6jccyhlr8jsomzu, 53ufl7f1lbwnr7klx9ofxufbo, 9yldym4386a2icfk6qb6i90r8, 81a5mbcfvbxke0w3cbq65ld2i, 4o2lk5bkmyxe8ji3lqjo69qtw, 34zlyg5jfoz9g36s49icjawic, 7nxqbiq6fics5w3qnwhz249as, d0riqrsz7ojwb9m94rbvx7r6y'}, {'id': 5235968137, 'qualifierId': 197, 'value': '23351'}, {'id': 5235858029, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235858033, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c7iozugubetwocgdnoesnswk;Team set up;;23351,0;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2724894175;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-09-23T00:49:56.181Z;2024-09-26T17:35:23Z;[{'id': 5235970729, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c7iozugubetwocgdnoesnswk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Austin II;0;;
2724894177;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-23T00:49:56.181Z;2024-09-23T00:50:00Z;[{'id': 5235970737, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c7iozugubetwocgdnoesnswk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2724894209;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;49,7;50,3;2024-09-23T00:49:56.182Z;2024-09-23T01:44:51Z;[{'id': 5235970927, 'qualifierId': 279, 'value': 'S'}, {'id': 5235970921, 'qualifierId': 212, 'value': '15.2'}, {'id': 5235970917, 'qualifierId': 140, 'value': '35.2'}, {'id': 5235970923, 'qualifierId': 213, 'value': '3.15'}, {'id': 5235970919, 'qualifierId': 141, 'value': '50.0'}, {'id': 5235970915, 'qualifierId': 56, 'value': 'Back'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;15,2;35,2;3,15;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;35,2;50,0;;;;;;;0;0;0;0;Austin II;0;FWR;1,0
2724894233;4;1;1;0;2;99l7fsj6ykgbyqcb9zqqu9dgq;1;34,9;49,7;2024-09-23T00:49:58.403Z;2024-09-23T00:50:04Z;[{'id': 5235971061, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235971067, 'qualifierId': 212, 'value': '18.6'}, {'id': 5235971063, 'qualifierId': 140, 'value': '52.6'}, {'id': 5235971069, 'qualifierId': 213, 'value': '0.01'}, {'id': 5235971065, 'qualifierId': 141, 'value': '50.1'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;18,6;52,6;0,01;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;52,6;50,1;;;;;;;0;0;0;2;Austin II;2;MC;1,0
2724894263;5;1;1;0;7;99l7fsj6ykgbyqcb9zqqu9dgq;1;52,2;50,7;2024-09-23T00:50:04.116Z;2024-09-23T00:50:07Z;[{'id': 5235971175, 'qualifierId': 213, 'value': '2.14'}, {'id': 5235971173, 'qualifierId': 212, 'value': '12.3'}, {'id': 5235971167, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235971171, 'qualifierId': 141, 'value': '66.0'}, {'id': 5235971169, 'qualifierId': 140, 'value': '45.9'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;12,3;45,9;2,14;66,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;45,9;66,0;;;;;;;0;0;0;7;Austin II;7;FWR;1,0
2724894271;6;1;1;0;10;99l7fsj6ykgbyqcb9zqqu9dgq;0;45,6;67,3;2024-09-23T00:50:06.189Z;2024-09-26T16:54:01Z;[{'id': 5235971205, 'qualifierId': 56, 'value': 'Left'}, {'id': 5235971209, 'qualifierId': 140, 'value': '92.6'}, {'id': 5235971223, 'qualifierId': 1}, {'id': 5235971213, 'qualifierId': 141, 'value': '86.5'}, {'id': 5235971217, 'qualifierId': 212, 'value': '51.0'}, {'id': 5235971221, 'qualifierId': 213, 'value': '0.26'}, {'id': 5242636607, 'qualifierId': 157}];6ggqe5gi2w2jjclmbjev6dd78;Pedrinho;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;51,0;92,6;0,26;86,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;92,6;86,5;;;;;;;0;0;0;10;Austin II;10;FW;1,0
2724894259;3;49;1;0;10;d0c07im4a6oj8qa7f1zlt3pqs;1;9,0;12,5;2024-09-23T00:50:07.095Z;2024-09-23T00:50:07Z;[];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;c7iozugubetwocgdnoesnswk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;10;North Texas;10;DR;1,0
2724894307;4;1;1;0;12;d0c07im4a6oj8qa7f1zlt3pqs;1;7,5;14,4;2024-09-23T00:50:08.535Z;2024-09-23T00:50:12Z;[{'id': 5235971389, 'qualifierId': 140, 'value': '17.9'}, {'id': 5235971391, 'qualifierId': 141, 'value': '9.4'}, {'id': 5235971393, 'qualifierId': 212, 'value': '11.4'}, {'id': 5235971387, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235971395, 'qualifierId': 213, 'value': '5.98'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;11,4;17,9;5,98;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;17,9;9,4;;;;;;;0;0;0;12;North Texas;12;DR;1,0
2724894323;5;1;1;0;16;d0c07im4a6oj8qa7f1zlt3pqs;0;23,6;5,8;2024-09-23T00:50:12.438Z;2024-09-23T00:50:14Z;[{'id': 5235971463, 'qualifierId': 141, 'value': '9.8'}, {'id': 5235971459, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235971465, 'qualifierId': 212, 'value': '25.1'}, {'id': 5235971467, 'qualifierId': 213, 'value': '0.11'}, {'id': 5235971469, 'qualifierId': 1}, {'id': 5235971457, 'qualifierId': 157}, {'id': 5235971461, 'qualifierId': 140, 'value': '47.4'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;25,1;47,4;0,11;9,8;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;47,4;9,8;;;;;;;0;0;0;16;North Texas;16;MC;1,0
2724894343;7;49;1;0;20;99l7fsj6ykgbyqcb9zqqu9dgq;1;46,6;92,7;2024-09-23T00:50:16.596Z;2024-09-23T00:50:16Z;[];74rnjizxzn5a0oag6sue0ja7e;C. Sainté;;;c7iozugubetwocgdnoesnswk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;20;Austin II;20;DC;1,0
2724894365;8;1;1;0;21;99l7fsj6ykgbyqcb9zqqu9dgq;1;52,8;96,5;2024-09-23T00:50:17.188Z;2024-09-23T00:50:20Z;[{'id': 5235971687, 'qualifierId': 56, 'value': 'Left'}, {'id': 5235971693, 'qualifierId': 212, 'value': '7.8'}, {'id': 5235971695, 'qualifierId': 213, 'value': '5.17'}, {'id': 5235971689, 'qualifierId': 140, 'value': '56.1'}, {'id': 5235971691, 'qualifierId': 141, 'value': '86.2'}];74rnjizxzn5a0oag6sue0ja7e;C. Sainté;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;7,8;56,1;5,17;86,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;56,1;86,2;;;;;;;0;0;0;21;Austin II;21;DC;1,0
2724894413;9;1;1;0;24;99l7fsj6ykgbyqcb9zqqu9dgq;1;60,9;84,2;2024-09-23T00:50:20.388Z;2024-09-23T00:50:25Z;[{'id': 5235971899, 'qualifierId': 56, 'value': 'Left'}, {'id': 5235971901, 'qualifierId': 140, 'value': '69.1'}, {'id': 5235971905, 'qualifierId': 212, 'value': '11.2'}, {'id': 5235971903, 'qualifierId': 141, 'value': '94.8'}, {'id': 5235971907, 'qualifierId': 213, 'value': '0.70'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;11,2;69,1;0,7;94,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;69,1;94,8;;;;;;;0;0;0;24;Austin II;24;MC;1,0
2724894429;10;1;1;0;28;99l7fsj6ykgbyqcb9zqqu9dgq;1;74,1;89,3;2024-09-23T00:50:24.884Z;2024-09-23T01:45:33Z;[{'id': 5235971959, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235971963, 'qualifierId': 141, 'value': '72.9'}, {'id': 5235971965, 'qualifierId': 212, 'value': '11.5'}, {'id': 5235971967, 'qualifierId': 213, 'value': '4.46'}, {'id': 5235971961, 'qualifierId': 140, 'value': '71.4'}];3h8rx5wumr7hktll4hnvx7or8;E. Sali;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;11,5;71,4;4,46;72,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;71,4;72,9;;;;;;;0;0;0;28;Austin II;28;FWL;1,0
2724894471;11;2;1;0;31;99l7fsj6ykgbyqcb9zqqu9dgq;1;71,1;64,8;2024-09-23T00:50:27.253Z;2024-09-26T16:56:50Z;[{'id': 5235972181, 'qualifierId': 140, 'value': '90.6'}, {'id': 5235972239, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235972183, 'qualifierId': 141, 'value': '68.9'}, {'id': 5235972237, 'qualifierId': 7, 'value': '8vnnownnzz2ksuuitbw3ax5yi'}];6ggqe5gi2w2jjclmbjev6dd78;Pedrinho;;;c7iozugubetwocgdnoesnswk;Offside Pass;;;;;;;;;;;;90,6;;68,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;90,6;68,9;;;;;;;0;0;0;31;Austin II;31;FW;1,0
2724894519;6;55;1;0;31;d0c07im4a6oj8qa7f1zlt3pqs;1;11,5;54,8;2024-09-23T00:50:27.254Z;2024-09-23T01:36:31Z;[];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;c7iozugubetwocgdnoesnswk;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;31;North Texas;31;DC;1,0
2724894617;7;1;1;0;52;d0c07im4a6oj8qa7f1zlt3pqs;1;5,4;40,6;2024-09-23T00:50:48.809Z;2024-09-23T00:50:52Z;[{'id': 5235972911, 'qualifierId': 140, 'value': '4.4'}, {'id': 5235972907, 'qualifierId': 241}, {'id': 5235972905, 'qualifierId': 5}, {'id': 5235972917, 'qualifierId': 213, 'value': '1.72'}, {'id': 5235972915, 'qualifierId': 212, 'value': '7.3'}, {'id': 5235972909, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235972913, 'qualifierId': 141, 'value': '51.2'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;7,3;4,4;1,72;51,2;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;4,4;51,2;;;;;;;0;0;0;52;North Texas;52;DL;1,0
2724894639;8;1;1;0;56;d0c07im4a6oj8qa7f1zlt3pqs;1;7,3;51,3;2024-09-23T00:50:52.726Z;2024-09-23T00:50:56Z;[{'id': 5235973011, 'qualifierId': 141, 'value': '14.9'}, {'id': 5235973015, 'qualifierId': 213, 'value': '5.37'}, {'id': 5235973009, 'qualifierId': 140, 'value': '25.6'}, {'id': 5235973013, 'qualifierId': 212, 'value': '31.3'}, {'id': 5235973003, 'qualifierId': 56, 'value': 'Back'}];dcypf9mqtlcn5wetj1z7g3mui;A. Cervantes;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;31,3;25,6;5,37;14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;25,6;14,9;;;;;;;0;0;0;56;North Texas;56;GK;1,0
2724894663;9;1;1;0;59;d0c07im4a6oj8qa7f1zlt3pqs;1;26,3;16,1;2024-09-23T00:50:56.150Z;2024-09-23T00:50:59Z;[{'id': 5235973123, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235973125, 'qualifierId': 140, 'value': '38.4'}, {'id': 5235973131, 'qualifierId': 213, 'value': '1.08'}, {'id': 5235973127, 'qualifierId': 141, 'value': '51.2'}, {'id': 5235973129, 'qualifierId': 212, 'value': '27.0'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;27,0;38,4;1,08;51,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;38,4;51,2;;;;;;;0;0;0;59;North Texas;59;DL;1,0
2724894667;10;50;1;1;3;d0c07im4a6oj8qa7f1zlt3pqs;1;41,6;44,8;2024-09-23T00:50:59.590Z;2024-09-23T01:36:21Z;[{'id': 5235973265, 'qualifierId': 233, 'value': '12'}, {'id': 5235973167, 'qualifierId': 286}, {'id': 5235973165, 'qualifierId': 56, 'value': 'Back'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;c7iozugubetwocgdnoesnswk;Dispossessed;;;;;;;;;;;;;;;;;;;;;12,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;1;3;North Texas;63;AMC;1,0
2724894675;12;7;1;1;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;58,4;55,2;2024-09-23T00:50:59.591Z;2024-09-26T17:15:11Z;[{'id': 5235973245, 'qualifierId': 233, 'value': '10'}, {'id': 5242682343, 'qualifierId': 384}, {'id': 5235973243, 'qualifierId': 285}, {'id': 5235973241, 'qualifierId': 56, 'value': 'Center'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;c7iozugubetwocgdnoesnswk;Tackle;;;;;;;;;;;;;;;;;;;;;10,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;1;3;Austin II;63;FWR;1,0
2724894687;13;1;1;1;6;99l7fsj6ykgbyqcb9zqqu9dgq;0;48,9;55,7;2024-09-23T00:51:02.902Z;2024-09-26T17:16:21Z;[{'id': 5235973293, 'qualifierId': 213, 'value': '5.96'}, {'id': 5235973287, 'qualifierId': 140, 'value': '68.7'}, {'id': 5235973285, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235973289, 'qualifierId': 141, 'value': '45.4'}, {'id': 5235973291, 'qualifierId': 212, 'value': '21.9'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;21,9;68,7;5,96;45,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;68,7;45,4;;;;;;;0;0;1;6;Austin II;66;DC;1,0
