id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_JerseyNumber;value_PlayerPosition;value_Involved;value_TeamKit;value_Resume;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LayOff;value_HeadPass;value_TouchTypeControl;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_Assist;value_SwitchOfPlay;value_Chipped;value_TakeOnSpace;value_LeftFooted;value_BlockedY;value_BlockedX;value_GkX;value_GkY;value_IndividualPlay;value_OutOfBoxCentre;value_Blocked;value_GoalmouthZ;value_GoalmouthY;value_RelatedEventId;value_RegularPlay;value_LowCentre;value_Assisted;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_TouchTypeClearance;value_DeletedEventType;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_Direct;value_Shove/Push;value_Foul;value_AttemptedTackle;value_Straight;value_Cross;value_DrivenCross;value_RightFooted;value_Right;value_Left;value_CornerTaken;value_OutSwinger;value_Head;value_TakeOnOvertake;value_LastLine;value_Defensive1V1;value_NotVisible;value_NotAssisted;value_BoxLeft;value_High;value_FlickOn;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OverhitCross;value_OutOfPlay;value_FromCorner;value_Deflection;value_Hands;value_Collected;value_Stooping;value_GkKickFromHands;value_MediumGkIntervention;value_IntendedTackleTarget;value_ShirtPull/Holding;value_InSwinger;value_FloatedCross;value_Overrun;value_PullBack;value_BoxRight;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_RecklessOffence;value_YellowCard;value_BlockedCross;value_Standing;value_LowLeft;value_Diving;value_Minutes;value_EndType;value_Dissent;value_SecondYellow;value_Tactical;value_LowRight;value_OutOfBoxDeepRight;value_Unchallenged;value_ParriedSafe;value_TacticalFoul;value_Volley;value_HighCentre;value_HighGkIntervention;value_Caught;value_BigChance;value_FastBreak;value_CloseLeft;value_BoxDeepLeft;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_PersistentInfringement;value_ThroughBall;value_HighClaim;value_CloseHigh;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703916775;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-07-27T22:49:36.660Z;2024-07-27T23:45:31Z;[{'id': 5120738777, 'qualifierId': 130, 'value': '13'}, {'id': 5120738775, 'qualifierId': 59, 'value': '98, 17, 14, 4, 20, 99, 12, 29, 13, 24, 10, 5, 6, 8, 11, 15, 21, 25, 31, 77'}, {'id': 5120738773, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5120738771, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 4t078b0rnzmi8u83wzmdwze38, 3acyax22zfwdjw0cpgg4x7dre, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 6qu8uu28fk2dbbeymuu6yii38, f3uzkdl46t1mujsddhr5tg07o, clvcgt5ofonse0q96sppu7hg4, 1nbbgew67td8zayaffvr1zcb8, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, w92nbx3n5ztvgmf89sdp95re, 1y1nw8t5bj1r6dqie0v1i189g, 5jxj5s38o1nx0xbnapwl58bo4, ami9xddgghvnly4mwtdj2tlyi, 8p0k65b4c26ssfk0zh43lme7e, 1j1ybmazykfh5nqs7egkcdxck, 4n2c7qt6r6qqhzjs64nvytqs, 6le9ztbx7n6ogg6fdxmnrk9w4, 9isbk9daqxgtj196349irnkk'}, {'id': 5120910871, 'qualifierId': 197, 'value': '24529'}, {'id': 5120738781, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120871705, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5120738779, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;e9v6lx5magjnyabh4vma5e6ms;Team set up;13,0;;;;24529,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;New York City II;0;;
2703917197;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-07-27T22:50:44.274Z;2024-07-28T00:36:25Z;[{'id': 5120740941, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5120740943, 'qualifierId': 59, 'value': '75, 38, 68, 70, 47, 31, 32, 42, 99, 74, 77, 37, 50, 57, 63, 64, 81, 83'}, {'id': 5120740945, 'qualifierId': 130, 'value': '4'}, {'id': 5120740947, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120740939, 'qualifierId': 30, 'value': '3o4uxnvpnf3cwjs3srwegxp90, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 2676930j149yvanqev61emh62, eq98gflais2v26wgbkw9wrxg4, eiyzqnfh8r8aduel0seou7nu2, 1cfm4ne1po0mld4bl37deg36c, duj699i9620tuf3ii9z06bqsq, 1d20nyyvmp0doobj6heejkowk, 1p4rbf4wumfagv2ntlewdxey, 3ei1s8oyub83owfxxbsygmsmi, 4k6c9nnzytq9qhc9uol64wg7o, 3mq1g1pyo3flkaorg9wqmfhuc, 2s085s5fgmzsmf7oup7aekm0a, 1ni0mewxcbo26d1xxetkdy3ca, 4h2k5kwclhlgjk2koqin5r2fo, 5bjavs7mhqjh1tlrfp4vj7od0, a0do5kh5akr89kst2p1hohixg'}, {'id': 5120740949, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5120867717, 'qualifierId': 197, 'value': '19205'}, {'id': 5121107863, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}];;;;;e9v6lx5magjnyabh4vma5e6ms;Team set up;4,0;;;;19205,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2703939959;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-07-27T23:35:18.624Z;2024-07-27T23:35:21Z;[{'id': 5120871217, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e9v6lx5magjnyabh4vma5e6ms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2703939945;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-07-27T23:35:18.624Z;2024-07-31T12:45:25Z;[{'id': 5120871145, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e9v6lx5magjnyabh4vma5e6ms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;New York City II;0;;
2703939965;3;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;49,9;50,1;2024-07-27T23:35:18.741Z;2024-07-27T23:35:21Z;[{'id': 5120871249, 'qualifierId': 212, 'value': '10.8'}, {'id': 5120871243, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120871251, 'qualifierId': 213, 'value': '3.05'}, {'id': 5120871253, 'qualifierId': 279, 'value': 'S'}, {'id': 5120871245, 'qualifierId': 140, 'value': '39.7'}, {'id': 5120871247, 'qualifierId': 141, 'value': '51.6'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;10,8;;3,05;;39,7;51,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;39,7;51,6;;;;;;;0;0;0;0;Carolina Core;0;FW;1,0
2703940005;4;1;1;0;2;6ddsx316t3j0z6nolrky9k4r8;1;38,6;48,1;2024-07-27T23:35:21.016Z;2024-07-27T23:35:23Z;[{'id': 5120871495, 'qualifierId': 140, 'value': '40.2'}, {'id': 5120871497, 'qualifierId': 141, 'value': '9.5'}, {'id': 5120871493, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120871499, 'qualifierId': 212, 'value': '26.3'}, {'id': 5120871501, 'qualifierId': 213, 'value': '4.78'}];2676930j149yvanqev61emh62;J. Rozhansky;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;26,3;;4,78;;40,2;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;40,2;9,5;;;;;;;0;0;0;2;Carolina Core;2;MC;1,0
2703940021;5;1;1;0;4;6ddsx316t3j0z6nolrky9k4r8;1;40,8;7,0;2024-07-27T23:35:23.578Z;2024-07-27T23:35:26Z;[{'id': 5120871569, 'qualifierId': 212, 'value': '23.9'}, {'id': 5120871565, 'qualifierId': 140, 'value': '22.3'}, {'id': 5120871567, 'qualifierId': 141, 'value': '27.6'}, {'id': 5120871563, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120871571, 'qualifierId': 213, 'value': '2.52'}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;23,9;;2,52;;22,3;27,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;22,3;27,6;;;;;;;0;0;0;4;Carolina Core;4;DR;1,0
2703940051;6;1;1;0;7;6ddsx316t3j0z6nolrky9k4r8;1;21,9;29,2;2024-07-27T23:35:26.073Z;2024-07-27T23:35:29Z;[{'id': 5120871787, 'qualifierId': 141, 'value': '50.0'}, {'id': 5120871785, 'qualifierId': 140, 'value': '11.5'}, {'id': 5120871791, 'qualifierId': 213, 'value': '2.23'}, {'id': 5120871783, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120871789, 'qualifierId': 212, 'value': '17.9'}];eq98gflais2v26wgbkw9wrxg4;K. Haxhari;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;17,9;;2,23;;11,5;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;11,5;50,0;;;;;;;0;0;0;7;Carolina Core;7;DL;1,0
2703940101;7;1;1;0;11;6ddsx316t3j0z6nolrky9k4r8;0;12,4;58,5;2024-07-27T23:35:29.817Z;2024-07-30T05:53:27Z;[{'id': 5120872153, 'qualifierId': 140, 'value': '75.0'}, {'id': 5120872151, 'qualifierId': 56, 'value': 'Center'}, {'id': 5120872155, 'qualifierId': 141, 'value': '72.1'}, {'id': 5120872157, 'qualifierId': 212, 'value': '66.4'}, {'id': 5120872149, 'qualifierId': 157}, {'id': 5120872159, 'qualifierId': 213, 'value': '0.14'}, {'id': 5120872161, 'qualifierId': 1}];3o4uxnvpnf3cwjs3srwegxp90;W. Meyer;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;66,4;;0,14;;75,0;72,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;75,0;72,1;;;;;;;0;0;0;11;Carolina Core;11;GK;1,0
2704686063;741;61;1;0;14;2nnef9tr9g7m2s6n873qif95g;0;34,2;35,0;2024-07-27T23:35:33.126Z;2024-07-30T05:53:39Z;[{'id': 5124961295, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;e9v6lx5magjnyabh4vma5e6ms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;14;New York City II;14;DC;1,0
2703940137;8;1;1;0;17;6ddsx316t3j0z6nolrky9k4r8;1;73,0;72,7;2024-07-27T23:35:36.105Z;2024-07-27T23:35:39Z;[{'id': 5120872381, 'qualifierId': 213, 'value': '1.57'}, {'id': 5120872377, 'qualifierId': 212, 'value': '10.1'}, {'id': 5120872375, 'qualifierId': 141, 'value': '87.5'}, {'id': 5120872371, 'qualifierId': 56, 'value': 'Left'}, {'id': 5120872373, 'qualifierId': 140, 'value': '73.0'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;10,1;;1,57;;73,0;87,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;73,0;87,5;;;;;;;0;0;0;17;Carolina Core;17;FW;1,0
2703940155;9;1;1;0;21;6ddsx316t3j0z6nolrky9k4r8;1;70,5;93,0;2024-07-27T23:35:39.816Z;2024-07-27T23:35:42Z;[{'id': 5120872477, 'qualifierId': 56, 'value': 'Left'}, {'id': 5120872485, 'qualifierId': 213, 'value': '3.05'}, {'id': 5120872479, 'qualifierId': 140, 'value': '62.4'}, {'id': 5120872481, 'qualifierId': 141, 'value': '94.2'}, {'id': 5120872483, 'qualifierId': 212, 'value': '8.5'}];3ei1s8oyub83owfxxbsygmsmi;J. Jiménez;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;8,5;;3,05;;62,4;94,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;62,4;94,2;;;;;;;0;0;0;21;Carolina Core;21;FWL;1,0
2703940185;10;1;1;0;23;6ddsx316t3j0z6nolrky9k4r8;1;62,2;94,1;2024-07-27T23:35:42.024Z;2024-07-27T23:35:45Z;[{'id': 5120872657, 'qualifierId': 140, 'value': '45.0'}, {'id': 5120872661, 'qualifierId': 212, 'value': '18.2'}, {'id': 5120872663, 'qualifierId': 213, 'value': '3.28'}, {'id': 5120872655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120872659, 'qualifierId': 141, 'value': '90.5'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;18,2;;3,28;;45,0;90,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;45,0;90,5;;;;;;;0;0;0;23;Carolina Core;23;DC;1,0
2703940263;11;1;1;0;26;6ddsx316t3j0z6nolrky9k4r8;1;44,1;82,4;2024-07-27T23:35:44.745Z;2024-07-27T23:35:52Z;[{'id': 5120873073, 'qualifierId': 140, 'value': '38.0'}, {'id': 5120873079, 'qualifierId': 213, 'value': '4.47'}, {'id': 5120873071, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120873075, 'qualifierId': 141, 'value': '44.9'}, {'id': 5120873077, 'qualifierId': 212, 'value': '26.3'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;26,3;;4,47;;38,0;44,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;38,0;44,9;;;;;;;0;0;0;26;Carolina Core;26;DC;1,0
2703940355;12;2;1;0;33;6ddsx316t3j0z6nolrky9k4r8;1;37,6;40,0;2024-07-27T23:35:52.313Z;2024-07-27T23:36:02Z;[{'id': 5120873581, 'qualifierId': 141, 'value': '95.4'}, {'id': 5120873573, 'qualifierId': 7, 'value': '3ei1s8oyub83owfxxbsygmsmi'}, {'id': 5120873579, 'qualifierId': 140, 'value': '80.0'}, {'id': 5120873577, 'qualifierId': 56, 'value': 'Left'}, {'id': 5120873575, 'qualifierId': 1}];eq98gflais2v26wgbkw9wrxg4;K. Haxhari;;;e9v6lx5magjnyabh4vma5e6ms;Offside Pass;;;;;;;;;;;;;;80,0;95,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;80,0;95,4;;;;;;;0;0;0;33;Carolina Core;33;DL;1,0
2703940343;3;55;1;0;33;2nnef9tr9g7m2s6n873qif95g;1;18,9;28,6;2024-07-27T23:35:52.314Z;2024-07-30T05:55:05Z;[];6qu8uu28fk2dbbeymuu6yii38;A. Miller;;;e9v6lx5magjnyabh4vma5e6ms;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;33;New York City II;33;DC;1,0
2703940477;4;1;1;0;51;2nnef9tr9g7m2s6n873qif95g;1;24,2;9,8;2024-07-27T23:36:10.396Z;2024-07-27T23:36:12Z;[{'id': 5120874207, 'qualifierId': 141, 'value': '16.6'}, {'id': 5120874205, 'qualifierId': 140, 'value': '14.9'}, {'id': 5120874201, 'qualifierId': 241}, {'id': 5120874203, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120874199, 'qualifierId': 5}, {'id': 5120874209, 'qualifierId': 212, 'value': '10.8'}, {'id': 5120874211, 'qualifierId': 213, 'value': '2.70'}];6qu8uu28fk2dbbeymuu6yii38;A. Miller;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;10,8;;2,7;;14,9;16,6;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;14,9;16,6;;;;;;;0;0;0;51;New York City II;51;DC;1,0
2703940511;5;1;1;0;53;2nnef9tr9g7m2s6n873qif95g;1;15,2;16,6;2024-07-27T23:36:12.270Z;2024-07-27T23:36:16Z;[{'id': 5120874413, 'qualifierId': 212, 'value': '20.4'}, {'id': 5120874411, 'qualifierId': 141, 'value': '41.9'}, {'id': 5120874409, 'qualifierId': 140, 'value': '4.8'}, {'id': 5120874415, 'qualifierId': 213, 'value': '2.14'}, {'id': 5120874407, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;20,4;;2,14;;4,8;41,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;4,8;41,9;;;;;;;0;0;0;53;New York City II;53;DC;1,0
2703940563;6;1;1;0;57;2nnef9tr9g7m2s6n873qif95g;1;6,8;45,7;2024-07-27T23:36:16.066Z;2024-07-27T23:36:21Z;[{'id': 5120874717, 'qualifierId': 140, 'value': '4.1'}, {'id': 5120874715, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120874719, 'qualifierId': 141, 'value': '82.7'}, {'id': 5120874721, 'qualifierId': 212, 'value': '25.3'}, {'id': 5120874723, 'qualifierId': 213, 'value': '1.68'}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;25,3;;1,68;;4,1;82,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;4,1;82,7;;;;;;;0;0;0;57;New York City II;57;GK;1,0
2703940595;7;1;1;1;2;2nnef9tr9g7m2s6n873qif95g;1;7,8;72,5;2024-07-27T23:36:21.253Z;2024-07-27T23:36:24Z;[{'id': 5120874933, 'qualifierId': 212, 'value': '35.2'}, {'id': 5120874931, 'qualifierId': 141, 'value': '86.4'}, {'id': 5120874937, 'qualifierId': 1}, {'id': 5120874927, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120874925, 'qualifierId': 157}, {'id': 5120874935, 'qualifierId': 213, 'value': '0.27'}, {'id': 5120874929, 'qualifierId': 140, 'value': '40.1'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;35,2;;0,27;;40,1;86,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;40,1;86,4;;;;;;;0;0;1;2;New York City II;62;DC;1,0
2703940611;8;1;1;1;5;2nnef9tr9g7m2s6n873qif95g;1;38,6;86,6;2024-07-27T23:36:24.064Z;2024-07-31T13:32:31Z;[{'id': 5120875053, 'qualifierId': 213, 'value': '4.25'}, {'id': 5120875051, 'qualifierId': 212, 'value': '7.2'}, {'id': 5120875045, 'qualifierId': 56, 'value': 'Back'}, {'id': 5126065337, 'qualifierId': 156}, {'id': 5120875047, 'qualifierId': 140, 'value': '35.5'}, {'id': 5120875049, 'qualifierId': 141, 'value': '77.1'}];3acyax22zfwdjw0cpgg4x7dre;J. Juarez;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;7,2;;4,25;;35,5;77,1;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;35,5;77,1;;;;;;;0;0;1;5;New York City II;65;DML;1,0
2703940623;9;1;1;1;6;2nnef9tr9g7m2s6n873qif95g;1;35,5;77,1;2024-07-27T23:36:25.299Z;2024-07-27T23:36:26Z;[{'id': 5120875095, 'qualifierId': 141, 'value': '85.7'}, {'id': 5120875097, 'qualifierId': 212, 'value': '6.0'}, {'id': 5120875091, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120875093, 'qualifierId': 140, 'value': '34.3'}, {'id': 5120875089, 'qualifierId': 3}, {'id': 5120875099, 'qualifierId': 213, 'value': '1.78'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;6,0;;1,78;;34,3;85,7;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;34,3;85,7;;;;;;;0;0;1;6;New York City II;66;FWL;1,0
