id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_Angle;value_Length;value_Zone;value_PassEndX;value_PassEndY;value_DeletedEventType;value_Chipped;value_LongBall;value_HeadPass;value_Launch;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_TouchTypePass;value_TouchTypeControl;value_InSwinger;value_RightFooted;value_Cross;value_OutOfPlay;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_GkY;value_FirstTouch;value_GkX;value_Volley;value_BigChance;value_RelatedEventId;value_RegularPlay;value_BoxCentre;value_GoalmouthY;value_GoalmouthZ;value_Assisted;value_Right;value_NextEventGoalKick;value_Low;value_GoalKick;value_Left;value_CornerTaken;value_FromCorner;value_Head;value_BlockedX;value_BlockedY;value_LowCentre;value_Blocked;value_DefBlock;value_TakeOnSpace;value_TouchTypeClearance;value_LeftFooted;value_SwitchOfPlay;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_PlayersCaughtOffside;value_NotVisible;value_FreeKickTaken;value_Indirect;value_Shove/Push;value_Foul;value_Direct;value_Injury;value_InjuredPlayerId;value_IntendedTackleTarget;value_FlickOn;value_AttemptedTackle;value_NotPastGoalLine;value_GkKickFromHands;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_BoxRight;value_LowRight;value_IndividualPlay;value_SixYardBlocked;value_FastBreak;value_SmallBoxLeft;value_High;value_LowGkIntervention;value_OtherObstacle;value_NotAssisted;value_Stooping;value_Hands;value_Collected;value_HighGkIntervention;value_GkHoof;value_RefereeStop;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_ParriedSafe;value_OtherBodyPart;value_RecklessOffence;value_SecondYellow;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_OverhitCross;value_GkXTimeOfGoal;value_LowLeft;value_SoloRun;value_GkYTimeOfGoal;value_GoalShotGameClock;value_OutOfBoxCentre;value_GoalShotTimestamp;value_KeeperTouched;value_Straight;value_DrivenCross;value_CloseRight;value_ParriedDanger;value_Diving;value_PullBack;value_SetPiece;value_SmallBoxRight;value_HighRight;value_CloseHigh;value_BlockedCross;value_Overrun;value_BlockedClearance;value_1On1;value_Feet;value_HighClaim;value_HighCentre;value_Tap;value_LeadingToGoal;value_RelatedError1Id;value_Deflection;value_Unchallenged;value_35Centre;value_Standing;value_FollowsADribble;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718598221;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-09-09T01:02:48.761Z;2024-09-09T02:03:34Z;[{'id': 5201676831, 'qualifierId': 197, 'value': '23614'}, {'id': 5201636789, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201636791, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201670049, 'qualifierId': 194, 'value': 'e1e506479mqo8j3geie6amuj8'}, {'id': 5201636787, 'qualifierId': 130, 'value': '4'}, {'id': 5201636781, 'qualifierId': 30, 'value': '5f1j0xharn07q39c0ymwcdu6s, 7mnh4dln104xhunf6u9f2546i, 7zr3gif60ntltgt3s5yi6qjca, 5jal3zhkwodffivsq89wfd15g, dil2b9u1omrsdbxba5swbe9gq, e1e506479mqo8j3geie6amuj8, ez0t0pl5qxy0sa3zp1l77sjro, 2iusvkm9t8r1widsfvbesnjf8, b0xuwec3m6rvxwx7gygv34o6i, 3007iihmvmlzgpgtxri3v3hg4, 9fbj8njpn0q6j87le4rnafjf8, lrkkhk8u32krmb0n4wtg1las, 4s56s6f9nw96wergw7ix5zp0q, chiwsyjdyk4sn4vxqu9mdr0x6, s9a51dj3nkad2e53b2jbgl5g, 5rcj1mef6u2jbosy1urou0d7t, do5nsl65m35sog9vcp0j3kbh0, 2w2jy14eq0n5diyfa1jveklxw, c73tr75o7gj1p09r8k94g6fx0, 8ofmink2axfrxg3ti4tbt2cr8'}, {'id': 5201636783, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5201636785, 'qualifierId': 59, 'value': '41, 33, 31, 80, 35, 39, 37, 85, 81, 96, 36, 44, 32, 27, 90, 30, 97, 40, 42, 72'}];;;;;2ozmjy5udf26psx6oqgybyms;Team set up;23614,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2718598401;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-09T01:04:38.989Z;2024-09-09T02:12:56Z;[{'id': 5201638097, 'qualifierId': 130, 'value': '13'}, {'id': 5201638091, 'qualifierId': 30, 'value': 'c2tmm1kt6qyna4650kfy4bpm2, 5nykil6w1bxfevpp2c5rr32fo, a89drfd4adts1cbtqa77l1boq, d1xlw5bza316m39f9n82hir1m, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, 3f5g2kijev81v9nzwsyxwiiju, druwx3n136woly4objqgk7tp0, 1l275l4mj1o6y4ntho7bap016, 7t8o8pe93me2pef74vw21nr6y, c88etxtac9g49m3usj08lm1hw, 36nlk9spjf591wxuzvimi0eay, 5lwarg9t4o7hxcq5exe8gwydw, a5tjyddv4t8eg9wcum3o15qfo, 6zolwstla33ppx84k1o2v8rv8, 4wr32d93f1q1v8qjq2ywmnbze, 5gvvjvj3aw75jrxcmajcx2b6c, 8p8xhni028mqjv6kz6fdz850q'}, {'id': 5201638093, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5201638101, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201670483, 'qualifierId': 194, 'value': 'c2tmm1kt6qyna4650kfy4bpm2'}, {'id': 5201638099, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201676863, 'qualifierId': 197, 'value': '24422'}, {'id': 5201638095, 'qualifierId': 59, 'value': '36, 80, 45, 48, 39, 40, 42, 46, 17, 70, 84, 38, 47, 51, 87, 96, 37, 77'}];;;;;2ozmjy5udf26psx6oqgybyms;Team set up;24422,0;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2718605485;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-09T02:03:51.845Z;2024-09-09T02:03:55Z;[{'id': 5201677025, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;2ozmjy5udf26psx6oqgybyms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2718605477;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-09-09T02:03:51.845Z;2024-09-11T05:21:26Z;[{'id': 5201677005, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;2ozmjy5udf26psx6oqgybyms;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2718605499;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;49,6;50,2;2024-09-09T02:03:51.846Z;2024-09-09T02:03:55Z;[{'id': 5201677071, 'qualifierId': 279, 'value': 'S'}, {'id': 5201677069, 'qualifierId': 213, 'value': '3.19'}, {'id': 5201677067, 'qualifierId': 212, 'value': '11.5'}, {'id': 5201677061, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677063, 'qualifierId': 140, 'value': '38.7'}, {'id': 5201677065, 'qualifierId': 141, 'value': '49.4'}];b0xuwec3m6rvxwx7gygv34o6i;G. Miglietti;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;3,19;11,5;;38,7;49,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;38,7;49,4;;;;;;;0;0;0;0;Portland Timbers II;0;FW;1,0
2718605491;3;43;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-09T02:03:51.849Z;2024-09-09T02:03:55Z;[{'id': 5201677041, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201677043, 'qualifierId': 140, 'value': '50.1'}, {'id': 5201677047, 'qualifierId': 212, 'value': '0'}, {'id': 5201677045, 'qualifierId': 141, 'value': '50.0'}, {'id': 5201677051, 'qualifierId': 279, 'value': 'S'}, {'id': 5201677049, 'qualifierId': 213, 'value': '3.14'}, {'id': 5201677055, 'qualifierId': 144, 'value': '1'}];1l275l4mj1o6y4ntho7bap016;T. Ikoba;;;2ozmjy5udf26psx6oqgybyms;Deleted event;;;;;;;;;;;3,14;0,0;;50,1;50,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;50,1;50,0;;;;;;;0;0;0;0;Tacoma Defiance;0;FW;1,0
2718605501;4;1;1;0;2;5icuo8utnztpsd9l03gdd68dl;1;36,8;54,2;2024-09-09T02:03:54.316Z;2024-09-09T02:05:17Z;[{'id': 5201677089, 'qualifierId': 213, 'value': '3.82'}, {'id': 5201677087, 'qualifierId': 212, 'value': '15.3'}, {'id': 5201677083, 'qualifierId': 140, 'value': '25.5'}, {'id': 5201677081, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677085, 'qualifierId': 141, 'value': '40.0'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;3,82;15,3;;25,5;40,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;25,5;40,0;;;;;;;0;0;0;2;Portland Timbers II;2;MC;1,0
2718605509;5;1;1;0;4;5icuo8utnztpsd9l03gdd68dl;1;25,5;40,0;2024-09-09T02:03:56.220Z;2024-09-09T02:03:59Z;[{'id': 5201677117, 'qualifierId': 140, 'value': '31.2'}, {'id': 5201677115, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677121, 'qualifierId': 212, 'value': '24.5'}, {'id': 5201677123, 'qualifierId': 213, 'value': '4.96'}, {'id': 5201677119, 'qualifierId': 141, 'value': '5.1'}];dil2b9u1omrsdbxba5swbe9gq;A. Lopez;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;4,96;24,5;;31,2;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;31,2;5,1;;;;;;;0;0;0;4;Portland Timbers II;4;DL;1,0
2718605519;6;1;1;0;7;5icuo8utnztpsd9l03gdd68dl;0;29,5;8,4;2024-09-09T02:03:59.692Z;2024-09-09T02:04:01Z;[{'id': 5201677167, 'qualifierId': 155}, {'id': 5201677179, 'qualifierId': 1}, {'id': 5201677175, 'qualifierId': 212, 'value': '39.8'}, {'id': 5201677177, 'qualifierId': 213, 'value': '0.45'}, {'id': 5201677173, 'qualifierId': 141, 'value': '33.8'}, {'id': 5201677169, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201677171, 'qualifierId': 140, 'value': '63.6'}];7mnh4dln104xhunf6u9f2546i;C. Baker;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;0,45;39,8;;63,6;33,8;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;63,6;33,8;;;;;;;0;0;0;7;Portland Timbers II;7;DR;1,0
2718605527;4;1;1;0;10;5ou8b446l1sl8frblkz3xi17g;1;28,5;66,3;2024-09-09T02:04:02.277Z;2024-09-09T02:04:04Z;[{'id': 5201677227, 'qualifierId': 140, 'value': '35.1'}, {'id': 5201677223, 'qualifierId': 3}, {'id': 5201677225, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677233, 'qualifierId': 213, 'value': '5.69'}, {'id': 5201677231, 'qualifierId': 212, 'value': '8.3'}, {'id': 5201677229, 'qualifierId': 141, 'value': '59.5'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;5,69;8,3;;35,1;59,5;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;35,1;59,5;;;;;;;0;0;0;10;Tacoma Defiance;10;DC;1,0
2718605529;5;61;1;0;11;5ou8b446l1sl8frblkz3xi17g;0;35,7;57,4;2024-09-09T02:04:03.741Z;2024-09-09T03:26:22Z;[{'id': 5201677241, 'qualifierId': 56, 'value': 'Back'}];3f5g2kijev81v9nzwsyxwiiju;A. Moreno;;;2ozmjy5udf26psx6oqgybyms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;11;Tacoma Defiance;11;MC;1,0
2718605525;7;1;1;0;12;5icuo8utnztpsd9l03gdd68dl;0;61,7;38,4;2024-09-09T02:04:04.172Z;2024-09-09T02:04:04Z;[{'id': 5201677221, 'qualifierId': 213, 'value': '0.32'}, {'id': 5201677215, 'qualifierId': 140, 'value': '68.4'}, {'id': 5201677219, 'qualifierId': 212, 'value': '7.4'}, {'id': 5201677217, 'qualifierId': 141, 'value': '41.8'}, {'id': 5201677213, 'qualifierId': 56, 'value': 'Center'}];2iusvkm9t8r1widsfvbesnjf8;K. Kossa-Rienzi;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;0,32;7,4;;68,4;41,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;68,4;41,8;;;;;;;0;0;0;12;Portland Timbers II;12;MC;1,0
2718606243;36;43;1;0;12;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-09-09T02:04:04.249Z;2024-09-11T05:37:14Z;[{'id': 5204517775, 'qualifierId': 144, 'value': '61'}, {'id': 5201680629, 'qualifierId': 56, 'value': 'Center'}];b0xuwec3m6rvxwx7gygv34o6i;G. Miglietti;;;2ozmjy5udf26psx6oqgybyms;Deleted event;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;12;Portland Timbers II;12;FW;1,0
2718605545;6;49;1;0;15;5ou8b446l1sl8frblkz3xi17g;1;18,2;49,5;2024-09-09T02:04:07.284Z;2024-09-09T02:04:07Z;[];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;2ozmjy5udf26psx6oqgybyms;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;15;Tacoma Defiance;15;DC;1,0
2718605555;7;1;1;0;15;5ou8b446l1sl8frblkz3xi17g;1;18,2;49,5;2024-09-09T02:04:07.621Z;2024-09-09T02:04:10Z;[{'id': 5201677317, 'qualifierId': 212, 'value': '15.0'}, {'id': 5201677311, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677313, 'qualifierId': 140, 'value': '3.9'}, {'id': 5201677319, 'qualifierId': 213, 'value': '3.08'}, {'id': 5201677315, 'qualifierId': 141, 'value': '50.8'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;3,08;15,0;;3,9;50,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;3,9;50,8;;;;;;;0;0;0;15;Tacoma Defiance;15;DC;1,0
2718605559;8;1;1;0;18;5ou8b446l1sl8frblkz3xi17g;0;1,9;54,1;2024-09-09T02:04:10.149Z;2024-09-09T02:04:10Z;[{'id': 5201677345, 'qualifierId': 212, 'value': '3.4'}, {'id': 5201677337, 'qualifierId': 157}, {'id': 5201677347, 'qualifierId': 213, 'value': '0.47'}, {'id': 5201677341, 'qualifierId': 140, 'value': '4.8'}, {'id': 5201677343, 'qualifierId': 141, 'value': '56.4'}, {'id': 5201677349, 'qualifierId': 1}, {'id': 5201677339, 'qualifierId': 56, 'value': 'Back'}];c2tmm1kt6qyna4650kfy4bpm2;R. Bilichuk;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;0,47;3,4;;4,8;56,4;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;4,8;56,4;;;;;;;0;0;0;18;Tacoma Defiance;18;GK;1,0
2719121611;916;61;1;0;19;5icuo8utnztpsd9l03gdd68dl;1;96,6;37,8;2024-09-09T02:04:11.338Z;2024-09-11T05:37:52Z;[{'id': 5204517851, 'qualifierId': 56, 'value': 'Center'}];b0xuwec3m6rvxwx7gygv34o6i;G. Miglietti;;;2ozmjy5udf26psx6oqgybyms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;19;Portland Timbers II;19;FW;1,0
2718605565;8;49;1;0;20;5icuo8utnztpsd9l03gdd68dl;1;86,1;13,3;2024-09-09T02:04:12.028Z;2024-09-09T02:09:10Z;[];3007iihmvmlzgpgtxri3v3hg4;B. Bowen;;;2ozmjy5udf26psx6oqgybyms;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;20;Portland Timbers II;20;FWR;1,0
2718605579;9;1;1;0;22;5icuo8utnztpsd9l03gdd68dl;1;87,3;13,7;2024-09-09T02:04:14.254Z;2024-09-09T02:04:15Z;[{'id': 5201677443, 'qualifierId': 213, 'value': '3.76'}, {'id': 5201677441, 'qualifierId': 212, 'value': '11.4'}, {'id': 5201677435, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201677439, 'qualifierId': 141, 'value': '4.0'}, {'id': 5201677437, 'qualifierId': 140, 'value': '78.4'}];3007iihmvmlzgpgtxri3v3hg4;B. Bowen;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;3,76;11,4;;78,4;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;78,4;4,0;;;;;;;0;0;0;22;Portland Timbers II;22;FWR;1,0
2718605583;10;1;1;0;23;5icuo8utnztpsd9l03gdd68dl;1;78,4;4,0;2024-09-09T02:04:15.772Z;2024-09-09T02:04:24Z;[{'id': 5201677463, 'qualifierId': 213, 'value': '1.85'}, {'id': 5201677461, 'qualifierId': 212, 'value': '29.8'}, {'id': 5201677459, 'qualifierId': 141, 'value': '46.2'}, {'id': 5201677457, 'qualifierId': 140, 'value': '70.6'}, {'id': 5201677455, 'qualifierId': 56, 'value': 'Center'}];7mnh4dln104xhunf6u9f2546i;C. Baker;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;1,85;29,8;;70,6;46,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;70,6;46,2;;;;;;;0;0;0;23;Portland Timbers II;23;DR;1,0
2718605597;11;1;1;0;27;5icuo8utnztpsd9l03gdd68dl;1;62,8;50,9;2024-09-09T02:04:19.452Z;2024-09-09T02:04:23Z;[{'id': 5201677565, 'qualifierId': 1}, {'id': 5201677559, 'qualifierId': 141, 'value': '51.1'}, {'id': 5201677563, 'qualifierId': 213, 'value': '3.14'}, {'id': 5201677561, 'qualifierId': 212, 'value': '46.3'}, {'id': 5201677555, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201677557, 'qualifierId': 140, 'value': '18.7'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;3,14;46,3;;18,7;51,1;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;18,7;51,1;;;;;;;0;0;0;27;Portland Timbers II;27;DC;1,0
2718605607;12;1;1;0;33;5icuo8utnztpsd9l03gdd68dl;1;17,9;47,3;2024-09-09T02:04:25.820Z;2024-09-09T02:04:27Z;[{'id': 5201677599, 'qualifierId': 141, 'value': '27.2'}, {'id': 5201677601, 'qualifierId': 212, 'value': '16.3'}, {'id': 5201677603, 'qualifierId': 213, 'value': '5.29'}, {'id': 5201677597, 'qualifierId': 140, 'value': '26.3'}, {'id': 5201677595, 'qualifierId': 56, 'value': 'Back'}];5f1j0xharn07q39c0ymwcdu6s;M. Shour;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;5,29;16,3;;26,3;27,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;26,3;27,2;;;;;;;0;0;0;33;Portland Timbers II;33;GK;1,0
