id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_TakeOnSpace;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TouchTypeControl;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_LongBall;value_FlickOn;value_HeadPass;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_AttemptedTackle;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_LayOff;value_OutOfPlay;value_TouchTypePass;value_FloatedCross;value_Cross;value_Straight;value_RightFooted;value_BlockedCross;value_IntendedTackleTarget;value_Assist;value_OutOfBoxCentre;value_Assisted;value_GoalmouthY;value_LowCentre;value_IndividualPlay;value_FirstTouch;value_GoalmouthZ;value_BlockedY;value_BlockedX;value_LeftFooted;value_RelatedEventId;value_RegularPlay;value_ParriedSafe;value_Hands;value_Standing;value_MediumGkIntervention;value_NotVisible;value_Head;value_BoxRight;value_Diving;value_IntentionalAssist;value_ThroughBall;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_BoxCentre;value_BigChance;value_Weak;value_GoalShotGameClock;value_GkY;value_GkYTimeOfGoal;value_LowLeft;value_1On1;value_OutSwinger;value_TakeOnOvertake;value_Overrun;value_FreeKick;value_CloseRight;value_NotAssisted;value_TacticalFoul;value_YellowCard;value_SwitchOfPlay;value_Indirect;value_DangerousPlay;value_InSwinger;value_Shove/Push;value_Injury;value_InjuredPlayerId;value_TouchTypeClearance;value_PlayersCaughtOffside;value_SetPiece;value_ParriedDanger;value_Sliding;value_BoxDeepLeft;value_Blocked;value_SixYardBlocked;value_DefBlock;value_DrinksBreak;value_RefereeDelay;value_Right;value_Left;value_CornerTaken;value_FromCorner;value_HighCentre;value_Collected;value_HighGkIntervention;value_DrivenCross;value_LowRight;value_BoxDeepRight;value_Stooping;value_Feet;value_SmallBoxRight;value_Minutes;value_VideoCoverageLost;value_EndType;value_LeadingToGoal;value_RelatedError1Id;value_OtherBodyPart;value_SmallBoxCentre;value_Caught;value_OtherObstacle;value_BallHitsReferee;value_RecklessOffence;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Unchallenged;value_IncorrectOutOfPlayDecision;value_High;value_SecondYellow;value_PullBack;value_HighClaim;value_CloseLeft;value_HighLeft;value_GkKickFromHands;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721275403;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-15T22:07:16.012Z;2024-09-15T23:08:42Z;[{'id': 5216203107, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 8za8xvdiyduedk2i99bdqv4es, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, bu0qf3q6j69an4i0gz7xhqcd0, bfm4xr4ue74v0li53slarf9t6, 9asj8t10cvfumot9hr3dprsic, b94wogguhbhpo2mal3pfpo26s, bpr7u1cp7bzt1w2t1tsmru73e, b82dmhiv5rfrczfcx26cnvo16, bh6ncbb98ru6ox5oth7kle51w, 6hq9a0pz5ybc67wdttd54xvbp, 14etj499a213gtgymith3htec, dpijel5jgf0itquzz7ryfju38, dfkazpw3p03p6umdchplgivx0, ejztyr0yny1hh0eukahp8mpec, 2p7kzoufvblew4wvqvf1sb09g'}, {'id': 5216203109, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5216203115, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216396347, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5216203113, 'qualifierId': 130, 'value': '12'}, {'id': 5216377625, 'qualifierId': 197, 'value': '23755'}, {'id': 5216203111, 'qualifierId': 59, 'value': '25, 42, 45, 48, 38, 96, 41, 52, 49, 44, 35, 43, 30, 61, 40, 50, 68, 80, 88, 75'}, {'id': 5216203117, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Team set up;;;;;12,0;23755,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2721278801;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-15T22:11:42.940Z;2024-09-15T23:27:12Z;[{'id': 5216220901, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216452227, 'qualifierId': 194, 'value': 'bezle40rjwnkdskjbf9yg4sq2'}, {'id': 5216220893, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, 290iohuheoqdrdocbg25ipgk4, a12t1zv0y8gzzf6p3jrotkoic, bezle40rjwnkdskjbf9yg4sq2, cc7auv8d89ohifqg7qwz62mwa, dyv4gls8evw1fkei1zofev21g, 3gtqm8npkg5prbfnvqxq92dm2, e0pkyzm6eqzlrxme33k7dwgt0, 37zynr7fwzqg4c9w5ydefywyy, dgosg1mymhuajg0rz2ts6alpm, 8warl67c0id3dorr48mn7h82c, 79606fy6lyfs1h12645q4shzo, xxu2xv2n6f5d51ksa8z4rv2s, 3me8mlpj9tgn82v2mwyibpkb8, ej430my7aij4crwaycjsw0qhg, e1jku8gmpckc900s9y6z1gn4k, agw4ksz62ddb0q7h7lon4na0a'}, {'id': 5216220895, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5216220897, 'qualifierId': 59, 'value': '13, 17, 43, 45, 12, 2, 16, 7, 52, 10, 18, 8, 11, 9, 22, 58, 27, 24'}, {'id': 5216220899, 'qualifierId': 130, 'value': '13'}, {'id': 5216220903, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5216377325, 'qualifierId': 197, 'value': '14907'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Team set up;;;;;13,0;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2721308255;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-15T23:04:38.061Z;2024-09-20T04:35:42Z;[{'id': 5216381481, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2721308265;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-15T23:04:38.061Z;2024-09-15T23:04:41Z;[{'id': 5216381523, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2721308271;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;50,0;50,0;2024-09-15T23:04:38.337Z;2024-09-16T00:09:53Z;[{'id': 5216381527, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216381535, 'qualifierId': 213, 'value': '3.31'}, {'id': 5216381529, 'qualifierId': 140, 'value': '47.3'}, {'id': 5216381533, 'qualifierId': 212, 'value': '2.9'}, {'id': 5216381531, 'qualifierId': 141, 'value': '49.3'}, {'id': 5216381537, 'qualifierId': 279, 'value': 'S'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;3,31;47,3;2,9;49,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;47,3;49,3;;;;;;;0;0;0;0;Cincinnati II;0;FWR;1,0
2721308365;4;1;1;0;5;5b4ccd62yeeqdl2qk6jzsmjv8;1;56,1;62,7;2024-09-15T23:04:43.183Z;2024-09-15T23:04:45Z;[{'id': 5216381935, 'qualifierId': 140, 'value': '62.4'}, {'id': 5216381941, 'qualifierId': 213, 'value': '5.29'}, {'id': 5216381931, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216381937, 'qualifierId': 141, 'value': '47.8'}, {'id': 5216381939, 'qualifierId': 212, 'value': '12.1'}];3gtqm8npkg5prbfnvqxq92dm2;I. Sy;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;5,29;62,4;12,1;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;62,4;47,8;;;;;;;0;0;0;5;Cincinnati II;5;MC;1,0
2721308415;5;1;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;1;62,4;45,8;2024-09-15T23:04:45.327Z;2024-09-15T23:04:48Z;[{'id': 5216382187, 'qualifierId': 212, 'value': '19.0'}, {'id': 5216382189, 'qualifierId': 213, 'value': '4.67'}, {'id': 5216382183, 'qualifierId': 140, 'value': '61.6'}, {'id': 5216382185, 'qualifierId': 141, 'value': '17.9'}, {'id': 5216382181, 'qualifierId': 56, 'value': 'Right'}];dyv4gls8evw1fkei1zofev21g;T. Habroune;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;4,67;61,6;19,0;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;61,6;17,9;;;;;;;0;0;0;7;Cincinnati II;7;MC;1,0
2721308429;6;1;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;1;62,5;16,1;2024-09-15T23:04:48.511Z;2024-09-15T23:04:49Z;[{'id': 5216382255, 'qualifierId': 140, 'value': '59.1'}, {'id': 5216382261, 'qualifierId': 213, 'value': '2.10'}, {'id': 5216382259, 'qualifierId': 212, 'value': '7.0'}, {'id': 5216382253, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216382257, 'qualifierId': 141, 'value': '25.0'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;2,1;59,1;7,0;25,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;59,1;25,0;;;;;;;0;0;0;10;Cincinnati II;10;DMR;1,0
2721308445;7;1;1;0;11;5b4ccd62yeeqdl2qk6jzsmjv8;1;59,1;25,0;2024-09-15T23:04:49.567Z;2024-09-15T23:04:51Z;[{'id': 5216382347, 'qualifierId': 212, 'value': '13.3'}, {'id': 5216382343, 'qualifierId': 140, 'value': '66.0'}, {'id': 5216382349, 'qualifierId': 213, 'value': '5.29'}, {'id': 5216382345, 'qualifierId': 141, 'value': '8.6'}, {'id': 5216382341, 'qualifierId': 56, 'value': 'Right'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;5,29;66,0;13,3;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;66,0;8,6;;;;;;;0;0;0;11;Cincinnati II;11;DC;1,0
2721308449;8;3;1;0;13;5b4ccd62yeeqdl2qk6jzsmjv8;0;66,6;6,4;2024-09-15T23:04:51.585Z;2024-09-19T08:21:17Z;[{'id': 5222854293, 'qualifierId': 464}, {'id': 5216382365, 'qualifierId': 56, 'value': 'Right'}, {'id': 5222879209, 'qualifierId': 233, 'value': '3'}, {'id': 5216382367, 'qualifierId': 286}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Take On;;;;;;;;;;;;;;;;1,0;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;13;Cincinnati II;13;DMR;1,0
2721308455;3;7;1;0;13;bd0378yx50xpdcgwkt9p9bmz8;1;33,4;93,6;2024-09-15T23:04:51.586Z;2024-09-19T07:11:53Z;[{'id': 5216382403, 'qualifierId': 285}, {'id': 5222854309, 'qualifierId': 383}, {'id': 5216382401, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216382405, 'qualifierId': 233, 'value': '8'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;6jbs7rg8r32v6c1fdctpg45w;Tackle;;;;;;;;;;;;;;;;;8,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;13;Columbus Crew II;13;DML;1,0
2721308457;4;43;1;0;14;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-15T23:04:52.449Z;2024-09-19T07:12:56Z;[{'id': 5222854797, 'qualifierId': 144, 'value': '49'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;6jbs7rg8r32v6c1fdctpg45w;Deleted event;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;14;Columbus Crew II;14;DML;1,0
2721308463;5;3;1;0;14;bd0378yx50xpdcgwkt9p9bmz8;0;32,4;96,8;2024-09-15T23:04:52.559Z;2024-09-19T08:21:17Z;[{'id': 5216382441, 'qualifierId': 56, 'value': 'Back'}, {'id': 5222854519, 'qualifierId': 464}, {'id': 5216382443, 'qualifierId': 285}, {'id': 5222879213, 'qualifierId': 233, 'value': '9'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;6jbs7rg8r32v6c1fdctpg45w;Take On;;;;;;;;;;;;;;;;1,0;9,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;14;Columbus Crew II;14;DML;1,0
2721308505;9;7;1;0;14;5b4ccd62yeeqdl2qk6jzsmjv8;1;67,6;3,2;2024-09-15T23:04:52.560Z;2024-09-19T07:12:22Z;[{'id': 5216382639, 'qualifierId': 233, 'value': '5'}, {'id': 5216382635, 'qualifierId': 286}, {'id': 5222854539, 'qualifierId': 383}, {'id': 5216382629, 'qualifierId': 56, 'value': 'Right'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Tackle;;;;;;;;;;;;;;;;;5,0;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;14;Cincinnati II;14;DMR;1,0
2721308521;10;1;1;0;19;5b4ccd62yeeqdl2qk6jzsmjv8;1;84,0;11,3;2024-09-15T23:04:57.119Z;2024-09-15T23:05:07Z;[{'id': 5216382701, 'qualifierId': 212, 'value': '9.6'}, {'id': 5216382699, 'qualifierId': 141, 'value': '25.2'}, {'id': 5216382697, 'qualifierId': 140, 'value': '82.5'}, {'id': 5216382695, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216382703, 'qualifierId': 213, 'value': '1.74'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;1,74;82,5;9,6;25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;82,5;25,2;;;;;;;0;0;0;19;Cincinnati II;19;DMR;1,0
2721308565;11;1;1;0;20;5b4ccd62yeeqdl2qk6jzsmjv8;1;81,6;24,6;2024-09-15T23:04:58.159Z;2024-09-15T23:05:11Z;[{'id': 5216382911, 'qualifierId': 141, 'value': '22.3'}, {'id': 5216382915, 'qualifierId': 213, 'value': '6.17'}, {'id': 5216382909, 'qualifierId': 140, 'value': '94.3'}, {'id': 5216382907, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216382913, 'qualifierId': 212, 'value': '13.4'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;6,17;94,3;13,4;22,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;94,3;22,3;;;;;;;0;0;0;20;Cincinnati II;20;FWR;1,0
2721308571;12;61;1;0;21;5b4ccd62yeeqdl2qk6jzsmjv8;0;97,7;24,2;2024-09-15T23:05:00.032Z;2024-09-15T23:26:10Z;[{'id': 5216382943, 'qualifierId': 56, 'value': 'Center'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;21;Cincinnati II;21;DMR;1,0
2721308735;6;5;1;0;23;bd0378yx50xpdcgwkt9p9bmz8;1;-0,7;64,7;2024-09-15T23:05:01.177Z;2024-09-15T23:38:46Z;[{'id': 5216383791, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216383817, 'qualifierId': 233, 'value': '13'}, {'id': 5216383793, 'qualifierId': 346}];8za8xvdiyduedk2i99bdqv4es;J. Machado;;;6jbs7rg8r32v6c1fdctpg45w;Out;;;;;;;;;;;;;;;;;13,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;23;Columbus Crew II;23;DC;1,0
2721308575;13;5;1;0;23;5b4ccd62yeeqdl2qk6jzsmjv8;0;100,7;35,3;2024-09-15T23:05:01.177Z;2024-09-15T23:38:47Z;[{'id': 5216382957, 'qualifierId': 346}, {'id': 5216383837, 'qualifierId': 233, 'value': '6'}, {'id': 5216382955, 'qualifierId': 56, 'value': 'Center'}];58w3qcq1xrkpq5f9miuxp4ys4;B. Adu-Gyamfi;;;6jbs7rg8r32v6c1fdctpg45w;Out;;;;;;;;;;;;;;;;;6,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;0;23;Cincinnati II;23;DMR;1,0
2721308797;7;1;1;0;40;bd0378yx50xpdcgwkt9p9bmz8;1;5,2;52,8;2024-09-15T23:05:18.097Z;2024-09-15T23:05:22Z;[{'id': 5216384081, 'qualifierId': 237}, {'id': 5216384075, 'qualifierId': 212, 'value': '14.3'}, {'id': 5216384073, 'qualifierId': 141, 'value': '32.1'}, {'id': 5216384069, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216384067, 'qualifierId': 124}, {'id': 5216384071, 'qualifierId': 140, 'value': '7.6'}, {'id': 5216384077, 'qualifierId': 213, 'value': '4.89'}];3fjb8lymm7grc7nqyfpzw1a8k;P. Walters;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;4,89;7,6;14,3;32,1;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;7,6;32,1;;;;;;;0;0;0;40;Columbus Crew II;40;GK;1,0
2721308855;8;1;1;0;44;bd0378yx50xpdcgwkt9p9bmz8;1;6,2;18,5;2024-09-15T23:05:22.793Z;2024-09-15T23:05:26Z;[{'id': 5216384369, 'qualifierId': 212, 'value': '62.8'}, {'id': 5216384367, 'qualifierId': 141, 'value': '26.2'}, {'id': 5216384371, 'qualifierId': 213, 'value': '0.08'}, {'id': 5216384361, 'qualifierId': 157}, {'id': 5216384363, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216384365, 'qualifierId': 140, 'value': '65.8'}, {'id': 5216384373, 'qualifierId': 1}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;0,08;65,8;62,8;26,2;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;65,8;26,2;;;;;;;0;0;0;44;Columbus Crew II;44;DC;1,0
2721308877;9;44;1;0;46;bd0378yx50xpdcgwkt9p9bmz8;1;59,4;22,0;2024-09-15T23:05:24.063Z;2024-09-15T23:38:58Z;[{'id': 5216384473, 'qualifierId': 286}, {'id': 5216384575, 'qualifierId': 233, 'value': '14'}, {'id': 5216384471, 'qualifierId': 56, 'value': 'Center'}];9asj8t10cvfumot9hr3dprsic;B. Stitz;;;6jbs7rg8r32v6c1fdctpg45w;Aerial;;;;;;;;;;;;;;;;;14,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;46;Columbus Crew II;46;FW;1,0
