id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Resume;value_TeamFormation;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_Length;value_Zone;value_PassEndY;value_DeletedEventType;value_OppositeRelatedEventId;value_Offensive;value_Direct;value_AttemptedTackle;value_Foul;value_Defensive;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Cross;value_High;value_NotAssisted;value_OutOfBoxCentre;value_GoalmouthZ;value_GkX;value_GkY;value_RegularPlay;value_RightFooted;value_IndividualPlay;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_HeadPass;value_LayOff;value_Chipped;value_Head;value_Shove/Push;value_Assist;value_IntentionalAssist;value_Assisted;value_SetPiece;value_FirstTouch;value_SmallBoxCentre;value_RelatedEventId;value_Tap;value_CloseRight;value_FreeKick;value_Low;value_IntendedTackleTarget;value_KeeperThrow;value_BlockedPass;value_Launch;value_SwitchOfPlay;value_BlockedY;value_BoxCentre;value_BlockedX;value_LowCentre;value_Diving;value_Hands;value_Collected;value_FantasyAssistedBy;value_GoalShotTimestamp;value_GoalShotGameClock;value_LeftFooted;value_FantasyAssistType;value_KeeperTouched;value_FantasyAssistId;value_FantasyAssistTeam;value_OutOfPlay;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_Left;value_InSwinger;value_CornerTaken;value_Overrun;value_Injury;value_InjuredPlayerId;value_DrinksBreak;value_RefereeDelay;value_YellowCard;value_RecklessOffence;value_ShirtPull/Holding;value_TacticalFoul;value_Argument;value_GkHoof;value_LeadingToAttempt;value_RelatedError1Id;value_BoxLeft;value_BigChance;value_LowRight;value_ParriedSafe;value_Right;value_Minutes;value_Blocked;value_FromCorner;value_DefBlock;value_MisHit;value_HighCentre;value_FlickOn;value_EndType;value_35Right;value_FollowsADribble;value_HighClaim;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_SavedOffLine;value_SixYardBlocked;value_LowLeft;value_LastLine;value_GkKickFromHands;value_HighRight;value_OtherReason;value_OtherObstacle;value_BallHitsReferee;value_OwnPlayer;value_OwnShotBlocked;value_Standing;value_CloseHigh;value_PullBack;value_SmallBoxLeft;value_Stooping;value_NotVisible;value_OutOfBoxDeepLeft;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713729383;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-25T22:39:58.053Z;2024-08-25T23:04:37Z;[{'id': 5174910979, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5174863919, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174863915, 'qualifierId': 59, 'value': '31, 2, 33, 49, 50, 40, 41, 98, 80, 46, 59, 72, 55, 64, 94, 56, 61, 97, 65'}, {'id': 5174912383, 'qualifierId': 197, 'value': '15030'}, {'id': 5174863921, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174863917, 'qualifierId': 130, 'value': '2'}, {'id': 5174863913, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174863911, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 5hxlj4ash5nuwnt40mf5af46h, 2dqtrnq0k1fphyw71yh41gvtg, 3dyn7hheqvs3gm3m84jrra9lg, 9ulwk81vyj5rbz88h62i2ejv8, 910fd7rfysvvfzp2s1ywna5pm, 5jigl7kp5d2i5ws1602jm7n1m, 1extjwx4b7nlpu8fm6526dsrt, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, 9gswafduy82n4o6f0uk0khhck, bbnk87q7t8pahznohwjjcvu5m, 37vbc16ejxmfkssydcdxq69zo, 632mpv8dpnxjm69f8ip1e4l5g, 4eh46qse8ocmutobremniuolw, 92oqt9q51us5rpmqmvvrdso6i, c51ttt2cn2mguvgay18wfgzdg, 1b1vsi0l9xd0xy42q4p1bdk44, 4ke1e5h3gt66su5fs4bk74178'}];;;;;ew7c4u9c52m7xcn4wy8dae9lg;Team set up;;;;15030,0;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;North Texas;0;;
2713730275;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-25T22:42:00.947Z;2024-08-25T23:03:24Z;[{'id': 5174869063, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174869055, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, 7al9w77ailhli8g487tkl32tw, 9nl0k91lrjonu0z2irbs01oiy, 1j010cibh247p8kjchww6ny3u, 8vnnownnzz2ksuuitbw3ax5yi, 14sld3djevxpcce9co1aqxn9w, 19ckwd2oz9uyfjznuq2c41btg, akgtib8zyv5lrvh9mxunj2rdg, 3h8rx5wumr7hktll4hnvx7or8, 6ggqe5gi2w2jjclmbjev6dd78, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, fgue58g7u6f2c53ggb0r2oa2, da3mzb093sxf8i2xznedau8t0, e7vsajjh4e7t51ciycjg0skd0, 741wavjzdmc04j4i8a3chq9zo'}, {'id': 5174869059, 'qualifierId': 59, 'value': '30, 27, 7, 6, 24, 5, 51, 32, 41, 35, 99, 10, 34, 50, 36, 22, 4, 14'}, {'id': 5174869061, 'qualifierId': 130, 'value': '10'}, {'id': 5174911791, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5174869065, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174912415, 'qualifierId': 197, 'value': '23486'}, {'id': 5174869057, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}];;;;;ew7c4u9c52m7xcn4wy8dae9lg;Team set up;;;;23486,0;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2713738297;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-25T23:03:42.265Z;2024-08-25T23:03:42Z;[{'id': 5174912941, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ew7c4u9c52m7xcn4wy8dae9lg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2713738303;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-25T23:03:42.265Z;2024-08-25T23:03:46Z;[{'id': 5174912975, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ew7c4u9c52m7xcn4wy8dae9lg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;North Texas;0;;
2713738315;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;49,9;50,1;2024-08-25T23:03:42.266Z;2024-08-25T23:03:47Z;[{'id': 5174913043, 'qualifierId': 140, 'value': '30.1'}, {'id': 5174913049, 'qualifierId': 213, 'value': '3.04'}, {'id': 5174913051, 'qualifierId': 279, 'value': 'S'}, {'id': 5174913047, 'qualifierId': 212, 'value': '20.9'}, {'id': 5174913041, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174913045, 'qualifierId': 141, 'value': '53.1'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;30,1;3,04;;20,9;;53,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;30,1;53,1;;;;;;;0;0;0;0;St. Louis City II;0;MC;1,0
2713738317;4;1;1;0;2;99l7fsj6ykgbyqcb9zqqu9dgq;0;34,0;51,8;2024-08-25T23:03:44.539Z;2024-08-25T23:07:11Z;[{'id': 5174913055, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174913063, 'qualifierId': 213, 'value': '6.23'}, {'id': 5174913061, 'qualifierId': 212, 'value': '14.5'}, {'id': 5174913059, 'qualifierId': 141, 'value': '50.6'}, {'id': 5174913057, 'qualifierId': 140, 'value': '47.8'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;47,8;6,23;;14,5;;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;47,8;50,6;;;;;;;0;0;0;2;St. Louis City II;2;MC;1,0
2713739893;47;8;1;0;3;dqx48fglv1l96cyrmjdod0xec;1;52,8;53,7;2024-08-25T23:03:46.190Z;2024-08-25T23:07:12Z;[{'id': 5174921787, 'qualifierId': 56, 'value': 'Center'}];9k050zmkegfu3gdw2b4g4uwwk;C. Glover;;;ew7c4u9c52m7xcn4wy8dae9lg;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;3;North Texas;3;FW;1,0
2713738319;5;43;1;0;4;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-25T23:03:46.570Z;2024-08-25T23:07:10Z;[{'id': 5174913067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174921835, 'qualifierId': 144, 'value': '61'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;ew7c4u9c52m7xcn4wy8dae9lg;Deleted event;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;4;St. Louis City II;4;MC;1,0
2713738373;3;1;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;47,0;48,5;2024-08-25T23:03:50.024Z;2024-08-25T23:07:17Z;[{'id': 5174913377, 'qualifierId': 140, 'value': '52.5'}, {'id': 5174913383, 'qualifierId': 213, 'value': '0.04'}, {'id': 5174913375, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174913379, 'qualifierId': 141, 'value': '48.8'}, {'id': 5174913381, 'qualifierId': 212, 'value': '5.8'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;52,5;0,04;;5,8;;48,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;52,5;48,8;;;;;;;0;0;0;7;North Texas;7;MC;1,0
2713738383;4;4;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;56,6;48,1;2024-08-25T23:03:51.065Z;2024-08-25T23:26:52Z;[{'id': 5174922383, 'qualifierId': 233, 'value': '6'}, {'id': 5174913437, 'qualifierId': 286}, {'id': 5174913433, 'qualifierId': 152}, {'id': 5174913435, 'qualifierId': 265}, {'id': 5174913431, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174913429, 'qualifierId': 13}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;ew7c4u9c52m7xcn4wy8dae9lg;Foul;;;;;;;;;;;;;;;;;6,0;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;8;North Texas;8;FW;1,0
2713738337;6;4;1;0;8;99l7fsj6ykgbyqcb9zqqu9dgq;0;43,4;51,9;2024-08-25T23:03:51.066Z;2024-08-25T23:26:52Z;[{'id': 5174913187, 'qualifierId': 13}, {'id': 5174913195, 'qualifierId': 285}, {'id': 5174913191, 'qualifierId': 152}, {'id': 5174913189, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174922393, 'qualifierId': 233, 'value': '4'}, {'id': 5174913193, 'qualifierId': 265}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;ew7c4u9c52m7xcn4wy8dae9lg;Foul;;;;;;;;;;;;;;;;;4,0;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;8;St. Louis City II;8;MC;1,0
2713738473;5;1;1;0;28;dqx48fglv1l96cyrmjdod0xec;1;54,1;52,8;2024-08-25T23:04:11.113Z;2024-08-25T23:04:12Z;[{'id': 5174913897, 'qualifierId': 152}, {'id': 5174913905, 'qualifierId': 212, 'value': '15.6'}, {'id': 5174913901, 'qualifierId': 140, 'value': '63.7'}, {'id': 5174913899, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174913895, 'qualifierId': 5}, {'id': 5174913903, 'qualifierId': 141, 'value': '35.2'}, {'id': 5174913907, 'qualifierId': 213, 'value': '5.41'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;63,7;5,41;;15,6;;35,2;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;63,7;35,2;;;;;;;0;0;0;28;North Texas;28;DC;1,0
2713738509;6;1;1;0;30;dqx48fglv1l96cyrmjdod0xec;1;62,2;35,5;2024-08-25T23:04:12.295Z;2024-08-25T23:04:16Z;[{'id': 5174914029, 'qualifierId': 213, 'value': '4.47'}, {'id': 5174914025, 'qualifierId': 141, 'value': '9.4'}, {'id': 5174914027, 'qualifierId': 212, 'value': '18.3'}, {'id': 5174914023, 'qualifierId': 140, 'value': '58.1'}, {'id': 5174914021, 'qualifierId': 56, 'value': 'Right'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;58,1;4,47;;18,3;;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;58,1;9,4;;;;;;;0;0;0;30;North Texas;30;MC;1,0
2713738529;7;1;1;0;33;dqx48fglv1l96cyrmjdod0xec;1;57,7;10,6;2024-08-25T23:04:16.151Z;2024-08-25T23:04:17Z;[{'id': 5174914061, 'qualifierId': 56, 'value': 'Center'}, {'id': 5174914067, 'qualifierId': 212, 'value': '11.8'}, {'id': 5174914063, 'qualifierId': 140, 'value': '54.6'}, {'id': 5174914065, 'qualifierId': 141, 'value': '27.3'}, {'id': 5174914069, 'qualifierId': 213, 'value': '1.85'}];5hxlj4ash5nuwnt40mf5af46h;J. Nerwinski;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;54,6;1,85;;11,8;;27,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;54,6;27,3;;;;;;;0;0;0;33;North Texas;33;DR;1,0
2713738547;8;1;1;0;35;dqx48fglv1l96cyrmjdod0xec;1;54,7;27,3;2024-08-25T23:04:17.751Z;2024-08-25T23:04:19Z;[{'id': 5174914147, 'qualifierId': 141, 'value': '26.2'}, {'id': 5174914151, 'qualifierId': 213, 'value': '3.20'}, {'id': 5174914149, 'qualifierId': 212, 'value': '13.8'}, {'id': 5174914143, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174914145, 'qualifierId': 140, 'value': '41.6'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;41,6;3,2;;13,8;;26,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;41,6;26,2;;;;;;;0;0;0;35;North Texas;35;MC;1,0
2713738597;9;1;1;0;36;dqx48fglv1l96cyrmjdod0xec;1;42,9;27,4;2024-08-25T23:04:19.079Z;2024-08-25T23:04:22Z;[{'id': 5174914293, 'qualifierId': 141, 'value': '61.7'}, {'id': 5174914297, 'qualifierId': 213, 'value': '1.80'}, {'id': 5174914289, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174914295, 'qualifierId': 212, 'value': '23.9'}, {'id': 5174914291, 'qualifierId': 140, 'value': '37.8'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;37,8;1,8;;23,9;;61,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;37,8;61,7;;;;;;;0;0;0;36;North Texas;36;DL;1,0
2713738639;10;1;1;0;39;dqx48fglv1l96cyrmjdod0xec;1;43,4;66,6;2024-08-25T23:04:22.215Z;2024-08-25T23:04:25Z;[{'id': 5174914429, 'qualifierId': 213, 'value': '1.05'}, {'id': 5174914425, 'qualifierId': 141, 'value': '95.0'}, {'id': 5174914423, 'qualifierId': 140, 'value': '54.0'}, {'id': 5174914427, 'qualifierId': 212, 'value': '22.3'}, {'id': 5174914421, 'qualifierId': 56, 'value': 'Left'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;54,0;1,05;;22,3;;95,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;54,0;95,0;;;;;;;0;0;0;39;North Texas;39;DC;1,0
2713738671;11;1;1;0;42;dqx48fglv1l96cyrmjdod0xec;1;54,6;95,0;2024-08-25T23:04:24.887Z;2024-08-25T23:04:29Z;[{'id': 5174914637, 'qualifierId': 212, 'value': '16.5'}, {'id': 5174914639, 'qualifierId': 213, 'value': '0.04'}, {'id': 5174914633, 'qualifierId': 140, 'value': '70.3'}, {'id': 5174914635, 'qualifierId': 141, 'value': '95.9'}, {'id': 5174914631, 'qualifierId': 56, 'value': 'Left'}];2dqtrnq0k1fphyw71yh41gvtg;T. Pearce;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;70,3;0,04;;16,5;;95,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;70,3;95,9;;;;;;;0;0;0;42;North Texas;42;DC;1,0
2713738677;12;61;1;0;45;dqx48fglv1l96cyrmjdod0xec;0;69,5;95,3;2024-08-25T23:04:28.255Z;2024-08-25T23:28:08Z;[{'id': 5174914673, 'qualifierId': 56, 'value': 'Left'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;ew7c4u9c52m7xcn4wy8dae9lg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;45;North Texas;45;FW;1,0
2713738727;7;5;1;0;46;99l7fsj6ykgbyqcb9zqqu9dgq;1;31,6;-1,1;2024-08-25T23:04:28.394Z;2024-08-25T23:27:00Z;[{'id': 5174914855, 'qualifierId': 347}, {'id': 5174914861, 'qualifierId': 233, 'value': '13'}, {'id': 5174914853, 'qualifierId': 56, 'value': 'Back'}];8vnnownnzz2ksuuitbw3ax5yi;A. Ramirez;;;ew7c4u9c52m7xcn4wy8dae9lg;Out;;;;;;;;;;;;;;;;;13,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;46;St. Louis City II;46;MC;1,0
2713738691;13;5;1;0;46;dqx48fglv1l96cyrmjdod0xec;0;68,4;101,1;2024-08-25T23:04:28.394Z;2024-08-25T23:27:01Z;[{'id': 5174914717, 'qualifierId': 347}, {'id': 5174914865, 'qualifierId': 233, 'value': '7'}, {'id': 5174914715, 'qualifierId': 56, 'value': 'Left'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;ew7c4u9c52m7xcn4wy8dae9lg;Out;;;;;;;;;;;;;;;;;7,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;46;North Texas;46;FW;1,0
2713738739;8;1;1;0;52;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,5;0,0;2024-08-25T23:04:34.923Z;2024-08-25T23:04:37Z;[{'id': 5174914953, 'qualifierId': 212, 'value': '15.7'}, {'id': 5174914951, 'qualifierId': 141, 'value': '10.9'}, {'id': 5174914947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174914945, 'qualifierId': 107}, {'id': 5174914955, 'qualifierId': 213, 'value': '2.60'}, {'id': 5174914949, 'qualifierId': 140, 'value': '16.7'}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;16,7;2,6;;15,7;;10,9;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;16,7;10,9;;;;;;;0;0;0;52;St. Louis City II;52;DR;1,0
2713738753;9;1;1;0;55;99l7fsj6ykgbyqcb9zqqu9dgq;1;19,4;9,2;2024-08-25T23:04:37.338Z;2024-08-25T23:04:39Z;[{'id': 5174915033, 'qualifierId': 213, 'value': '0.09'}, {'id': 5174915027, 'qualifierId': 140, 'value': '36.6'}, {'id': 5174915031, 'qualifierId': 212, 'value': '18.1'}, {'id': 5174915025, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174915029, 'qualifierId': 141, 'value': '11.7'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;36,6;0,09;;18,1;;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;36,6;11,7;;;;;;;0;0;0;55;St. Louis City II;55;DC;1,0
