id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_Resume;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_Captain;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Length;value_Angle;value_PassEndX;value_SwitchOfPlay;value_LongBall;value_Chipped;value_LayOff;value_NotVisible;value_OppositeRelatedEventId;value_Offensive;value_Shove/Push;value_Foul;value_Direct;value_Defensive;value_FreeKickTaken;value_Overrun;value_TakeOnOvertake;value_GoalmouthY;value_BlockedX;value_IndividualPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_LeftFooted;value_NotAssisted;value_BlockedY;value_RegularPlay;value_LowCentre;value_Standing;value_LowGkIntervention;value_ParriedSafe;value_Feet;value_BlockedPass;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_DeletedEventType;value_TouchTypePass;value_OutOfPlay;value_IntendedTackleTarget;value_Assist;value_IntentionalAssist;value_LeadingToGoal;value_GkYTimeOfGoal;value_LowRight;value_GkX;value_RelatedEventId;value_GoalShotTimestamp;value_SmallBoxLeft;value_GkY;value_Assisted;value_RightFooted;value_GkXTimeOfGoal;value_GoalShotGameClock;value_HeadPass;value_OutSwinger;value_Cross;value_TouchTypeClearance;value_Head;value_LowLeft;value_Diving;value_ParriedDanger;value_Hands;value_Fumble;value_AttemptedTackle;value_NextEventGoalKick;value_MediumGkIntervention;value_KeeperThrow;value_High;value_Low;value_GoalKick;value_Right;value_Left;value_CornerTaken;value_FlickOn;value_HighLeft;value_BigChance;value_BoxRight;value_Blocked;value_DefBlock;value_Volley;value_FirstTouch;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_FreeKick;value_Stooping;value_OtherBodyPart;value_Straight;value_DrivenCross;value_NotPastGoalLine;value_BoxDeepRight;value_FastBreak;value_CloseLeft;value_SmallBoxCentre;value_DrinksBreak;value_RefereeDelay;value_Dissent;value_YellowCard;value_InSwinger;value_Penalty;value_PenaltyTakerId;value_BoxCentre;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Scored;value_TakeOnSpace;value_PlayersCaughtOffside;value_Minutes;value_Indirect;value_HitWoodwork;value_HitBar;value_FromCorner;value_Argument;value_EndType;value_ByWall;value_ShirtPull/Holding;value_TacticalFoul;value_GkKickFromHands;value_BlockedCross;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Sliding;value_CloseHigh;value_HighGkIntervention;value_HighCentre;value_Collected;value_HighRight;value_Reaching;value_Fingertip;value_SetPiece;value_2NdAssist;value_SmallBoxRight;value_2NdRelatedEventId;value_2NdAssisted;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2732026463;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-10-06T19:12:23.261Z;2024-10-06T20:08:14Z;[{'id': 5274994089, 'qualifierId': 59, 'value': '20, 4, 2, 8, 14, 5, 17, 30, 32, 10, 19, 1, 11, 9, 25, 6, 7, 77, 90'}, {'id': 5274994095, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5274994091, 'qualifierId': 130, 'value': '4'}, {'id': 5275217089, 'qualifierId': 197, 'value': '23347'}, {'id': 5274994093, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5274994087, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5274994085, 'qualifierId': 30, 'value': 'dcypf9mqtlcn5wetj1z7g3mui, ec3xdenc4ncg4sc8ni4kkyln8, 8ly83pm2mbtz4u7jwsv0o96qy, 7nxqbiq6fics5w3qnwhz249as, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, 35ds2xu43z6jccyhlr8jsomzu, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 3cbmr8hg3kszw5wl04p3ol27e, 81a5mbcfvbxke0w3cbq65ld2i, 4wgjayv8s85dueh5l88im6lwq, 4521gkm1oemvrfsgksz7b6zxm, 9yldym4386a2icfk6qb6i90r8, 2yxzh220ndd4s4wqditruo0h6, 53ufl7f1lbwnr7klx9ofxufbo, 4o2lk5bkmyxe8ji3lqjo69qtw, 34zlyg5jfoz9g36s49icjawic'}, {'id': 5275238569, 'qualifierId': 194, 'value': 'd0riqrsz7ojwb9m94rbvx7r6y'}];;;;;mebinvz4t34d99ognrve3r4k;Team set up;;;4,0;23347,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;The Town;0;;
2732028723;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-10-06T19:14:37.199Z;2024-10-10T15:15:52Z;[{'id': 5275006453, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275006443, 'qualifierId': 30, 'value': '71y61qa3ywym9sa89dpkzfcyy, 4h8dml0qrwpqza4kqazp5dnqi, 3q8dpwqkikbugz3ikwcmkbg4q, 4nzrv75trp05nqos781kk62hg, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 5n1wehugx0qtun8oopg2jbndg, 1bmbt6h6bsiimpzxt07cqwfvu, au9595t3oo0zbzexhr01ts0h6, 7jtxek694d60c5udhyv0zsjro, dwyatw1wz3nrh1fcwu27ie8ve, bpfl7nj8llr3dfadhtju52rro, 658wqca9ctixqav113prm06ei, 35jkg2v338kipzlf0iwvvypuy, cac9hjmdwt1gsz0qt3f6d4b2s, f2nxaemhqi8kbtbejnqekgd4a, 23j7p7rylg9rwke4vbgquzjai'}, {'id': 5275006449, 'qualifierId': 130, 'value': '4'}, {'id': 5275006445, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5275006451, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275217579, 'qualifierId': 197, 'value': '23745'}, {'id': 5275006447, 'qualifierId': 59, 'value': '41, 45, 72, 58, 66, 77, 64, 99, 60, 20, 71, 50, 54, 2, 63, 52, 78, 51'}, {'id': 5275224601, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}];;;;;mebinvz4t34d99ognrve3r4k;Team set up;;;4,0;23745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;Austin II;0;;
2732068047;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-10-06T20:04:27.275Z;2024-10-10T06:27:26Z;[{'id': 5275218545, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;mebinvz4t34d99ognrve3r4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;The Town;0;;
2732068077;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-10-06T20:04:27.275Z;2024-10-06T20:04:29Z;[{'id': 5275218691, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;mebinvz4t34d99ognrve3r4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;Austin II;0;;
2732068097;3;1;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;49,8;49,9;2024-10-06T20:04:27.276Z;2024-10-06T20:04:29Z;[{'id': 5275218805, 'qualifierId': 279, 'value': 'S'}, {'id': 5275218795, 'qualifierId': 141, 'value': '51.2'}, {'id': 5275218791, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275218797, 'qualifierId': 212, 'value': '16.9'}, {'id': 5275218801, 'qualifierId': 213, 'value': '3.09'}, {'id': 5275218793, 'qualifierId': 140, 'value': '33.7'}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;51,2;;16,9;3,09;33,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;33,7;51,2;;;;;;;;0;0;0;The Town;0;FW;1,0
2732068125;4;1;1;0;2;d0c07im4a6oj8qa7f1zlt3pqs;1;32,2;51,2;2024-10-06T20:04:29.509Z;2024-10-06T20:04:31Z;[{'id': 5275218959, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275218963, 'qualifierId': 141, 'value': '36.0'}, {'id': 5275218961, 'qualifierId': 140, 'value': '23.7'}, {'id': 5275218967, 'qualifierId': 213, 'value': '4.00'}, {'id': 5275218965, 'qualifierId': 212, 'value': '13.7'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;36,0;;13,7;4,0;23,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;23,7;36,0;;;;;;;;0;0;2;The Town;2;MC;1,0
2732068219;5;1;1;0;3;d0c07im4a6oj8qa7f1zlt3pqs;1;23,5;36,0;2024-10-06T20:04:31.212Z;2024-10-06T20:04:37Z;[{'id': 5275219457, 'qualifierId': 213, 'value': '1.56'}, {'id': 5275219451, 'qualifierId': 141, 'value': '75.4'}, {'id': 5275219447, 'qualifierId': 140, 'value': '23.9'}, {'id': 5275219455, 'qualifierId': 212, 'value': '26.8'}, {'id': 5275219443, 'qualifierId': 56, 'value': 'Back'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;75,4;;26,8;1,56;23,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;23,9;75,4;;;;;;;;0;0;3;The Town;3;DL;1,0
2732068309;6;1;1;0;10;d0c07im4a6oj8qa7f1zlt3pqs;1;25,5;73,8;2024-10-06T20:04:37.337Z;2024-10-06T20:04:41Z;[{'id': 5275219985, 'qualifierId': 140, 'value': '19.7'}, {'id': 5275219987, 'qualifierId': 141, 'value': '31.9'}, {'id': 5275219991, 'qualifierId': 213, 'value': '4.50'}, {'id': 5275219983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275219989, 'qualifierId': 212, 'value': '29.1'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;31,9;;29,1;4,5;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;19,7;31,9;;;;;;;;0;0;10;The Town;10;DC;1,0
2732068363;7;1;1;0;13;d0c07im4a6oj8qa7f1zlt3pqs;1;19,8;27,4;2024-10-06T20:04:41.212Z;2024-10-06T20:04:44Z;[{'id': 5275220277, 'qualifierId': 141, 'value': '52.1'}, {'id': 5275220279, 'qualifierId': 212, 'value': '20.9'}, {'id': 5275220281, 'qualifierId': 213, 'value': '2.21'}, {'id': 5275220275, 'qualifierId': 140, 'value': '7.9'}, {'id': 5275220273, 'qualifierId': 56, 'value': 'Back'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;52,1;;20,9;2,21;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;7,9;52,1;;;;;;;;0;0;13;The Town;13;DL;1,0
2732068429;8;1;1;0;17;d0c07im4a6oj8qa7f1zlt3pqs;1;7,4;52,1;2024-10-06T20:04:44.305Z;2024-10-06T20:04:48Z;[{'id': 5275220675, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275220683, 'qualifierId': 212, 'value': '21.9'}, {'id': 5275220687, 'qualifierId': 213, 'value': '0.91'}, {'id': 5275220681, 'qualifierId': 141, 'value': '77.5'}, {'id': 5275220679, 'qualifierId': 140, 'value': '20.2'}];dcypf9mqtlcn5wetj1z7g3mui;A. Cervantes;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;77,5;;21,9;0,91;20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;20,2;77,5;;;;;;;;0;0;17;The Town;17;GK;1,0
2732068499;9;1;1;0;21;d0c07im4a6oj8qa7f1zlt3pqs;1;23,5;76,9;2024-10-06T20:04:48.617Z;2024-10-06T20:04:52Z;[{'id': 5275221009, 'qualifierId': 212, 'value': '48.8'}, {'id': 5275221011, 'qualifierId': 213, 'value': '4.78'}, {'id': 5275221003, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275221001, 'qualifierId': 196}, {'id': 5275221007, 'qualifierId': 141, 'value': '5.3'}, {'id': 5275221013, 'qualifierId': 1}, {'id': 5275220999, 'qualifierId': 155}, {'id': 5275221005, 'qualifierId': 140, 'value': '26.8'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;5,3;;48,8;4,78;26,8;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;26,8;5,3;;;;;;;;0;0;21;The Town;21;DC;1,0
2732068531;10;1;1;0;25;d0c07im4a6oj8qa7f1zlt3pqs;1;28,5;5,0;2024-10-06T20:04:52.664Z;2024-10-06T20:04:55Z;[{'id': 5275221199, 'qualifierId': 213, 'value': '2.49'}, {'id': 5275221185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275221191, 'qualifierId': 141, 'value': '21.5'}, {'id': 5275221195, 'qualifierId': 212, 'value': '18.5'}, {'id': 5275221189, 'qualifierId': 140, 'value': '14.5'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;21,5;;18,5;2,49;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;14,5;21,5;;;;;;;;0;0;25;The Town;25;DR;1,0
2732068577;11;1;1;0;27;d0c07im4a6oj8qa7f1zlt3pqs;1;14,4;21,6;2024-10-06T20:04:55.055Z;2024-10-06T20:04:57Z;[{'id': 5275221363, 'qualifierId': 212, 'value': '19.8'}, {'id': 5275221359, 'qualifierId': 140, 'value': '8.1'}, {'id': 5275221365, 'qualifierId': 213, 'value': '1.91'}, {'id': 5275221357, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275221361, 'qualifierId': 141, 'value': '49.1'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;49,1;;19,8;1,91;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;8,1;49,1;;;;;;;;0;0;27;The Town;27;DL;1,0
2732068621;12;1;1;0;30;d0c07im4a6oj8qa7f1zlt3pqs;1;12,1;54,2;2024-10-06T20:04:57.758Z;2024-10-06T20:05:01Z;[{'id': 5275221565, 'qualifierId': 213, 'value': '1.17'}, {'id': 5275221557, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275221561, 'qualifierId': 141, 'value': '79.0'}, {'id': 5275221563, 'qualifierId': 212, 'value': '18.4'}, {'id': 5275221559, 'qualifierId': 140, 'value': '19.0'}];dcypf9mqtlcn5wetj1z7g3mui;A. Cervantes;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;79,0;;18,4;1,17;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;19,0;79,0;;;;;;;;0;0;30;The Town;30;GK;1,0
2732068661;13;1;1;0;33;d0c07im4a6oj8qa7f1zlt3pqs;1;23,6;79,4;2024-10-06T20:05:01.007Z;2024-10-06T20:05:03Z;[{'id': 5275221795, 'qualifierId': 140, 'value': '40.4'}, {'id': 5275221793, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275221797, 'qualifierId': 141, 'value': '76.1'}, {'id': 5275221799, 'qualifierId': 212, 'value': '17.8'}, {'id': 5275221801, 'qualifierId': 213, 'value': '6.16'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;76,1;;17,8;6,16;40,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;40,4;76,1;;;;;;;;0;0;33;The Town;33;DC;1,0
2732068677;14;1;1;0;36;d0c07im4a6oj8qa7f1zlt3pqs;1;40,4;76,1;2024-10-06T20:05:03.726Z;2024-10-06T21:03:03Z;[{'id': 5275221879, 'qualifierId': 140, 'value': '32.6'}, {'id': 5275221885, 'qualifierId': 213, 'value': '2.37'}, {'id': 5275221881, 'qualifierId': 141, 'value': '87.7'}, {'id': 5275221883, 'qualifierId': 212, 'value': '11.4'}, {'id': 5275221877, 'qualifierId': 56, 'value': 'Back'}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;87,7;;11,4;2,37;32,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;32,6;87,7;;;;;;;;0;0;36;The Town;36;FW;1,0
2732068793;15;1;1;0;39;d0c07im4a6oj8qa7f1zlt3pqs;1;30,3;96,3;2024-10-06T20:05:06.476Z;2024-10-06T20:05:11Z;[{'id': 5275222425, 'qualifierId': 213, 'value': '4.40'}, {'id': 5275222417, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275222421, 'qualifierId': 141, 'value': '74.1'}, {'id': 5275222419, 'qualifierId': 140, 'value': '25.7'}, {'id': 5275222423, 'qualifierId': 212, 'value': '15.8'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;74,1;;15,8;4,4;25,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;25,7;74,1;;;;;;;;0;0;39;The Town;39;DC;1,0
2732068847;16;1;1;0;44;d0c07im4a6oj8qa7f1zlt3pqs;1;25,7;74,1;2024-10-06T20:05:11.398Z;2024-10-06T21:03:10Z;[{'id': 5275222641, 'qualifierId': 213, 'value': '4.62'}, {'id': 5275222639, 'qualifierId': 212, 'value': '25.5'}, {'id': 5275222633, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275222637, 'qualifierId': 141, 'value': '36.7'}, {'id': 5275222635, 'qualifierId': 140, 'value': '23.5'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;36,7;;25,5;4,62;23,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;23,5;36,7;;;;;;;;0;0;44;The Town;44;MC;1,0
2732068913;17;1;1;0;47;d0c07im4a6oj8qa7f1zlt3pqs;1;22,6;34,9;2024-10-06T20:05:14.304Z;2024-10-06T20:05:16Z;[{'id': 5275222885, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275222897, 'qualifierId': 213, 'value': '0.29'}, {'id': 5275222887, 'qualifierId': 140, 'value': '36.8'}, {'id': 5275222895, 'qualifierId': 212, 'value': '15.6'}, {'id': 5275222893, 'qualifierId': 141, 'value': '41.5'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;41,5;;15,6;0,29;36,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;36,8;41,5;;;;;;;;0;0;47;The Town;47;DL;1,0
2732068931;18;1;1;0;49;d0c07im4a6oj8qa7f1zlt3pqs;0;36,8;41,5;2024-10-06T20:05:16.429Z;2024-10-06T21:03:31Z;[{'id': 5275222963, 'qualifierId': 141, 'value': '50.0'}, {'id': 5275222975, 'qualifierId': 156}, {'id': 5275501905, 'qualifierId': 189}, {'id': 5275222959, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275222965, 'qualifierId': 212, 'value': '6.0'}, {'id': 5275222961, 'qualifierId': 140, 'value': '35.2'}, {'id': 5275222967, 'qualifierId': 213, 'value': '1.85'}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;50,0;;6,0;1,85;35,2;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;35,2;50,0;;;;;;;;0;0;49;The Town;49;FW;1,0
2732896973;622;49;1;0;50;ew2zirzye0sw1txr2m33nr25y;1;65,7;46,7;2024-10-06T20:05:17.495Z;2024-10-10T06:31:01Z;[];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;mebinvz4t34d99ognrve3r4k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;50;Austin II;50;MC;1,0
