id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndY;value_Angle;value_PassEndX;value_Zone;value_Chipped;value_TouchTypeClearance;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_HeadPass;value_TakeOnSpace;value_Offensive;value_Defensive;value_LayOff;value_AttemptedTackle;value_Direct;value_Foul;value_GkXTimeOfGoal;value_LowCentre;value_GoalShotTimestamp;value_FantasyAssistType;value_FreeKick;value_GkX;value_GoalmouthZ;value_GoalShotGameClock;value_GkY;value_FantasyAssistTeam;value_GkYTimeOfGoal;value_RightFooted;value_KeeperTouched;value_OutOfBoxCentre;value_FantasyAssistId;value_FantasyAssistedBy;value_GoalmouthY;value_NotAssisted;value_Tap;value_IntendedTackleTarget;value_TouchTypeControl;value_DeletedEventType;value_LongBall;value_BlockedPass;value_Launch;value_FlickOn;value_LowRight;value_Blocked;value_BlockedY;value_BlockedX;value_DefBlock;value_Volley;value_BoxRight;value_SetPiece;value_FirstTouch;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_LowGkIntervention;value_GkHoof;value_NextEventGoalKick;value_Low;value_GoalKick;value_Head;value_TakeOnOvertake;value_Overrun;value_OutOfPlay;value_SwitchOfPlay;value_TouchTypePass;value_OutSwinger;value_Cross;value_BlockedCross;value_Right;value_Left;value_CornerTaken;value_HighGkIntervention;value_GkKickFromHands;value_NotVisible;value_FreeKickTaken;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_PlayersCaughtOffside;value_Indirect;value_ShirtPull/Holding;value_TacticalFoul;value_Assist;value_Assisted;value_RegularPlay;value_IndividualPlay;value_Shove/Push;value_HighCentre;value_ParriedSafe;value_Diving;value_Hands;value_IntentionalAssist;value_FromCorner;value_BoxCentre;value_NotPastGoalLine;value_InSwinger;value_HighClaim;value_LeftFooted;value_BoxLeft;value_Collected;value_Standing;value_LowLeft;value_OwnPlayer;value_OwnShotBlocked;value_CloseHigh;value_CloseRight;value_High;value_BigChance;value_HighRight;value_Stooping;value_OtherBodyPart;value_CloseLeft;value_FloatedCross;value_Straight;value_Defensive1V1;value_LastLine;value_IncorrectOutOfPlayDecision;value_Minutes;value_EndType;value_SwerveLeft;value_ParriedDanger;value_MisHit;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_ThroughBall;value_1On1;value_2NdAssist;value_PullBack;value_2NdAssisted;value_2NdRelatedEventId;value_SmallBoxRight;value_InjuredPlayerId;value_Injury;value_Unchallenged;value_SixYardBlocked;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680232349;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-04-28T20:27:37.603Z;2024-04-28T22:01:26Z;[{'id': 4990916649, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990916639, 'qualifierId': 30, 'value': '9r22tf7lu2q4un35qwfsnpw5w, 5g3yur7k1fvc47hjz5y2zrze, byelagxi3qg0rb06tjl3fodn8, aqqjtiyr2nayy6rjq6wxk6ec4, 9s3boszvqn3fzsx0r1xswqyqy, 1795jw1oc3pkthyq0kqexh65m, 69h930ebovyl7rut5dz4r2iok, 8hftsf1ff8839jdbe3e6lmm1g, 45b72f8szmqnv8tz06j7mj1wq, iu61re9bbusv2w7fu7w6505w, e2olfsduxvaqsx6rdbaasa356, 2pka62t1zg04jwkcx6zbc4wlw, 6e688gqc8qzt0h9cutptkcd90, 2ye36bmajaqbiwf8713uocob8, 658tknyb70yhkx52dg4ttngus, a1rc6kukly42y5j5smz3w72tw, btr1fg89bjqk2en1k4vbuxlp0, dmeyu5u98jwawdkmyv3a0vi8k'}, {'id': 4990916647, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990916641, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4990916645, 'qualifierId': 130, 'value': '12'}, {'id': 4990916643, 'qualifierId': 59, 'value': '60, 12, 57, 23, 40, 35, 36, 38, 29, 90, 44, 39, 42, 46, 47, 48, 52, 61'}, {'id': 4991225503, 'qualifierId': 194, 'value': 'aqqjtiyr2nayy6rjq6wxk6ec4'}, {'id': 4991048195, 'qualifierId': 197, 'value': '15045'}];;;;;ciekf2plfm925xtlkrs32mluc;Team set up;;;;;12,0;;;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2680232425;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-28T20:27:44.102Z;2024-04-28T23:01:26Z;[{'id': 4990917009, 'qualifierId': 130, 'value': '8'}, {'id': 4991060329, 'qualifierId': 197, 'value': '12783'}, {'id': 4990917013, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4991193105, 'qualifierId': 194, 'value': '682h3bzmosnq6lovf1ioivluy'}, {'id': 4990917011, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990917007, 'qualifierId': 59, 'value': '1, 52, 33, 42, 96, 28, 38, 31, 99, 21, 47, 36, 39, 50, 70, 72, 74, 77, 80, 90'}, {'id': 4990917005, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4990917003, 'qualifierId': 30, 'value': '682h3bzmosnq6lovf1ioivluy, c7luarkv7hwdspd9xhidhisk4, 1yohdc0hkzkom8hlhw3rjfn8q, 9jczt268kcld72pk5ho4xpzsa, hranx8amv6zdzmvzda4to0lw, 4cfvnypovkt900sfxmdhvxtec, 3tkdn8arq1j3il4ako7rcio2y, bhhdcubw5vyxzf0lc1fcfftka, cqmvrx028gh19yh8qh7w01y0a, 9lub99mn6k1lx7gzda946y4fd, 4oz12ku4mdjsq7y4sgogpwg2y, 8xpddjq19wzsf3mdlnjdx6e7e, a8ngovgs2qfu5udzb97kelg16, 6p1lkhwji9j00ojc7k80p6e50, 32t6g252ti1peycjite40qiy2, cjmhrw0kf73i17kxnrzipvpxw, 1wa60ccrpw2zqguj4ayeeacyc, 4sw7pq7xhnf7pqii16lhtf7ro, 1pm343qga3zwdbrjngpeqhtnu, 2gawx03wls5vwtlocjir3u7vu'}];;;;;ciekf2plfm925xtlkrs32mluc;Team set up;;;;;8,0;;;12783,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2680254125;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-28T21:03:32.643Z;2024-05-02T19:58:46Z;[{'id': 4991046841, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ciekf2plfm925xtlkrs32mluc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2680254133;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-04-28T21:03:32.643Z;2024-04-28T21:03:35Z;[{'id': 4991046873, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ciekf2plfm925xtlkrs32mluc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2680254151;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;49,9;50,0;2024-04-28T21:03:32.644Z;2024-04-28T21:03:36Z;[{'id': 4991046969, 'qualifierId': 279, 'value': 'S'}, {'id': 4991046965, 'qualifierId': 212, 'value': '15.2'}, {'id': 4991046963, 'qualifierId': 141, 'value': '51.1'}, {'id': 4991046967, 'qualifierId': 213, 'value': '3.09'}, {'id': 4991046961, 'qualifierId': 140, 'value': '35.4'}, {'id': 4991046959, 'qualifierId': 56, 'value': 'Back'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;15,2;51,1;3,09;35,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;35,4;51,1;;;;;;;0;0;0;0;Minnesota United II;0;FW;1,0
2680254161;4;1;1;0;2;7fbej4xwoq4imaf5l39304m37;1;34,8;49,5;2024-04-28T21:03:34.864Z;2024-04-28T21:04:53Z;[{'id': 4991047007, 'qualifierId': 140, 'value': '35.8'}, {'id': 4991047005, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047009, 'qualifierId': 141, 'value': '7.6'}, {'id': 4991047013, 'qualifierId': 213, 'value': '4.75'}, {'id': 4991047011, 'qualifierId': 212, 'value': '28.5'}];9jczt268kcld72pk5ho4xpzsa;J. Bartlett;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;28,5;7,6;4,75;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;35,8;7,6;;;;;;;0;0;0;2;Minnesota United II;2;MC;1,0
2680254179;5;1;1;0;5;7fbej4xwoq4imaf5l39304m37;1;35,8;11,8;2024-04-28T21:03:37.968Z;2024-04-28T21:03:40Z;[{'id': 4991047097, 'qualifierId': 212, 'value': '17.1'}, {'id': 4991047091, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047099, 'qualifierId': 213, 'value': '2.29'}, {'id': 4991047093, 'qualifierId': 140, 'value': '25.0'}, {'id': 4991047095, 'qualifierId': 141, 'value': '30.7'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;17,1;30,7;2,29;25,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;25,0;30,7;;;;;;;0;0;0;5;Minnesota United II;5;DR;1,0
2680254193;6;1;1;0;7;7fbej4xwoq4imaf5l39304m37;1;23,7;32,1;2024-04-28T21:03:40.512Z;2024-04-28T21:03:43Z;[{'id': 4991047165, 'qualifierId': 212, 'value': '21.0'}, {'id': 4991047163, 'qualifierId': 141, 'value': '51.1'}, {'id': 4991047159, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047167, 'qualifierId': 213, 'value': '2.48'}, {'id': 4991047161, 'qualifierId': 140, 'value': '7.9'}];hranx8amv6zdzmvzda4to0lw;I. James;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;21,0;51,1;2,48;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;7,9;51,1;;;;;;;0;0;0;7;Minnesota United II;7;DL;1,0
2680254209;7;1;1;0;11;7fbej4xwoq4imaf5l39304m37;1;9,7;54,4;2024-04-28T21:03:43.760Z;2024-04-28T21:03:47Z;[{'id': 4991047265, 'qualifierId': 141, 'value': '88.7'}, {'id': 4991047261, 'qualifierId': 140, 'value': '15.4'}, {'id': 4991047271, 'qualifierId': 213, 'value': '1.32'}, {'id': 4991047269, 'qualifierId': 212, 'value': '24.1'}, {'id': 4991047259, 'qualifierId': 56, 'value': 'Back'}];682h3bzmosnq6lovf1ioivluy;J. Pulskamp;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;24,1;88,7;1,32;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;15,4;88,7;;;;;;;0;0;0;11;Minnesota United II;11;GK;1,0
2680254227;8;1;1;0;15;7fbej4xwoq4imaf5l39304m37;0;17,4;90,7;2024-04-28T21:03:48.304Z;2024-04-28T21:03:49Z;[{'id': 4991047333, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047341, 'qualifierId': 213, 'value': '0.17'}, {'id': 4991047335, 'qualifierId': 140, 'value': '45.4'}, {'id': 4991047331, 'qualifierId': 155}, {'id': 4991047337, 'qualifierId': 141, 'value': '98.2'}, {'id': 4991047339, 'qualifierId': 212, 'value': '29.8'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;29,8;98,2;0,17;45,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;45,4;98,2;;;;;;;0;0;0;15;Minnesota United II;15;DC;1,0
2680254257;3;8;1;0;17;1pc6sx2h4rp113ldkbp5d2xas;1;48,7;4,4;2024-04-28T21:03:50.334Z;2024-05-02T20:04:57Z;[{'id': 4991047463, 'qualifierId': 56, 'value': 'Back'}, {'id': 4997687975, 'qualifierId': 385}];69h930ebovyl7rut5dz4r2iok;M. Khan;;;ciekf2plfm925xtlkrs32mluc;Interception;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;17;Sporting KC II;17;MC;1,0
2680254263;4;5;1;0;18;1pc6sx2h4rp113ldkbp5d2xas;0;46,2;-1,2;2024-04-28T21:03:51.296Z;2024-04-28T21:36:27Z;[{'id': 4991047473, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047475, 'qualifierId': 347}, {'id': 4991047777, 'qualifierId': 233, 'value': '9'}];69h930ebovyl7rut5dz4r2iok;M. Khan;;;ciekf2plfm925xtlkrs32mluc;Out;;;;;;;;;;;;;;;;;;1,0;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;18;Sporting KC II;18;MC;1,0
2680254325;9;5;1;0;18;7fbej4xwoq4imaf5l39304m37;1;53,8;101,2;2024-04-28T21:03:51.296Z;2024-04-28T21:04:06Z;[{'id': 4991047763, 'qualifierId': 56, 'value': 'Left'}, {'id': 4991047765, 'qualifierId': 347}, {'id': 4991047773, 'qualifierId': 233, 'value': '4'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;ciekf2plfm925xtlkrs32mluc;Out;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;18;Minnesota United II;18;DC;1,0
2680254337;10;1;1;0;33;7fbej4xwoq4imaf5l39304m37;0;54,2;100,0;2024-04-28T21:04:05.990Z;2024-04-28T21:04:08Z;[{'id': 4991047825, 'qualifierId': 141, 'value': '95.7'}, {'id': 4991047823, 'qualifierId': 140, 'value': '73.3'}, {'id': 4991047829, 'qualifierId': 213, 'value': '6.09'}, {'id': 4991047819, 'qualifierId': 107}, {'id': 4991047821, 'qualifierId': 56, 'value': 'Left'}, {'id': 4991047827, 'qualifierId': 212, 'value': '20.4'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;20,4;95,7;6,09;73,3;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;73,3;95,7;;;;;;;0;0;0;33;Minnesota United II;33;DC;1,0
2680254367;5;1;1;0;38;1pc6sx2h4rp113ldkbp5d2xas;0;22,2;11,9;2024-04-28T21:04:11.045Z;2024-04-28T22:01:14Z;[{'id': 4991047971, 'qualifierId': 3}, {'id': 4991047979, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991047985, 'qualifierId': 212, 'value': '11.3'}, {'id': 4991047983, 'qualifierId': 141, 'value': '0.0'}, {'id': 4991047981, 'qualifierId': 140, 'value': '28.6'}, {'id': 4991047987, 'qualifierId': 213, 'value': '5.35'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;11,3;0,0;5,35;28,6;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;28,6;0,0;;;;;;;0;0;0;38;Sporting KC II;38;DC;1,0
2680254369;6;5;1;0;38;1pc6sx2h4rp113ldkbp5d2xas;0;28,0;-1,6;2024-04-28T21:04:11.120Z;2024-04-28T21:36:27Z;[{'id': 4991047991, 'qualifierId': 347}, {'id': 4991048061, 'qualifierId': 233, 'value': '11'}, {'id': 4991047989, 'qualifierId': 56, 'value': 'Back'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;ciekf2plfm925xtlkrs32mluc;Out;;;;;;;;;;;;;;;;;;1,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;38;Sporting KC II;38;DC;1,0
2680254377;11;5;1;0;38;7fbej4xwoq4imaf5l39304m37;1;72,0;101,6;2024-04-28T21:04:11.120Z;2024-04-28T21:04:15Z;[{'id': 4991048023, 'qualifierId': 56, 'value': 'Left'}, {'id': 4991048041, 'qualifierId': 233, 'value': '6'}, {'id': 4991048027, 'qualifierId': 347}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;ciekf2plfm925xtlkrs32mluc;Out;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;38;Minnesota United II;38;DC;1,0
2680254399;12;1;1;0;42;7fbej4xwoq4imaf5l39304m37;1;72,5;100,0;2024-04-28T21:04:14.864Z;2024-04-28T21:04:17Z;[{'id': 4991048145, 'qualifierId': 141, 'value': '89.8'}, {'id': 4991048143, 'qualifierId': 140, 'value': '72.6'}, {'id': 4991048141, 'qualifierId': 56, 'value': 'Left'}, {'id': 4991048147, 'qualifierId': 212, 'value': '8.2'}, {'id': 4991048139, 'qualifierId': 107}, {'id': 4991048149, 'qualifierId': 213, 'value': '4.73'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;8,2;89,8;4,73;72,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;72,6;89,8;;;;;;;0;0;0;42;Minnesota United II;42;DC;1,0
2680254405;13;3;1;0;44;7fbej4xwoq4imaf5l39304m37;1;67,6;85,2;2024-04-28T21:04:16.643Z;2024-05-02T20:06:14Z;[{'id': 4991226595, 'qualifierId': 233, 'value': '423'}, {'id': 4997690539, 'qualifierId': 464}, {'id': 4991048175, 'qualifierId': 286}, {'id': 4991048173, 'qualifierId': 56, 'value': 'Left'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;ciekf2plfm925xtlkrs32mluc;Take On;;;;;;;;;;;;;;;;;;;423,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;44;Minnesota United II;44;AML;1,0
2680287255;423;45;1;0;44;1pc6sx2h4rp113ldkbp5d2xas;0;32,4;14,8;2024-04-28T21:04:16.643Z;2024-04-28T22:02:02Z;[{'id': 4991226599, 'qualifierId': 233, 'value': '13'}, {'id': 4991226575, 'qualifierId': 285}, {'id': 4991226569, 'qualifierId': 56, 'value': 'Back'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;ciekf2plfm925xtlkrs32mluc;Challenge;;;;;;;;;;;;;;;;;;;13,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;44;Sporting KC II;44;AMC;1,0
2680254411;14;1;1;0;45;7fbej4xwoq4imaf5l39304m37;1;69,7;84,8;2024-04-28T21:04:18.016Z;2024-04-28T21:04:19Z;[{'id': 4991048213, 'qualifierId': 212, 'value': '10.7'}, {'id': 4991048215, 'qualifierId': 213, 'value': '5.73'}, {'id': 4991048209, 'qualifierId': 141, 'value': '76.5'}, {'id': 4991048205, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991048207, 'qualifierId': 140, 'value': '78.4'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;10,7;76,5;5,73;78,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;78,4;76,5;;;;;;;0;0;0;45;Minnesota United II;45;AML;1,0
2680254415;15;1;1;0;46;7fbej4xwoq4imaf5l39304m37;1;78,1;76,8;2024-04-28T21:04:19.120Z;2024-04-28T21:04:19Z;[{'id': 4991048223, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991048225, 'qualifierId': 140, 'value': '71.8'}, {'id': 4991048231, 'qualifierId': 213, 'value': '4.14'}, {'id': 4991048235, 'qualifierId': 156}, {'id': 4991048227, 'qualifierId': 141, 'value': '61.6'}, {'id': 4991048229, 'qualifierId': 212, 'value': '12.3'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;12,3;61,6;4,14;71,8;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;71,8;61,6;;;;;;;0;0;0;46;Minnesota United II;46;FW;1,0
