id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_PassEndY;value_PassEndX;value_Zone;value_KickOff;value_Angle;value_IntendedTackleTarget;value_OppositeRelatedEventId;value_TouchTypeControl;value_Offensive;value_BlockedPass;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_RegularPlay;value_IntentionalAssist;value_Assist;value_LongBall;value_Chipped;value_LeadingToGoal;value_GoalShotGameClock;value_SmallBoxCentre;value_BigChance;value_LowCentre;value_GoalmouthZ;value_RelatedError1Id;value_RelatedEventId;value_GkYTimeOfGoal;value_GkY;value_LeftFooted;value_GoalmouthY;value_Assisted;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_NextEventGoalKick;value_Low;value_GoalKick;value_Head;value_TouchTypePass;value_TakeOnSpace;value_TouchTypeClearance;value_OutOfPlay;value_PlayersCaughtOffside;value_DeletedEventType;value_Indirect;value_FreeKickTaken;value_Defensive1V1;value_TakeOnOvertake;value_Foul;value_Direct;value_AttemptedTackle;value_InSwinger;value_Cross;value_HeadPass;value_Launch;value_FreeKick;value_NotAssisted;value_SwerveRight;value_CloseLeft;value_OutOfBoxCentre;value_LayOff;value_PullBack;value_OutSwinger;value_BoxCentre;value_FirstTouch;value_Blocked;value_BlockedY;value_RightFooted;value_Volley;value_BlockedX;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_HighLeft;value_SwerveLeft;value_LowRight;value_Deflection;value_KeeperTouched;value_HighRight;value_FastBreak;value_IndividualPlay;value_HighCentre;value_Diving;value_ParriedSafe;value_MediumGkIntervention;value_Hands;value_Handball;value_SetPiece;value_SwitchOfPlay;value_LowGkIntervention;value_KeeperThrow;value_YellowCard;value_RecklessOffence;value_HighClaim;value_HighGkIntervention;value_ThroughBall;value_MisHit;value_SixYardBlocked;value_LowLeft;value_SavedOffLine;value_LastLine;value_Shove/Push;value_BoxLeft;value_Weak;value_Collected;value_GkKickFromHands;value_NotVisible;value_Minutes;value_ByWall;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Dissent;value_Standing;value_TempShotOn;value_ShirtPull/Holding;value_TacticalFoul;value_SoloRun;value_InjuredPlayerId;value_Injury;value_AerialFoul;value_CloseRight;value_High;value_TimeWasting;value_Overrun;value_BlockedClearance;value_DangerousPlay;value_OtherReason;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2719564005;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-09-13T22:05:07.820Z;2024-09-17T14:37:47Z;[{'id': 5206966961, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5206966959, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5207036559, 'qualifierId': 197, 'value': '14913'}, {'id': 5206966955, 'qualifierId': 59, 'value': '25, 53, 54, 42, 43, 41, 66, 37, 50, 48, 35, 36, 49, 80, 59, 64, 68, 44, 46, 56'}, {'id': 5207005929, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5206966957, 'qualifierId': 130, 'value': '10'}, {'id': 5206966951, 'qualifierId': 30, 'value': '99hdzy5s45xr72d3lgttdmne1, 4agnpztnedb7ql14bo477vspg, 9vc2mynd9lg2oyt14n4e7a44q, 72xktsosbsh2uwkwby59mr6z8, 5d341k1dxhlbetyh965z3q784, 84oe7sbhy91b5xvbo2w28i7f8, 4ycsifqidpgttuanylwsyts7o, 38p90lsdc5iv1jvjbhiinv6ne, 2atsox1bassuexlgta8h3us4p, b1p6qcv8wjzoxoax3nt13n5gq, 64wbk2nsrs0ru0hjcq0lenwgk, acskv7krqaau05kpgbfz6f0iy, 5ehbz7f56cmfamc29fnk3yuax, 4uybjezp5gdqpvkwp8qsdxrf8, a8t1jn05xxxccikegk8fdaiok, b3xoqrbmua9uzr0tw8kmnw9as, 9ii1zrimesdnqccy8dki8knx0, 6n0x8t513vmsmgfasovvoj7u2, 2buy6q56o0ixo30fatz7ps9w4, 710y645hepag4if4rm3gggjdg'}, {'id': 5206966953, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;3g760yb6h2jgtosgk0iz5xxw;Team set up;;;14913,0;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2719564563;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-09-13T22:07:09.652Z;2024-09-17T14:39:21Z;[{'id': 5206970165, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 6rgdv71lxh4cpz487ygvy5nv8, 92np3jwhxchmtfeov82ehe13o, o3gftw0hatp1r62ynjmlaaui, 59kitnlge8bjsxmhy850bsutw, 4gp2d7oltfq4uwzj78gr6q9sk, afqry84j23xgkhqryrontj190, 8u0efvao8rym6mdx0tl0h0qac, es0bxxdxf6bco25evmg19ic4, 65g50zt5gbo1lnrbc7uvwsbo4, e4rpnf90oa672lcm8ego7vllg, nhhmltlm3ayn7vqmp6etck5w, 4akvdujqbywk628gok9xbh2j8, 76xo0u2yd2cqf8xdyh8rteqdw, 80p7shawtxjiydizsg5fo5a1g, ov4fk38lrcculu6tdbnrto2c'}, {'id': 5206970175, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5206970167, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5'}, {'id': 5206970173, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5206970171, 'qualifierId': 130, 'value': '2'}, {'id': 5207183481, 'qualifierId': 194, 'value': 'o3gftw0hatp1r62ynjmlaaui'}, {'id': 5206970169, 'qualifierId': 59, 'value': '21, 45, 42, 46, 34, 50, 82, 44, 37, 66, 79, 24, 97, 57, 77, 90'}, {'id': 5207036919, 'qualifierId': 197, 'value': '6066'}];;;;;3g760yb6h2jgtosgk0iz5xxw;Team set up;;;6066,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2719576523;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-09-13T23:04:07.866Z;2024-09-17T06:47:20Z;[{'id': 5207039923, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;3g760yb6h2jgtosgk0iz5xxw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2719576531;3;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-09-13T23:04:07.866Z;2024-09-13T23:04:10Z;[{'id': 5207039955, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;3g760yb6h2jgtosgk0iz5xxw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2719576541;3;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;50,0;50,3;2024-09-13T23:04:07.867Z;2024-09-13T23:04:11Z;[{'id': 5207039999, 'qualifierId': 212, 'value': '26.3'}, {'id': 5207039997, 'qualifierId': 141, 'value': '73.9'}, {'id': 5207039995, 'qualifierId': 140, 'value': '30.1'}, {'id': 5207039993, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040003, 'qualifierId': 279, 'value': 'S'}, {'id': 5207040001, 'qualifierId': 213, 'value': '2.49'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;26,3;73,9;30,1;;;2,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;30,1;73,9;;;;;;;0;0;0;0;New York RB II;0;FW;1,0
2719576555;4;1;1;0;3;8o8m08he36u0j4w08aj2iodn8;1;30,9;73,9;2024-09-13T23:04:11.147Z;2024-09-13T23:04:14Z;[{'id': 5207040093, 'qualifierId': 141, 'value': '64.6'}, {'id': 5207040089, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040091, 'qualifierId': 140, 'value': '38.4'}, {'id': 5207040097, 'qualifierId': 213, 'value': '5.61'}, {'id': 5207040095, 'qualifierId': 212, 'value': '10.1'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;10,1;64,6;38,4;;;5,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;38,4;64,6;;;;;;;0;0;0;3;New York RB II;3;MC;1,0
2719576563;5;1;1;0;6;8o8m08he36u0j4w08aj2iodn8;1;38,9;65,1;2024-09-13T23:04:14.506Z;2024-09-13T23:04:15Z;[{'id': 5207040143, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040151, 'qualifierId': 141, 'value': '71.8'}, {'id': 5207040147, 'qualifierId': 140, 'value': '35.9'}, {'id': 5207040157, 'qualifierId': 213, 'value': '2.18'}, {'id': 5207040155, 'qualifierId': 212, 'value': '5.5'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;5,5;71,8;35,9;;;2,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;35,9;71,8;;;;;;;0;0;0;6;New York RB II;6;MC;1,0
2719576567;6;1;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;35,8;72,3;2024-09-13T23:04:15.370Z;2024-09-13T23:04:17Z;[{'id': 5207040167, 'qualifierId': 140, 'value': '39.8'}, {'id': 5207040165, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040171, 'qualifierId': 212, 'value': '5.0'}, {'id': 5207040173, 'qualifierId': 213, 'value': '5.70'}, {'id': 5207040169, 'qualifierId': 141, 'value': '68.2'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;5,0;68,2;39,8;;;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;39,8;68,2;;;;;;;0;0;0;7;New York RB II;7;MC;1,0
2719576593;7;1;1;0;9;8o8m08he36u0j4w08aj2iodn8;1;39,8;68,2;2024-09-13T23:04:17.227Z;2024-09-13T23:04:21Z;[{'id': 5207040303, 'qualifierId': 140, 'value': '21.8'}, {'id': 5207040301, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040307, 'qualifierId': 212, 'value': '18.9'}, {'id': 5207040305, 'qualifierId': 141, 'value': '69.7'}, {'id': 5207040309, 'qualifierId': 213, 'value': '3.09'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;18,9;69,7;21,8;;;3,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;21,8;69,7;;;;;;;0;0;0;9;New York RB II;9;MC;1,0
2719576613;8;1;1;0;13;8o8m08he36u0j4w08aj2iodn8;1;21,8;67,5;2024-09-13T23:04:21.291Z;2024-09-13T23:04:27Z;[{'id': 5207040419, 'qualifierId': 141, 'value': '74.7'}, {'id': 5207040423, 'qualifierId': 213, 'value': '0.81'}, {'id': 5207040417, 'qualifierId': 140, 'value': '26.2'}, {'id': 5207040415, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040421, 'qualifierId': 212, 'value': '6.7'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;6,7;74,7;26,2;;;0,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;26,2;74,7;;;;;;;0;0;0;13;New York RB II;13;DC;1,0
2719576633;9;1;1;0;19;8o8m08he36u0j4w08aj2iodn8;1;33,0;76,3;2024-09-13T23:04:27.435Z;2024-09-13T23:04:32Z;[{'id': 5207040533, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040539, 'qualifierId': 212, 'value': '30.3'}, {'id': 5207040537, 'qualifierId': 141, 'value': '31.8'}, {'id': 5207040541, 'qualifierId': 213, 'value': '4.69'}, {'id': 5207040535, 'qualifierId': 140, 'value': '32.3'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;30,3;31,8;32,3;;;4,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;32,3;31,8;;;;;;;0;0;0;19;New York RB II;19;MC;1,0
2719576661;10;1;1;0;24;8o8m08he36u0j4w08aj2iodn8;1;32,3;31,8;2024-09-13T23:04:31.978Z;2024-09-13T23:04:35Z;[{'id': 5207040691, 'qualifierId': 141, 'value': '10.1'}, {'id': 5207040689, 'qualifierId': 140, 'value': '35.2'}, {'id': 5207040693, 'qualifierId': 212, 'value': '15.1'}, {'id': 5207040695, 'qualifierId': 213, 'value': '4.92'}, {'id': 5207040687, 'qualifierId': 56, 'value': 'Back'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;15,1;10,1;35,2;;;4,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;35,2;10,1;;;;;;;0;0;0;24;New York RB II;24;DC;1,0
2719576663;11;1;1;0;27;8o8m08he36u0j4w08aj2iodn8;1;35,2;10,1;2024-09-13T23:04:35.291Z;2024-09-13T23:04:36Z;[{'id': 5207040715, 'qualifierId': 213, 'value': '2.42'}, {'id': 5207040713, 'qualifierId': 212, 'value': '13.8'}, {'id': 5207040711, 'qualifierId': 141, 'value': '23.5'}, {'id': 5207040709, 'qualifierId': 140, 'value': '25.3'}, {'id': 5207040707, 'qualifierId': 56, 'value': 'Back'}];84oe7sbhy91b5xvbo2w28i7f8;J. Diouf;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;13,8;23,5;25,3;;;2,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;25,3;23,5;;;;;;;0;0;0;27;New York RB II;27;DC;1,0
2719576705;12;1;1;0;28;8o8m08he36u0j4w08aj2iodn8;1;25,2;23,7;2024-09-13T23:04:36.027Z;2024-09-13T23:04:43Z;[{'id': 5207040911, 'qualifierId': 212, 'value': '25.7'}, {'id': 5207040909, 'qualifierId': 141, 'value': '61.0'}, {'id': 5207040913, 'qualifierId': 213, 'value': '1.74'}, {'id': 5207040905, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040907, 'qualifierId': 140, 'value': '21.0'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;25,7;61,0;21,0;;;1,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;21,0;61,0;;;;;;;0;0;0;28;New York RB II;28;DC;1,0
2719576713;13;1;1;0;35;8o8m08he36u0j4w08aj2iodn8;1;32,1;68,4;2024-09-13T23:04:43.146Z;2024-09-13T23:04:46Z;[{'id': 5207040959, 'qualifierId': 213, 'value': '1.91'}, {'id': 5207040951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207040953, 'qualifierId': 140, 'value': '28.0'}, {'id': 5207040955, 'qualifierId': 141, 'value': '86.3'}, {'id': 5207040957, 'qualifierId': 212, 'value': '12.9'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;12,9;86,3;28,0;;;1,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;28,0;86,3;;;;;;;0;0;0;35;New York RB II;35;DC;1,0
2721754313;876;83;1;0;37;4g68p0t2f5jzhzfr67i2rj1ex;1;66,1;13,8;2024-09-13T23:04:45.520Z;2024-09-17T06:57:37Z;[{'id': 5218816361, 'qualifierId': 399, 'value': '64wbk2nsrs0ru0hjcq0lenwgk'}];afqry84j23xgkhqryrontj190;I. Kasule;;;3g760yb6h2jgtosgk0iz5xxw;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;37;Chicago Fire II;37;MR;1,0
2719576717;14;1;1;0;38;8o8m08he36u0j4w08aj2iodn8;0;33,5;88,5;2024-09-13T23:04:46.684Z;2024-09-13T23:05:10Z;[{'id': 5207040995, 'qualifierId': 140, 'value': '41.7'}, {'id': 5207040997, 'qualifierId': 141, 'value': '87.3'}, {'id': 5207040993, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207041087, 'qualifierId': 233, 'value': '4'}, {'id': 5207040999, 'qualifierId': 212, 'value': '8.6'}, {'id': 5207041001, 'qualifierId': 213, 'value': '6.19'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;8,6;87,3;41,7;;;6,19;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;41,7;87,3;;;;;;;0;0;0;38;New York RB II;38;MC;1,0
2719576727;4;8;1;0;41;4g68p0t2f5jzhzfr67i2rj1ex;1;56,2;16,4;2024-09-13T23:04:49.596Z;2024-09-17T06:58:10Z;[{'id': 5218816659, 'qualifierId': 383}, {'id': 5207041065, 'qualifierId': 56, 'value': 'Right'}];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;;3g760yb6h2jgtosgk0iz5xxw;Interception;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;41;Chicago Fire II;41;DR;1,0
2719576735;5;49;1;0;42;4g68p0t2f5jzhzfr67i2rj1ex;1;55,6;17,0;2024-09-13T23:04:50.331Z;2024-09-13T23:04:50Z;[];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;;3g760yb6h2jgtosgk0iz5xxw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;42;Chicago Fire II;42;DR;1,0
2719576749;6;1;1;0;42;4g68p0t2f5jzhzfr67i2rj1ex;1;55,6;17,0;2024-09-13T23:04:50.635Z;2024-09-13T23:04:53Z;[{'id': 5207041185, 'qualifierId': 213, 'value': '2.97'}, {'id': 5207041179, 'qualifierId': 140, 'value': '35.6'}, {'id': 5207041177, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207041183, 'qualifierId': 212, 'value': '21.3'}, {'id': 5207041181, 'qualifierId': 141, 'value': '22.3'}];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;21,3;22,3;35,6;;;2,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;35,6;22,3;;;;;;;0;0;0;42;Chicago Fire II;42;DR;1,0
2719576761;7;1;1;0;45;4g68p0t2f5jzhzfr67i2rj1ex;1;28,9;25,6;2024-09-13T23:04:53.739Z;2024-09-13T23:04:56Z;[{'id': 5207041257, 'qualifierId': 140, 'value': '16.7'}, {'id': 5207041255, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207041263, 'qualifierId': 213, 'value': '2.27'}, {'id': 5207041259, 'qualifierId': 141, 'value': '48.1'}, {'id': 5207041261, 'qualifierId': 212, 'value': '20.0'}];59kitnlge8bjsxmhy850bsutw;J. Gutierrez;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;20,0;48,1;16,7;;;2,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;16,7;48,1;;;;;;;0;0;0;45;Chicago Fire II;45;DL;1,0
2719576773;8;1;1;0;48;4g68p0t2f5jzhzfr67i2rj1ex;1;17,2;47,5;2024-09-13T23:04:55.962Z;2024-09-13T23:04:58Z;[{'id': 5207041343, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207041351, 'qualifierId': 213, 'value': '1.11'}, {'id': 5207041347, 'qualifierId': 141, 'value': '77.7'}, {'id': 5207041345, 'qualifierId': 140, 'value': '26.8'}, {'id': 5207041349, 'qualifierId': 212, 'value': '22.9'}];bvtvko74cyeqe297mp6shrf2s;A. Stokes;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;22,9;77,7;26,8;;;1,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;26,8;77,7;;;;;;;0;0;0;48;Chicago Fire II;48;GK;1,0
