id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_Involved;value_Resume;value_TeamKit;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_Zone;value_Angle;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TakeOnOvertake;value_TouchTypeClearance;value_OutSwinger;value_Cross;value_BlockedPass;value_LeftFooted;value_BlockedCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_LeadingToGoal;value_RelatedError1Id;value_GoalmouthZ;value_GkY;value_GkYTimeOfGoal;value_GoalmouthY;value_RegularPlay;value_HighRight;value_FirstTouch;value_NotAssisted;value_GkXTimeOfGoal;value_KeeperTouched;value_OutOfBoxCentre;value_GkX;value_IndividualPlay;value_GoalShotTimestamp;value_GoalShotGameClock;value_Chipped;value_DeletedEventType;value_TakeOnSpace;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_ShirtPull/Holding;value_IntendedTackleTarget;value_FlickOn;value_PlayersCaughtOffside;value_Indirect;value_Assist;value_RelatedEventId;value_BlockedX;value_Assisted;value_LowRight;value_Blocked;value_BlockedY;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_Head;value_RightFooted;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_LayOff;value_ThroughBall;value_IntentionalAssist;value_BoxCentre;value_BigChance;value_Feet;value_Sliding;value_ParriedSafe;value_LowGkIntervention;value_Volley;value_LowCentre;value_SmallBoxCentre;value_FromCorner;value_TouchTypeControl;value_BoxRight;value_OverhitCross;value_LastLine;value_TouchTypePass;value_NotVisible;value_DrivenCross;value_Straight;value_CloseRightAndHigh;value_BoxLeft;value_SwerveLeft;value_YellowCard;value_RecklessOffence;value_SwitchOfPlay;value_High;value_Shove/Push;value_IncorrectOutOfPlayDecision;value_1On1;value_SmallBoxLeft;value_Diving;value_ParriedDanger;value_Hands;value_Minutes;value_EndType;value_MediumGkIntervention;value_Handball;value_FreeKick;value_ByWall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Standing;value_OtherBodyPart;value_HighCentre;value_FastBreak;value_LeadingToAttempt;value_Fumble;value_Stooping;value_CaptainChange;value_Review;value_Overrun;value_OverArm;value_TimeWasting;value_TacticalFoul;value_HighLeft;value_HitBar;value_HitWoodwork;value_SetPiece;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2686857987;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-12T22:09:57.637Z;2024-05-12T23:03:27Z;[{'id': 5026990933, 'qualifierId': 59, 'value': '1, 2, 3, 6, 4, 5, 18, 30, 9, 10, 32, 8, 17, 20, 25, 36'}, {'id': 5026990931, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5026990929, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, 4521gkm1oemvrfsgksz7b6zxm, 641bsr9un81t6sds51fhvijh0, elvrjpt1jlko4henaqvfid7o4, 7nxqbiq6fics5w3qnwhz249as, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 9yldym4386a2icfk6qb6i90r8, 6y4dhco5w4ontgfdtl1oj06xg'}, {'id': 5026990945, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5027106581, 'qualifierId': 197, 'value': '23347'}, {'id': 5026990943, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5026990941, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5026990937, 'qualifierId': 130, 'value': '4'}];;;;;ct2ob3pixhlv04n24q2tbvthw;Team set up;;;;;23347,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2686862297;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-12T22:19:01.284Z;2024-05-12T23:04:09Z;[{'id': 5027016075, 'qualifierId': 59, 'value': '39, 20, 99, 43, 40, 50, 49, 85, 80, 41, 59, 42, 56, 64, 71, 75, 77, 88'}, {'id': 5027107067, 'qualifierId': 197, 'value': '15030'}, {'id': 5027016073, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5027016079, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5027016071, 'qualifierId': 30, 'value': 'esetc9bteuheaoq6mttyt6rbp, 272xwghmibw1wnptcoz6xpex, 7zkzjmk1go1u2vi5qkqlmezu, dpedfgxin5nc4qmziaokpmiy2, 910fd7rfysvvfzp2s1ywna5pm, 9ulwk81vyj5rbz88h62i2ejv8, 3dyn7hheqvs3gm3m84jrra9lg, e9jko5f45qmjw3va7cp05l5w4, f2nvagw4mjjpn1ytj6rdl5ene, 5jigl7kp5d2i5ws1602jm7n1m, 9gswafduy82n4o6f0uk0khhck, 276kl5oc1k19y1linbxml0xec, 92oqt9q51us5rpmqmvvrdso6i, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, en6q7ddrr22sz6knipkbqhyw9, 8bwjj53jwbsi0emx370uka5g4, 8hg6c5ehhaa37lwduf5977i3u'}, {'id': 5027016083, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5027016081, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 5027016077, 'qualifierId': 130, 'value': '4'}];;;;;ct2ob3pixhlv04n24q2tbvthw;Team set up;;;;;15030,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2686879783;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-12T23:04:26.528Z;2024-05-12T23:04:26Z;[{'id': 5027108009, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ct2ob3pixhlv04n24q2tbvthw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2686879787;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-12T23:04:26.528Z;2024-05-19T17:54:50Z;[{'id': 5027108043, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ct2ob3pixhlv04n24q2tbvthw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2686879793;3;1;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;49,8;50,3;2024-05-12T23:04:26.529Z;2024-05-12T23:04:30Z;[{'id': 5027108097, 'qualifierId': 212, 'value': '29.0'}, {'id': 5027108101, 'qualifierId': 279, 'value': 'S'}, {'id': 5027108095, 'qualifierId': 141, 'value': '62.0'}, {'id': 5027108093, 'qualifierId': 140, 'value': '23.2'}, {'id': 5027108091, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108099, 'qualifierId': 213, 'value': '2.86'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;29,0;;62,0;23,2;;2,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;23,2;62,0;;;;;;;0;0;0;0;St. Louis City II;0;MC;1,0
2686879807;4;1;1;0;4;d0c07im4a6oj8qa7f1zlt3pqs;0;23,2;62,0;2024-05-12T23:04:30.861Z;2024-05-12T23:05:08Z;[{'id': 5027108201, 'qualifierId': 1}, {'id': 5027108195, 'qualifierId': 141, 'value': '69.4'}, {'id': 5027108191, 'qualifierId': 56, 'value': 'Center'}, {'id': 5027108199, 'qualifierId': 213, 'value': '0.11'}, {'id': 5027108193, 'qualifierId': 140, 'value': '66.8'}, {'id': 5027108197, 'qualifierId': 212, 'value': '46.1'}, {'id': 5027108189, 'qualifierId': 157}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;46,1;;69,4;66,8;;0,11;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;66,8;69,4;;;;;;;0;0;0;4;St. Louis City II;4;GK;1,0
2686879825;3;44;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;27,6;30,9;2024-05-12T23:04:33.771Z;2024-05-12T23:04:38Z;[{'id': 5027108317, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108319, 'qualifierId': 285}, {'id': 5027108323, 'qualifierId': 233, 'value': '5'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;ct2ob3pixhlv04n24q2tbvthw;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;7;Austin II;7;DL;1,0
2686879809;5;44;1;0;7;d0c07im4a6oj8qa7f1zlt3pqs;0;72,4;69,1;2024-05-12T23:04:33.772Z;2024-05-12T23:04:39Z;[{'id': 5027108205, 'qualifierId': 56, 'value': 'Center'}, {'id': 5027108207, 'qualifierId': 286}, {'id': 5027108331, 'qualifierId': 233, 'value': '3'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;ct2ob3pixhlv04n24q2tbvthw;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;7;St. Louis City II;7;FW;1,0
2686879845;4;1;1;0;7;dqx48fglv1l96cyrmjdod0xec;0;21,8;31,2;2024-05-12T23:04:34.223Z;2024-05-19T20:28:27Z;[{'id': 5027108399, 'qualifierId': 141, 'value': '21.8'}, {'id': 5027108393, 'qualifierId': 3}, {'id': 5027108395, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108397, 'qualifierId': 140, 'value': '29.8'}, {'id': 5027108401, 'qualifierId': 212, 'value': '10.6'}, {'id': 5027108403, 'qualifierId': 213, 'value': '5.63'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;10,6;;21,8;29,8;;5,63;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;29,8;21,8;;;;;;;0;0;0;7;Austin II;7;DL;1,0
2686879829;6;61;1;0;12;d0c07im4a6oj8qa7f1zlt3pqs;0;61,8;79,7;2024-05-12T23:04:39.379Z;2024-05-12T23:04:39Z;[{'id': 5027108337, 'qualifierId': 56, 'value': 'Left'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;ct2ob3pixhlv04n24q2tbvthw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;12;St. Louis City II;12;MC;1,0
2686879875;6;3;1;0;14;dqx48fglv1l96cyrmjdod0xec;1;46,3;11,9;2024-05-12T23:04:40.756Z;2024-05-19T17:57:05Z;[{'id': 5042821779, 'qualifierId': 465}, {'id': 5027108595, 'qualifierId': 286}, {'id': 5027108593, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108627, 'qualifierId': 233, 'value': '7'}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;ct2ob3pixhlv04n24q2tbvthw;Take On;;;;;;;;;;;;;;;;;;;7,0;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;14;Austin II;14;MC;1,0
2686879833;7;45;1;0;14;d0c07im4a6oj8qa7f1zlt3pqs;0;53,7;88,1;2024-05-12T23:04:40.756Z;2024-05-12T23:04:51Z;[{'id': 5027108357, 'qualifierId': 285}, {'id': 5027108637, 'qualifierId': 233, 'value': '6'}, {'id': 5027108355, 'qualifierId': 56, 'value': 'Left'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;ct2ob3pixhlv04n24q2tbvthw;Challenge;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;14;St. Louis City II;14;MC;1,0
2686879849;5;49;1;0;15;dqx48fglv1l96cyrmjdod0xec;1;32,1;20,7;2024-05-12T23:04:42.238Z;2024-05-13T00:03:24Z;[];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;ct2ob3pixhlv04n24q2tbvthw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;15;Austin II;15;MC;1,0
2686900955;285;50;1;0;17;dqx48fglv1l96cyrmjdod0xec;1;81,8;10,2;2024-05-12T23:04:44.527Z;2024-05-13T00:03:03Z;[{'id': 5027227211, 'qualifierId': 56, 'value': 'Right'}, {'id': 5027227253, 'qualifierId': 233, 'value': '496'}, {'id': 5027227213, 'qualifierId': 286}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;ct2ob3pixhlv04n24q2tbvthw;Dispossessed;;;;;;;;;;;;;;;;;;;496,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;17;Austin II;17;MC;1,0
2686898425;496;7;1;0;18;d0c07im4a6oj8qa7f1zlt3pqs;0;18,2;89,8;2024-05-12T23:04:44.528Z;2024-05-19T17:57:09Z;[{'id': 5027210101, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027210103, 'qualifierId': 285}, {'id': 5042821915, 'qualifierId': 385}, {'id': 5027227241, 'qualifierId': 233, 'value': '285'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;ct2ob3pixhlv04n24q2tbvthw;Tackle;;;;;;;;;;;;;;;;;;1,0;285,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;18;St. Louis City II;18;DC;1,0
2686879899;7;1;1;0;22;dqx48fglv1l96cyrmjdod0xec;1;84,9;7,7;2024-05-12T23:04:48.705Z;2024-05-13T00:03:26Z;[{'id': 5027108711, 'qualifierId': 213, 'value': '3.29'}, {'id': 5027108707, 'qualifierId': 141, 'value': '5.0'}, {'id': 5027108705, 'qualifierId': 140, 'value': '73.5'}, {'id': 5027108703, 'qualifierId': 56, 'value': 'Right'}, {'id': 5027108709, 'qualifierId': 212, 'value': '12.1'}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;12,1;;5,0;73,5;;3,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;73,5;5,0;;;;;;;0;0;0;22;Austin II;22;MC;1,0
2686879905;8;1;1;0;25;dqx48fglv1l96cyrmjdod0xec;1;72,3;5,6;2024-05-12T23:04:52.408Z;2024-05-13T00:03:38Z;[{'id': 5027108751, 'qualifierId': 213, 'value': '2.79'}, {'id': 5027108743, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108749, 'qualifierId': 212, 'value': '25.0'}, {'id': 5027108745, 'qualifierId': 140, 'value': '49.9'}, {'id': 5027108747, 'qualifierId': 141, 'value': '18.2'}];272xwghmibw1wnptcoz6xpex;A. Watts;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;25,0;;18,2;49,9;;2,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;49,9;18,2;;;;;;;0;0;0;25;Austin II;25;DR;1,0
2686879925;9;1;1;0;29;dqx48fglv1l96cyrmjdod0xec;1;48,6;23,0;2024-05-12T23:04:55.924Z;2024-05-13T00:03:40Z;[{'id': 5027108843, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027108849, 'qualifierId': 212, 'value': '22.2'}, {'id': 5027108845, 'qualifierId': 140, 'value': '44.6'}, {'id': 5027108851, 'qualifierId': 213, 'value': '1.76'}, {'id': 5027108847, 'qualifierId': 141, 'value': '55.1'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;22,2;;55,1;44,6;;1,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;44,6;55,1;;;;;;;0;0;0;29;Austin II;29;DL;1,0
2686879933;10;1;1;0;33;dqx48fglv1l96cyrmjdod0xec;1;45,4;54,6;2024-05-12T23:04:59.814Z;2024-05-12T23:05:01Z;[{'id': 5027108911, 'qualifierId': 213, 'value': '1.15'}, {'id': 5027108907, 'qualifierId': 141, 'value': '87.1'}, {'id': 5027108905, 'qualifierId': 140, 'value': '54.7'}, {'id': 5027108909, 'qualifierId': 212, 'value': '24.2'}, {'id': 5027108903, 'qualifierId': 56, 'value': 'Left'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;24,2;;87,1;54,7;;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;54,7;87,1;;;;;;;0;0;0;33;Austin II;33;DC;1,0
2686879935;11;1;1;0;34;dqx48fglv1l96cyrmjdod0xec;1;54,7;87,1;2024-05-12T23:05:01.017Z;2024-05-12T23:05:02Z;[{'id': 5027108927, 'qualifierId': 140, 'value': '66.7'}, {'id': 5027108929, 'qualifierId': 141, 'value': '88.1'}, {'id': 5027108933, 'qualifierId': 213, 'value': '0.05'}, {'id': 5027108931, 'qualifierId': 212, 'value': '12.6'}, {'id': 5027108925, 'qualifierId': 56, 'value': 'Left'}];7zkzjmk1go1u2vi5qkqlmezu;J. Reid;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;12,6;;88,1;66,7;;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;66,7;88,1;;;;;;;0;0;0;34;Austin II;34;DC;1,0
2686879949;12;1;1;0;35;dqx48fglv1l96cyrmjdod0xec;1;67,0;87,8;2024-05-12T23:05:01.954Z;2024-05-12T23:05:06Z;[{'id': 5027108983, 'qualifierId': 213, 'value': '3.93'}, {'id': 5027108977, 'qualifierId': 140, 'value': '57.2'}, {'id': 5027108981, 'qualifierId': 212, 'value': '14.5'}, {'id': 5027108979, 'qualifierId': 141, 'value': '72.7'}, {'id': 5027108975, 'qualifierId': 56, 'value': 'Center'}];9gswafduy82n4o6f0uk0khhck;M. Joyner;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;14,5;;72,7;57,2;;3,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;57,2;72,7;;;;;;;0;0;0;35;Austin II;35;FWL;1,0
2686879963;13;1;1;0;39;dqx48fglv1l96cyrmjdod0xec;1;56,0;72,6;2024-05-12T23:05:06.048Z;2024-05-12T23:05:10Z;[{'id': 5027109057, 'qualifierId': 212, 'value': '22.7'}, {'id': 5027109059, 'qualifierId': 213, 'value': '3.14'}, {'id': 5027109051, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027109053, 'qualifierId': 140, 'value': '34.4'}, {'id': 5027109055, 'qualifierId': 141, 'value': '72.6'}];dpedfgxin5nc4qmziaokpmiy2;C. Cilley;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;22,7;;72,6;34,4;;3,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;34,4;72,6;;;;;;;0;0;0;39;Austin II;39;MC;1,0
2686879967;14;1;1;0;43;dqx48fglv1l96cyrmjdod0xec;1;33,6;72,6;2024-05-12T23:05:10.219Z;2024-05-12T23:05:11Z;[{'id': 5027109069, 'qualifierId': 140, 'value': '37.0'}, {'id': 5027109077, 'qualifierId': 213, 'value': '0.19'}, {'id': 5027109067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027109073, 'qualifierId': 212, 'value': '3.6'}, {'id': 5027109071, 'qualifierId': 141, 'value': '73.6'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;3,6;;73,6;37,0;;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;37,0;73,6;;;;;;;0;0;0;43;Austin II;43;DC;1,0
